Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21
26 AU / NZ;30322117;7945610;1123;3.7035672674;;0;0;0;0;4;5;5;6;9;9;12;12;12;13;13;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;16;26;28;31;40;55;58;64;68;81;96;112;133;133;205;256;305;385;464;588;709;830;1123
27 Pacific Ocean;1462851;40210;20;1.3671932411;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;9;14;20
3 ME/Africa;1546637756;28414278;25450;1.6455048961;;0;0;0;0;0;0;0;4;4;4;4;5;5;5;5;5;5;7;7;8;8;8;8;9;9;10;10;10;12;15;30;44;59;83;150;227;353;509;735;1144;1695;2558;3167;3781;5067;6207;7043;7663;8662;10011;11167;12677;14260;15715;16948;18466;20048;21856;23631;25450
31 MENA;526745694;10157840;24821;4.7121410356;;0;0;0;0;0;0;0;4;4;4;4;5;5;5;5;5;5;7;7;8;8;8;8;9;9;10;10;10;12;15;30;44;59;83;150;227;353;508;734;1143;1693;2555;3162;3775;5059;6199;7032;7651;8645;9984;11136;12624;14181;15599;16792;18291;19784;21509;23140;24821
32 SSa Africa;1019892062;18256438;629;0.061673193;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;5;6;8;8;11;12;17;27;31;53;79;116;156;175;264;347;491;629
Afghanistan;38928346;652860;24;0.0616517332;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;5;7;7;7;11;16;21;22;22;22;24;24
Albania;2877797;27400;76;2.6409090009;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;12;23;33;38;42;51;55;59;64;70;76
Algeria;43851044;2381740;139;0.3169821909;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;5;12;12;17;17;19;20;20;20;24;26;37;48;54;60;74;87;90;139
Andorra;77265;470;88;113.8937423154;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;39;39;53;75;88
Angola;32866272;1246700;2;0.0060852658;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
Antigua and Barbuda;97929;440;1;1.0211479746;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
Argentina;45195774;2736690;158;0.3495902073;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;8;12;12;17;19;19;31;34;45;56;68;79;97;128;158
Armenia;2963243;28470;160;5.3994896807;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;4;8;18;26;52;78;84;115;136;160
Australia;25499884;7682300;1071;4.200019106;;0;0;0;0;4;5;5;6;9;9;12;12;12;13;13;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;25;27;30;39;52;55;60;63;76;91;107;128;128;200;250;297;377;452;568;681;791;1071
