Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;Last Trend
23 China;1439323776;9388211;81305;5.6488332476;;;;;;;;0.4920083106;0.4858914753;0.4552326936;0.3943066921;0.2995247966;0.2756314978;0.2503303903;0.257318293;0.2414436524;0.2084698329;0.1756104676;0.1402356087;0.1181086084;0.0984576425;0.0826132058;0.0668474808;0.0770524073;0.0948954308;0.1136294031;0.1177847052;0.0912644051;0.0615423178;0.0325359073;0.0219464572;0.0160347734;0.0118414408;0.009258725;0.0081150318;0.0074318568;0.006022182;0.0053441821;0.0047548783;0.0052034725;0.0053765578;0.0051871988;0.0048804871;0.004089726;0.0031003719;0.0022778989;0.0017306237;0.0015537938;0.0013127983;0.0009887525;0.0006924708;0.0004712228;0.0003555494;0.0002925706;0.0002646599;0.0002810465;0.0003046409;0.0003487926;0.0004021449;0.0005088435;0.0006339252;0.0006769231
24 N.E. Asia;177745646;461785;9806;5.5168721264;;;;;;;;0.3037151419;0.316074013;0.2532208632;0.2862116403;0.2944562539;0.3269068114;0.2885450649;0.2004804806;0.1178808019;0.1212658535;0.1156147017;0.113450932;0.0692280766;0.0100515141;0;-0.0045490186;0.0273784572;0.0251769157;0.038819717;0.0729180131;0.1132892695;0.1435437498;0.1447675622;0.1794529818;0.2497195135;0.3845437021;0.5030963535;0.530907323;0.4679176793;0.3558518418;0.2978862643;0.2711720228;0.2875115022;0.2902996503;0.272265284;0.2379507488;0.1923415444;0.1578488322;0.1279770374;0.1046194727;0.0862404016;0.068527707;0.0533477421;0.0395040564;0.0285859461;0.0235569926;0.0217496443;0.0204357908;0.018720787;0.0160096649;0.014225009;0.0133783365;0.0135139336;0.0148002372;0.0198647946
25 S.E. Asia;642976569;5498440;3178;0.4942637342;;;;;;;;0.3782803487;0.2736617335;0.2266660457;0.2070949484;0.1783124666;0.1566800837;0.1232153509;0.1119898989;0.0996993508;0.0999224469;0.098380609;0.0973868274;0.0938486557;0.0893846931;0.0876175363;0.0719264433;0.0587887599;0.0467533031;0.0484242658;0.0510330882;0.0501394321;0.0443635895;0.0353185025;0.0272623148;0.0212834838;0.015752878;0.0136085703;0.0129520169;0.014922946;0.0186348241;0.0195921054;0.0201443385;0.022890629;0.0285548096;0.0354118627;0.0402372714;0.0420896063;0.0430036368;0.0555745343;0.0717182465;0.0904963761;0.102275051;0.1048939744;0.1137664059;0.1103390164;0.1263751352;0.1414736006;0.1749674183;0.2097860586;0.2286454672;0.2343002141;0.2108342107;0.191569678;0.1740976761;0.1779095626
26 AU / NZ;30322117;7945610;1123;3.7035672674;;;;;;;;;;;;0.209896735;0.1983908635;0.1582921853;0.1142884286;0.0608783473;0.0492682046;0.0392898776;0.0442698471;0.0431751412;0.029883572;0.0173978273;0.0056340257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0055098504;0.0608783473;0.1167896529;0.1723346544;0.2112097014;0.2193374772;0.2159013697;0.2012643403;0.1770085065;0.1402557333;0.1249122946;0.1303973848;0.1574445505;0.1541919716;0.1775075642;0.1973528453;0.2242457292;0.2577659521;0.2511121031;0.2471468117;0.2313532092;0.2245290383;0.232396796;0.3530120482
27 Pacific Ocean;1462851;40210;20;1.3671932411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1362193665;0.3037151419;0.4784494721;
3 ME/Africa;1546637756;28414278;25450;1.6455048961;;;;;;;;;;;;;;;0.0573712634;0.0573712634;0.0364228438;0.0173978273;0.0317854888;0.0608783473;0.1004817771;0.1127795715;0.0900353442;0.0601429026;0.0324744945;0.0311251457;0.0392898776;0.0484475014;0.0466351394;0.0532807757;0.0721632651;0.1840477434;0.31240292;0.4278264264;0.4973654396;0.5044473683;0.5077938107;0.5306214838;0.5555312269;0.5292571376;0.5094513588;0.4875032457;0.492042296;0.4681645967;0.4125078558;0.3540737119;0.2923557679;0.2534661493;0.2178803739;0.1809307798;0.1500514329;0.1297598028;0.1279805736;0.1300229301;0.1280994741;0.1198161793;0.1085648912;0.0983891633;0.0907380003;0.0871059763;0.0853039403;0.0769751597
31 MENA;526745694;10157840;24821;4.7121410356;;;;;;;;;;;;;;;0.0573712634;0.0573712634;0.0364228438;0.0173978273;0.0317854888;0.0608783473;0.1004817771;0.1127795715;0.0900353442;0.0601429026;0.0324744945;0.0311251457;0.0392898776;0.0484475014;0.0466351394;0.0532807757;0.0721632651;0.1840477434;0.31240292;0.4278264264;0.4973654396;0.5044473683;0.5077938107;0.5306214838;0.555174003;0.5287781219;0.5089770614;0.4870868696;0.4919700637;0.4681295502;0.4124313111;0.3539170589;0.2922426819;0.2534265059;0.2178774535;0.1808922227;0.1498598924;0.1294656966;0.127472915;0.1292960697;0.1270556649;0.1184195514;0.1070425039;0.0966059812;0.0887563658;0.0845407283;0.0820214955;0.072644771
32 SSa Africa;1019892062;18256438;629;0.061673193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4697778402;0.4762958619;0.3837825752;0.2818610192;0.2198555727;0.2045548971;0.2631104744;0.2909944487;0.3755941532;0.4207965807;0.4506609263;0.4708265585;0.4165964075;0.382236447;0.3342669122;0.3311243241;0.3459553333;0.2810590631
Afghanistan;38928346;652860;24;0.0616517332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0.189207115;0.316074013;0.442797976;0.5196713713;0.3339838987;0.235930917;0.1776037069;0.2073682014;0.2607294827;0.2946673008;0.2698234325;0.1803648131;0.0909803259;0.0436659318;
Albania;2877797;27400;76;2.6409090009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4730476665;0.3062150865;0.2146137708;0.1510363068;0.1203027182;0.1017206847;0.0914136846;0.0857142857
Algeria;43851044;2381740;139;0.3169821909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1362193665;0.316074013;0.6068568379;0.763271491;0.692206906;0.5035879293;0.2758848144;0.1788200319;0.095259525;0.0686816558;0.048276925;0.0573712634;0.1019624863;0.1662534248;0.2139721024;0.2334008507;0.2124383062;0.1878656497;0.1592169702;0.1817973642;0.5444444444
Andorra;77265;470;88;113.8937423154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0.0745699318;0.9343364203;1.2724387329;1.5706177987;1.541933121;0.5059172746;0.1733333333
Angola;32866272;1246700;2;0.0060852658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;97929;440;1;1.0211479746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;
Argentina;45195774;2736690;158;0.3495902073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8072040072;0.7892909542;0.4453137623;0.2574334297;0.211782784;0.1963929834;0.2303760308;0.2516784346;0.2510060312;0.2468212284;0.2203918124;0.2249967988;0.2269532557;0.234375
Armenia;2963243;28470;160;5.3994896807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0.189207115;0.442797976;0.77827941;1.0404244654;1;0.8612097182;0.6342674454;0.5192145333;0.3667635668;0.274028977;0.1764705882
Australia;25499884;7682300;1071;4.200019106;;;;;;;;;;;;0.209896735;0.1983908635;0.1582921853;0.1142884286;0.0608783473;0.0492682046;0.0392898776;0.0442698471;0.0431751412;0.029883572;0.0173978273;0.0056340257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0514473818;0.1046267912;0.1618507285;0.2085501589;0.2178832856;0.214981075;0.1946086489;0.1669095451;0.1324444991;0.1203242718;0.1317708993;0.1633205486;0.1621532128;0.186613409;0.2051589182;0.2303417188;0.2631104744;0.2535549812;0.2468584186;0.228417311;0.2189602653;0.2258913833;0.3539823009
Australia Australian Capital Territory;426709;2358;9;2.1091657312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.316074013;0.3426748071;0.3961944238;
Australia New South Wales;8089526;809952;436;5.3896853784;;;;;;;;;;;;0.0219911623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0392898776;0.0745699318;0.2014057071;0.359567119;0.4204851732;0.4462538043;0.3204391608;0.2239142538;0.189207115;0.1913250345;0.2193374772;0.1908196029;0.181304969;0.1752582049;0.190972832;0.2252961859;0.2341375422;0.2458210982;0.2340985459;0.2210569498;0.207816147;0.2351274788
Australia Northern Territory;245869;1419630;3;1.2201619562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0.1362193665;0.235930917;
Australia Queensland;5095100;1851736;221;4.337500736;;;;;;;;;;;;;;;0.0392898776;0;0.0932651139;0.1442496849;0.189207115;0.1701736597;0.1066819197;0.0573712634;0.0173978273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0608783473;0.1127795715;0.1582921853;0.1791707147;0.1301914649;0.1106700273;0.0819557268;0.076878366;0.0723968774;0.0528102459;0.0672345548;0.0796992896;0.0905888023;0.1492068393;0.2043980234;0.2793904915;0.3179608623;0.2889238816;0.2415735929;0.2213768513;0.2461450611;0.2761464002;0.2010869565
Australia South Australia;1751693;1044353;67;3.8248711389;;;;;;;;;;;;;;;;;;0.0466351394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0392898776;0.0745699318;0.1066819197;0.1066819197;0.119627769;0.1290504322;0.1723346544;0.2053905237;0.175456745;0.1273765203;0.0542475328;0.0489228801;0.0445522731;0.1280150799;0.2031183354;0.2435370047;0.2842282703;0.2307048764;0.2121817249;0.1837643767;0.1736002663;0.1948836826;0.34
Australia Tasmania;534281;90758;16;2.9946788301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0745699318;0.1362193665;0.189207115;0.235930917;0.189207115;0.2178832856;0.2132436459;0.2295763059;0.2247448714;0.1612061509;0.1656467908;0.1397535285;0.1362193665;0.1582921853;
