Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21
25 S.E. Asia;642976569;5498440;3178;0.4942637342;;0;0;0;0;2;2;5;5;5;5;6;6;6;6;6;7;12;17;21;24;35;38;44;53;60;62;64;79;85;92;95;113;121;129;133;136;146;155;163;168;173;177;181;182;185;185;191;193;198;203;203;200;222;229;233;256;271;293;320;372
26 AU / NZ;30322117;7945610;1123;3.7035672674;;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;5;5;6;9;9;12;12;12;13;13;14;15;15;15;15;15;15;15;15;15;14;14;14;13;21;21;21;21;21;21;21;21;23;23;25;28;35;49;52;57;61
27 Pacific Ocean;1462851;40210;20;1.3671932411;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3 ME/Africa;1546637756;28414278;25450;1.6455048961;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;5;5;5;4;4;4;4;4;4;4;53;54;80;131;183;299;300;562;749;928;1686;2153;2426;2786;3071;3082;3102;3112;4759;4789;5617;5648;6010;7070;8062
31 MENA;526745694;10157840;24821;4.7121410356;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;5;5;5;4;4;4;4;4;4;4;53;54;80;131;183;299;300;562;749;928;1686;2152;2425;2785;3070;3081;3101;3111;4758;4787;5614;5644;6006;7065;8049
32 SSa Africa;1019892062;18256438;629;0.061673193;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;3;4;4;5;13
Afghanistan;38928346;652860;24;0.0616517332;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
Albania;2877797;27400;76;2.6409090009;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Algeria;43851044;2381740;139;0.3169821909;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;8;12;12;12;12;12;32;32;32
Andorra;77265;470;88;113.8937423154;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1
