Country/Region;Population;Maximum;Population Percentage;CDGR per day;Comments;Day 1;Day 2;Day 3;Day 4;Day 5;Day 6;Day 7;Day 8;Day 9;Day 10;Day 11;Day 12;Day 13;Day 14;Day 15;Day 16;Day 17;Day 18;Day 19;Day 20;Day 21;Day 22;Day 23;Day 24;Day 25;Day 26;Day 27;Day 28;Day 29;Day 30;Day 31;Day 32;Day 33;Day 34;Day 35;Day 36;Day 37;Day 38;Day 39;Day 40;Day 41;Day 42;Day 43;Day 44;Day 45;Day 46;Day 47;Day 48;Day 49;Day 50;Day 51;Day 52;Day 53;Day 54;Day 55;Day 56;Day 57
US New Hampshire;1359711;26;1.91217E-05;0.26557006;;5;6;6;7;13;17;26;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US New Jersey;8882190;267;3.00602E-05;0.433185812;;15;23;29;29;69;98;178;267;267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US New Mexico;2096829;23;1.09689E-05;0.289613701;;5;10;10;13;17;23;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US New York;19453561;2495;0.000128254;0.395976334;;173;220;328;421;525;732;967;1706;2495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US North Carolina;10488084;70;6.6742E-06;0.333521432;;7;7;15;17;24;33;38;64;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US North Dakota;762062;6;7.8734E-06;0;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Ohio;11689100;86;7.3573E-06;0.606650479;;5;13;26;37;50;67;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Oklahoma;3956971;19;4.8017E-06;0.394928199;;7;10;19;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Oregon;4217737;68;1.61224E-05;0.207959036;;15;19;24;30;32;36;39;66;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Pennsylvania;12801989;152;1.18732E-05;0.373513058;;12;16;22;41;47;66;77;112;152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Puerto Rico;3193694;5;1.5656E-06;0;;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Rhode Island;1059361;33;3.11509E-05;0.309416186;;5;5;14;20;20;21;23;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US South Carolina;5148714;47;9.1285E-06;0.268746851;;7;10;12;13;19;28;33;47;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US South Dakota;884659;11;1.24342E-05;0.046544087;;8;8;8;9;9;10;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Tennessee;6829174;79;0.000011568;0.353836228;;7;9;18;26;32;39;52;74;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Texas;28995881;173;5.9664E-06;0.382015277;;13;21;27;43;57;72;85;110;173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Utah;3205958;51;1.59079E-05;0.472651651;;5;9;10;28;39;51;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Vermont;623989;18;2.88467E-05;0.377449308;;5;8;12;12;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Virgin Islands;104425;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Virginia;8535519;77;9.0211E-06;0.349503719;;7;9;17;30;41;45;49;67;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Washington;7614893;1076;0.000141302;0.181519345;;267;366;442;568;572;643;904;1076;1014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US West Virginia;1792147;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Wisconsin;5822434;92;0.000015801;0.476986936;;6;8;19;27;32;47;72;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Wyoming;578759;15;2.59175E-05;0.363636364;;11;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
