Country/Region;Population;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17
Austria;9006398;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;9;14;18;21
Belgium;11589623;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;8;13
Canada;37742154;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;4;4;4;4;4;5;5;7;7;7;7;7;7;7;7;7;7;8;8;8;8;9;9;9;10;11;11;13;14;20;24;27;30
China;1439323776;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;548;643;920;1406;2075;2877;5509;6087;8141;9802;11891;16630;19716;23707;27440;30587;34110;36814;39829;42354;44386;44759;59895;66358;68413;70513;72434;74211;74619;75077;75550;77001;77022;77241;77754;78166;78600;78928;79356;79932;80136;80261
France;65273511;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3;4;5;5;5;6;6;6;6;6;6;6;11;11;11;11;11;11;11;12;12;12;12;12;12;12;12;12;12;14;18;38;57;100;130;191;204
Germany;83783942;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;4;4;5;8;10;12;12;12;12;13;13;14;14;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;27;46;48;79;130;159;196
India;1380004385;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5
Iran;83992949;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;18;28;43;61;95;139;245;388;593;978;1501;2336
Italy;60461826;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;20;62;155;229;322;453;655;888;1128;1694;2036;2502
Korea, South;51269185;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;3;4;4;4;4;11;12;15;15;16;19;23;24;24;25;27;28;28;28;28;28;29;30;31;31;104;204;433;602;833;977;1261;1766;2337;3150;3736;4335;5186
Spain;46754778;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;13;15;32;45;84;120;165
Sweden;10099265;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;7;7;12;14;15;21
Switzerland;8654622;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;8;18;27;42;56
US;331002651;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
United Kingdom;67886011;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;3;3;3;8;8;9;9;9;9;9;9;9;9;9;9;9;9;13;13;13;15;20;23;36;40;51
