Country/Region;Population;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16
China Jiangsu;78659903;;0;0;0;1;0;0;0;0;0;4;1;1;1;4;11;11;9;8;20;10;12;32;14;18;29;32;40;22;38;38;17;28;17;34;6;20;20;17;8;13;7;19;15;6;11;12;6;9;6;0;2;1;0;1;0
China Jiangxi;44567475;;0;0;0;0;0;2;1;0;2;2;2;3;6;2;7;10;8;10;18;32;23;24;18;17;23;30;35;35;52;71;56;66;58;32;38;36;35;36;21;20;19;20;14;17;8;7;3;4;4;5;2;0;0;0;0
China Jilin;27462297;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;8;1;5;4;2;1;1;4;4;2;1;6;2;7;2;6;3;2;2;6;2;3;5;0;3;2;2;0;0;1;0;0;0;0;0;0;1
China Liaoning;43746323;;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;1;2;1;4;1;6;1;2;7;2;9;3;10;2;4;2;5;7;7;3;5;5;0;3;7;0;3;0;0;0;1;2;0;2;0;1;0;1;1;1
China Macau;552300;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;2;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
China Ningxia;6301350;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;10;-2;0;9;2;0;0;9;0;2;7;0;2;4;0;8;2;3;4;3;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;2
China Qinghai;5626722;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;4;2;0;2;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China Shaanxi;37327378;;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;3;8;3;5;5;2;11;3;8;6;11;8;10;13;16;16;15;14;10;13;6;3;4;8;1;8;0;7;1;2;0;1;0;0;5;0;0;0;0;1
China Shandong;95793065;;0;0;0;0;0;0;0;1;0;1;1;3;1;4;4;12;10;7;19;3;14;12;13;31;20;17;18;20;20;23;27;21;19;22;12;22;10;18;16;22;17;51;5;62;40;9;15;58;19;7;8;5;2;0;5
China Shanghai;23019148;;0;0;1;0;0;2;1;1;0;4;1;0;0;2;3;10;5;11;3;4;4;5;5;28;34;16;21;16;9;13;12;16;22;12;7;4;4;3;8;3;2;2;4;5;3;7;1;1;4;1;1;3;0;0;1
