Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08
US Montana;1068778;376962;188846;17669.3382535943;38.6267130292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;11;11;15;21;35;56;108;110;205;311;509;773;947;1166;1177;1180;1689;2001;2199;2698;3385;4297;4314;4418;4918;5320;5576;6177;6603;6790;6985;7398;7860;8297;8581;8913;9098;9234;9583;9936;10244;10569;10898;11051;11241;11583;11875;12127;12497;12862;13033;13191;13528;13914;14203;14635;15007;15088;15272;19704;20247;20945;21329;21704;22572;23035;23852;24549;25418;26091;26885;28167;28950;29726;30524;31857;32652;33381;33682;33834;35643;36793;38529;39284;39798;40657;42212;43448;44642;45888;46754;47378;51592;53184;54616;55777;57022;58004;58907;60937;63577;65515;66870;68422;69530;70357;71305;73923;75066;78332;80161;81247;82474;88743;90861;93330;95149;97503;98950;100106;102926;105327;106421;108765;112178;113359;114661;118695;121396;123758;127840;130404;131879;133159;139042;141002;143518;146218;149200;151015;152315;158655;161408;165355;168616;169970;171553;174295;179508;181236;183124;185815;187756;188846
US Nebraska;1934408;198974;297538;15381.3466445548;10.5870338742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;17;18;18;39;50;52;90;93;94;97;188;227;230;267;272;394;404;406;1027;1365;1657;1846;2000;2076;2729;3103;3685;4224;4766;5379;5921;6787;7258;7961;8683;9354;9985;10691;10972;11357;11729;12294;13104;13677;14575;15680;16372;16679;17360;18612;19973;21228;22363;23605;23631;25321;27385;29348;31262;33754;34609;36128;37758;40412;42976;45569;46239;47943;49725;53341;57215;59978;65640;67501;69984;72135;75640;78419;79982;83205;85732;88042;90421;92980;94803;99008;101142;103665;106418;109966;112255;114822;117547;119769;121407;122692;125162;127662;130773;134377;136115;137755;139513;142387;144813;147846;151854;154241;156508;158642;161301;163170;165002;168598;172798;175272;178157;180608;182662;184134;187588;189928;191740;193073;195048;197835;201014;203854;208103;211659;216235;219743;223229;226196;231151;232401;234896;238441;242621;245573;249074;252605;255464;258827;261103;264033;266893;270956;275259;277243;281106;283859;287105;290181;293902;297538
US Nevada;3080156;284332;513019;16655.6174427529;9.2570959418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;15;15;15;15;15;173;175;179;188;189;213;223;223;1721;2101;2508;2638;3735;4232;4572;5117;6696;8522;9150;11215;11794;12798;14046;14532;16163;16831;17629;18639;20566;21771;22749;23587;24611;25464;26661;27655;28451;29762;30751;31598;32347;33055;33888;34749;36192;37208;38186;38813;40119;41028;41986;43595;44387;45269;46166;47884;49275;51357;53344;56111;58809;60084;64075;66672;69484;72146;73664;80637;81832;87555;91171;94382;99941;107047;110281;114731;123367;128559;131190;134416;138532;142560;146783;152091;156255;161423;166107;171771;175697;180003;183589;187323;193254;199447;204880;210611;216434;222474;227610;230796;234360;238963;241691;244065;248526;252387;255550;258662;263026;267580;273017;277568;284096;284728;293685;301229;307697;311481;316546;323653;329778;335491;341233;347556;353193;360180;364425;370843;377007;382537;389788;395421;398822;404308;414136;421871;430521;438931;444679;450886;457385;463645;469903;474220;482119;484866;489087;491117;500195;506998;513019
US New Hampshire;1359711;23187;171251;12594.6616597203;25.1174831329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;18;22;22;42;42;42;42;100;100;219;284;284;372;539;660;789;1028;1253;1452;1548;2464;3138;3553;3843;4738;5700;5727;6400;6493;7054;7505;8032;8370;8734;9177;9551;9958;10493;10925;11207;11610;12166;12166;12708;12852;13424;14118;14339;15041;16012;16809;17727;18751;19724;20145;20746;21921;22049;24349;28393;26870;26870;27733;28806;30672;32298;33453;34883;35561;37216;39175;42612;42676;44752;44878;49474;50888;52830;55100;59539;59539;61386;63039;64232;65596;66862;68960;70280;72456;74344;75739;75965;79765;84009;84009;85552;87123;88647;89907;91917;93956;96421;98873;98873;100086;101984;103725;105567;105885;108862;108876;110053;111566;114768;114768;116109;118298;118298;119169;120307;122187;123749;123749;125235;127880;128511;129628;131051;132302;133389;134866;136028;137109;138272;141786;141786;143378;143378;144822;145538;146879;149792;152290;153609;153609;156083;156083;157397;158309;160962;160962;162622;164836;165976;167407;168465;171251
US New Jersey;8882190;19047;2252792;25363.0242091196;12.2149553487;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;37;46;59;81;104;147;147;218;298;430;617;952;1154;1621;2241;3203;12000;14854;20537;25372;30510;35602;41860;45773;52642;59110;67503;75356;82166;89032;94974;100416;107192;113523;120193;126735;129469;139774;144021;151830;157449;162536;170688;178057;184826;191659;200148;205962;213686;223144;227775;234359;241318;247918;256545;262312;275066;277220;287623;288920;292658;298759;305206;312447;425933;433060;441450;451696;462972;475224;487565;505569;520182;531343;544274;555314;578735;603807;623797;635892;660325;685857;716411;745308;746145;795600;817677;837420;857729;918891;943016;960425;975089;989497;1008934;1030793;1055396;1078215;1097616;1116083;1131782;1147841;1171734;1194343;1218873;1244967;1267399;1283451;1299645;1320910;1346672;1367250;1387833;1403984;1422374;1442937;1463913;1485501;1508548;1534640;1549209;1560133;1577848;1599417;1623158;1661284;1685604;1700385;1721231;1742347;1759904;1768928;1781450;1791137;1802874;1817955;1840929;1859638;1887644;1888157;1953289;1983841;1984304;2042682;2059564;2096329;2096698;2145878;2164580;2164936;2187018;2230245;2252792;2252792
US New Mexico;2096829;314161;612854;29227.6575724582;27.9013885727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;48;48;57;69;90;160;200;247;495;583;1272;2354;2797;3814;3828;4779;5386;5973;6842;7793;8513;9387;11006;11179;12527;13240;14011;14778;15632;16828;19136;21825;22245;23807;27098;27098;28692;30515;31970;32850;33394;34488;35613;36632;37042;38755;40877;41232;46563;51510;53735;56615;58803;61745;65085;67869;71118;74944;77977;81720;83251;85684;89032;93262;97053;102498;106721;110289;115011;119601;124458;128584;133253;137620;142246;147344;152767;158383;169119;173481;177361;180646;179543;183544;188261;194447;199604;203115;206837;212996;217757;224640;229147;234375;238801;241657;245557;255284;255284;258994;263665;267921;271553;275897;280175;284602;293431;293431;298076;302083;308105;314670;320638;322959;331048;337720;344181;350060;356637;363374;372288;375054;380240;385242;389687;395881;403581;410754;418357;424355;430006;437005;443368;452298;460664;469215;476497;481531;489334;496985;505177;512425;520718;528890;536853;544611;551637;558012;565886;574253;577810;590825;597408;604382;612854
US New York;19453561;122057;6443832;33124.1771108128;15.329864754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;98;125;168;197;234;265;308;308;3200;3303;5272;5493;7206;14597;22284;32427;45437;61401;78289;91270;103479;122104;145753;155934;172360;186468;205186;220880;238965;260520;283621;302280;320811;340058;365153;391549;417885;440980;461601;478357;499143;526012;550579;573223;596532;617555;633861;649325;669982;695920;730656;777568;805350;826095;844994;872481;900636;927438;959071;985911;1007310;1028899;1055921;1089916;1121543;1153768;1182998;1204651;1225113;1258907;1298757;1338048;1378717;1413396;1439557;1467739;1505836;1555055;1600793;1652061;1699826;1739449;1774128;1811544;1876789;1944130;2005381;2063825;2113777;2167831;2229473;2293032;2359512;2437407;2497842;2555896;2605869;2668166;2729005;2801400;2872240;2934599;2991210;3051778;3111119;3179660;3258963;3327793;3395319;3452099;3500808;3551952;3619594;3681317;3754579;3816485;3862913;3914938;3971648;4041593;4107985;4170388;4233803;4288131;4344867;4402452;4468016;4541574;4610777;4673195;4724882;4784927;4848525;4921210;4999449;5069266;5115470;5164812;5230981;5298640;5368338;5444845;5516311;5569879;5627149;5684546;5746822;5820368;5889237;5971974;6030935;6082774;6153767;6226435;6298805;6368975;6443832
US North Carolina;10488084;125920;1969766;18780.9899310494;14.6161939955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;2;2;7;7;72;101;160;259;329;514;1850;2505;3233;5276;6438;8438;8539;10489;12910;15136;17527;18945;20864;23106;26243;28679;31598;38773;40045;40726;41082;42987;47809;57645;60393;62139;63388;65039;67827;70917;72981;76211;78772;79484;83331;90336;96185;100584;105265;107894;109920;112752;118440;128036;133832;139475;143835;146439;151800;164482;171328;178613;186362;192135;195865;202244;210457;219268;231547;238586;248944;255755;265008;277603;290645;303224;329582;336656;344690;352331;364156;375192;391231;404157;416289;421908;434921;449263;468302;482147;497350;511226;520113;535711;553650;572677;595697;611690;627130;638479;651421;667422;693678;712313;731341;745775;757345;773828;791285;811278;836725;855131;871905;886305;910033;942238;971120;999293;1018296;1036838;1051846;1071290;1096682;1121811;1150612;1176058;1199575;1220486;1254846;1284637;1312757;1343974;1379143;1394864;1423888;1458997;1491820;1523675;1550297;1579042;1613385;1635476;1663540;1691434;1724924;1757102;1786412;1813510;1837410;1854026;1873668;1904750;1939812;1969766
US North Dakota;762062;178711;167367;21962.3862625351;22.2918220565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;6;7;13;40;55;96;124;223;274;508;820;1169;1288;1383;1488;1773;2091;2492;2892;3453;3837;4257;4493;4980;5798;6207;6787;7213;7703;8552;8990;9608;10080;10350;10781;10916;11317;11704;12342;12963;13630;14747;14987;15589;16330;17449;19350;20717;22434;23723;25536;27460;29525;31547;33353;34754;36421;38632;40867;42501;43933;44869;47014;47832;48945;50246;51715;53487;55221;56561;57731;59200;61279;62830;64148;65488;66350;66854;67340;68254;69453;70981;72040;73301;73644;74502;75744;76856;78880;79933;80180;80666;81660;82788;84164;85873;86880;87776;88651;89674;90654;92606;94231;96173;97453;97553;98689;99444;100886;102519;103925;105691;106122;107226;108195;110574;111928;113128;113582;114357;115839;117849;119596;120851;122479;123878;125033;126564;128056;129475;131515;133854;135978;137293;139266;140816;142708;144260;146479;148366;150046;151083;151861;153964;156185;156185;158751;160470;162014;163719;165701;167367
US Ohio;11689100;105829;1644493;14068.6023731511;16.4500295091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;8;9;10;14;17;25;35;63;63;175;190;207;228;259;309;387;491;582;704;14764;17316;20149;20418;20665;27275;29191;29539;34918;38375;41871;43756;48378;50838;53341;55985;58573;60471;63243;65112;68001;71552;74840;77926;79041;87299;90839;94714;98506;102877;107697;111983;116386;120017;123347;128908;133890;140506;145819;150166;155155;160735;168929;176059;184316;196670;204862;210530;217731;225854;233352;246182;246702;264462;271849;277602;289528;299078;307800;316494;324553;330334;339400;349725;360012;369890;381947;390908;398066;409908;426105;437251;446195;458526;469024;476818;490390;501884;512583;523718;538898;546220;557168;568133;584563;600024;616036;629965;643221;659601;670437;680687;699630;721552;744839;756765;774382;787929;792005;793306;828157;848370;868762;881412;896485;915252;916402;959553;983035;1006386;1024751;1043749;1062623;1088793;1116124;1138436;1162914;1181912;1200023;1221595;1245026;1267628;1293822;1326431;1344098;1398733;1420837;1446472;1468334;1492903;1517546;1535543;1555812;1574613;1598039;1623095;1644493
