country;WBK Y2016;WBK Y2017;WBK Y2018;WBK Y2019;WBK Y2020;WBK Y2021;IMF Y2019;IMF Y2020;IMF Y2021;IMF Y2022;IMF Y2023;IMF Y2024;IMF Y2025;IMF Y2026;Delta Y2019;Delta Y2020;Delta Y2021
Saudi Arabia;1.7;-0.7;2.2;1.7;3.1;2.3;;;2.9;4;2.8;2.8;2.8;2.8;;;0.6
Senegal;6.2;7.2;6.8;6.8;7;7;;;5.2;6;11.5;8.6;6;6.5;;;-1.8
Serbia;3.3;2;4.3;3.5;4;4;;;5;4.5;4;4;4;4;;;1
Seychelles;4.5;5.3;3.6;3.4;3;3.2;;;1.8;4.3;4.2;3.8;3.7;3.5;;;-1.4
Sierra Leone;6.4;3.8;3.7;5.4;5.4;5.2;;;3;3.6;3.8;5;5.1;4.8;;;-2.2
Singapore;;;;;;;1.3;-5.4;5.2;3.2;2.7;2.6;2.5;2.5;;;
Slovak Republic;;;;;;;2.3;-5.2;4.7;4.4;3.8;3.1;3;2.5;;;
Slovenia;;;;;;;3.2;-5.5;3.7;4.5;3.6;3.1;2.7;2.5;;;
Solomon Islands;3.3;3;3.5;2.9;2.8;2.7;;;1.5;4.5;4.3;3.3;3;2.9;;;-1.2
Somalia;;;;;;;2.9;-1.5;2.9;3.2;3.4;3.6;3.9;4.3;;;
South Africa;0.6;1.4;0.8;1.1;1.5;1.7;;;3.1;2;1.4;1.3;1.3;1.3;;;1.4
South Asia (SAR);8.1;6.7;7;6.9;7;7.1;;;;;;;;;;;
South Sudan;;;;;;;0.9;-6.6;5.3;6.5;5.6;4.6;4.6;4.4;;;
Spain;;;;;;;2;-11;6.4;4.7;2.8;2.4;1.4;1.4;;;
Sri Lanka;4.5;3.3;3.2;3.5;3.6;3.7;;;4;4.1;4.1;4.2;4.2;4.2;;;0.3
St. Kitts and Nevis;;;;;;;2.8;-18.6;-2;10;8;5.5;2.7;2.7;;;
St. Lucia;3.9;3.7;1.5;3.4;3.5;2.4;;;3.1;10.7;3.2;2.4;1.8;1.4;;;0.7
St. Vincent and the Grenadines;1.3;0.7;2;2.1;2.3;2.3;;;-0.1;4.9;3.3;3.1;2.7;2.7;;;-2.4
Sub-Saharan Africa (SSA);1.3;2.6;2.5;2.9;3.3;3.5;;;;;;;;;;;
Sudan;4.7;4.3;-2.3;-1.9;-1.3;-0.8;;;0.4;1.1;2.6;3.6;4.3;4.4;;;1.2
Suriname;-5.6;1.4;2;2;2.1;2.1;;;0.7;1.5;2;1.7;1.3;1;;;-1.4
Sweden;;;;;;;1.4;-2.8;3.1;3;2.3;2.1;2;2;;;
Switzerland;;;;;;;1.1;-3;3.5;2.8;1.4;1.8;1.2;1.8;;;
São Tomé and Príncipe;;;;;;;1.3;-6.5;3;5;4.2;4.5;4.5;4.5;;;
Taiwan Province of China;;;;;;;3;3.1;4.7;3;2.5;2.3;2;2.1;;;
Tajikistan;6.9;7.1;7.3;6;6;6;;;5;4.5;4;4;4;4;;;-1
