Year;Country
1960;Soviet Union
1964;Spain
1968;Italy
1972;Germany
1976;Czechoslovakia
1980;Germany
1984;France
1988;Netherlands
1992;Denmark
1996;Germany
2000;France
2004;Greece
2008;Spain
2012;Spain
2016;Portugal
2020;Italy
