#;Company;Symbol;Weight sp500;      Price;Chg;% Chg
83;Starbucks Corporation;SBUX;0.275897;  89.57;-0.03;(-0.03%)
84;Intuitive Surgical Inc.;ISRG;0.269333;  290.49;0.38;(0.13%)
85;Altria Group Inc;MO;0.254059;  51.68;0.00;(0.00%)
86;Zoetis Inc. Class A;ZTS;0.2453;  198.51;2.61;(1.33%)
87;Chubb Limited;CB;0.243395;  211.51;0.00;(0.00%)
88;Automatic Data Processing Inc.;ADP;0.241858;  214.11;-0.58;(-0.27%)
89;Micron Technology Inc.;MU;0.241062;  79.55;0.14;(0.18%)
90;Booking Holdings Inc.;BKNG;0.237151;  2,186.36;0.05;(0.00%)
91;Stryker Corporation;SYK;0.236761;  267.34;0.00;(0.00%)
92;CME Group Inc. Class A;CME;0.236359;  249.13;-0.47;(-0.19%)
93;Mondelez International Inc. Class A;MDLZ;0.232589;  61.51;0.00;(0.00%)
94;Analog Devices Inc.;ADI;0.229956;  164.00;0.55;(0.34%)
95;3M Company;MMM;0.227712;  148.32;0.00;(0.00%)
96;Duke Energy Corporation;DUK;0.218933;  105.01;-0.04;(-0.04%)
97;PNC Financial Services Group Inc.;PNC;0.218382;  192.97;0.00;(0.00%)
98;Marsh & McLennan Companies Inc.;MMC;0.217685;  162.33;0.00;(0.00%)
99;CSX Corporation;CSX;0.215501;  36.02;-0.29;(-0.80%)
100;Cigna Corporation;CI;0.215016;  241.16;0.00;(0.00%)
101;Truist Financial Corporation;TFC;0.20987;  58.50;-0.06;(-0.10%)
102;Crown Castle International Corp;CCI;0.204336;  174.88;0.00;(0.00%)
103;U.S. Bancorp;USB;0.204232;  56.44;-0.09;(-0.16%)
104;T-Mobile US Inc.;TMUS;0.2021;  127.51;0.33;(0.26%)
105;Becton Dickinson and Company;BDX;0.201305;  262.04;0.00;(0.00%)
106;Intercontinental Exchange Inc.;ICE;0.201037;  136.59;-0.31;(-0.23%)
107;TJX Companies Inc;TJX;0.200706;  62.70;0.26;(0.42%)
108;Lam Research Corporation;LRCX;0.19834;  545.00;0.36;(0.07%)
109;Gilead Sciences Inc.;GILD;0.198333;  59.42;0.00;(0.00%)
110;Southern Company;SO;0.193548;  68.03;0.00;(0.00%)
111;Regeneron Pharmaceuticals Inc.;REGN;0.192469;  685.94;0.00;(0.00%)
112;Charter Communications Inc. Class A;CHTR;0.191252;  577.31;-0.01;(-0.00%)
113;Freeport-McMoRan Inc.;FCX;0.190663;  48.08;0.00;(0.00%)
114;Edwards Lifesciences Corporation;EW;0.187443;  112.77;0.00;(0.00%)
115;Aon Plc Class A;AON;0.186297;  318.38;0.00;(0.00%)
116;EOG Resources Inc.;EOG;0.183889;  116.56;0.76;(0.66%)
117;Norfolk Southern Corporation;NSC;0.17873;  274.83;0.00;(0.00%)
118;Dominion Energy Inc;D;0.178629;  81.27;0.00;(0.00%)
119;Ford Motor Company;F;0.173839;  16.86;0.00;(0.00%)
120;Equinix Inc.;EQIX;0.172656;  732.26;0.00;(0.00%)
121;Progressive Corporation;PGR;0.171245;  111.22;0.00;(0.00%)
122;HCA Healthcare Inc;HCA;0.171119;  261.19;0.51;(0.20%)
123;Northrop Grumman Corporation;NOC;0.171021;  427.95;0.00;(0.00%)
124;Vertex Pharmaceuticals Incorporated;VRTX;0.170115;  248.97;-0.11;(-0.04%)
125;General Motors Company;GM;0.169362;  44.82;0.00;(0.00%)
126;Colgate-Palmolive Company;CL;0.169339;  72.20;0.00;(0.00%)
127;Estee Lauder Companies Inc. Class A;EL;0.168797;  276.87;0.00;(0.00%)
128;Boston Scientific Corporation;BSX;0.168206;  44.22;0.00;(0.00%)
129;Eaton Corp. Plc;ETN;0.164773;  155.34;-0.24;(-0.15%)
130;Activision Blizzard Inc.;ATVI;0.163933;  79.05;0.29;(0.37%)
131;Illinois Tool Works Inc.;ITW;0.161901;  212.33;0.00;(0.00%)
132;Waste Management Inc.;WM;0.160294;  155.67;0.00;(0.00%)
133;Sherwin-Williams Company;SHW;0.159634;  251.53;0.00;(0.00%)
134;Fiserv Inc.;FISV;0.159323;  100.61;0.00;(0.00%)
135;Moderna Inc.;MRNA;0.158885;  179.39;0.46;(0.26%)
136;Capital One Financial Corp;COF;0.156686;  138.21;0.00;(0.00%)
137;Newmont Corporation;NEM;0.156552;  74.40;0.44;(0.59%)
138;Fidelity National Information Services Inc.;FIS;0.155174;  95.82;0.00;(0.00%)
139;Emerson Electric Co.;EMR;0.15253;  97.10;0.10;(0.10%)
140;Humana Inc.;HUM;0.151401;  440.61;0.00;(0.00%)
141;FedEx Corporation;FDX;0.149119;  218.65;-0.26;(-0.12%)
142;Public Storage;PSA;0.148932;  365.71;0.00;(0.00%)
143;Schlumberger NV;SLB;0.147628;  39.90;0.17;(0.43%)
144;Pioneer Natural Resources Company;PXD;0.146315;  240.59;0.73;(0.30%)
145;KLA Corporation;KLAC;0.143085;  365.05;0.00;(0.00%)
146;General Dynamics Corporation;GD;0.142183;  230.23;0.00;(0.00%)
147;Illumina Inc.;ILMN;0.141558;  347.99;1.88;(0.54%)
148;Moody's Corporation;MCO;0.139269;  331.23;0.00;(0.00%)
149;Dollar General Corporation;DG;0.138544;  229.63;0.00;(0.00%)
150;Occidental Petroleum Corporation;OXY;0.137504;  56.24;0.00;(0.00%)
151;Centene Corporation;CNC;0.137065;  87.74;0.00;(0.00%)
152;American International Group Inc.;AIG;0.135429;  61.24;0.21;(0.34%)
153;Air Products and Chemicals Inc.;APD;0.135199;  231.67;0.00;(0.00%)
154;NXP Semiconductors NV;NXPI;0.134457;  192.75;0.33;(0.17%)
155;Sempra Energy;SRE;0.132246;  156.29;0.00;(0.00%)
156;L3Harris Technologies Inc;LHX;0.130678;  246.45;0.00;(0.00%)
157;MetLife Inc.;MET;0.130446;  68.45;0.00;(0.00%)
158;Roper Technologies Inc.;ROP;0.130148;  468.54;0.00;(0.00%)
159;Cognizant Technology Solutions Corporation Class A;CTSH;0.127214;  91.95;0.23;(0.25%)
160;Marathon Petroleum Corporation;MPC;0.127112;  78.38;0.06;(0.08%)
161;American Electric Power Company Inc.;AEP;0.126944;  93.97;-0.10;(-0.11%)
162;O'Reilly Automotive Inc.;ORLY;0.126457;  689.98;0.00;(0.00%)
163;Archer-Daniels-Midland Company;ADM;0.125221;  83.98;0.00;(0.00%)
164;Marriott International Inc. Class A;MAR;0.125182;  171.25;0.06;(0.04%)
165;Autodesk Inc.;ADSK;0.124434;  215.00;1.70;(0.80%)
166;Dow Inc.;DOW;0.124389;  62.34;-0.05;(-0.08%)
167;Synopsys Inc.;SNPS;0.123973;  318.21;0.00;(0.00%)
168;Johnson Controls International plc;JCI;0.123474;  65.93;0.32;(0.49%)
169;Amphenol Corporation Class A;APH;0.121355;  76.74;0.00;(0.00%)
170;McKesson Corporation;MCK;0.120509;  299.05;0.00;(0.00%)
171;IDEXX Laboratories Inc.;IDXX;0.119832;  542.46;0.00;(0.00%)
172;Travelers Companies Inc.;TRV;0.119161;  180.31;0.00;(0.00%)
173;DexCom Inc.;DXCM;0.117533;  469.61;1.56;(0.33%)
174;Chipotle Mexican Grill Inc.;CMG;0.11716;  1,587.73;0.00;(0.00%)
175;Prudential Financial Inc.;PRU;0.116759;  115.80;0.57;(0.49%)
176;TE Connectivity Ltd.;TEL;0.116277;  133.84;0.00;(0.00%)
177;Simon Property Group Inc.;SPG;0.115608;  130.84;0.00;(0.00%)
178;IQVIA Holdings Inc;IQV;0.114287;  227.66;0.00;(0.00%)
179;Ecolab Inc.;ECL;0.114159;  171.14;0.00;(0.00%)
180;Exelon Corporation;EXC;0.113529;  43.21;-0.04;(-0.09%)
181;Cadence Design Systems Inc.;CDNS;0.113369;  159.08;0.21;(0.13%)
182;Hilton Worldwide Holdings Inc;HLT;0.112552;  151.79;0.00;(0.00%)
183;Microchip Technology Incorporated;MCHP;0.112031;  77.29;0.00;(0.00%)
184;Agilent Technologies Inc.;A;0.110945;  139.12;0.00;(0.00%)
185;Fortinet Inc.;FTNT;0.109937;  321.30;1.33;(0.42%)
186;MSCI Inc. Class A;MSCI;0.109787;  520.34;0.00;(0.00%)
187;Corteva Inc;CTVA;0.109471;  55.86;0.01;(0.02%)
188;Carrier Global Corp.;CARR;0.109249;  47.68;-0.10;(-0.21%)
189;AutoZone Inc.;AZO;0.109226;  1,952.75;0.00;(0.00%)
190;Kimberly-Clark Corporation;KMB;0.109198;  120.85;0.00;(0.00%)
191;Sysco Corporation;SYY;0.108999;  80.76;-0.48;(-0.59%)
192;Paychex Inc.;PAYX;0.107488;  128.00;-0.13;(-0.10%)
193;Welltower Inc.;WELL;0.107221;  92.52;0.35;(0.38%)
194;Bank of New York Mellon Corporation;BK;0.10677;  52.30;0.00;(0.00%)
