Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24
US Louisiana;4648794;111898;316036;6798.2362737519;8.502676962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;5;6;12;43;51;73;160;246;303;423;575;805;1041;2760;3498;5948;8603;11451;18029;21359;25161;27871;34033;38967;45776;51086;53645;58498;60325;69166;74655;81406;86919;92280;96915;104045;108091;118422;121928;126586;131987;137999;135348;136111;136442;136846;137513;138112;139002;143036;146989;151108;156568;161309;168251;172858;176160;180931;188231;194672;200767;202416;212157;215872;220830;228012;237904;247588;253189;259742;265170;269748;278073;285970;305381;311808;314447;316036
US Maine;1344212;79883;37505;2790.1104885241;18.2506082725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;20;42;66;94;94;94;781;1335;1713;2057;2321;2337;2353;2898;3139;3326;3549;3562;3605;3647;3669;6391;6432;6464;6520;6544;6558;6587;6607;6625;6648;6674;6704;6721;12306;12342;14846;14872;14903;14923;14943;14951;14964;17691;17721;17749;17774;17799;17807;17824;20602;20641;20669;20698;20731;20751;20772;23346;23422;23466;23500;23528;23554;23569;23607;23657;23695;23740;23779;23805;23833;37269;37327;37398;37463;37505
US Maryland;6045680;25142;240362;3975.7645128422;5.1899466672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;29;44;55;78;95;103;106;111;120;125;131;151;179;201;243;284;338;382;443;517;674;868;12508;13593;14729;16528;19218;21221;23690;25610;28337;29617;31627;38462;41529;44448;47238;49764;51751;53733;55763;58843;62009;65370;67891;71397;73635;76529;80100;84716;89123;96665;104976;107785;110929;114359;120983;125522;132794;136995;140103;144012;148600;152187;156028;159931;164780;169503;173574;178454;182826;190175;194926;201506;208658;215330;220233;227902;232327;240362
US Massachusetts;6892503;20202;532373;7723.9429565718;5.744515781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;23;38;648;1296;1751;2271;3147;4109;5225;6023;8941;13774;19818;23645;29395;35073;39090;42819;46961;51764;56634;62988;68828;71967;76459;81374;87541;94989;102442;108881;116844;122294;126929;132760;142590;152320;162131;169115;177462;184612;189702;204316;215213;226845;236100;244887;254500;265618;275647;289636;298994;314646;324268;333349;339639;351632;366023;376537;388389;394728;401496;410032;424361;435679;448089;460826;460826;476940;489953;501486;511644;520986;532373
US Michigan;9986857;146435;471784;4724.0488173607;8.6282485049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;18;34;52;80;106;146;194;290;397;554;793;1078;1401;1685;2205;3019;4128;5177;6773;8239;8810;10486;12237;14597;18072;21298;23470;25686;32084;35854;40125;44485;48922;53800;57898;61970;65373;66139;67054;72044;76014;79437;82644;86226;89697;94286;98959;99727;109661;113798;117226;118225;128321;136296;144044;151006;157760;164805;172352;180267;190505;201709;212532;222389;222836;233231;247062;260253;273486;285678;298948;307890;308260;335883;357496;357921;396958;410178;422904;437072;454740;471784;450918;451232
US Minnesota;5639632;206232;197964;3510.2290362208;9.6225149468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;49;49;82;135;222;316;555;868;1422;1893;2336;2762;3038;3856;4090;4680;4746;5812;11475;12950;14003;16129;17657;18822;19780;21191;22394;24227;25423;26777;28128;29260;30753;32294;33894;35404;37421;38427;39241;40242;41675;43053;44268;45716;46850;47697;49344;51548;53787;56597;58987;61268;63829;66744;70276;74829;79007;82632;85941;88009;93232;97421;101270;106263;111088;115781;120834;122035;128752;134669;143281;150585;156606;161835;167338;173556;180971;189493;197964
US Mississippi;2976149;121531;137973;4635.9574067024;10.4114850589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;20;42;45;90;94;289;389;513;602;775;835;1321;1392;1872;1943;2776;3139;3223;3318;3836;4474;4785;5930;6111;6588;7218;20370;20547;20635;20892;21101;21274;21413;30984;37878;38151;38415;38584;38765;39065;51434;52364;53835;55389;55670;58957;60788;63462;64412;66094;66340;71548;74475;77593;79677;80308;80525;80787;81191;81479;81602;95885;97692;100048;105326;106823;108476;113126;115767;117760;120680;125970;137973;134220;137902
US Missouri;6137428;178040;172946;2817.8904909353;14.4265932599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;1;65;73;94;127;170;215;266;332;416;442;459;552;552;725;871;1038;10920;12385;14235;15941;17427;19683;21470;24905;27249;29835;31969;34110;38494;40740;43172;45200;45428;47978;49012;50648;51717;53759;53909;56013;57120;58156;59450;65207;67218;69748;71106;73503;77159;80687;82425;82744;82976;91451;95066;100747;103622;108721;108898;115546;115620;121296;124142;127110;134458;139340;146255;151338;154110;161984;162092;172946;148304;151619
US Montana;1068778;376962;33381;3123.2865945968;69.6889352818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;11;11;15;21;35;56;108;110;205;311;509;773;947;1166;1177;1180;1689;2001;2199;2698;3385;4297;4314;4418;4918;5320;5576;6177;6603;6790;6985;7398;7860;8297;8581;8913;9098;9234;9583;9936;10244;10569;10898;11051;11241;11583;11875;12127;12497;12862;13033;13191;13528;13914;14203;14635;15007;15088;15272;19704;20247;20945;21329;21704;22572;23035;23852;24549;25418;26091;26885;28167;28950;29726;30524;31857;32652;33381
US Nebraska;1934408;198974;83205;4301.3159581639;6.9401117691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;17;18;18;39;50;52;90;93;94;97;188;227;230;267;272;394;404;406;1027;1365;1657;1846;2000;2076;2729;3103;3685;4224;4766;5379;5921;6787;7258;7961;8683;9354;9985;10691;10972;11357;11729;12294;13104;13677;14575;15680;16372;16679;17360;18612;19973;21228;22363;23605;23631;25321;27385;29348;31262;33754;34609;36128;37758;40412;42976;45569;46239;47943;49725;53341;57215;59978;65640;67501;69984;72135;75640;78419;79982;83205
