Country/Region;Population;Area;Maximum;Per 100,000 inh.;% CDGR;Blank 2;Comments;Day 1;Day 2;Day 3;Day 4;Day 5;Day 6;Day 7;Day 8;Day 9;Day 10;Day 11;Day 12;Day 13;Day 14;Day 15;Day 16;Day 17;Day 18;Day 19;Day 20;Day 21;Day 22;Day 23;Day 24;Day 25;Day 26;Day 27;Day 28;Day 29;Day 30;Day 31;Day 32;Day 33;Day 34;Day 35;Day 36;Day 37;Day 38;Day 39;Day 40;Day 41;Day 42;Day 43;Day 44;Day 45;Day 46;Day 47;Day 48;Day 49;Day 50;Day 51;Day 52;Day 53;Day 54;Day 55;Day 56;Day 57;Day 58;Day 59;Day 60;Day 61;Day 62;Day 63;Day 64;Day 65;Day 66;Day 67;Day 68;Day 69;Day 70;Day 71;Day 72;Day 73;Day 74;Day 75;Day 76;Day 77;Day 78;Day 79;Day 80;Day 81;Day 82;Day 83;Day 84;Day 85;Day 86;Day 87;Day 88;Day 89;Day 90;Day 91;Day 92;Day 93;Day 94;Day 95;Day 96;Day 97;Day 98;Day 99;Day 100;Day 101;Day 102;Day 103;Day 104;Day 105;Day 106;Day 107;Day 108;Day 109;Day 110;Day 111;Day 112;Day 113;Day 114;Day 115;Day 116;Day 117;Day 118;Day 119;Day 120;Day 121;Day 122;Day 123;Day 124
American Samoa;55191;200;0;0;0;;
US Florida;21477737;138887;50867;236.8359385349;0.1062498756;;;32;50;77;116;141;186;314;390;520;658;830;1171;1412;1682;2355;2765;3763;4246;5473;6338;6955;8010;9585;11111;12151;13324;14747;15455;16364;17531;18494;19355;20601;21367;22511;22897;24119;25269;25996;26660;27495;28309;28832;30174;30839;31528;32138;32846;33193;33690;34728;35463;36078;36897;37439;38002;38828;39199;40001;40596;40982;41923;42402;43210;44010.5;44811;45588;46442;46944;47471;48675;49451;50127;50867
US Georgia;10617423;148959;42838;403.4689020113;0.1041297267;;;31;42;66;99;121;146;197;287;420;507;600;772;1026;1247;1525;2001;2366;2651;2809;3929;4638;5348;5831;6160;6647;7314;8818;9901;10566;11483;12159;12452;13315;14223;14987;15669;17194;17669;18301;18947;19881;20740;21512;22147;22695;23401;23913;24615;25572;26155;27270;28306;28602;29368;29711;30696;31439;32106;32532;33441;33927;34635;35332;35858;36681;37147;37701;38081;38721;39647;40405;41218;42132;42838
US Guam;162742;543;166;102.0019417237;0.027355203;;;32;37;45;51;55;56;58;69;77;82;84;93;112;113;121;125;128;130;133;133.0909090909;133.1818181818;133.2727272727;133.3636363636;133.4545454545;133.5454545455;133.6363636364;133.7272727273;133.8181818182;133.9090909091;134;135;141;142;143;144;145;145.5;146;147;148;150;149;150;151;151.1666666667;151.3333333333;151.5;151.6666666667;151.8333333333;152;152.5;153;154;156.2;158.4;160.6;162.8;165;165.25;165.5;165.75;166
US Hawaii;1415872;16635;647;45.6962211273;0.0456230407;;;37;48;56;77;90;95;106;120;151;175;204;208;258;285;319;351;371;387;410;435;442;465;486;499;504;517;530;541;553;574;580;584;582;592;596;601;603;606;607;609;613;618;619;620;620.5;621;625;626;629;630;631;632;634;635;638;637;638;639;640;640.5;641;643;647;642;643
US Idaho;1787065;214045;2626;146.9448509148;0.0718251751;;;31;42;47;50;73;123;189;230;261;310;415;525;669;891;1013;1077;1101;1170;1210;1232;1353;1396;1407;1426;1453;1464;1587;1609;1655;1668;1672;1736;1766;1802;1836;1870;1887;1897;1917;1952;1984;2015;2035;2061;2083.5;2106;2127;2158;2178;2205;2230;2245;2260;2293;2324;2351;2389;2419;2437;2455;2476;2506;2534;2595;2626
US Illinois;12671821;143793;110304;870.4668413482;0.1197759326;;;32;46;64;93;159;288;422;585;753;1049;1273;1535;1865;2538;3026;3491;4596;5057;5994;6980;7695;8904;10357;11256;12262;13549;15078;16422;17887;19180;20852;22025;23247;24593;25733;27575;29160;30357;31508;33059;35108;36934;39658;41777;43903;45883;48102;50355;52918;56055;58505;61499;63840;65962;68232;70873;73760;76085;77741;79007;83021;84698;87937;90369;92457;94191;96485;98030;100418;102686;105444;107796;110304
US Indiana;6732219;92789;31376;466.0573282004;0.1076538556;;;30;39;56;79;126;201;259;365;477;645;981;1232;1514;1786;2159;2565;3039;3437;3953;4411;4944;5507;5943;6351;6907;7435;7928;8236;8527;8955;9542;10154;10641;11210;11686;12097;12438;13039;13680;14395;15012;15961;16588;17182;17835;18630;19295;19933;20507;21033;21870;22503;23146;23732;24126;24627;25127;25473;26053;26655;27280;27778;28255;28705;29274;29936;30409;30901;31376
US Iowa;3155070;144669;17252;546.8024481232;0.0971308372;;;38;45;68;90;105;124;145;179;235;298;336;424;497;549;614;699;786;868;946;1048;1145;1270;1388;1510;1587;1710;1899;1995;2141;2332;2513;2902;3159;3641;3748;3924;4445;5092;5476;5868;6376;6843;7145;7884;8641;9169;9703;10111;10404;11059;11457;11671;11959;12373;12912;13289;13675;14049;14328;14651;14955;15349;15614;16170;16504;16893;17252
US Kansas;2913314;211754;8958;307.4848780461;0.0881224225;;;34;44;55;64;82;98;126;168;202;261;319;368;428;482;552;620;698;747;845;900;1046;1106;1166;1268;1337;1376;1426;1494;1588;1705;1790;1849;1986;2025;2211;2482;2777;3056;3174;3328;3491;3738;4238;4449;4746;5030;5245;5458;5734;6144;6501;6751;6948;7116;7292;7468;7677;7886;8037.3333333333;8188.6666666667;8340;8439.5;8539;8748.5;8958;8958;8958
US Kentucky;4467673;102269;8571;191.844837346;0.0869170863;;;35;47;54;99;104;124;157;198;248;302;394;439;480;591;680;770;831;917;955;1008;1149;1346;1693;1766.5;1840;1963;2048;2210;2291;2429;2522;2707;2960;3050;3192;3373;3481;3779;3905;4074;4146;4375;4539;4708;4879;5004.5;5130;5245;5822;5934;6129;6288;6440;6558.5;6677;6853;7080;7225;7444;7688;7878.5;8069;8118;8167;8286;8426;8571
