Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16
2 Asia Pacific;4192529278;31181951;163273;3.8943794825;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;218;623;1203;1904;4450;5027;6842;8371;10334;14976;17967;21838;25467;28503;32033;34550;37569;39952;41917;42240;57354;63783;65809;67893;69774;71531;71909;72419;72970;74637;74823;75257;75913;76602;77548;78446;79703;80881;81693;82682;83295;83942;84694;85273;85654;85908;86100;86535;86631;87045;87448;87989;88490;89153;89775;90664;91436;92780;94358;95355;96672;98086;99721;101371;103474;105272;106908;108837;111220;113807
21 C. Asia;75861692;3497518;6007;7.9183575289;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;6;7;8;9;10;8.5;13;22;24;26;34;34;46;61;82;119;171;189;252;290;351;405;463;539;584;684;830;1023;1190;1353;1507;1661;1891
22 India Region;1817448317;4118717;22205;1.2217678925;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;3;3;3;4;5;5.0869565217;5.1739130435;5.2608695652;5.347826087;5.4347826087;5.5217391304;5.6086956522;5.6956521739;5.7826086957;5.8695652174;5.9565217391;6.0434782609;6.1304347826;6.2173913043;6.3043478261;6.3913043478;6.4782608696;6.5652173913;6.652173913;6.7391304348;6.8260869565;6.9130434783;6;6.6666666667;6.3333333333;7;8;9;9;31;30;31;34;41;40;63;71;74;94;116;157;246;379;441;624;732;1038;1137;1315;1436;1613;1777;2091;2256;2349;2668;3014;3771;4558
23 China;1439323776;9388211;83403;5.7945961423;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;202;601;1170;1865;4397;4970;6772;8281;10228;14864;17852;21704;25324;28349;31872;34371;37384;39759;41721;42042;57149;63568;65576;67641;69520;71264;71636;72062;72506;73929;73922;74118;74615;75005;75428;75748;76163;76729;76919;77031;77145;77288;77437;77511;77549;77586;77606;77636;77641;77649;77678;77699;77725;77749;77786;77834;77924;77975;78102;78163;78256;78324;78443;78557;78656;78779;78853;78934;79015;79086
24 N.E. Asia;177745646;461785;19239;10.8238938241;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;5.5;7;8;11;13;14;25;31;34;35.5;37;40;43;46;47;44;44;43;42;39.5;40;50;65;62;71;74;157;261;505;693;929;1083;1375;1898;2480;3297;3895;4507;5369;5839;6328;6886;7365;7664;7836;7931;8223;8330;8492;8663;8795;8863;8980;9080;9258;9378;9552;9802;9818;9946;10151;10330;10493;10861;11127;11187;11374;11694;12064
25 S.E. Asia;650252129;5729240;24453;3.7605413207;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;12;17;21;24;35;38;44;53;60;62;64;79;85;92;95;113;121;129;133;136;146;155;163;168;173;177;181;182;185;188;191;193;198;203;203;200;213;219;224;232;225;234;276;289;304;333;370;446;432;569;685;965;1167;1426;1709;2004;2298;2753;3274;3825;4305;4854;5399;5897;6598;7343;7907;8816;9519;10299
26 AU / NZ;30322117;7945610;7863;25.9315667175;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;5.5;6;9;10.5;12;12.3333333333;12.6666666667;13;13.5;14;15;15.0476190476;15.0952380952;15.1428571429;15.1904761905;15.2380952381;15.2857142857;15.3333333333;15.380952381;14.4285714286;14.4761904762;14.5238095238;13.5714285714;13.619047619;13.6666666667;13.7142857143;12.7619047619;12.8095238095;12.8571428571;12.9047619048;12.9523809524;13;23;25;28;35;49;52;57;61;74;89;104;125;156;192;242;288;367;445;567;684;801;1092;1615;1743;2153;2518;3041;3455;4030;4434;4884;5135;5498;5841
27 Pacific Ocean;1575601;40870;103;6.5371880317;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;8;13;19;23;28;37;42;47;48;50;53;56;57;62;68
3 ME/Africa;1706894362;34551900;207808;12.1746257195;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4.25;4.5;4.75;5;5.3333333333;5.6666666667;4;4.3333333333;2.6666666667;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;399;820;1543;1998;2456;3580;4581;5250;5724;6571;7722;8673;9989;11385;12663;13722;14950;16237;17646;19237;20761;22812;25051;27993;32522;37025;43004;48780;54802;60677;67944;74696;81928
31 MENA;581540947;12894980;196971;33.8705298425;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4.25;4.5;4.75;5;5.3333333333;5.6666666667;4;4.3333333333;2.6666666667;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;399;819;1541;1995;2452;3575;4580;5249;5726;6570;7715;8667;9966;11342;12594;13622;14840;16047;17384;18841;20238;22147;24103;26707;30918;35028;40625;46218;51890;57502;64492;70900;77768
