Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;Last Trend
0 America;1024565701;38395425;783942;76.5145660483;;;;;;;;;;;;;;;;;0.0736487394;0.0593239426;0.0488580938;0.0416763224;0.0342792483;0.0247975717;0.0182723935;0.0167002624;0.018617731;0.0194265469;0.0180635913;0.0156542085;0.0153340572;0.01802527;0.0235455259;0.0288479914;0.0711159598;0.1368718039;0.212724833;0.2525222244;0.2311058229;0.1682004925;0.1041465493;0.0896382697;0.1008723652;0.1417756171;0.1766800742;0.2054560572;0.2354610706;0.2524838909;0.2913976955;0.3182150222;0.3118807716;0.3218489389;0.3171154737;0.3220043325;0.3420108855;0.332559548;0.3185552565;0.3053319609;0.3066248275;0.3094761297;0.3485315829;0.3815014819;0.3998575731;0.4067282656;0.3719469815;0.3311628991;0.2872378933;0.2631856089;0.2422903705;0.2287358753;0.2138430517;0.1951775987;0.177415255;0.1606623717;0.1520788196;0.1454216466;0.1386637558;0.1298065974;0.1178375199;0.1060764891;0.0955909977;0.0884870348;0.0845704858;0.080959274;0.0758208042;0.0687333874;0.0607871137;0.0548740893;0.0512962697;0.0528703584
00 N. America;372101241;18250341;699775;188.0603779013;;;;;;;;;;;;;;;;;0.0736487394;0.0593239426;0.0488580938;0.0416763224;0.0342792483;0.0247975717;0.0182723935;0.0167002624;0.018617731;0.0194265469;0.0180635913;0.0156542085;0.0153340572;0.01802527;0.0235455259;0.0288479914;0.0711159598;0.1368718039;0.212724833;0.2525222244;0.2294996801;0.1653124593;0.0990227612;0.0793629008;0.0801523011;0.1152984096;0.1488109767;0.1821262708;0.2242211403;0.244916013;0.2879913849;0.3122003167;0.3058136669;0.321762911;0.3186444823;0.3288933881;0.3439200084;0.3271414172;0.3082235665;0.2920671497;0.2975909753;0.3031547229;0.3485022375;0.3857204634;0.4078667585;0.4156283899;0.3775228838;0.3350532234;0.2915578384;0.2708247425;0.2508134547;0.2370321186;0.2205613176;0.2006363142;0.1816519414;0.1636672234;0.154008295;0.146520247;0.1394993479;0.1307946561;0.1190428137;0.1069807615;0.0954716698;0.0870834855;0.0818056643;0.0775164764;0.0725118103;0.065956265;0.0587732736;0.052924059;0.0493140483;0.0512577837
01 M. America;179670200;2452270;11053;6.1518270698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4555754226;0.4331641883;0.3923106743;0.3502475986;0.3133508988;0.2990942003;0.2907774202;0.2914591746;0.3047984126;0.298912378;0.2691329087;0.2237850494;0.1843993644;0.1709302331;0.1776495076;0.185861629;0.182957;0.1658414886;0.1411955954;0.1231890968;0.1090509834;0.1046625741;0.1040444611;0.1042361547;0.1040573591;0.1001889083;0.1014719661;0.1008608924;0.1020818686;0.0990690356;0.0932040142;0.0844020733;0.0740868921;0.0663530591;0.0644260401
03 Caribbean;40664971;215822;5839;14.358795436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2913976955;0.3791342644;0.4201682775;0.3965223614;0.3329967124;0.3222716402;0.3342032498;0.3540458009;0.3826620119;0.3790746197;0.3513999921;0.294889437;0.2358879348;0.2005213445;0.1880626718;0.1848260834;0.1726726927;0.161185598;0.1450201739;0.1319564525;0.1199365211;0.1011094355;0.0880456534;0.0735476076;0.0698180399;0.0711466521;0.0719203953;0.0765981762;0.0758766641;0.0766115622;0.0715549392;0.0632091531;0.0593351498;0.0560185477;0.0400783755
04 S. America;432129289;17476992;67275;15.5682573972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3958193547;0.3469577158;0.3117088649;0.2642675587;0.3259853478;0.3592521978;0.3817797615;0.4019702155;0.3673574247;0.3579554337;0.3630069594;0.3722689281;0.3625515917;0.3602085331;0.3392712948;0.3065929855;0.2579594501;0.2088718758;0.1770214302;0.1582986664;0.149748745;0.1373842453;0.130288761;0.1285965998;0.135316947;0.1411182098;0.1386867671;0.1264369491;0.1094000698;0.0984967315;0.0991731574;0.1068320302;0.1190289654;0.1226094938;0.1135853612;0.0982269339;0.0802378961;0.0735012064;0.0705214629;0.0691638987
1 Europe;611702015;21312232.3170000017;741683;121.2490692874;;;;;;;;;;;;;;;;;0.0957987697;0.0584063809;0.0432441274;0.0370013664;0.0380904643;0.0404478626;0.0436640587;0.0475818931;0.0520442866;0.0561001276;0.0574384344;0.0564156626;0.0533927137;0.0506781609;0.0482269845;0.04600254;0.1173951531;0.2808263112;0.4429380875;0.5860292377;0.6023294288;0.5156983403;0.4500699423;0.410932696;0.4082356893;0.3806366397;0.3527995265;0.3241186359;0.2936687136;0.2823946732;0.278655287;0.2833657697;0.2760468323;0.2606065793;0.2488426172;0.2181833733;0.2280828537;0.2373130436;0.2510964912;0.2625916888;0.2326053672;0.2086341827;0.1830596383;0.1821787234;0.1833854909;0.1797278665;0.1688344543;0.1532852453;0.1397658233;0.133065589;0.1293950043;0.1274148267;0.1201360138;0.1092413957;0.0955761201;0.0836850105;0.0763464053;0.0720961112;0.0693128618;0.0648506231;0.0583405678;0.0513079418;0.0458804009;0.043123368;0.042614256;0.0424136599;0.0411800247;0.0381836708;0.0339858625;0.0308333531;0.0294485191;0.036381065
11 N. Europe;21451759;1181143;24728;115.2725983916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4413354318;0.4756406524;0.4923490695;0.5176403024;0.4528435905;0.3425524176;0.3166043673;0.3214614531;0.3438982023;0.3686722927;0.3400755001;0.2840431461;0.2238779702;0.1636452908;0.1250393259;0.1036774303;0.1048492292;0.1111814164;0.1189609487;0.1171919789;0.1140767103;0.1062839536;0.1010838066;0.0995541344;0.097933401;0.0958516313;0.0893163676;0.0810488362;0.0734586973;0.0706926191;0.0706669126;0.0714546719;0.0681319906;0.0620814704;0.0556342046;0.0516097018;0.0510694266;0.0507264389;0.049201538;0.0444445706;0.0387791505;0.0333487755;0.0298270501;0.0293992019;0.0383371824
12 W. Europe;136029709;606885;260464;191.4758194476;;;;;;;;;;;;;;;;;;;0.0476719263;0.0321151854;0.0327325164;0.0401940019;0.0450061303;0.0449122774;0.0374788032;0.0278340423;0.0199892111;0.0161342383;0.0158779784;0.015629734;0.0153891347;0.0151558326;0.0149295005;0.0147098307;0.0144965331;0.0142893344;0.0511033781;0.1641800772;0.2528654235;0.3945020638;0.4926977043;0.4899307618;0.49037251;0.4398371601;0.4371542374;0.45089613;0.4720273633;0.4679554215;0.3906139747;0.306144123;0.2580440873;0.220589056;0.2574443467;0.2836489933;0.316399331;0.3315085502;0.2982488282;0.2767401239;0.2501737248;0.2568546746;0.2509441755;0.2362334759;0.210054826;0.1808133518;0.1604059355;0.1507116535;0.1477777512;0.1465813205;0.1400688266;0.1274463144;0.1099952602;0.0925235724;0.0824172768;0.077280361;0.0749825872;0.070049879;0.0621713705;0.0533423429;0.0469263699;0.0442168023;0.0443794866;0.0441526031;0.0422660236;0.0378614506;0.0320033591;0.0279504624;0.0254279629;0.026042631
13 S. Europe;129670199;1023531.4399999999;377415;291.0576238107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1009127471;0.0915740569;0.0838295324;0.2144322862;0.4615768829;0.6744325102;0.8453086396;0.7614264584;0.5680282419;0.4621703419;0.4034754;0.3954955872;0.3677491452;0.339438667;0.3110312629;0.2728065273;0.2522776613;0.241102289;0.2461671888;0.2516807044;0.2475355912;0.2408504052;0.2069158085;0.2073554509;0.2132893557;0.2265299956;0.2425829538;0.2157846379;0.1917191445;0.1643590558;0.1588894866;0.1604023119;0.1585382572;0.1521931483;0.1407881081;0.1296671324;0.123960614;0.1192792497;0.1162591398;0.1076254163;0.0969930809;0.0848125044;0.0756634193;0.0694450665;0.0649795315;0.0611614763;0.0564081362;0.0505802233;0.0444971759;0.0395318178;0.0362545022;0.0347376846;0.0341176957;0.0330435529;0.0307780131;0.0272608136;0.0241340352;0.0227813302;0.0326754644
14 E. Europe;324550348;18500672.8770000003;79076;24.3647866925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2548055503;0.3505855537;0.3742975573;0.3926318724;0.351483931;0.3076022918;0.3371307131;0.3427528084;0.4310537062;0.4563996875;0.4419619608;0.4003756603;0.3188318542;0.2603228137;0.2237239017;0.2148080865;0.2157234407;0.2132859042;0.2022951896;0.1888935904;0.1752786536;0.1682125177;0.1674384425;0.1675620161;0.1642962169;0.1544332356;0.1411550343;0.1281518916;0.1207020588;0.1196605009;0.1200774093;0.1185670654;0.1106492983;0.1020496273;0.0944340083;0.0920441218;0.0935265386;0.0945679134;0.0941176477;0.0908234011;0.0870800939;0.0847292128;0.0843908183;0.0906131906
