Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16
2 Asia Pacific;4192529278;31181951;163273;3.8943794825;;554;653;937;1429;2109;2917;5563;6145;8213;9894;11999;16745;19834;23844;27586;30745;34276;36998;40023;42558;44595;44973;60119;66592;68669;70792;72726;74516;74938;75480;76067;77764;77985;78449;79122;79846;80811;81728;83011;84205;85037;86052;86702;87371;88150;88752;89190;89463;89688;90150;90306;90760;91215;91806;92353;93065;93761;94728;95572;96981;98619;99710;101100;102598;104362;106109;108344;110311;112055;114151;116603;119344;121406;123773;126017;129899;132148;134693;137744;140915;144172;147603;151656;155287;158890;163273
21 C. Asia;75861692;3497518;6007;7.9183575289;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;7;8;9;10;11;12.5;14;23;25;27;36;39;52;69;92;129;183;203;269;311;372;430;492;570;618;721;873;1069;1236;1403;1562;1719;1953;2155;2394;2653;2997;3211;3456;3708;3896;4238;4561;4967;5391;5716;6007
22 India Region;1817448317;4118717;22205;1.2217678925;;0;0;0;1;1;2;2;2;3;3;3;4;5;5.0869565217;5.1739130435;5.2608695652;5.347826087;5.4347826087;5.5217391304;5.6086956522;5.6956521739;5.7826086957;5.8695652174;5.9565217391;6.0434782609;6.1304347826;6.2173913043;6.3043478261;6.3913043478;6.4782608696;6.5652173913;6.652173913;6.7391304348;6.8260869565;6.9130434783;7;7.6666666667;8.3333333333;9;10;11;12;35;37;40;43;55;59;84;96;108;130;158;204;306;447;535;740;854;1178;1297;1521;1666;1879;2096;2437;2667;2812;3165;3556;4344;5201;5503;6169;7042;8878;9728;10619;11767;12940;14170;15303;17008;18610;20217;22205
23 China;1439323776;9388211;83403;5.7945961423;;548;643;920;1406;2075;2877;5509;6087;8141;9802;11891;16630;19716;23707;27440;30587;34110;36814;39829;42354;44386;44759;59895;66358;68413;70513;72434;74211;74619;75077;75550;77001;77022;77241;77754;78166;78600;78928;79356;79932;80136;80261;80386;80537;80690;80770;80823;80860;80887;80921;80932;80945;80977;81003;81033;81058;81102;81156;81250;81305;81435;81498;81591;81661;81782;81897;81999;82122;82198;82279;82361;82432;82511;82543;82602;82665;82718;82809;82883;82941;83014;83134;83213;83306;83356;83403
24 N.E. Asia;177745646;461785;19239;10.8238938241;;3;3;4;5.5;7;8;11;13;15;26;32;35;36.5;38;41;45;49;50;51;53;54;56;56.5;57;71;88;96;105;115;198;309;555;749;992;1147;1450;1980;2565;3391;3992;4609;5479;5952;6448;7013;7502;7816;7989;8094;8394;8508;8680;8859;9001;9075;9198;9302;9489;9615;9806;10062;10089;10230;10444;10628;10800;11171;11449;11527;11739;12065;12471;12679;13295;13376;13938;14237;14641;15090;15980;16485;17260;17907;18209;18691;19239
25 S.E. Asia;650252129;5729240;24453;3.7605413207;;3;7;13;18;22;25;36;39;45;54;61;64;66;81;87;94;97;115;123;131;135;138;148;157;165;171;176;180;184;185;188;191;194;196;201;207;208;211;228;237;243;253;267;280;332;355;392;434;484;570;586;745;893;1198;1422;1712;2028;2356;2698;3177;3720;4297;4805;5383;5993;6541;7295;8142;8754;9750;10480;11304;12288;12795;13539;14436;15111;15853;16854;17564;18554;19602;20761;21888;22982;24453
26 AU / NZ;30322117;7945610;7863;25.9315667175;;0;0;0;0;4;5;5.5;6;9;10.5;12;12.3333333333;12.6666666667;13;13.5;14;15;15.0476190476;15.0952380952;15.1428571429;15.1904761905;15.2380952381;15.2857142857;15.3333333333;15.380952381;15.4285714286;15.4761904762;15.5238095238;15.5714285714;15.619047619;15.6666666667;15.7142857143;15.7619047619;15.8095238095;15.8571428571;15.9047619048;15.9523809524;16;26;28;31;40;55;58;64;68;81;96;112;133;169;205;256;305;385;464;588;709;830;1123;1651;1784;2199;2569;3093;3511;4091;4498;4950;5206;5570;5913;6198;6500;6726;6903;7055;7220;7347;7498;7615;7645;7700;7781;7826;7863
27 Pacific Ocean;1575601;40870;103;6.5371880317;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;9;14;20;24;29;39;44;49;50;52;55;58;59;64;70;72;77;79;82;88;95;95.5;96;97;98;100;102;102.5;103
3 ME/Africa;1706894362;34551900;207808;12.1746257195;;0;0;0;0;0;0;0;4;4.25;4.5;4.75;5;5.3333333333;5.6666666667;6;6.3333333333;6.6666666667;7;7.5;8;8.25;8.5;8.75;9;9.5;10;10.6666666667;11.3333333333;12;15;30;44;59;83;150;227;353;509;735;1144;1695;2558;3167;3781;5067;6207;7043;7663;8654;9981;11136;12648;14222;15677;16922;18379;19919;21606;23455;25279;27632;30147;33363;38153;42943;49225;55291;61590;67748;75282;82301;89829;97532;105061;113062;120672;128692;136660;144843;153823;163268;172381;180958;189449;198249;207808
31 MENA;581540947;12894980;196971;33.8705298425;;0;0;0;0;0;0;0;4;4.25;4.5;4.75;5;5.3333333333;5.6666666667;6;6.3333333333;6.6666666667;7;7.5;8;8.25;8.5;8.75;9;9.5;10;10.6666666667;11.3333333333;12;15;30;44;59;83;150;227;353;508;734;1143;1693;2555;3162;3775;5059;6199;7032;7651;8637;9954;11105;12595;14143;15561;16766;18204;19655;21259;22964;24650;26844;29071;31943;36399;40793;46675;52545;58489;64374;71619;78274;85413;92639;99828;107395;114677;122296;129773;137476;146057;155097;163702;171798;179738;188021;196971
32 SSa Africa;1125353415;21656920;10837;0.9629863699;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;5;6;8;9.5;11;12;17;27;31;53;79;116;156;175;264;347;491;629;788;1076;1420;1754;2150;2550;2746;3101;3374;3663;4027;4416;4893;5233;5667;5995;6396;6887;7367;7766;8171;8679;9160;9711;10228;10837
Afghanistan;38928346;652860;840;2.1578106606;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4.5;5;7;8.3333333333;9.6666666667;11;16;21;22;22.6666666667;23.3333333333;24;32;40;57;74;84;94;110;115;120;170;174;237;273;281;299;349;367;423;444;484;521;555;607;665;714;784;840
Albania;2877797;27400;518;17.9998797691;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;12;23;33;38;42;51;55;59;64;70;76;89;104;123;146;174;186;197;212;223;243;259;277;304;333;361;377;383;400;409;416;433;446;467;475;494;518
Algeria;43851044;2381740;2268;5.1720547406;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;5;12;14.5;17;18;19;20;21.3333333333;22.6666666667;24;26;37;48;54;60;74;87;90;139;201;230;264;302;367;409;454;511;584;716;847;986;1171;1251;1320;1423;1468;1572;1666;1761;1825;1914;1983;2070;2160;2268
American Samoa;55191;200;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andorra;77265;470;673;871.0282792985;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;39;46;53;75;88;113;133;164;188;224;267;308;334;370;376;390;428;439;466;501;525;545;564;583;601;619.5;638;646;659;673;673
Angola;32866272;1246700;19;0.0578100248;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;3;3;4;4.5;5;7;7.3333333333;7.6666666667;8;8.6666666667;9.3333333333;10;14;16;17;19;19;19;19;19;19;19;19;19
Antigua and Barbuda;97929;440;23;23.4864034147;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;3;3;3;7;7.2857142857;7.5714285714;7.8571428571;8.1428571429;8.4285714286;8.7142857143;9;15;16;17;18;19;19.5;20;20.5;21;22;23;23;23;23
Argentina;45195774;2736690;2571;5.6885849549;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;8;12;14.5;17;19;25;31;34;45;56;68;79;97;128;158;266;301;387;444.5;502;589;690;745;820;1054;1093.5;1133;1265;1451;1502.5;1554;1628;1715;1795;1975;2058.5;2142;2208;2277;2443;2571
Armenia;2963243;28470;1159;39.1125533748;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;4;8;18;26;52;78;84;115;136;160;194;235;249;265;290;329;407;424;482;532;571;663;736;770;822;833;853;881;921;937;967;1013;1039;1067;1111;1159
Australia;25499884;7682300;6462;25.3412917486;;0;0;0;0;4;5;5.5;6;9;10.5;12;12.3333333333;12.6666666667;13;13.5;14;15;15.4545454545;15.9090909091;16.3636363636;16.8181818182;17.2727272727;17.7272727273;18.1818181818;18.6363636364;19.0909090909;19.5454545455;20;20.4545454545;20.9090909091;21.3636363636;21.8181818182;22.2727272727;22.7272727273;23.1818181818;23.6363636364;24.0909090909;24.5454545455;25;27;30;39;52;55;60;63;76;91;107;128;164;200;250;297;377;452;568;681;791;1071;1549;1682;2044;2364;2810;3143;3640;3984;4361;4559;4862;5116;5330;5550;5687;5797;5895;6010;6108;6215;6303;6315;6351;6415;6440;6462
Australia Australian Capital Territory;426709;2358;103;24.138230035;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;4;6;9;19;32;39;46;53;62;71;77;78;80;84;87;91;93;96;97;98;99;100;103;102.6666666667;102.3333333333;102;103;103;103
Australia New South Wales;8089526;809952;2897;35.8117397731;;0;0;0;0;3;4;4.0588235294;4.1176470588;4.1764705882;4.2352941176;4.2941176471;4.3529411765;4.4117647059;4.4705882353;4.5294117647;4.5882352941;4.6470588235;4.7058823529;4.7647058824;4.8235294118;4.8823529412;4.9411764706;5;5.0588235294;5.1176470588;5.1764705882;5.2352941176;5.2941176471;5.3529411765;5.4117647059;5.4705882353;5.5294117647;5.5882352941;5.6470588235;5.7058823529;5.7647058824;5.8235294118;5.8823529412;5.9411764706;6;9.5;13;22;24;26;28;38;48;55;65;78.5;92;112;134;171;210;267;307;353;436;669;743.5;818;1029;1219;1405;1617;1791;2032;2107;2182;2298;2389;2493;2580;2637;2686;2734;2773;2822;2857;2860;2863;2870;2886;2897
Australia Northern Territory;245869;1419630;28;11.3881782575;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;3;3;5;5.5;6;9;12;13.5;15;15.6666666667;16.3333333333;17;19;21;22;26;27;28;28;28;28;28;28;28;28;28;28;28
Australia Queensland;5095100;1851736;1001;19.6463268631;;0;0;0;0;0;0;0;1;3;2;3;2;2;3;3;4;5;5.1818181818;5.3636363636;5.5454545455;5.7272727273;5.9090909091;6.0909090909;6.2727272727;6.4545454545;6.6363636364;6.8181818182;7;7.1818181818;7.3636363636;7.5454545455;7.7272727273;7.9090909091;8.0909090909;8.2727272727;8.4545454545;8.6363636364;8.8181818182;9;9.6666666667;10.3333333333;11;12;13;13.6666666667;14.3333333333;15;16.5;18;20;27.5;35;46;61;68;78;94;144;184;221;259;319;397;443;493;555;625;656;689;743;781;835;873;900;907;921;934;943;953;965;974;983;987;998;999;1001
Australia South Australia;1751693;1044353;433;24.7189433308;;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;5;6;7;7.4;7.8;8.2;8.6;9;12.5;16;19;20;29;33;37;42;50;67;100;134;170;202.5;235;257;287;299;305;337;367;381.5;396;407;409;411;413;415;420;428;429;430.3333333333;431.6666666667;433;433;433
Australia Tasmania;534281;90758;169;31.6312951424;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;3;3;5;5.5;6;7;8.5;10;12;14;16;22;28;32;36;47;54.5;62;66;67.5;69;70.5;72;74;80;82;86;89;98;111;122;133;138.5;144;165;167;169
Australia Victoria;6594804;237657;1299;19.6973253489;;0;0;0;0;1;1;1;1;2;3;4;4.1071428571;4.2142857143;4.3214285714;4.4285714286;4.5357142857;4.6428571429;4.75;4.8571428571;4.9642857143;5.0714285714;5.1785714286;5.2857142857;5.3928571429;5.5;5.6071428571;5.7142857143;5.8214285714;5.9285714286;6.0357142857;6.1428571429;6.25;6.3571428571;6.4642857143;6.5714285714;6.6785714286;6.7857142857;6.8928571429;7;8;9;9.5;10;10.3333333333;10.6666666667;11;13;15;18;21;28.5;36;49;57;71;94;121;157;193;229;355;383;411;466;520;574;685;769;821;917;968;1036;1085;1115;1135;1158;1191;1212;1228;1241;1265;1268;1281;1291;1299;1299
Australia Western Australia;2621680;2642753;532;20.2923316347;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;3;3;3;3;4;6;9;11.5;14;17;22.5;28;31;35;52;64;90;120;140;175;203;231;254.5;278;311;355;364;392;400;418;436;453;460;470.5;481;495;506;514;515.5;517;527;529.5;532
Austria;9006398;82409;14476;160.7301831431;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;9;14;18;21;29;41;55;79;104;131;182;246;302;504;655;860;1018;1332;1646;2013;2388;2814;3582;4474;5283;5588;6909;7657;8271;8788;9618;10180;10711;11129;11524;11781;12051;12297;12639;12942;13244;13555;13806;13945;14041;14226;14336;14476
Azerbaijan;10139177;82658;1283;12.6538869969;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;6;7.5;9;9.6666666667;10.3333333333;11;12.3333333333;13.6666666667;15;19;23;28;33.3333333333;38.6666666667;44;48.5;53;65;72;87;93;122;165;182;209;273;298;359;400;443;521;584;641;717;822;926;991;1058;1098;1148;1197;1253;1283
Bahamas;393244;10010;53;13.4776372939;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;4;4.3333333333;4.6666666667;5;7;9;10;10.5;11;14;17.5;21;24;26;28;28.5;29;33;40;41;42;46;46.5;47;49;51;53
Bahrain;1701575;760;1700;99.9074386965;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23;33;34.5;36;41;47;49;50.5;52;55;60;85;90;95;110;195;200;205;210;214;221;228;256;278;285;305;334;377;392;419;458;466;476;499;515;567;569;643;672;688;700;756;811;823;887;925;1040;1136;1361;1528;1671;1700
Bangladesh;164689383;130170;1572;0.9545241905;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;5;8;10;14;17;20;25;27;33;39;41.5;44;48;48.3333333333;48.6666666667;49;51;54;56;61;70;88;123;164;218;330;424;482;621;803;1012;1231;1572
Barbados;287375;430;75;26.0983036103;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;5;5.5;6;14;17;18;20;22;24;26;33;33.5;34;40;46;51;52;56;60;63;64.5;66;67;68;71;72;72.5;73;75
Belarus;9449323;202910;4204;44.4899597569;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;6;6.5;7;7.5;8;8.5;9;10.5;12;27;30;33;36;43.5;51;60;69;76;78.5;81;83.5;86;90;94;113.3333333333;132.6666666667;152;157.5;163;304;351;440;562;700;861;1066;1486;1981;2226;2578;2919;3281;3728;4204
Belgium;11589623;30280;34809;300.346266656;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;8;13;23;50;109;169;200;239;267;314;436.5;559;689;886;1058;1243;1486;1795;2257;2815;3401;3743;4269;4937;6235;7284;9134;10836;11899;12775;13964;15348;16770;18431;19691;20814;22194;23403;24983;26667;28018;29647;30589;31119;33573;34809
Belize;397628;22810;18;4.526844186;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;3;3;3;3;4;4.5;5;7;7.5;8;9;10;13;14;18;18;18;18
Benin;12123200;112760;35;0.2887026528;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;5;6;6.4285714286;6.8571428571;7.2857142857;7.7142857143;8.1428571429;8.5714285714;9;13;14.5;16;19;22;26;28.25;30.5;32.75;35;35;35;35;35;35;35
Bermuda;62278;50;81;130.0619801535;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;6.3333333333;6.6666666667;7;15;17;19.5;22;27;32;33.5;35;35.6666666667;36.3333333333;37;39;42;45;48;51;54;57;65;73;81;81
Bhutan;771608;38117;5;0.6479974287;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;3;3;4;4.25;4.5;4.75;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
