Country/Region;Population;Maximum;Per 100,000 inh.;CDGR per day;Comments;Day 1;Day 2;Day 3;Day 4;Day 5;Day 6;Day 7;Day 8;Day 9;Day 10;Day 11;Day 12;Day 13;Day 14;Day 15;Day 16;Day 17;Day 18;Day 19;Day 20;Day 21;Day 22;Day 23;Day 24;Day 25;Day 26;Day 27;Day 28;Day 29;Day 30;Day 31;Day 32;Day 33;Day 34;Day 35;Day 36;Day 37;Day 38;Day 39;Day 40;Day 41;Day 42;Day 43;Day 44;Day 45;Day 46;Day 47;Day 48;Day 49;Day 50;Day 51;Day 52;Day 53;Day 54;Day 55;Day 56;Day 57;Day 58;Day 59;Day 60;Day 61;Day 62;Day 63;Day 64;Day 65;Day 66;Day 67;Day 68;Day 69;Day 70;Day 71;Day 72;Day 73;Day 74;Day 75;Day 76;Day 77;Day 78;Day 79;Day 80;Day 81;Day 82;Day 83;Day 84;Day 85;Day 86
0 America;1024565701;783942;76.5145660483;0.1827931281;;20;20.25;20.5;20.75;21;21.75;22.5;23.25;24;36.3333333333;48.6666666667;61;62;69;72;76;94;112;139;165;207;285;357;515;671;760;1161;1561;1991;2760;3422;4343;5918;8137;9976;16694;23171;30784;40150;52381;63968;77624;98005;118074;140656;162376;185858;216218;245319;280320;315897;352658;386283;419396;453865;493847;533028;575876;610788;644649;676337;708467;744576;783942
00 N. America;372101241;699775;188.0603779013;0.1806627136;;20;20.25;20.5;20.75;21;21.75;22.5;23.25;24;36.3333333333;48.6666666667;61;62;68;71;74;88;98;125;148;182;254;311;456;582;660;1038;1389;1780;2370;2923;3749;5053;6901;8444;14555;20234;26903;34782;45978;56584;69104;87974;106456;127183;147359;169448;196994;223282;255431;288472;322363;353402;383843;414776;448925;482889;519436;550620;580629;607324;635750;665655;699775
01 M. America;179670200;11053;6.1518270698;0.1773136515;;31;47;64;91;115;151;206;244;319;428;566;748;875;948;1122;1358;1635;1952;2237;2524;2841;3022;3406;3728;4186;4547;5048;5495;6042;6805;7393;8063;8744;9390;9854;10384;11053
03 Caribbean;40664971;5839;14.358795436;0.1700682357;;28;45;50;65;98;118;160;229;327;471;562;658;793;945;1087;1337;1543;1651;1942;2198;2373;2557;2620;2939;3092;3306;3541;3868;4213;4429;4711;4987;5153;5614;5839
04 S. America;432129289;67275;15.5682573972;0.2105603718;;22;34;45;67;74;96;129;148;298;363;429;649;932;1170;1660;2280;2988;4149;4966;5778;6605;7728;8896;10184;11237;12235;14441;16817;19110;21140;23489;25395;27413;30288;35339;39466;44834;47676;50565;54636;57710;62923;67275
1 Europe;611702015;741683;121.2490692874;0.1573399615;;20;20.6666666667;21.3333333333;22;23;24;25;26;27.7;29.4;31.1;32.8;34.5;36.2;37.9;39.6;41.3;43;85;178;252;354;510;751;1016;1340;2033;2495;3098;3958;5237;6675;8473;10761;13359;15957;20268;20831;33038;40063;48379;56553;66200;77691;94084;111420;130107;146731;167326;186937;212105;240900;269643;298865;323116;346843;371152;398302;427259;454350;479573;501350;520461;541695;566556;591077;616501;638542;658982;676598;692312;715647;741683
11 N. Europe;21451759;24728;115.2725983916;0.1527655954;;31;42;52;70;124;228;268;374;454;543;866;1244;1465;2102;2441;2669;2911;3241;3473;3987;4492;4969;5628;6073;6711;7359;8109;8899;9747;10403;11079;11798;12649;13729;14659;15473;16111;16992;17857;18792;19789;20627;21338;21867;22510;23133;23815;24728
12 W. Europe;136029709;260464;191.4758194476;0.1916294667;;20.1428571429;20.4285714286;20.7142857143;21;31;59;61;115;185;247;313;450;777;1197;1524;1969;2266;2820;3676;3914;6808;8433;11071;13217;16613;21067;26594;33991;39573;45312;52917;60513;68174;79743;91242;103369;112185;121224;129645;140003;151494;162088;171234;179127;185691;193571;203165;212539;222031;229162;236122;241637;245618;253853;260464
13 S. Europe;129670199;377415;291.0576238107;0.191599792;;20.5833333333;22;64;157;231;328;467;674;925;1179;1787;2175;2688;3344;4180;5119;6479;8194;10393;12037;14975;14983;23305;28074;33274;38767;44332;50750;60511;69318;81173;90642;102400;112793;128435;143595;158343;172902;185957;198425;211642;225634;239265;251973;264532;275230;284397;293612;304544;314791;325448;335538;344128;350972;356995;365473;377415
14 E. Europe;324550348;79076;24.3647866925;0.2007781776;;21;27;40;52;91;96;144;157;234;373;469;823;1115;1365;1658;2014;2401;2992;3619;4392;5149;5936;6920;8137;9453;11159;12847;14571;16115;18067;20016;22771;25630;28334;30882;33381;36655;40055;43958;48395;52504;56865;61479;66566;72506;79076
2 Asia Pacific;4192529278;163273;3.8943794825;0.0691824437;;554;653;937;1429;2109;2917;5563;6145;8213;9894;11999;16745;19834;23844;27586;30745;34276;36998;40023;42558;44595;44973;60119;66592;68669;70792;72726;74516;74938;75480;76067;77764;77985;78449;79122;79846;80811;81728;83011;84205;85037;86052;86702;87371;88150;88752;89190;89463;89688;90150;90306;90760;91215;91806;92353;93065;93761;94728;95572;96981;98619;99710;101100;102598;104362;106109;108344;110311;112055;114151;116603;119344;121406;123773;126017;129899;132148;134693;137744;140915;144172;147603;151656;155287;158890;163273
21 C. Asia;75861692;6007;7.9183575289;0.1533803786;;23;25;27;36;39;52;69;92;129;183;203;269;311;372;430;492;570;618;721;873;1069;1236;1403;1562;1719;1953;2155;2394;2653;2997;3211;3456;3708;3896;4238;4561;4967;5391;5716;6007
22 India Region;1817448317;22205;1.2217678925;0.161907865;;35;37;40;43;55;59;84;96;108;130;158;204;306;447;535;740;854;1178;1297;1521;1666;1879;2096;2437;2667;2812;3165;3556;4344;5201;5503;6169;7042;8878;9728;10619;11767;12940;14170;15303;17008;18610;20217;22205
23 China;1439323776;83403;5.7945961423;0.0609020955;;548;643;920;1406;2075;2877;5509;6087;8141;9802;11891;16630;19716;23707;27440;30587;34110;36814;39829;42354;44386;44759;59895;66358;68413;70513;72434;74211;74619;75077;75550;77001;77022;77241;77754;78166;78600;78928;79356;79932;80136;80261;80386;80537;80690;80770;80823;80860;80887;80921;80932;80945;80977;81003;81033;81058;81102;81156;81250;81305;81435;81498;81591;81661;81782;81897;81999;82122;82198;82279;82361;82432;82511;82543;82602;82665;82718;82809;82883;82941;83014;83134;83213;83306;83356;83403
