Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;Last Trend
2 Asia Pacific;4192529278;31181951;163273;3.8943794825;;0;0;0;0;0;0;0.5025946728;0.4942682555;0.4621673853;0.4008658191;0.3051084498;0.2809849218;0.2551113089;0.261759973;0.2453958112;0.2121281394;0.1799550746;0.1455285722;0.1244592694;0.1055546726;0.0942936394;0.0773542649;0.0890671261;0.1111473524;0.137309805;0.1539046389;0.1253276766;0.0905419831;0.051682544;0.0373905243;0.029916974;0.0242010366;0.0219204181;0.0221658628;0.0226085369;0.0199713538;0.0331147571;0.0465827775;0.0604386364;0.0748509162;0.0881345358;0.0973949277;0.0901836874;0.0811484096;0.0710408196;0.0701030684;0.0633181779;0.0562444231;0.0490837027;0.041320627;0.0360026169;0.0356132764;0.040589373;0.0499216316;0.0606589084;0.072888784;0.0833373642;0.0904336979;0.1003741775;0.1054610663;0.1105604933;0.1167361009;0.1174646544;0.113313161;0.1053933484;0.1016679177;0.0999824144;0.1022365811;0.1017780055;0.0986370719;0.0934485662;0.0919030939;0.091918657;0.0932560974;0.0923960802;0.0881740978;0.0886382084;0.0898034969;0.0898146519;0.0868982441;0.0872496197;0.0867677261;0.0887884135;0.090728181;0.092091303;0.0926019796;0
21 C. Asia;75861692;3497518;6007;7.9183575289;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2232187066;0.2444839835;0.2033292259;0.2001852654;0.211617073;0.2676761731;0.3182594525;0.3528551258;0.3570228524;0.3380601233;0.2936642445;0.2483244006;0.224479801;0.1954927733;0.1835991315;0.1620094954;0.1526570375;0.1525232424;0.1666011136;0.1866591451;0.1988289476;0.1970104023;0.1719293874;0.1540638691;0.1398116218;0.1366093645;0.1355122038;0.1356982445;0.1343205268;0.1268277786;0.1186186278;0.1067838403;0.1005550756;0.0968160474;0.1020993455;0.1093908266;0.1135204393;0.1148810326;0
22 India Region;1817448317;4118717;22205;1.2217678925;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4506274592;0.2757640388;0.1913865788;0.1668147926;0.2027502928;0.2173574098;0.2219338636;0.2006357327;0.208017604;0.2428163052;0.3093467643;0.3669410342;0.3871393683;0.3526509451;0.3161179252;0.2798076766;0.2436883781;0.2155502587;0.1714609629;0.1485905232;0.1325623985;0.1335993691;0.1272809858;0.1246533536;0.1192142679;0.1293380754;0.1564918928;0.1759666214;0.1896414386;0.1720859533;0.1683518039;0.1720663609;0.1788508572;0.1758693244;0.1534518606;0.1349901483;0.1195472071;0.1189872124;0.1183338232;0.1206434946;0.1243886213;0
23 China;1439323776;9388211;83403;5.7945961423;;0;0;0;0;0;0;0.5039928938;0.4967452822;0.4649999195;0.4030654079;0.3061940643;0.2817476064;0.2558454189;0.262760371;0.2465012398;0.2129463926;0.180478248;0.14580416;0.1245999832;0.1056330266;0.0943197714;0.0773693213;0.0891728936;0.1113422271;0.1375345592;0.1541367949;0.1253963716;0.0904307965;0.0514592693;0.0370347082;0.0292332802;0.0226889985;0.0191736487;0.0179669553;0.0173176874;0.0140907558;0.0224567075;0.0298562478;0.0377343291;0.0456268201;0.0539705743;0.0647459132;0.0570065397;0.0457316212;0.0357594674;0.0370874174;0.0330392729;0.0293321002;0.0255273615;0.0203395389;0.0163537751;0.0142686892;0.0146153544;0.0200170363;0.0253891204;0.0309831645;0.0395080691;0.0527245097;0.07382774;0.0963388568;0.1088864591;0.1208398949;0.1207012286;0.1174276131;0.1027570433;0.0968736988;0.0944963055;0.0948689196;0.0923208566;0.086285273;0.0770832626;0.0690815949;0.0653167938;0.0598751987;0.0585682155;0.0528369533;0.0504759035;0.0513884666;0.057232857;0.0658794007;0.0702408035;0.0741233588;0.0783527131;0.0830654103;0.0871441574;0.0840157243;0
24 N.E. Asia;177745646;461785;19239;10.8238938241;;0;0;0;0;0;0;0;0;0;0;0;0;0.2763475107;0.1933149728;0.1311353011;0.0798963555;0.0747866919;0.0796301584;0.0782655175;0.0655570948;0.0503753827;0.0409831866;0.0359875419;0.0446159115;0.0719552575;0.121071418;0.1814360048;0.2236335354;0.2237700848;0.2322332706;0.2967820372;0.422617336;0.5398555427;0.560873338;0.4910352957;0.3701471812;0.3066362378;0.2773350233;0.2936600916;0.29684329;0.2780568788;0.242599954;0.1961310386;0.1628494832;0.1338757403;0.1129775852;0.0953806394;0.0782432258;0.0621558406;0.0477530313;0.0372563158;0.0334382168;0.035237765;0.0367224103;0.0383100843;0.0399184012;0.0398563819;0.0417451611;0.049450401;0.0624365789;0.0755623451;0.0823117085;0.0811610719;0.0797438394;0.0755972091;0.0795319448;0.0858704324;0.0978703052;0.1033593977;0.0997458187;0.0887454559;0.0865902431;0.0899707683;0.0984739486;0.1101877089;0.1036280682;0.0992557262;0.0951872304;0.0951323036;0.0926388568;0.1064577118;0.1131869056;0.1153244503;0.1112137967;0.1018887188;0.0875402813;0
25 S.E. Asia;650252129;5729240;24453;3.7605413207;;0;0;0;0;0;0;0;0;0.2266660457;0.2070949484;0.1783124666;0.1591670692;0.1251109717;0.1133897726;0.1032600419;0.107962184;0.1136061794;0.1154586098;0.1142909371;0.1104659886;0.1194784586;0.1002611028;0.0844731696;0.0712647436;0.0768269602;0.0815575522;0.0802230914;0.0806610718;0.0669959223;0.0554233872;0.0439702742;0.0429954111;0.0408209925;0.0430109951;0.0454471537;0.0518326386;0.0632837663;0.0735565506;0.0828422764;0.1025377254;0.1284340692;0.1394524612;0.1353966853;0.1267475611;0.1281301763;0.1552437653;0.1791645426;0.1865015636;0.1793946417;0.1786414638;0.1710546656;0.1763098796;0.1899788351;0.2181175516;0.2530244066;0.2682940643;0.2698244374;0.2392704241;0.2184509684;0.1959585511;0.1873793874;0.1825207795;0.1778979368;0.1697461202;0.1546936664;0.1408258879;0.1312206979;0.1288110379;0.1262753252;0.1265289;0.1234344446;0.1193243203;0.1145467617;0.1077652501;0.1025975931;0.0944370045;0.0886138986;0.0861303757;0.0851099021;0.085670592;0.0873367957;0.0898690039;0.0926219538;0.0989811941;0.1011635836;0.1043804237;0
26 AU / NZ;30322117;7945610;7863;25.9315667175;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0384007589;0.0352537242;0.0376113421;0.0491679345;0.0422744378;0.0263332998;0.0140843904;0.0076593647;0.0099606056;0.0142389714;0.015552811;0.0171338761;0.0190729216;0.0232374995;0.029729347;0.0721974708;0.0721951136;0.0721927692;0.0721904405;0.0721881277;0.0721858263;0.0721835387;0.0721812672;0.1257890884;0.225805291;0.3101122058;0.3256784356;0.2989283703;0.2954695149;0.2665017472;0.2302077844;0.1741423375;0.149538709;0.1519042343;0.1788298615;0.1995815259;0.2162697121;0.2394114661;0.2469131675;0.2495794944;0.2498222931;0.2525591287;0.2519653231;0.2432886446;0.247375926;0.271771973;0.2836567625;0.2905382504;0.2663276637;0.2277134861;0.2029091685;0.1853927816;0.1777993482;0.1578629084;0.1364029142;0.1131247508;0.0951095332;0.0796754675;0.0744430665;0.0718551563;0.0646849516;0.0581087577;0.050963662;0.0469124043;0.0436740696;0.0449626221;0.0440947251;0.0423466078;0.0356881062;0.0322524293;0.0311749922;0
27 Pacific Ocean;1575601;40870;103;6.5371880317;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2282491844;0.1947346061;0.1399456947;0.0931869247;0.060500605;0.0497754914;0.0486255352;0.0607808393;0.0708215614;0.0840992991;0.0853343636;0.0832254139;0.0871653313;0.0909368738;0.105337799;0.099044289;0.0808256721;0.0539552663;0.0345079736;0.0274628854;0.036169069;0.0433331837;0
3 ME/Africa;1706894362;34551900;207808;12.1746257195;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3465269892;0.4700902903;0.5660033104;0.5646798899;0.5541788223;0.5728115712;0.5952955674;0.5621445031;0.5346902335;0.5072547584;0.507313258;0.482485284;0.4247527785;0.3631764166;0.2995464264;0.2609123194;0.225046139;0.1873458846;0.1553323445;0.1344548754;0.1328167047;0.1364438067;0.1378725925;0.133196774;0.1260228668;0.1164030093;0.1082397377;0.1089167003;0.1110917939;0.11330941;0.1141428166;0.1191788162;0.1306255426;0.1437389284;0.1604201413;0.1720778336;0.175181579;0.1692438455;0.1579583737;0.1475347977;0.1379067307;0.1307871186;0.1229488577;0.1163606014;0.1089818669;0.1035606257;0.0997367999;0.0962134898;0.0951202473;0.0945453805;0.0951501073;0.0948784205;0.0940970034;0.0911964635;0.0884969785;0
31 MENA;581540947;12894980;196971;33.8705298425;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3465269892;0.4700902903;0.5660033104;0.5646798899;0.5541788223;0.5728115712;0.5949966108;0.5616832728;0.5342155934;0.5068457715;0.5072572691;0.4824725025;0.4246939987;0.3630304949;0.2994400637;0.2608835001;0.2250547316;0.1873190481;0.1551486855;0.1341625615;0.1322980091;0.1357058329;0.1368142532;0.1317603408;0.1244184506;0.1145279668;0.1061430638;0.1061834006;0.1075390328;0.1090899364;0.1091926371;0.1136874525;0.1246209176;0.1378250692;0.1554887976;0.1690674229;0.1744016038;0.1703133423;0.160076847;0.1498680868;0.1400716248;0.1322622424;0.1239091153;0.116867695;0.1091615293;0.1036914165;0.0998345557;0.0961238434;0.0947638285;0.0943012069;0.0949975061;0.0949247184;0.0941871458;0.0910349857;0.0880313418;0
