Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16
Thailand;69799978;510890;2672;3.8280814358;;2;3;5;7;8;11;14;15.6666666667;17.3333333333;19;20.5;22;23.5;25;24.75;25.5;25.25;25;24.3333333333;21.6666666667;19;17.5333333333;16.0666666667;14.6;13.3;12;11.5;10.25;8.75;7.25;5.75;4.25;4.1666666667;4.0833333333;4;6.8;7.1;7.4;8.2;8.5;8;9.0833333333;10.1666666667;11.25;12;13.75;14.5;15.25;16;19;29.5;34;40;71.5;104;132.6666666667;166.3333333333;225;274;361;548;669;774;875;975;1061;1163;1274;1377;1474;1559;1603;1656;1656;1570;1499;1431;1435;1378;1337;1273;1163;1055;962;872;797
Togo;8278724;54390;81;0.9784116489;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;8;15;16;17;19;22;23;24;25.6666666667;27.3333333333;29;33;34;37;31;25;27;40;45;47;49;51;49.6666666666;48.3333333334;47;45;45;42
Trinidad and Tobago;1399488;5130;114;8.1458361915;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;5;7;9;29;49;50;51;57;59;64;64;71;75;78;82;83;85;69;54;54;54;50;48;44;44.5;38;35;31.3333333333;26.6666666667;24;20
Tunisia;11818619;155360;822;6.9551273292;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;5;7;11.5;16;18;19;20;24;28;38;53;59;72;86;109;166;185.5;211;260;293;333;370;394;416;441;493;499;507;509;455;446;444;407;395;373;353;357;367
Turkey;84339067;769630;74193;87.9699084174;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;5.5;6;18;46;97;189;355;661;1206;1492;1828;2374;3554;5606;7294;9086;10659;13317;15402;17779;20496;23264;25833;28688;32237;35793;38653;41331;44765;47739;50222;51580;53713;56058
US;331002651;9147420;667801;201.7509521397;;1;1;2;2;5;5.4;5.8;6.2;6.6;7;8;9.5;11;11.125;10.25;10.375;9.5;9.625;6.75;6.475;6.2;6.3;6.4;6.25;5.5;4.25;3;3.125;3.25;3.375;3.5;15.375;27.25;39.125;42;44.5;45;46.75;54.5;60.25;84;103.75;134.5;202.25;247;375;479;532;905;1224;1605;2119;2659;3425;4534;6303;7634;13530;19011;25198;32758;43260;52777;64497;82173;99478;118738;137410;157199;181751;205589;230015;256313;283253;303796;322824;342487;363274;377601;394878;404931;414404;418788;419498;422978;424039
US Alabama;4903185;131171;4345;88.6158690729;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;12;28;36;46;68;81;124;138;167;215;283;505;584;690;794;831;945;1031;1165;1351;1456;1658;1801;1904;2086;2263;2381;2495;2719;2875;2895;3036;3112
US Alaska;731545;1477953;300;41.0090971847;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;6;9;12;14;22;29;36;41;58;68;83;100;111;116;127;134;145;157;163;162;177;184;176;177;172;170;163;166;160;157
US Arizona;7278717;294207;4234;58.1695922509;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;5;5.3333333333;5.6666666667;6;9;10;11;12;15;18;20;26;42;62;99;146.6666666667;259.3333333333;351;441;567;723;858;902;1137;1265;1384;1554;1704;1915;2117;2191;2218;2276;2441;2376;2520;2620;2545;2517;2549;2636
US Arkansas;3017804;134771;1620;53.681418674;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;12;16;22;27.5;33;46;96;118;165;174;218;278;329;372;392;410;451;495.5;551;597;608;625;665;701;728;720;784;790;822;854;937;957;985;977
