Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17
Japan;126476461;364555;0.3346447856;0.0357661146;0.0974264717;0.1345930907;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1049575283;0.0601616891;0.0414026786;0.0420038503;0.0428912726;0.0399061664;0.0358784898;0.0357661146;0.0376995727;0.0469622831;0.1097257295;0.1912427918;0.2804473952;0.3346447856;0.3055084181;0.2386171066;0.1827664898;0.1605237371;0.166105466;0.1701240467;0.1654164916;0.1491852521;0.1298456448;0.1167620001;0.1149849113;0.1139424826;0.1014628637;0.091870273;0.0948960567;0.1073976276;0.1275100467;0.1470519319;0.1612102405;0.1543261182;0.1335084989;0.1231909437;0.11932117;0.1194872825;0.1117677649;0.1081510442;0.1017182296;0.0959618449;0.082772827;0.0631842234;0.0524534753;0.0545513189;0.0734503932;0.0862649461;0.1046711798;0.1137514575;0.1173790691;0.1242837339;0.1356338468;0.1543523453;0.1618607727;0.1510446368;0.1242378126;0.1135278481;0.1179086708;0.1406221641;0.1619798837;0.1643144172;0.1543762614;0.1355844032;0.1253648891;0.124345747;0.143082093;0.1593464206;0.1607401956;0.1446893318;0.1270699379;0.1048178318;0.0974264717
Korea, South;51269185;97230;0.7951685853;0.0192931409;0.0454547528;0.0020729294;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.116572549;0.1268946737;0.1236532447;0.1117850331;0.0841264889;0.0620004372;0.0526050643;0.0530742101;0.0443519364;0.030260711;0.0196365892;0.0192931409;0.0285124827;0.1478761088;0.3046917544;0.4964749423;0.7355424668;0.7951685853;0.7676431048;0.6094621922;0.4365706801;0.346344089;0.3054897192;0.319769928;0.3189064434;0.2958990649;0.255357777;0.2044886105;0.1662192288;0.1342537342;0.1112410527;0.0921067726;0.0744990101;0.0582708029;0.0433573176;0.0324388262;0.0278302427;0.0291241504;0.0293112768;0.0300795184;0.030811906;0.0320608805;0.0375971131;0.0483300321;0.0644519683;0.076959895;0.0836318521;0.0775337592;0.0723119224;0.0630537374;0.0604810603;0.0655058951;0.0744533604;0.0793986024;0.0781147371;0.0754167535;0.0769248165;0.0735775451;0.0739196624;0.0755726685;0.0684874889;0.0611236729;0.0549561858;0.0490294454;0.0438705675;0.0422046355;0.0402115989;0.0375840849;0.0384985997;0.0405015365;0.0430194123;0.0454547528
Portugal;10196709;91590;0.4181675535;0.0604294263;0.064716202;0.0096067088;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3099383027;0.316074013;0.3620124982;0.4036589923;0.4181675535;0.4153782372;0.4001409146;0.3731613742;0.3471337177;0.3225032531;0.2985537206;0.2832859654;0.2602997956;0.2501395679;0.2347820986;0.2219963235;0.2188687553;0.2089797799;0.194873252;0.1740994355;0.1537691447;0.1376461037;0.1289294291;0.1185238951;0.1098295544;0.0959685269;0.0848645079;0.079008046;0.076263557;0.0848887079;0.0944228483;0.1018445654;0.0930049243;0.0802930245;0.067609801;0.0604294263;0.064716202
Russia;145934462;16376870;0.3206258304;0.1342736235;0.1764389522;0.1456797194;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1342736235;0.185498129;0.250339207;0.2876566294;0.3206258304;0.295841714;0.2827480181;0.2941936645;0.3125611067;0.3134073191;0.2877901703;0.2575108567;0.2227496784;0.2113592154;0.218506462;0.2393135515;0.2587327593;0.2564681943;0.2469496203;0.2365806492;0.2320117342;0.2394322162;0.2408223868;0.229634706;0.2114202141;0.1870649131;0.1756169377;0.1732677156;0.1801067135;0.1848359623;0.1838375758;0.1812406337;0.1782329256;0.1774402426;0.1774275819;0.1779222443;0.1764389522
Singapore;5850342;700;0.1820833566;0.0322763692;0.1820833566;0.1407273549;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1696732646;0.1509742774;0.1349709141;0.1092177252;0.0998664103;0.1109524693;0.1290718981;0.1380911219;0.129987919;0.1284692305;0.135362494;0.1420770546;0.1325848976;0.105422141;0.0791687602;0.0595555816;0.0485469428;0.039171619;0.0346470156;0.0322763692;0.0328622712;0.0359817755;0.0447726606;0.062075122;0.0819865429;0.098607004;0.1069547293;0.11335148;0.1071701854;0.0944278204;0.0967369809;0.1192437649;0.1467447957;0.1621561907;0.1523589514;0.1335357736;0.121205058;0.1260206352;0.1276644795;0.1253923524;0.1191398758;0.1142923978;0.12776095;0.1467999963;0.1697921423;0.1782666115;0.1720513559;0.1562554094;0.1389227969;0.138553599;0.1402284371;0.1379856413;0.1340228445;0.1199747505;0.1073564036;0.0935882798;0.0881746652;0.0858176127;0.0885334122;0.0951977487;0.1000225258;0.1082366309;0.11427719;0.1229528923;0.1330124475;0.1510046833;0.1685426074;0.1734788013;0.1645407413;0.1600319988;0.1617155372;0.1724645872;0.1820833566
Spain;46754778;498800;0.5818284352;0.0562549089;0.0685389374;0.0318521963;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5818284352;0.5370010683;0.4201771952;0.3761971859;0.3380247384;0.3356598861;0.3753017083;0.414368095;0.4552188313;0.4959874735;0.5094122307;0.4682394186;0.4161468398;0.3411109511;0.284945005;0.2444540173;0.2350719963;0.22472268;0.2247395185;0.2162855238;0.2098905868;0.2011534553;0.1967392733;0.2005101883;0.1954396135;0.1899470725;0.1679993042;0.1483128107;0.1269534933;0.1153647814;0.1101911402;0.1035123287;0.0985158278;0.0891276264;0.0811804521;0.0718671286;0.0681192993;0.0664226322;0.06668378;0.0672630623;0.0656281439;0.0631100542;0.0586060701;0.0562549089;0.0589967364;0.0685389374
Sweden;10099265;410340;0.6374626284;0.0738416959;0.0842108053;0.053907496;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5443806048;0.6374626284;0.6027062224;0.4229376011;0.369247112;0.3280385773;0.3336734357;0.3335536916;0.3139661087;0.2655501623;0.2098555753;0.1499868422;0.1105610906;0.0933105553;0.0959675428;0.1092702827;0.1179216609;0.1149562664;0.11257426;0.1134293838;0.1195163898;0.1372834409;0.1461633204;0.1447495834;0.1367521098;0.1309578261;0.1270057176;0.1346713781;0.1429757083;0.1447255612;0.1349959403;0.1143039163;0.0980137461;0.0925183168;0.0987710313;0.108291434;0.1129817979;0.1048443482;0.0909746095;0.0785128682;0.0738416959;0.077759281;0.0842108053
Switzerland;8654622;39516;0.4827758896;0.0433906219;0.0459111984;0.0129432889;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4591054557;0.4827758896;0.4794815853;0.4473677767;0.395116836;0.3040709268;0.2647155734;0.2583574017;0.2903809219;0.3002176689;0.3306329184;0.3157187509;0.2921607719;0.2534818378;0.2076913379;0.2068348624;0.2226819813;0.2514745153;0.2459905183;0.2158264879;0.1775965228;0.1506865645;0.1289416818;0.1149156197;0.1063977604;0.0981002549;0.0879769121;0.0806655711;0.0790442245;0.0796725188;0.082758539;0.077937999;0.0745215397;0.0666588309;0.0626078389;0.0640006768;0.0685448069;0.0725920334;0.0675163856;0.060498111;0.0485653396;0.0433906219;0.0434242852;0.0459111984
US;331002651;9147420;0.441144298;0.0192376247;0.0788958821;0.0477762088;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0192376247;0.0200464397;0.0209271912;0.026425619;0.0371886355;0.0507709811;0.068160568;0.0880611765;0.1125305491;0.0927448655;0.081897255;0.0787771059;0.0758828126;0.1372388353;0.2479412228;0.365807084;0.441144298;0.3840547123;0.2601627703;0.1359052507;0.0824417547;0.0696618927;0.1069182996;0.1530789332;0.2033631886;0.2619580659;0.2883628562;0.3432698766;0.3692729879;0.3588751598;0.3664214509;0.3536680665;0.3605929921;0.3689138417;0.3449131311;0.3203557229;0.2977805999;0.3038069688;0.3071652546;0.3560276983;0.3977153901;0.4233574563;0.4339514413;0.3897476785;0.3443564407;0.2978312925;0.2755431692;0.2561023875;0.2430331131;0.2274480002;0.2077482054;0.188705532;0.1701436763;0.1630660069;0.1574207425;0.1523043602;0.1452424368;0.1354164473;0.1236770308;0.1125463006;0.1063638837;0.1029067282;0.1011462731;0.0974249252;0.0916799196;0.0852706533;0.07966471;0.0773307652;0.0788958821
United Kingdom;67886011;241930;0.422501282;0.0380204019;0.0824324334;0.0543101859;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0410735585;0.0394890059;0.0380204019;0.0733111998;0.0783258916;0.0888154629;0.101343299;0.1305087811;0.1803951681;0.2499116184;0.3160966526;0.3400129157;0.3690457411;0.3729265551;0.4142818527;0.422501282;0.4005782421;0.3503344631;0.2909266982;0.2518863686;0.2346816511;0.24442254;0.2788635979;0.3051625728;0.2980385748;0.2738912693;0.2509132051;0.2318019539;0.2437060312;0.2590252188;0.2573572656;0.2560447402;0.2291778695;0.2104635007;0.1988474637;0.2094087242;0.2215841286;0.2202101031;0.2046019812;0.1836205553;0.1690280349;0.1602443448;0.1630886023;0.1617477271;0.1544343497;0.1430562225;0.1304911743;0.1205331835;0.1106391477;0.1122525874;0.1140750122;0.1178373744;0.114717111;0.1027997623;0.0937726411;0.0841362853;0.0824324334
