Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17
Japan;126476461;364555;7170;5.6690390791;0.7326044753;;;2;2;2;2;4;5.5;7;9;11;15;20;20.6666666667;21.3333333333;22;21;22;23;23.5;22;21.1666666667;20.3333333333;19;17.5;14;23;38.3333333333;44.6666666667;52;61;70;80;96.5;121;132.3333333333;142.6666666667;161;185.5;199;198;197;208;219;247;266;315;339;355;352;411;450;456;473;532;583;584.5;585;558;564;543;546;599;617;612;668;717;767;920;1027;1051;1075;1289;1571;1654;2132;2295.5;2526;2713;2950;3280;4062;4312;4882;5460.5;5692;5922;6131;7170
Korea, South;51269185;97230;573;1.1176304051;0.0538787024;;;1;1;2;2;3;4;5.75;7.5;9.25;11;12;15;15.5;16;18;22;22;22.5;22;23;22.25;20.7;19.15;17.6;16.8;14;14.5;15;48.5;81;180;408.5;577;806;949;1232.8;1737.6;2308.4;3121.2;3707;4305;5155;5553.5;5984;6389;6608;6712;6645;6536;6494;6103;5642;4936;4426;3901;3134;2792;2477;2059;1758;1647;1521;1524;1382;1372;1353;1392;1421;1425;1466;1474;1411;1410;1357;1276;1285;1294;1247;1182;1118;1002;929;876;778;704;637;573
Portugal;10196709;91590;9136;89.5975358324;0.4802859846;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;5;8;13;20;30;35.5;41;59;85.5;112;169;245;329;446;611.5;777;1007;1260;1570;2024.5;2321;2936;3458.5;4156;5001;5717;6077;6995;7634.5;8249;8866;9244;9678;9670;10080;10146;10412;11204;10817;10623;10526;10005;9840;9807;9136
Russia;145934462;16376870;27859;19.0900762015;0.870376156;;;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;11;13;15;16.5;18;22;26;43;57;61;87;111;144;195;240;291;350;419.5;475;634;812;991;1205;1471;1746;2223;2630;3349;3896;4425;5022;5905;7002;8014;9291;10881;12320;14236;16492;18765;21713;24390;27859
Singapore;5850342;700;3936;67.2781180998;0.7794059406;;;0;1;3;3;4;5;7;8.5;10;13;16;18;21;24;28;28;27;30;36;40;40;41.5;48;54;56;57;56;57;56;55.5;55;54;49;45;44;43;38;32;30;31;31;29;29.5;32.5;45;51;61;65;69;85;93;101;110;120;135;156;199.5;228;255;294;305;354;398;453;494;532;590;618;636;660;687;704;729;757;854;866;923;992;1227;1376;1497;1688;2039;2326;2699;3378;3936
Spain;46754778;498800;71640;153.2249816265;0.3753949664;;;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0;0;4;11;13;30;43;82;118;163;220;256;395;490;656;1045;1660;2223;3699.5;5099;6196;7509;9600;11215;13287;17133;19367;23999;26996;32825;37077;45868;53421;60487;66844;72312;78014;84175;90208;94102;98789;100794;102878;101539;102057;98705;95436;92554;89792;86721;82143;76618;73526;72883;71640
Sweden;10099265;410340;7085;70.1536200902;0.536092615;;;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;6;8.5;11;13;14;20;34;93;100;160;202;247;354;498;592;804.5;949;1008;1088;1169;1244;1345;1538;1602;1731;1798;1931;2026;2241;2255;2486;2678;2925;3245;3668;4129;4492;4680;4896;5160;5407;5893;6301;6616;6704;6783;6920;7010;6980;6972;7085
Switzerland;8654622;39516;7472;86.3353708573;0.2759435704;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;13;18;27;42;56;90;113;213;267;335;372;488;648;887.5;1126;1341;2173;2408;2644;2938;3961;5080;6307;7137;8421;9386;10245;10915.5;11789;12717;12629;13472;13905;14740;14752;14312;13930;13626;12862;12376;12383;12240;11623;11031;10586;9766;9331;8568;7905;7472
US;331002651;9147420;424120;128.131904297;0.6061402932;;;1;1;2;2;5;5.4;5.8;6.2;6.6;7;8;9.5;11;11.125;10.25;10.375;9.5;9.625;6.75;6.475;6.2;6.3;6.4;6.25;5.5;4.25;3;3.125;3.25;3.375;3.5;15.375;27.25;39.125;42;44.5;45;46.75;54.5;60.25;84;103.75;134.5;202.25;247;375;479;532;905;1224;1605;2119;2659;3425;4534;6303;7634;13530;19011;25198;32758;43260;52777;64497;82173;99478;118738;137410;157199;181751;205589;230015;256313;283253;303796;322824;342487;363274;377601;394878;404931;414404;418788;419498;422978;424039;424120
United Kingdom;67886011;241930;70524;103.8859095727;0.6488426011;;;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;3;3;3;8;8.5;9;9.3333333333;7.6666666667;8;8.3333333333;8.6666666667;9;9.3333333333;9.6666666667;9;9.3333333333;9.6666666667;5;5.1666666667;5.3333333333;5.6666666667;10.3333333333;13;25.6666666667;29.3333333333;40;73.6666666667;103.3333333333;151;193.6666666667;260.3333333333;308;368.3333333333;441.6666666667;612;778;1117;1305.5;1488;1895;2541;2552;3806;4785;5402;6315;7655;9064;11031;13745;15949;18180.5;20598;23200;26848;30797;34185;36885;42123;44958;47165;51204;53419;59215;61902;64757;66480;68723;69002;69375;70524
