Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17
Japan;126476461;364555;2427;1.9189341485;0.247982017;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;5.5;7;9;10;14;19;19.6666666667;20.3333333333;21;22;23;24;24.5;25;25.6666666667;26.3333333333;26;24.5;25;38;53;60;68;78;88;99;116;141;149;160;174;198;209;219;234;247;264;302;331;387;426;461;469;538;594;623;652;721;785;804.5;822;832;862;900;930;1024;1043;1101;1214;1293;1369;1594;1758;1786.5;1810;2032;2317;2427
Korea, South;51269185;97230;9832;19.1772114185;0.9244945933;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;3;4;5.75;7.5;9.25;11;12;15;15.5;16;19;22;22;22.5;19;19;18;16.2;15.4;15.6;12.8;12;2;3;32.5;69;162;389;552;780;923;1201;1700;2271;3078;3661;4260;5105;5537;5997;6499;6939;7203;7367;7393;7629;7738;7840;7942;8010;8078;8158;8248;8396;8478;8622;8778;8813;8845;8937;9037;9124;9267;9369;9444;9564;9662;9747;9832
Portugal;10196709;91590;9229;90.5095948114;0.4851750605;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;5;7;8;16;12.5;8;16;25.5;36;69;126;191;288;429.5;576;774;1014;1305;1749;2017;2615;3135;3833;4700;5458;5873;6876;7652;8405;9229
Russia;145934462;16376870;3876;2.6559867675;0.1210947263;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;12;14;16;17.5;19;21;25;41;55;55;81;97;123;169;219;263;322;391;437;595;764;942;1158;1404;1688;2167;2579;3316;3876
Singapore;5850342;700;1103;18.8535986443;0.2184158416;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;4;5;7;8.5;10;13;16;18;21;24;28;29;30;33;40;45;47;50;58;67;72;75;77;81;84;84.5;85;87;89;90;91;93;96;99;102;106;108;110;113.5;117;130;136;148;153;158;176;187;198;210;223;240;263;310;341;380;426;449;503;552;625;677;725;794;836;870;916;990;1039;1103
Spain;46754778;498800;99197;212.164412373;0.5197941721;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;409;995;2226;3284;4523;7615;9212;13427;16127;21795;25840;34723;42339;49638;56629;62901;70200;77867;85410;92750;99197
Sweden;10099265;410340;4731;46.8449931752;0.3579751816;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;8.5;10;11;9;14;25;83;85;141;182;223;319;438;522;709;856;912;957;1010;1040;1131;1281;1390;1533;1569;1695;1839;2047;2199;2560;2801;3109;3402;3744;4235;4731
Switzerland;8654622;39516;18279;211.2050647619;0.675049856;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;5;13;28;29;62;73;160;193;239;254;369;499;704.5;908;1095;1900;2091;2267;2540;3539;4703;5909;6759;8030;9056;10002;10863;11926;13040;13723;14784;15431;16529;17546;18279
US;331002651;9147420;238813;72.1483647574;0.3413047766;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;5;5.4;5.8;6.2;6.6;7;8;9.5;11;11.125;11.25;11.375;11.5;11.625;11.75;11.875;12;12.5;13;13.25;12.5;12.75;8;7.25;3.5;2.75;1;10;18;29;26;21;18;13;14;11;13;10;31;17;18;95;101;26;253;339;454;598;701;1032;1654;2548;3026;7821;12186;17193;23657;33060;41014;51083;67358;83071;101003;118890;138303;162341;185047;210846;238813
United Kingdom;67886011;241930;23592;34.7523733572;0.217053693;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;3;3;3;8;8.5;9;9.3333333333;9.6666666667;10;10.3333333333;10.6666666667;11;11.3333333333;10.6666666667;10;10.3333333333;9.6666666667;9;7.6666666667;6.3333333333;7;12;2;15;0;0;14;0;0;0;0;0;0;0;49;39;121;113.5;135;161;274;0;378;705;749;1277;1918;2432;3680;5585;7214;8910;10812;13043;16606;19989;23592
