Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17
Japan;126476461;364555;0.2351557953;0.022671447;0.0713750692;0.1345930907;;;;;;;;;;;;;;;;0.0958307867;0.055148215;0.0380904643;0.0387094307;0.0362926153;0.0316755196;0.0266900961;0.0242698635;0.0231488604;0.022671447;0.0586905065;0.1242537913;0.1897977321;0.2351557953;0.2218573036;0.17769359;0.1392506589;0.1269716445;0.1367262679;0.1415917118;0.1388201145;0.1270837333;0.1125531173;0.1019106931;0.0944689313;0.0876823011;0.0770229038;0.0686675419;0.0708136737;0.0793549137;0.095632535;0.1081358024;0.1140032577;0.1063068368;0.09444405;0.0867541857;0.0812096321;0.0806240865;0.07692167;0.0751514407;0.0692537044;0.0639381313;0.0519541479;0.0385669935;0.0295765702;0.0295779743;0.0399607498;0.0471857019;0.0536955256;0.0581376998;0.0606782931;0.0649357111;0.0737053391;0.0849516927;0.0890891187;0.0831402891;0.0735273372;0.0714838675;0.074520803;0.0955101796;0.1094729348;0.1135900979;0.1072254985;0.0939567746;0.0881073144;0.0913367856;0.1027427119;0.115282932;0.1190938722;0.107726838;0.0929022435;0.0745001306;0.0713750692
Korea, South;51269185;97230;0.7621466341;0.0024490431;0.0024490431;0.0020729294;;;;;;;;;;;;;;;;;0.1115041773;0.1163201176;0.1135591023;0.0983708291;0.0716633054;0.0492682046;0.0386143557;0.0357877156;0.0272934993;0.0176520814;0.0094797327;0.0093250181;0.0137963626;0.1062517226;0.237308001;0.4380661256;0.6939240131;0.7621466341;0.7427615156;0.5919955173;0.426807561;0.3407743426;0.3017511629;0.3168463172;0.3164309919;0.2938513205;0.2538313422;0.202033001;0.1633797413;0.1300996675;0.1044000676;0.0845256573;0.0662003105;0.0506931942;0.0363072109;0.025158744;0.0196789359;0.0177784821;0.0158945983;0.0142472318;0.0116063117;0.0106399594;0.0108730939;0.0115015645;0.0128772088;0.0141449556;0.0141353536;0.0130752959;0.0109374058;0.0093615115;0.0087688464;0.0096206168;0.0110401988;0.0117113144;0.0117020442;0.0112434808;0.0108802041;0.0103105087;0.0098768198;0.0094198227;0.0085576063;0.00765599;0.0065996113;0.0055600887;0.004693521;0.0040352142;0.0035537077;0.0031245761;0.0028352812;0.0026921992;0.0025820565;0.0024490431
Portugal;10196709;91590;0.4156408613;0.0310822848;0.0310822848;0.0096067088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3099383027;0.316074013;0.3620124982;0.4036589923;0.4156408613;0.4135238701;0.3968956517;0.3693584557;0.3427094644;0.3174641398;0.2929558383;0.2784040956;0.2557814672;0.2452119437;0.2291179142;0.2161707405;0.2117142447;0.2003920499;0.1848072335;0.1636202541;0.1422797885;0.1256854892;0.1156269794;0.104108218;0.0942481315;0.0791147191;0.0687537566;0.0610011137;0.0568971163;0.0614718901;0.0638876556;0.0652333324;0.0578109031;0.0460414781;0.036774111;0.0314543487;0.0310822848
Russia;145934462;16376870;0.3099383027;0.1246826504;0.153568257;0.1456797194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1246826504;0.1772537677;0.2418531322;0.2785246729;0.3099383027;0.2880564057;0.2769776504;0.288280224;0.2965006546;0.2980442152;0.2744592905;0.2466342566;0.2137496914;0.2036500647;0.2112229133;0.2289186579;0.2466558346;0.2459352763;0.2348442468;0.2250401297;0.2197302344;0.2260029572;0.2261373871;0.2147819856;0.1970221405;0.1741476134;0.1640215817;0.1601207879;0.1651733763;0.1687673161;0.1667313703;0.1636107585;0.1603785142;0.1577891267;0.1573084968;0.1553269217;0.153568257
Singapore;5850342;700;0.1696732646;0.0158894498;0.1419168498;0.1407273549;;;;;;;;;;;;;;;;0.1696732646;0.1457682678;0.1214738227;0.0992888411;0.0898797693;0.0986244172;0.1098484239;0.1146156312;0.1075762088;0.1035423649;0.1052819398;0.1079785615;0.0964253801;0.0741859511;0.0527791735;0.0391163879;0.0314127277;0.0243134187;0.0190753232;0.0161381846;0.0158894498;0.0166367349;0.0177225115;0.0200646859;0.0241136891;0.0288378974;0.0306999686;0.029883572;0.0278548059;0.0262299501;0.033485878;0.0440683479;0.0596762169;0.0680009832;0.0657047978;0.0637670829;0.0596405841;0.0636404208;0.0662410035;0.0665800101;0.0661888199;0.0670286243;0.0814322988;0.0970156497;0.1124597306;0.1213203328;0.1153311287;0.1086727209;0.0990883032;0.0994687486;0.1014243747;0.1002846464;0.0985953594;0.0878488102;0.0776776709;0.0667043895;0.060575995;0.057593517;0.0579361378;0.0606095002;0.0652553377;0.0681693981;0.071220693;0.0751505047;0.0854483105;0.0985685219;0.1097469697;0.1156525342;0.1149755214;0.1144632316;0.1179968194;0.1315982326;0.1419168498
Spain;46754778;498800;0.5747759693;0.0232490167;0.0257291721;0.0318521963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5747759693;0.5321632208;0.4153102779;0.3714947211;0.3312642436;0.3271811074;0.3655081875;0.4058118217;0.4444231278;0.4887217095;0.4964627225;0.4539526581;0.4007241113;0.3293768991;0.2720172141;0.2335054298;0.2242102384;0.2132388115;0.2125610351;0.2029631535;0.196085454;0.1869917679;0.1822485507;0.1853641846;0.1798803375;0.1733709581;0.1516460577;0.1315484517;0.1114050884;0.0999522292;0.0925285029;0.0857882989;0.0787030336;0.0696509727;0.0603108244;0.0516728209;0.0453630781;0.0413720636;0.038994968;0.0370471449;0.0341143928;0.0304766588;0.0260244225;0.0232836371;0.0232490167;0.0257291721
Sweden;10099265;410340;0.6335032332;0.0432141391;0.0451447908;0.053907496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5389906978;0.6335032332;0.5997372262;0.4212322075;0.3682069793;0.326726423;0.32977408;0.329660866;0.3100456162;0.2619124888;0.2070016917;0.1473400156;0.1075355721;0.0872152167;0.0900537406;0.0992915445;0.1055441546;0.1010221735;0.0950922555;0.0909770117;0.0943085315;0.1008713455;0.1054139874;0.1047674012;0.0993048464;0.0958191986;0.0941695921;0.0998667601;0.1047540176;0.105124263;0.0967701499;0.0818495987;0.0688886423;0.064759525;0.0680840464;0.0739758521;0.0746162913;0.067839284;0.0575031328;0.048088703;0.0432141391;0.043232672;0.0451447908
Switzerland;8654622;39516;0.4805199275;0.0126689;0.0126689;0.0129432889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4550782149;0.4805199275;0.4776924749;0.4447127751;0.3930039117;0.3022130596;0.2630915515;0.2560493512;0.2870666533;0.2962412759;0.3265751508;0.3103064295;0.2861011411;0.2459477013;0.2018810772;0.1984739518;0.2136053621;0.2401356189;0.2355299778;0.2050974401;0.1669703933;0.139261637;0.1175814888;0.1038208252;0.0906128071;0.0830050643;0.0736717231;0.0669186469;0.0619355394;0.0581593945;0.0562217239;0.0503309561;0.0442580248;0.037072291;0.0333020992;0.0325711315;0.0324506656;0.0318940025;0.028122308;0.0230000215;0.0174723621;0.0141164508;0.0128411258;0.0126689
US;331002651;9147420;0.4271962169;0.0108123821;0.0478219731;0.0477762088;;;;;;;;;;;;;;;;;;;;0.0110514014;0.010930585;0.0108123821;0.013318512;0.0183082513;0.023948576;0.0277691203;0.0272189091;0.0241136891;0.0203387863;0.0183562813;0.01802527;0.0177059896;0.0781498923;0.1732409826;0.2806314149;0.3431122318;0.2998321877;0.2018504252;0.1058928412;0.0660746416;0.0567179599;0.0916442568;0.1345927061;0.1835728112;0.2441521605;0.2718535324;0.3202144371;0.3414705815;0.3274812779;0.3457887519;0.3379310799;0.3480166881;0.35875559;0.336312437;0.3135805519;0.2914804059;0.2982238474;0.3012847942;0.3504077077;0.3923087885;0.4167094212;0.4271962169;0.3845650291;0.3382108804;0.2920311483;0.2700773992;0.2506128777;0.2375767981;0.2218000959;0.2018019424;0.1822663263;0.1639374813;0.1538698713;0.1464115839;0.1396802587;0.1309039948;0.1192244712;0.106903878;0.0952918173;0.0870392033;0.0818383458;0.0778069391;0.0727036441;0.0661267547;0.0588656154;0.0529526514;0.0491033412;0.0478219731
United Kingdom;67886011;241930;0.3972058978;0.0281966153;0.0534856745;0.0543101859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0308051689;0.029883572;0.0290155699;0.0281966153;0.0296110078;0.0330476141;0.0382852463;0.0674295369;0.1019624863;0.1781777279;0.2318042119;0.2666767966;0.3198396423;0.3350934263;0.3837825752;0.3972058978;0.3819921942;0.336146463;0.2805183259;0.2439688877;0.2290672575;0.2382966618;0.2732374025;0.2969733424;0.2874150352;0.2661661309;0.2427914905;0.2199920366;0.2328760117;0.2469979418;0.2446320515;0.2431462458;0.2172039855;0.2001932176;0.1881528883;0.197918099;0.2068023446;0.2050778496;0.1903433273;0.1693835739;0.153968402;0.1463623313;0.1460695837;0.14237799;0.1360757669;0.1246225711;0.111411901;0.1016215423;0.0908190702;0.0901195391;0.0893958983;0.0905420669;0.0860562794;0.0752581473;0.0657063628;0.0566183426;0.0534856745
