Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;Last Trend
Switzerland Grisons;198379;7105;740;373.0233542865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1444005319;0.0984021172;0.0783846476;0.0921362894;0.1068709313;0.1091147835;0.0963762276;0.0756026184;0.0583374864;0.0507561544;0.0473183017;0.0489588852;0.0507130159;0.0468255232;0.0395096983;0.0289067328;0.0240388407;0.0218694749;0.0216128691;0.0205545448;0.0169844021;0.0126222684;0.0068027211
Switzerland Jura;73419;88;185;251.9783707215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1671872287;0.1630547206;0.1576958957;0.1593286894;0.16397991;0.1660701237;0.173576818;0.1729498919;0.1604471568;0.1457460261;0.1356013519;0.119507721;0.1032503065;0.0808869161;0.0659060256;0.0553012548;0.0478444252;0.0447058498;0.0357005288;0.0303681092;0.024435316;0.0266900961;0.0287171348;0.0300371782;0.0285643588;0.0238785039;0.0188604693;0.0124101932;0.0080791331;0.0054347826
Switzerland Lucerne;409557;1493;589;143.8139257783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2022465731;0.2048510782;0.1989374002;0.1800937453;0.1488251374;0.1248616212;0.1007186848;0.0851682957;0.070867587;0.0616620205;0.0601429026;0.0591044618;0.0549706454;0.0477980691;0.0392898776;0.034211444;0.031110941;0.030596048;0.0299606735;0.0267905403;0.0223687486;0.0173457772;0.0155172414
Switzerland Neuchâtel;176850;220;602;340.4014701725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1998737174;0.1977324429;0.2051970575;0.2060577758;0.1982315559;0.1860540856;0.1951767897;0.2128952629;0.2131443503;0.1897357691;0.1437090518;0.1111074712;0.0935871519;0.0890659921;0.0872423911;0.0778972818;0.0693660504;0.0597662307;0.0588714393;0.0590801757;0.0595856656;0.0580585723;0.0486433766;0.0389600804;0.0281627914;0.0235182739;0.0251461818;0.029534518;0.0358685068;0.0394519249;0.0414572255;0.0393402369;0.0329823325;0.0265140285;0.0203389831
Switzerland Nidwalden;43223;276;105;242.9262198367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1473198753;0.1374613643;0.1311516801;0.1262501561;0.1161938727;0.0980013914;0.0841347521;0.0782818003;0.0762878748;0.0767126542;0.0720551242;0.070870841;0.0702664015;0.0685225903;0.0653453023;0.0518205664;0.0410870309;0.0326159003;0.0293813121;0.0314625006;0.0334118305;0.0379456758;0.0395797368;0.0364877764;0.0307117862;0.0205515005;0.004784689
Switzerland Obwalden;37841;491;64;169.1287228139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1137088246;0.1165493022;0.0967376779;0.071417742;0.0502505132;0.0469730362;0.0484475014;0.0509385758;0.0478278879;0.0368868792;0.0251507676;0.0163116535;0.0130928855;0.0110256121;0.0093715678;0.0082089911;0.0072033467;0.0062893082
Switzerland Schaffhausen;81991;298;57;69.5198253467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1487442355;0.0914136846;0.0565569607;0.041601994;0.0396571828;0.0403487581;0.0413458518;0.0415816002;0.0411720886;0.0383833876;0.033691798;0.0259172765;0.0192676782;0.0153759852;0.015168608;0.0149336304;0.0168308737;0.020728143;0.0235085995;0.022671447;0
Switzerland Schwyz;159165;908;258;162.0959381774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3216863962;0.2689180319;0.2093622102;0.1719790242;0.1461560218;0.1271847407;0.1139386211;0.1046605744;0.0928193381;0.0800258996;0.0657748747;0.0542859117;0.0478789148;0.0461620838;0.0483301006;0.0478205196;0.0443541974;0.0394577894;0.0347098038;0.0350723602;0.0429672752;0.0486576322;0.0616108901;0.0634658747;0.0616178198;0.0517344822;0.0137524558
Switzerland Solothurn;273194;791;325;118.9630811804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.148358541;0.1371353427;0.1329518065;0.1364412193;0.1344837581;0.1221020996;0.1042077662;0.0791024341;0.0645930261;0.0528690966;0.0516192572;0.0537920358;0.0534167619;0.0473850494;0.0358889785;0.0291616062;0.0248938479;0.0259550033;0.0302122408;0.0338252723;0.0346531191;0.0305544625;0.0124610592
Switzerland St. Gallen;507697;2026;664;130.786670002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2334482846;0.2333825923;0.2418256226;0.2774269501;0.2996809753;0.3016316911;0.2856706469;0.2380575885;0.1863924039;0.1316282788;0.0975784165;0.0773355615;0.0680343459;0.0648280374;0.0661412817;0.0690978497;0.0674328362;0.0602563414;0.0485487162;0.0370405897;0.0311111713;0.0308899614;0.035759152;0.0399354219;0.0400757656;0.0362259067;0.0286475413;0.0208389587;0.0106544901
Switzerland Thurgovia;276472;991;296;107.0632830811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2574334297;0.235445572;0.2004804806;0.1697584836;0.1295326234;0.1110066677;0.1040156558;0.1017585225;0.0941967425;0.0803451797;0.0670497362;0.0642354862;0.066320196;0.0738059285;0.0724108493;0.0641916748;0.0471968759;0.036806491;0.0356126249;0.0421776239;0.0497599543;0.0504207321;0.0455923368;0.0369715061;0.0136986301
Switzerland Ticino;353343;2812;2912;824.1283964873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3522712616;0.3356121808;0.3574776764;0.3203202291;0.2668766468;0.1994923658;0.1576821928;0.1577425803;0.1786583712;0.2231289572;0.2303492196;0.2081687181;0.177686153;0.137077863;0.1177063871;0.101817721;0.1011474143;0.0978695412;0.0893162226;0.086462004;0.0730247649;0.0672437881;0.0570489924;0.0548942251;0.0474486349;0.0406298821;0.0340251418;0.0283626467;0.0242777915;0.0213163268;0.0211009611;0.0207424907;0.020473591;0.0187521615;0.0159360226;0.004137931
Switzerland Uri;36433;1077;78;214.0916202344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2104893861;0.1845343051;0.1514692839;0.1243105469;0.0994524867;0.0761654372;0.0626944082;0.0463462132;0.0411408019;0.0364228438;0.033119187;0.0284581241;0.0249792251;0.0223185662;0.0223095892;0.0232505499;0.0215804766;0.0193822288;0.0156122991;0
Switzerland Valais;343955;5224;1664;483.7842159585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4524925726;0.4318160514;0.3855762051;0.3408848955;0.3293982248;0.3205889129;0.2954745431;0.2535008298;0.1958602815;0.1646957311;0.1310767832;0.1165066706;0.1065546929;0.105600702;0.1064750826;0.0979746642;0.088239464;0.0742928737;0.0656177932;0.0612969646;0.0572845546;0.0514621781;0.0426537006;0.0362137476;0.031904943;0.0300864048;0.0293003887;0.028022296;0.0252432576;0.0220390587;0.0185007714;0.0133982948
Switzerland Vaud;799145;3212;4741;593.259045605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3837825752;0.4023780988;0.4337956774;0.4201682775;0.3875485047;0.3428954422;0.2810243495;0.2848180423;0.2844075275;0.297977827;0.2646060139;0.1919253204;0.1378343719;0.0944841393;0.0902512252;0.0914176218;0.0924631488;0.0930578302;0.0793209364;0.0722947454;0.060185927;0.0534964481;0.0489253121;0.0435394677;0.0384231006;0.0307747703;0.0245235806;0.0198144663;0.0183255533;0.018919885;0.0194756072;0.0196419331;0.0172566452;0.0149483556;0.0121690863
Switzerland Zug;126837;239;171;134.8187043213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2123093028;0.1988371085;0.1770223959;0.1510750602;0.1233786683;0.1100819042;0.1066819197;0.1090093393;0.1172531474;0.112104648;0.100598632;0.0798697236;0.0568448151;0.0464860991;0.041880762;0.0493085587;0.0555215503;0.0538897848;0.0483986421;0.0383465256;0.0321509167;0.0282278585;0.0258276929;0.0230278149;0.018081164;0.0121726258;0.0076557426;0.0058823529
Switzerland Zurich;1520968;1729;3067;201.6478979176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2680328427;0.235930917;0.2178832856;0.2467004416;0.3034785544;0.3406208394;0.3581653348;0.3104265981;0.2703816844;0.2544880559;0.2612554599;0.2756759253;0.2524339109;0.2189436669;0.1717882023;0.1428272291;0.1350297127;0.1333063647;0.1315089314;0.1198409434;0.1041228375;0.0840664244;0.0665149371;0.0536897828;0.0535358646;0.0601341899;0.0674955058;0.0675087705;0.0556726124;0.042979613;0.0318846465;0.0294945066;0.0313916305;0.0323436732;0.0304767662;0.0243463916;0.0184106746;0.0137433541;0.0155629139
