Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;Last Trend
Switzerland Grisons;198379;7105;740;373.0233542865;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1476094326;0.1002705118;0.0803227295;0.0942093559;0.1091112381;0.1112558439;0.0987607941;0.0785104114;0.0750464949;0.0681138015;0.0734969985;0.0795102522;0.086212127;0.0797004372;0.0673277512;0.0549066433;0.051127927;0.0511002436;0.0543181889;0.0569202779;0.05245183;0.0411474829;0
Switzerland Jura;73419;88;185;251.9783707215;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1795714679;0.1739250353;0.1774078827;0.1774800591;0.1807125539;0.1841868645;0.1931742007;0.1933894246;0.1807486338;0.1656204842;0.1593665373;0.1408061267;0.1214147123;0.1005196627;0.083124717;0.0709617871;0.0630868969;0.0630040581;0.0549788144;0.0490797724;0.0421830718;0.0512809712;0.0609363592;0.0680589228;0.0764516662;0.0682775971;0.0612547985;0.0407763491;0.0332142139;0
Switzerland Lucerne;409557;1493;589;143.8139257783;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2042391502;0.2066639196;0.201324649;0.181996144;0.1507270561;0.1267308071;0.1024703141;0.0867883448;0.0845770904;0.0757536322;0.0756419139;0.0769999794;0.0757232522;0.0696646344;0.0657846964;0.0602991003;0.0583464707;0.0627611241;0.0677994524;0.0651111866;0.0566544724;0.0477414148;0
Switzerland Neuchâtel;176850;220;602;340.4014701725;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1998737174;0.1977324429;0.2051970575;0.2088804851;0.2003862467;0.1877005819;0.2064913862;0.2244377772;0.2289779306;0.2085008452;0.1616726833;0.1247433881;0.1059854498;0.1026274806;0.103104644;0.0957803154;0.0869009628;0.0760261611;0.0780821195;0.0824660786;0.0913356918;0.0979026905;0.0859697227;0.0702533177;0.0531963838;0.0500434504;0.0545018566;0.0645754716;0.0811203361;0.0922773837;0.0991889817;0.0953555536;0.0917904537;0.0798072258;0
Switzerland Nidwalden;43223;276;105;242.9262198367;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1473198753;0.1374613643;0.1311516801;0.1262501561;0.1161938727;0.1078015305;0.0976064798;0.0944629546;0.0972946809;0.1017089123;0.0989530861;0.0987255497;0.101322416;0.1021120953;0.1012211545;0.0882052194;0.0725579482;0.059680158;0.0568038701;0.059714542;0.066823661;0.0824905996;0.0849315186;0.0843273055;0.0773344978;0.0616545015;0
Switzerland Obwalden;37841;491;64;169.1287228139;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1164161776;0.1191392867;0.0988406709;0.0729372684;0.0512555235;0.0478270914;0.0493075162;0.0518219037;0.081990665;0.0646856867;0.045123436;0.0316038287;0.032165199;0.0303687912;0.0293209448;0.0296643087;0.0271184817;0
Switzerland Schaffhausen;81991;298;57;69.5198253467;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1487442355;0.0914136846;0.0565569607;0.041601994;0.0396571828;0.0403487581;0.0423073832;0.042485548;0.0582931551;0.0639723127;0.0678451275;0.0647931912;0.0522979837;0.0455365716;0.0463980951;0.0465577889;0.0514276696;0.0695002442;0.0837493857;0.0861514986;0
Switzerland Schwyz;159165;908;258;162.0959381774;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3602887637;0.2986363802;0.2310017151;0.1887944579;0.1597918635;0.1385833731;0.1236631122;0.1132237123;0.1029450841;0.0890723056;0.0783034223;0.0690822523;0.0652082235;0.0664974255;0.0733901528;0.0776967823;0.0778947682;0.0730092153;0.0678785804;0.0708678618;0.0880002848;0.1089728221;0.1207961546;0.129511663;0.1312279091;0.1140811659;0
Switzerland Solothurn;273194;791;325;118.9630811804;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1497989152;0.1382067126;0.1339014623;0.1373158425;0.1352656404;0.1234010581;0.105298947;0.0799179231;0.0806479401;0.0695726663;0.0715424793;0.0771396307;0.0798157794;0.0745029994;0.0592168145;0.0547524035;0.0497876958;0.0556990582;0.0695108698;0.0852396862;0.0869035252;0.076978297;0
Switzerland St. Gallen;507697;2026;664;130.786670002;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2373390893;0.2361609565;0.2468636564;0.2814091551;0.3029621539;0.3043009981;0.2879378743;0.239770233;0.1960002598;0.1409834604;0.1062952545;0.0853309551;0.0759625733;0.0731302656;0.0765936604;0.0839670072;0.0842054706;0.0837385921;0.0756889672;0.064821032;0.0571911631;0.0599140862;0.0724782812;0.0815482606;0.085061476;0.0827838502;0.0702292337;0.0553482743;0
Switzerland Thurgovia;276472;991;296;107.0632830811;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2574334297;0.235445572;0.202811649;0.171545415;0.1307209961;0.1129372184;0.1055916506;0.1032549714;0.1064207473;0.0944515853;0.0830616135;0.0804066576;0.0881301933;0.1009975864;0.1117645717;0.101869397;0.0778396237;0.0620452277;0.062629099;0.0757475695;0.0973873391;0.0977544806;0.0924511274;0.0770673648;0
Switzerland Ticino;353343;2812;2912;824.1283964873;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3547578823;0.3374871092;0.3588686401;0.323988018;0.2724951025;0.2044486979;0.1615094305;0.1621860333;0.1838452271;0.2318872901;0.2422228907;0.2218733556;0.1887004268;0.1501368334;0.1315694398;0.1168277044;0.1193963883;0.1156092323;0.1061280084;0.1039451298;0.0914887857;0.0876485243;0.0793375761;0.0845648562;0.0760298992;0.0649456624;0.0627284656;0.0531084429;0.0494671629;0.0440613183;0.0538384816;0.0535768458;0.0569173765;0.0579757658;0.0565233834;0
Switzerland Uri;36433;1077;78;214.0916202344;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2215677748;0.1925575358;0.1577805041;0.1291854703;0.1030689408;0.0832177925;0.0709748017;0.0547326708;0.0502832023;0.0488066107;0.0491328598;0.0450035451;0.0444075113;0.0465501524;0.0485561647;0.0645848608;0.0615443222;0.0604725539;0.0579885395;0
Switzerland Valais;343955;5224;1664;483.7842159585;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4619195012;0.4432801944;0.3923804911;0.3470547579;0.3347805487;0.3262463643;0.3003297586;0.2587820971;0.2004240162;0.1694492581;0.1356613448;0.1216091525;0.1140346912;0.1153169894;0.1185242259;0.1108310681;0.1049778711;0.0924623265;0.0881173893;0.0841758748;0.0852802794;0.0805805006;0.068402269;0.0626541465;0.0568390581;0.0566441572;0.0605747798;0.0646543409;0.0625661109;0.0563678106;0.0531697472;0
Switzerland Vaud;799145;3212;4741;593.259045605;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3862585918;0.4063620404;0.4375460723;0.4243490564;0.3914008755;0.345738688;0.282800736;0.2864725869;0.2890500918;0.3034087716;0.270681927;0.1974522494;0.1429246581;0.0993271801;0.0961768107;0.098756935;0.1049774961;0.1067368595;0.0938994587;0.0876798365;0.0770371398;0.0785884354;0.0771416016;0.0744729768;0.0677715641;0.054808903;0.0501000308;0.0407140105;0.0428500253;0.0481132995;0.0546852025;0.061657898;0.0572451318;0.055540873;0
Switzerland Zug;126837;239;171;134.8187043213;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2286407876;0.2120929157;0.1877150238;0.1594166279;0.1296521599;0.1148680739;0.1108383581;0.11290253;0.1345746351;0.1333365889;0.1238430129;0.1016523755;0.0771465348;0.065289465;0.0616447171;0.0756064567;0.086851568;0.0875953957;0.0817399289;0.0708282885;0.0635176647;0.0597127776;0.0647619762;0.0606878872;0.0501925208;0.035678386;0.0229672278;0
Switzerland Zurich;1520968;1729;3067;201.6478979176;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2680328427;0.235930917;0.2178832856;0.2467004416;0.3078451523;0.3448260349;0.3682544992;0.3193322792;0.2797937051;0.2630525578;0.2688143882;0.2857616299;0.2635380419;0.2285424498;0.179497049;0.1497876204;0.1423569064;0.1440212971;0.1451232921;0.1332474337;0.1194783267;0.0982756315;0.0806845687;0.0688384748;0.0728890456;0.0852671027;0.0953868582;0.1019239267;0.0901102716;0.0730877273;0.0583974232;0.057971245;0.0654577826;0.0729601503;0.070985666;0.0577049834;0.0480140218;0.0378713989;0
