Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14
Switzerland Jura;73419;88;185;251.9783707215;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;4;4.5;5;6;7;8.6666666667;10.3333333333;11;16;17;18;24;27;30;32;39.5;49;55;62;73.3333333333;81.6666666667;88;97;101;108;103;111;113;113;107.5;100;99;95;89;82;79;68;64;56.5;56;45
Switzerland Lucerne;409557;1493;589;143.8139257783;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;78.5;92;108;130;155;203;226;250;284;313;334;345;368;336;343.5;357;360;347;341;304;299;289;273;251;237;229;214
Switzerland Neuchâtel;176850;220;602;340.4014701725;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;8;9;13;18;24;27;31;37;46;59;68;73;92;113;138;166;175;182;192;220;234;243;253;257;269;272;285;288;274;255;245;249;243;219;227;236;237;236;242;243;212;200
Switzerland Nidwalden;43223;276;105;242.9262198367;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6.625;9.25;11.875;14.5;17.125;19.75;22.375;25;28;33;36;39;42;40;41.375;44.75;43.125;44.5;45.875;50.25;50.625;51;51;47;47;47;45;49;48;46;48;45;41.5;35
Switzerland Obwalden;37841;491;64;169.1287228139;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;25;26;27;30;36;39;42;45;46;47;50;55;56.3333333333;57.6666666667;35;34.5;34;32;25.4;22.8;20.2;17.6;17
Switzerland Schaffhausen;81991;298;57;69.5198253467;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;19.3333333333;24.6666666667;30;32;34;35;36;37;40;41;42;43;46;33.6666666667;29;24.3333333333;20;18.6666666667;17.3333333333;17;17;18;17;16;15
Switzerland Schwyz;159165;908;258;162.0959381774;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;6;6.4285714286;6.8571428571;7.2857142857;7.7142857143;8.1428571429;8.5714285714;9;12;13;21.6;29.2;35.8;44.4;50;58.1714285714;66.3428571429;74.5142857143;82.6857142857;90.8571428571;100.4285714286;110;110;115;113.4;110.8;107.2;107.6;108;103.4;96.8;96.2;94.6;97;104;96;127;123;119.5;117
Switzerland Solothurn;273194;791;325;118.9630811804;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;43;54.5;65;74.6666666667;84.3333333333;94;103;128;140;156;172;188;191;194;173;172.5;171;174.3333333333;172.6666666667;166;160;147;141;137;133;125;128;129
Switzerland St. Gallen;507697;2026;664;130.786670002;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;15;21.4;27.8;34.2;40.6;47;60;84;96;139.3333333333;182.6666666667;226;252;278;291;301.1;311.2;330.8;348.4;367;386;395;394;362.6666666667;330.3333333333;304;303;298;298;309.5;302;284;268;250
Switzerland Thurgovia;276472;991;296;107.0632830811;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;23;32;36;49;56;75;81;86;95;109;115;132;136;131;131;134;143;149;152;138;138;134;140;145;147;140;147;144;142
Switzerland Ticino;353343;2812;2912;824.1283964873;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;4;5;18;31.5;45;58;68;104.3333333333;141.6666666667;179;257;262;285;322;412;497;620;802.5;873;881;1097;1105.6666666667;1211.3333333333;1221;1430;1462;1546;1632;1669;1684;1633;1543;1524;1569;1381;1388;1305;1313;1088;1091;1032;938;821
Switzerland Uri;36433;1077;78;214.0916202344;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;5;7;9.5;12;17;22;25;31.5;36;38;46;48;51;55;54;53;52.5;54;50;45.5;43;40.5;35;34;27;27;25;21
Switzerland Valais;343955;5224;1664;483.7842159585;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;4;5;6;6.5;7;12;17;22;30;52;75;96;113;170;221;306;340;426;480;515;589;629;685;755;826;866;884;912;920;907;927;886;866;873;830;833;810;757;690;652;642;579
Switzerland Vaud;799145;3212;4741;593.259045605;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;29;39;50;76;107;155;202;347;402;503;603;791;1205;1409;1646;1742;1771;2085;2107;2376;2541;2586;2762;2764;2857;2843;2584;2483;2359;2333;2333;2073;2100;1892;1779;1624;1481;1412;1276
Switzerland Zug;126837;239;171;134.8187043213;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;3;3;3;3;3;3;13;16.6666666667;20.3333333333;24;29;35;39;45;49.6666666667;54.3333333333;59;69;77;84;88;88;88;88;84;89;89;90;93.3333333333;91.6666666667;90;85;82;78;67;64;61;58;57
Switzerland Zurich;1520968;1729;3067;201.6478979176;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;7;11;14;16;24;30;35;41;50;63;102;139;162;213;244;316;416;553;656;682;798.3333333333;913.6666666667;1026;1161;1269;1362;1466;1485;1485;1535;1524;1574;1627;1723;1634.6666666667;1543.3333333333;1536;1472;1420;1385;1298;1282;1267;1158;1113
