Year;Country
1960 Details;Soviet Union
1964 Details;Spain
1968 Details;Italy
1972 Details;Germany
1976 Details;Czechoslovakia
1980 Details;Germany
1984 Details;France
1988 Details;Netherlands
1992 Details;Denmark
1996 Details;Germany
2000 Details;France
2004 Details;Greece
2008 Details;Spain
2012 Details;Spain
2016 Details;Portugal
