#;Company;Symbol;Price;Chg;% Chg;Weight sp500;Weight nasdaq100
75;BlackRock Inc.;BLK;895.49;3.72;0.42%;0.319525
76;Boeing Company;BA;211.06;-2.02;-0.95%;0.294457
77;Booking Holdings Inc.;BKNG;2429.97;16.67;0.69%;0.248495;0.673
78;BorgWarner Inc.;BWA;48.68;0.71;1.48%;0.028961
79;Boston Properties Inc.;BXP;124.8;2.54;2.08%;0.043566
80;Boston Scientific Corporation;BSX;42.84;-0.22;-0.50%;0.153752
81;Bristol-Myers Squibb Company;BMY;61.84;-0.32;-0.51%;0.346105
82;Broadcom Inc.;AVGO;637.03;-5.97;-0.93%;0.664969;1.836
83;Broadridge Financial Solutions Inc.;BR;164.98;-12.49;-7.04%;0.051699
84;Brown & Brown Inc.;BRO;68.54;1.09;1.62%;0.039546
85;Brown-Forman Corporation Class B;BF.B;69.23;-2.62;-3.65%;0.032913
86;C.H. Robinson Worldwide Inc.;CHRW;110.95;1.29;1.18%;0.036206
87;CBRE Group Inc. Class A;CBRE;105.71;-1.01;-0.95%;0.089863
88;CDW Corp.;CDW;206.21;2.68;1.32%;0.070156
89;CF Industries Holdings Inc.;CF;69.24;0.27;0.39%;0.037278
90;CME Group Inc. Class A;CME;225.71;-0.72;-0.32%;0.203968
91;CMS Energy Corporation;CMS;64.5;-0.90;-1.38%;0.047654
92;CSX Corporation;CSX;37.71;0.27;0.72%;0.208624;0.555
93;CVS Health Corporation;CVS;102.59;-3.22;-3.04%;0.349861
94;Cadence Design Systems Inc.;CDNS;176.21;3.59;2.08%;0.119821;0.329
95;Caesars Entertainment Inc;CZR;86.6;2.45;2.91%;0.044334
96;Campbell Soup Company;CPB;45.03;0.75;1.69%;0.02269
97;Capital One Financial Corporation;COF;150.73;2.47;1.67%;0.158504
98;CarMax Inc.;KMX;119.89;0.54;0.45%;0.048756
99;Cardinal Health Inc.;CAH;52.04;-1.28;-2.40%;0.03877
100;Carnival Corporation;CCL;21.11;-0.06;-0.28%;0.042406
101;Carrier Global Corp.;CARR;53.5;1.13;2.16%;0.113972
102;Catalent Inc;CTLT;116.92;0.86;0.74%;0.049597
103;Caterpillar Inc.;CAT;222.01;2.26;1.03%;0.298639
104;Cboe Global Markets Inc;CBOE;125.48;0.99;0.80%;0.033303
105;Celanese Corporation;CE;171.71;-2.11;-1.21%;0.048414
106;Centene Corporation;CNC;75.78;-4.01;-5.03%;0.116683
107;CenterPoint Energy Inc.;CNP;27.53;0.14;0.51%;0.043287
108;Ceridian HCM Holding Inc.;CDAY;90.23;-2.72;-2.93%;0.03145
109;Cerner Corporation;CERN;92.36;-0.19;-0.21%;0.068582
110;Charles River Laboratories International Inc.;CRL;333.94;-1.38;-0.41%;0.042281
111;Charles Schwab Corporation;SCHW;90.74;1.43;1.60%;0.337338
112;Charter Communications Inc. Class A;CHTR;631.95;7.09;1.13%;0.194211;0.764
113;Chevron Corporation;CVX;123.26;1.04;0.85%;0.592481
114;Chipotle Mexican Grill Inc.;CMG;1625.01;30.46;1.91%;0.112338
115;Chubb Limited;CB;197.99;3.97;2.05%;0.209947
116;Church & Dwight Co. Inc.;CHD;102.34;-0.20;-0.20%;0.063125
117;Cigna Corporation;CI;230.51;-6.01;-2.54%;0.196927
118;Cincinnati Financial Corporation;CINF;116.22;2.11;1.85%;0.042897
119;Cintas Corporation;CTAS;403;-2.98;-0.73%;0.089104;0.292
120;Cisco Systems Inc.;CSCO;61.04;0.76;1.26%;0.638766;1.718
121;Citigroup Inc.;C;65.1;2.25;3.58%;0.313301
122;Citizens Financial Group Inc.;CFG;53.8;2.82;5.53%;0.054468
123;Citrix Systems Inc.;CTXS;94.3;-2.92;-3.00%;0.030228
124;Clorox Company;CLX;178.54;1.11;0.63%;0.054648
125;Coca-Cola Company;KO;60.44;-0.36;-0.58%;0.593746
126;Cognizant Technology Solutions Corporation Class A;CTSH;88.23;-1.79;-1.99%;0.11867;0.319
127;Colgate-Palmolive Company;CL;84.66;-0.56;-0.66%;0.1803
128;Comcast Corporation Class A;CMCSA;50.51;0.29;0.58%;0.576317;1.522
129;Comerica Incorporated;CMA;96.6;4.26;4.61%;0.031004
130;Conagra Brands Inc.;CAG;33.53;-0.62;-1.82%;0.041137
131;ConocoPhillips;COP;78.49;2.84;3.75%;0.250673
132;Consolidated Edison Inc.;ED;86.31;0.76;0.89%;0.076035
133;Constellation Brands Inc. Class A;STZ;244.79;-8.57;-3.38%;0.10456
134;Cooper Companies Inc.;COO;410.73;0.25;0.06%;0.050694
135;Copart Inc.;CPRT;141.48;-0.03;-0.02%;0.075877;0.23
136;Corning Inc;GLW;38.33;0.15;0.39%;0.073606
