Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;Last Trend
Bermuda;62278;50;6;9.6342207521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bhutan;771608;38117;2;0.2591989715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0.0745699318;0.1362193665;0.189207115;0.189207115;0.1066819197;
Bolivia;11673021;1083300;29;0.2484361161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4622208914;0.2270066444;0.1106700273;0.0590725904;0.0949693515;0.142844833;0.189207115;0.1967580157;
Bosnia and Herzegovina;3280819;51000;166;5.0597122243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.209896735;0.3021453436;0.3623220817;0.3978615246;0.3837825752;0.3064317958;0.2471678083;0.2065218159;0.2327081232;0.2976862398;0.3443928846;0.363924019;0.2930227259;0.225102827;0.2205882353
Brazil;212559417;8358140;2247;1.0571161851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.189207115;0.189207115;0.189207115;0.3677823999;0.4953487812;0.5485205073;0.5518759344;0.3792677269;0.3304594719;0.2735232694;0.4277338696;0.4690866677;0.4905533733;0.434937544;0.2974807264;0.2602655049;0.2972370567;0.365969563;0.3741038786;0.3927461116;0.359680667;0.3375859073;0.1678794179
Brunei;437479;5270;104;23.7725696548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7679301089;0.5818258339;0.283266901;0.1925712423;0.1188254555;0.1130314741;0.1020416417;0.0875389904;0.0711790094;0.0637719647;0.1428571429
Bulgaria;6948445;108560;218;3.1373926109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5596217233;0.663993576;0.6817928305;0.4640698572;0.3129736993;0.2178832856;0.21421463;0.2259438399;0.226193419;0.2148083529;0.1795926876;0.0845771144
Burkina Faso;20903273;273600;114;0.5453691391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4142135624;0.5314071568;0.6990442448;0.7654390077;0.4684637773;0.4274196034;0.3755321853;0.3677823999;0.3265614876;0.1515151515
Cambodia;16718965;176520;91;0.5442920659;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0745699318;0.1362193665;0.189207115;0.235930917;0.189207115;0.2178832856;0.2574334297;0.2835532486;0.2728649475;0.4377265514;0.4953487812;0.5332357059;0.5556842475;0.316074013;0.2582708816;0.2085501589;0.2080893199;0.0459770115
Cameroon;26545863;472710;66;0.2486263114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1066819197;0.0466351394;0;0;0.0745699318;0.2778862085;0.4142135624;0.5314071568;0.5226308232;0.3915788419;0.3798345105;0.3894655801;0.3931941421;0.1785714286
Canada;37742154;9093510;2777;7.357820648;;;;;;;;;;;;0.2574334297;0.2446659546;0.189207115;0.1066819197;0.0677899724;0.0392898776;0.0909803259;0.1217422784;0.1273765203;0.1066819197;0.0542475328;0.0253365136;0;0;0;0;0.0116978953;0.0230035371;0.0339463079;0.0339463079;0.0324744945;0.0311251457;0.029883572;0.0392898776;0.0466351394;0.0532807757;0.0670286243;0.0793353256;0.1187786005;0.1602978936;0.1934317183;0.2083016139;0.1763489329;0.1458901905;0.1378163056;0.1465968761;0.1671280062;0.1817038565;0.1660547163;0.171841766;0.1615536614;0.2085501589;0.2302743342;0.2463323746;0.2965220137;0.2846479991;0.3201891633;0.315729536;0.2890815132;0.2746666576;0.2431048163;0.2591097265;0.2770098584;0.338313253
Canada Alberta;4067175;640330.46;359;8.8267655068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5923136513;0.5067210738;0.4381512233;0.3093762179;0.2884046775;0.2602391744;0.3103393493;0.3149419052;0.3071388459;0.2844517115;0.2750621333;0.2702442522;0.262268473;0.1926910299
Canada British Columbia;4648055;922503.01;617;13.2743696019;;;;;;;;;;;;;;0;0;0.0745699318;0.1362193665;0.2778862085;0.3512001548;0.316074013;0.2446659546;0.1066819197;0.0466351394;0;0;0;0;0.0202122327;0.0392898776;0.0573712634;0.0573712634;0.0532807757;0.0497363145;0.0466351394;0.0466351394;0.043898815;0.0414664128;0.0392898776;0.0392898776;0.0373307928;0.0355580763;0.0339463079;0.0445522731;0.0715040805;0.1026502246;0.1766211414;0.2178832856;0.2419747692;0.2385192682;0.1859623177;0.1698189003;0.1411275557;0.1682184755;0.1759177989;0.1819244265;0.1967580157;0.1697807861;0.2251357267;0.2682410949;0.3012007326;0.3497449021;0.2998283498;0.2622420583;0.2177625736;0.3072033898
Canada Manitoba;1278365;552370.99;21;1.6427233224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3512001548;0.3443928846;0.2862116403;0.163617807;0.0973419968;0.0562906578;
Canada New Brunswick;747101;71388.81;18;2.4093127971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5196713713;0.6990442448;0.6548754598;0.3837825752;0.2494996997;0.1582921853;0.1418583454;0.1203980672;
Canada Newfoundland and Labrador;519716;370514.08;35;6.7344472751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2698234325;0.2835532486;0.442797976;0.6148315584;
Canada Nova Scotia;923598;52942.27;51;5.5218828971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2778862085;0.2850858523;0.3079747114;0.243902439
Canada Ontario;13448494;908699.33;588;4.3722367724;;;;;;;;;;;;0.235930917;0.316074013;0.316074013;0.1582921853;0.0648443168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0266900961;0.0514473818;0.0745699318;0.1167896529;0.1246826504;0.2024964079;0.2778862085;0.331469309;0.3490839382;0.2601581118;0.1798055309;0.110850287;0.0906774861;0.0904266691;0.1006834228;0.1025291939;0.1029743905;0.097572652;0.1460790268;0.1846767198;0.2335380095;0.318830204;0.3125672565;0.3149477184;0.2673457164;0.2155701066;0.192384293;0.1746638564;0.1844704918;0.1784717164;0.1689860835
Canada Prince Edward Island;142907;5686.03;3;2.0992673557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.189207115;0.235930917;0.189207115;0.1582921853;
Canada Quebec;8164361;1356625.27;1013;12.407584623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0745699318;0.1362193665;0.235930917;0.316074013;0.2877547885;0.2446659546;0.2295763059;0.235930917;0.3259329342;0.3758522626;0.3798345105;0.442797976;0.4444273382;0.5005380395;0.4940580172;0.4043988573;0.3138452598;0.2539582235;0.3733265557;0.5140053874;0.6130573248
Canada Recovered;Not defined;Not defined;0;0;Missing Country;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada Saskatchewan;1098352;588243.54;72;6.5552755401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5076572166;0.4142135624;0.4030331316;0.4527833328;0.4680816136;0.4415351319;0.0909090909
Cape Verde;555987;4030;3;0.5395809614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Central African Republic;4829767;622980;3;0.0621147977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.235930917;0.316074013;0.316074013;0.1582921853;
Chad;16425864;1259200;3;0.0182638795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Channel Islands;173863;190;36;20.7059581395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2178832856;0.2574334297;0.316074013;0.3463483704;0.2956635826;0.3961944238;0.442797976;0.4440028188;0.353374257;
Chile;19116201;743532;922;4.8231340526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3512001548;0.3397966024;0.3837825752;0.3857440012;0.4524125829;0.4466098929;0.4182142065;0.4889718821;0.4825850355;0.4706037904;0.3965039441;0.3309472665;0.294909632;0.2817011363;0.2968657698;0.2608737722;0.235924933
China;1439323776;9388211;81591;5.6687036899;;;;;;;;0.4920083106;0.4858914753;0.4552326936;0.3943066921;0.2995247966;0.2756314978;0.2503303903;0.257318293;0.2414436524;0.2084698329;0.1756104676;0.1402356087;0.1181086084;0.0984576425;0.0826132058;0.0668474808;0.0770524073;0.0948954308;0.1136294031;0.1177847052;0.0912644051;0.0615423178;0.0325359073;0.0219464572;0.0160347734;0.0118414408;0.009258725;0.0081150318;0.0074318568;0.006022182;0.0053441821;0.0047548783;0.0052034725;0.0053765578;0.0051871988;0.0048804871;0.004089726;0.0031003719;0.0022778989;0.0017306237;0.0015537938;0.0013127983;0.0009887525;0.0006924708;0.0004712228;0.0003555494;0.0002925706;0.0002646599;0.0002810465;0.0003046409;0.0003487926;0.0004021449;0.0005088435;0.0006339252;0.0008183031;0.0009459846;0.0010414588;0.0011411323
China Anhui;59500510;139700;990;1.6638512846;;;;;;;;0.7528429191;0.5105438031;0.4157616912;0.3663348559;0.3279936984;0.2776426392;0.2290306203;0.2016300154;0.178949066;0.1633756641;0.1433818423;0.1281298848;0.1131291336;0.0997624564;0.0843260934;0.0670975917;0.0512717087;0.0393532664;0.0313981022;0.0249339722;0.0206030692;0.0164223341;0.0129013633;0.0094403191;0.0065217116;0.0040039988;0.0021183867;0.001013686;0.0005062011;0.0002529405;0.0000842779;0.0000842495;0.0001684778;0.0002526848;0.0002526848;0.0001684211;0.0000841928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China Beijing;19612368;16800;558;2.8451434319;;;;;;;;0.3497904501;0.2991325925;0.2150097699;0.1780396143;0.1520492585;0.1527763515;0.1594105727;0.1474453066;0.1326944817;0.1096330977;0.0960308436;0.0885567889;0.0786173478;0.0668367699;0.0508959359;0.0386189348;0.0310405753;0.027476531;0.025846251;0.0225070538;0.0174618086;0.0130452569;0.0106115651;0.0104817811;0.0104000121;0.0090234706;0.0070314333;0.0046483399;0.0029430631;0.0018854174;0.0033333796;0.0047694458;0.0068164639;0.007219196;0.0057355895;0.004275777;0.003032482;0.0032258483;0.0040145327;0.0049986562;0.0059656653;0.0063394617;0.0053230071;0.0050952071;0.0044761263;0.0046476852;0.0044449834;0.0044210592;0.0061024952;0.0083182968;0.0129349335;0.0166878718;0.0198730345;0.022385221;0.0245022349;0.0270005199;0.0294064425;0.0391061453
China Chongqing;28846170;82300;578;2.0037322112;;;;;;;;0.6574960151;0.4301008448;0.3048961515;0.2222065264;0.1920107662;0.1814895944;0.1767598302;0.1674190969;0.1429064038;0.1136720909;0.0851994158;0.0597352929;0.0489437611;0.0434037017;0.0444585404;0.0450803416;0.0409145171;0.0346936494;0.0249263203;0.0197829078;0.0151176351;0.0116325676;0.0088870385;0.0075728564;0.0076484539;0.0078928019;0.0077042731;0.006184951;0.0040948502;0.0023283045;0.0011607681;0.0005795424;0.0001447283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001446445;0.0004337455;0.000722596;0
China Fujian;36894216;121580;318;0.8619237227;;;;;;;;0.8159643415;0.6123069676;0.4321098477;0.2846075027;0.2034717606;0.1735696676;0.1613156832;0.1492193987;0.121782714;0.0976326094;0.0751268483;0.0625014108;0.0538782045;0.0512916695;0.0483913581;0.0422336078;0.034941837;0.0262791734;0.020867265;0.0161662371;0.0131843911;0.0109370481;0.0087599606;0.0072479013;0.0048943451;0.0028645381;0.0011409032;0.0002846165;0.0002842929;0.0005683435;0.0014190471;0.0019849807;0.0022650202;0.0019804878;0.0011293073;0.000563857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0008435267;0.0028035038;0.0075161864;0.0113481562;0.0145502742;0.0159744409
China Gansu;25575254;454300;136;0.5317640247;;;;;;;;;0.6337899385;0.5178415409;0.3332812469;0.2414118981;0.2045548971;0.2060795154;0.1985057674;0.1633393296;0.1082157861;0.0694737463;0.0628425499;0.0710791334;0.0786284656;0.0717458077;0.0532807757;0.0352138328;0.0217303504;0.0173978273;0.0134001161;0.0075193264;0.0046491258;0.0027662782;0.0027662782;0.0018399342;0.0009178532;0;0;0;0;0;0;0;0;0;0;0;0.0099245355;0.0339463079;0.0571775525;0.0738311415;0.0669212612;0.0456553395;0.0247274415;0.0108416925;0.0087168819;0.0066360641;0.0085337567;0.0103910054;0.011607359;0.0102841288;0.006995657;0.0037760269;0.0018744225;0.0031182168;0.0037290889;0.0043358093;0
China Guangdong;104303132;180000;1428;1.3690864048;;;;;;;;0.4337138016;0.4049036157;0.3641344072;0.3309795281;0.2964648867;0.2604915809;0.2257990441;0.1941910957;0.1640765958;0.1368921364;0.1125813376;0.0931769367;0.0758924819;0.0603201754;0.0457464684;0.0349145843;0.0277356587;0.0239417454;0.0229233459;0.0215176893;0.019688572;0.0160691371;0.0119673331;0.0076614384;0.0040445719;0.0023868017;0.0020659327;0.0021852595;0.0023689462;0.0021781876;0.0016773892;0.0009920647;0.000619157;0.0004329943;0.0004327801;0.0004326731;0.0003707137;0.000308804;0.0003086515;0.0003702562;0.0003701648;0.0003084231;0.0002466396;0.0003697086;0.0005542727;0.0007388258;0.0006771527;0.0006764863;0.0007371918;0.0010431062;0.0016551781;0.0024468008;0.0040227545;0.0053425893;0.0068283974;0.0069791263;0.006750077;0.0091872792
China Guangxi;46026629;236000;254;0.5518544493;;;;;;;;0.4510507318;0.3203539849;0.2288728196;0.2071990667;0.18808786;0.1775277251;0.1594947149;0.1402737373;0.1193395888;0.112820158;0.0972860171;0.0852757142;0.0723025523;0.0650384366;0.0605933564;0.0546312794;0.0462384612;0.0331761425;0.0244888911;0.0191492413;0.0188100808;0.0170939904;0.0146808537;0.0116155317;0.0086889137;0.0079248229;0.0068356679;0.0060999101;0.0057328263;0.0050294964;0.0040080964;0.0023283045;0.0013271429;0.0003309615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0003305239;0.0006607205;0.0009905906;0.0013201349;0.0013183944;0.0013166585;0.000986681;0.0006572465;0
China Guizhou;34746468;176000;146;0.4201865928;;;;;;;;0.316074013;0.2574334297;0.2574334297;0.3295739742;0.3512001548;0.3998542046;0.3931224702;0.2981640708;0.2446659546;0.1907525466;0.1758280787;0.1413850362;0.1248917964;0.1137809489;0.1159577793;0.112377846;0.1008070541;0.0826197073;0.0568974953;0.0371710289;0.0232286699;0.0167322085;0.0117528984;0.0063789839;0.0028744188;0.0011448216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0005702882;0.0005702882;0.0005702882;0;-0.0005699632;-0.0005699632;-0.0005699632;0;0
China Hainan;9171300;34000;168;1.8318013804;;;;;;;;0.5375125556;0.3798345105;0.2737916791;0.1748890285;0.1391976866;0.1129880548;0.113060754;0.1125221326;0.1191503496;0.1248800497;0.1292696866;0.1258199257;0.1033601756;0.0836447283;0.0642007116;0.0605563811;0.0533692458;0.047411041;0.0372166059;0.0241667039;0.0154671315;0.0078355428;0.0082651656;0.0081806406;0.008614933;0.008097827;0.0050227597;0.002495652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China Hebei;71854202;187700;319;0.4439545512;;;;;;;;1;0.7320508076;0.5872899077;0.4953487812;0.3959072887;0.2991325925;0.2100348274;0.151635058;0.113823386;0.1033969861;0.1034265024;0.111755513;0.1125531173;0.1031348166;0.0933240135;0.0781408282;0.0713912185;0.0658940369;0.0606256067;0.0540702202;0.0425682038;0.0322030237;0.0213561403;0.0126305365;0.0080305492;0.004653198;0.0040822729;0.0032485539;0.0032415336;0.0026947159;0.0032171997;0.0042690405;0.0053165084;0.0053108612;0.0037027875;0.0018428405;0.0002622263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0002619516;0.0005236975;0.0007852381;0
China Heilongjiang;38312224;454000;484;1.2633043699;;;;;;;;;0.5737079619;0.4235900774;0.3304594719;0.2761464002;0.262865234;0.2666262017;0.2736165658;0.2632337107;0.2503887075;0.2374194551;0.2114157546;0.1719274844;0.1301117847;0.0950722348;0.0754933551;0.0655166947;0.0631600598;0.0555655096;0.0478974971;0.0403039638;0.0346503547;0.0293521024;0.0226842058;0.0179723581;0.0122192982;0.0083421903;0.0051026553;0.0026212545;0.0010443878;0.0003475239;0.0001736865;0;0;0;0;0;0.0001735659;0.0003470415;0.0005204269;0.0005204269;0.0003468008;0.0001733253;0.0001732052;0.0003463204;0.0005193458;0.0005193458;0.0003460807;0.0001729655;0;0;0.0001728459;0.0005182692;0.000863335;0.0010357342;0.0008627391;0.000517197;0
China Henan;94023567;167000;1274;1.3549794383;;;;;;;;1.1133498738;0.817550437;0.5142810155;0.361914993;0.2907559404;0.2604285285;0.2276564946;0.2000813979;0.1749642676;0.1594838846;0.1431374235;0.1217933468;0.0992948006;0.0775198682;0.0615070162;0.0480457128;0.0387570449;0.0310030776;0.0264901992;0.0228961168;0.019930111;0.0171838574;0.0137394828;0.0106502623;0.0070410356;0.0045219932;0.0028430979;0.0018447832;0.0012496325;0.0007225201;0.000393675;0.0001966891;0.0001966375;0.0001966375;0.0001310702;0.0000655244;0;0;0;0;0;0;0;0.0000655072;0.0001310015;0.000196483;0.000196483;0.0001309672;0.0000654729;0;0;0;0;0;0.0000654557;0.0001308986;0.0001963287;0
China Hong Kong;7061200;1108;386;5.4664929474;;;;;;;;;0.3037151419;0.1688712941;0.1110476136;0.098915251;0.1137088246;0.1132112998;0.1008723652;0.109307518;0.1157911811;0.1295550358;0.1239341091;0.1084178967;0.1066819197;0.1345927061;0.1625585271;0.1740548859;0.1434799235;0.0920851175;0.0538809017;0.0328818091;0.0300634486;0.0290155699;0.0337550666;0.0356231342;0.0344874052;0.0334219499;0.035616393;0.0446572374;0.0550425227;0.060613624;0.0568946479;0.0434928881;0.0292071292;0.0217518481;0.0167237898;0.020700623;0.0212432721;0.0216251326;0.0196815629;0.0191169261;0.0210971212;0.0243338891;0.0305980251;0.0332581569;0.0365253432;0.0366207666;0.0379506501;0.0407714065;0.043934123;0.0543409489;0.0708641853;0.1003396419;0.1238448974;0.141655978;0.144682081;0.1319677695;0.0842696629
China Hubei;57237740;185900;67801;118.4550612935;;;;;;;;0.4315454026;0.4850551706;0.5007189524;0.4482697775;0.3116356212;0.2969294103;0.2761137407;0.3050796845;0.292606795;0.2474957994;0.2030844249;0.1570709775;0.1313195532;0.1091239673;0.091530492;0.0734089389;0.0891348626;0.113478039;0.1379892762;0.1443317527;0.1098982371;0.0724134676;0.0369889966;0.0247118764;0.0177466577;0.0127306989;0.0095624559;0.0083553881;0.0079496944;0.0066359808;0.0061514124;0.0054654095;0.0060156908;0.0062446701;0.0060526449;0.0057085195;0.0047737167;0.0035672156;0.0025396359;0.0018546738;0.0016238447;0.0013597467;0.0010113606;0.0006800345;0.0004296002;0.0002755906;0.0001807984;0.0001155863;0.000083604;0.000062697;0.000049171;0.0000356474;0.0000221251;0.0000110623;0.0000036873;0.0000012291;0.0000012291;0.0000147493
China Hunan;65683722;210000;1018;1.5498512706;;;;;;;;0.7040730868;0.5719042822;0.4734309234;0.4066484042;0.3373466274;0.2638875344;0.2097708811;0.1740548859;0.154827066;0.1350179062;0.1178629465;0.0972640062;0.079791094;0.0641662876;0.0523045574;0.0460432535;0.0402882877;0.035915227;0.0298291594;0.0226051601;0.0159788086;0.0097630521;0.0053675192;0.0026622532;0.0014911813;0.0014057173;0.0015686323;0.0016488102;0.001564499;0.0011516018;0.0007393113;0.0004102565;0.0003279227;0.0004098529;0.0004097186;0.0003277077;0.0001637868;0.0000818766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China Inner Mongolia;24706321;1183000;75;0.3035660388;;;;;;;;;;0.3512001548;0.2178832856;0.1707642093;0.1362193665;0.1384850195;0.149415729;0.1567321923;0.1513351608;0.1321395183;0.1142884286;0.0888057479;0.0745699318;0.0535192094;0.0442698471;0.0349803589;0.0319704795;0.0335659708;0.0363246837;0.0407383688;0.0368868792;0.0319418792;0.0237695455;0.0173978273;0.0114304273;0.0056340257;0.0022346508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China Jiangsu;78659903;102600;636;0.8085440939;;;;;;;;0.77827941;0.6118548977;0.4928502783;0.4178075267;0.3505240474;0.2942099019;0.2419596686;0.1977484174;0.165257268;0.1395793421;0.1215965259;0.106115697;0.0934136251;0.0816623286;0.0707788658;0.0616783638;0.0548292447;0.050849031;0.0461913678;0.0401031128;0.032055669;0.0234855238;0.0164272147;0.0104470528;0.0061689931;0.0027927661;0.000926601;0.0002643056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0002640264;0.0005278439;0.0011864763;0.0047393365
China Jiangxi;44567475;167000;936;2.1001862906;;;;;;;;0.6837359797;0.6115077023;0.5156983403;0.419098656;0.3343881485;0.311894138;0.2768340164;0.2379128938;0.1975454373;0.1725954786;0.1568559864;0.130350934;0.1036058646;0.0799469512;0.0635994575;0.054145012;0.0467597759;0.0431830117;0.0377633374;0.0314528824;0.0237440396;0.0160469054;0.0102690399;0.0057033951;0.0030567649;0.0012530231;0.0004466081;0.0000892419;0;0;0;0.00008921;0.0001783962;0.0002675586;0.0002675586;0.0001783326;0.0000891464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0000891146;0.0001782055;0.0002672725;0
China Jilin;27462297;187400;93;0.3386461082;;;;;;;;;0.3021453436;0.2956635826;0.2750241833;0.2574334297;0.2378456105;0.230195584;0.2691629259;0.2961277287;0.3016208136;0.2583180123;0.1907525466;0.136666433;0.1000781526;0.0764515183;0.0603717022;0.039989501;0.0274806836;0.0193080434;0.0189232696;0.0176712111;0.013555851;0.0095521825;0.0065885916;0.0055920167;0.0055712462;0.0046318979;0.0045978224;0.0045642446;0.005449793;0.005449793;0.0036166956;0.0018001873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China Liaoning;43746323;145900;127;0.2903101136;;;;;;;;0.7373720709;0.4287202148;0.2835532486;0.1846066144;0.1687440007;0.1614963437;0.1622234153;0.1514448379;0.1237626638;0.0974459363;0.0790621107;0.0727744871;0.0625335223;0.0492682046;0.036912531;0.0296915191;0.0255327014;0.0241136891;0.0215336761;0.0174484403;0.012132079;0.0077225812;0.0055868095;0.0027739517;0.0013821733;0;0;0;0;0;0;0;0;0.0006879949;0.0013745737;0.0041068626;0.0061415374;0.0074708079;0.0067800493;0.0040404863;0.0020100604;0;0;0;0;0;0;0;0;0;0;0;0.000666001;0.0013306749;0.0026560659;0.0033167951;0.0033080174;0
China Macau;552300;29;25;4.5265254391;;;;;;;;0.377449308;0.3512001548;0.235930917;0.1273765203;0.0392898776;0.0241136891;0.0230035371;0.0548446713;0.0745699318;0.0806240865;0.0686816558;0.0364228438;0.0173978273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0082311468;0.0241136891;0.0608783473;0.1004817771;0.1212658535;0.1203980672;0.1162644754;0.1066819197;0.1047949871;
China Ningxia;6301350;66400;75;1.1902211431;;;;;;;;0.5314071568;0.4953487812;0.4519590582;0.3747081018;0.3059884115;0.2574334297;0.2073682014;0.1678262584;0.1152283606;0.095445115;0.0831578063;0.083132919;0.0765993458;0.0651180909;0.0587242685;0.0573712634;0.0710175859;0.0798458187;0.081358456;0.0665042506;0.0466351394;0.0266900961;0.0122122746;0.0059847076;0.0035524538;0.0035524538;0.0023612915;0.0011771651;0;0;0.0011716482;0.0023391973;0.004662131;0.005817581;0.006936832;0.006904898;0.0068419041;0.0068108362;0.0056340257;0.0044944953;0.0022346508;0.0011142079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China Qinghai;5626722;721200;18;0.3199020673;;;;;;;;;;;0.2877547885;0.1776037069;0.1167896529;0.1333681034;0.1538795634;0.1582921853;0.1559871148;0.1257461813;0.0847565675;0.0466351394;0.0194265469;0.0046839689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
China Shaanxi;37327378;205600;249;0.6670706954;;;;;;;;;0.5622415446;0.4078573855;0.3005698472;0.2494219292;0.2205013219;0.2024964079;0.1699842652;0.1473710398;0.1209646403;0.1090799444;0.0935482332;0.0777975972;0.0643509906;0.0522704333;0.0444954993;0.0347709806;0.026523385;0.0193527957;0.0152488665;0.0127553553;0.0114961408;0.0110317345;0.0102288039;0.0083689304;0.0065690653;0.0044713067;0.0027397517;0.0010230192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0003399627;0.0006795791;0.00101885;0.0013577764;0.0016940599;0.002029094;0.0020263528;0.0020236191;0.0040322581
China Shandong;95793065;153800;768;0.8017281836;;;;;;;;0.7505780505;0.5811388301;0.4443718825;0.3363495471;0.2620649388;0.1989956534;0.1606372574;0.1279447833;0.1130222836;0.1063843045;0.1060178438;0.1074054781;0.1032667041;0.093029674;0.0765662649;0.0598929256;0.0462499286;0.0362534521;0.02863213;0.0236317909;0.01904067;0.0147145374;0.0100768392;0.0063771798;0.0338057974;0.0598089295;0.0846177258;0.0845073796;0.0534686579;0.0260996795;0.0016603079;0.0009945313;0.0003309615;0.0003306697;0.0004406258;0.0006607205;0.0006607205;0.0004402378;0.0002199978;0;0;0;0;0.0002198044;0.000439464;0.0006589789;0.0006589789;0.000439078;0.0002194186;0.0001096311;0.0002192261;0.0003287852;0.0004383082;0.0006569586;0.001202911;0.0017474947;0.0020732284;0
