Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;Last Trend
2 Asia Pacific;4192529278;31181951;101100;2.411432176;;;;;;;;0.4907593497;0.4835705048;0.4525447598;0.3922359;0.2985226436;0.2749104792;0.2496319594;0.2563587858;0.2403786562;0.2076227019;0.1750356585;0.1399077189;0.1179009255;0.0983197701;0.0825309863;0.0667847686;0.0768994535;0.0946334783;0.1133167317;0.1175003393;0.0911480278;0.0615699094;0.0326572877;0.022160375;0.016436303;0.0126868404;0.0106705509;0.0101410468;0.0098658395;0.0087225537;0.0084791743;0.0086271158;0.0104421212;0.0119229896;0.0127594373;0.0130566156;0.0122364063;0.0110441192;0.0097377904;0.0086791567;0.0079547055;0.006924383;0.0057824726;0.0047228812;0.0037854057;0.0035440625;0.0036506629;0.0041332192;0.0048052643;0.0054926024;0.006274234;0.0070234853;0.007794931;0.0089485478;0.0105707307;0.0119967388;0.013259215;0.0139404272
21 C. Asia;75861692;3497518;570;0.75136737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6265765617;0.6265765617;0.2909944487;0.1791707147;0.1442496849;0.2295763059;0.2549109828;0.2681359557;0.2503887075;0.2073682014;0.1963355488;0.2085501589;0.2473095078;0.2985224322;0.335501595;0.3394355198;0.3242361034;0.2818610192;0.2389788586;0.2124727419;0.1855591974;0.1749023305;0.1585365854
22 India Region;1817448317;4118717;1666;0.0916669808;;;;;;;;;;;0.189207115;0.1582921853;0.1362193665;0.1442496849;0.1501633169;0.1362193665;0.1066819197;0.0573712634;0.0173978273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0317854888;0.0608783473;0.0877573059;0.1127795715;0.1012166568;0.1115041773;0.1110476136;0.2601581118;0.3538944855;0.4018611692;0.3915788419;0.2419747692;0.1692438427;0.153086246;0.1879664173;0.2019277171;0.2077073339;0.189207115;0.1978206626;0.2340876145;0.3010421532;0.342935546;0.3677823999;0.3361333364;0.3045788159;0.2679422778;0.2342356402;0.2046821784;0.0953320184
23 China;1439323776;9388211;81591;5.6687036899;;;;;;;;0.4920083106;0.4858914753;0.4552326936;0.3943066921;0.2995247966;0.2756314978;0.2503303903;0.257318293;0.2414436524;0.2084698329;0.1756104676;0.1402356087;0.1181086084;0.0984576425;0.0826132058;0.0668474808;0.0770524073;0.0948954308;0.1136294031;0.1177847052;0.0912644051;0.0615423178;0.0325359073;0.0219464572;0.0160347734;0.0118414408;0.009258725;0.0081150318;0.0074318568;0.006022182;0.0053441821;0.0047548783;0.0052034725;0.0053765578;0.0051871988;0.0048804871;0.004089726;0.0031003719;0.0022778989;0.0017306237;0.0015537938;0.0013127983;0.0009887525;0.0006924708;0.0004712228;0.0003555494;0.0002925706;0.0002646599;0.0002810465;0.0003046409;0.0003487926;0.0004021449;0.0005088435;0.0006339252;0.0008183031;0.0009459846;0.0010414588;0.0011411323
24 N.E. Asia;177745646;461785;10230;5.7554152409;;;;;;;;0.2698234325;0.2850858523;0.2532208632;0.2862116403;0.2944562539;0.3269068114;0.2885450649;0.2004804806;0.1178808019;0.0745699318;0.0725891493;0.072699481;0.0692280766;0.0539437588;0.0401137307;0.0332677909;0.0273784572;0.0251769157;0.038819717;0.0729180131;0.1132892695;0.1435437498;0.1447675622;0.1794529818;0.2497195135;0.3845437021;0.5030963535;0.530907323;0.4679176793;0.3558518418;0.2978862643;0.2711720228;0.2875115022;0.2902996503;0.272265284;0.2379507488;0.1923415444;0.1578488322;0.1279770374;0.1046194727;0.0862404016;0.068527707;0.0533477421;0.0395040564;0.0285859461;0.0235569926;0.0217496443;0.0204357908;0.0188532051;0.0161400885;0.0143537819;0.0133783365;0.0133822094;0.0146699855;0.016866729;0.0171329753;0.0169462414;0.013975617
25 S.E. Asia;650252129;5729240;4805;0.7389441396;;;;;;;;0.3782803487;0.2736617335;0.2266660457;0.2070949484;0.1783124666;0.1566800837;0.1232153509;0.1119898989;0.0996993508;0.0999224469;0.098380609;0.0973868274;0.0938486557;0.0893846931;0.0876175363;0.0719264433;0.0587887599;0.0467533031;0.0484242658;0.0510330882;0.0501394321;0.0443635895;0.0353185025;0.0272623148;0.0212834838;0.015752878;0.0136085703;0.0129520169;0.014922946;0.0186348241;0.0195921054;0.0201443385;0.022890629;0.0285548096;0.0354118627;0.0402372714;0.0420896063;0.0430036368;0.0555745343;0.0717182465;0.0904963761;0.102275051;0.1048939744;0.1137664059;0.1103390164;0.1263751352;0.1414736006;0.1749674183;0.2097860586;0.2286454672;0.2343002141;0.2108342107;0.191569678;0.174062018;0.1676340326;0.1640860533;0.1599785609;0.1182220154
26 AU / NZ;30322117;7945610;2199;7.2521321648;;;;;;;;;;;;0.209896735;0.1983908635;0.1582921853;0.1142884286;0.0608783473;0.0492682046;0.0392898776;0.0442698471;0.0431751412;0.029883572;0.0173978273;0.0056340257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0055098504;0.0608783473;0.1167896529;0.1723346544;0.2112097014;0.2193374772;0.2159013697;0.2012643403;0.1770085065;0.1402557333;0.1249122946;0.1303973848;0.1574445505;0.1541919716;0.1775075642;0.1973528453;0.2242457292;0.2577659521;0.2511121031;0.2471468117;0.2313532092;0.2245290383;0.232396796;0.2584385207;0.2683927215;0.2757404859;0.2326233184
27 Pacific Ocean;1575601;40870;39;2.4752459538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1362193665;0.3037151419;0.4784494721;0.5932956522;0.4852785197;0.3715246575;
3 ME/Africa;1601709154;31139798;34054;2.1261038507;;;;;;;;;;;;;;;0.0573712634;0.0573712634;0.0364228438;0.0173978273;0.0317854888;0.0608783473;0.1004817771;0.1127795715;0.0900353442;0.0601429026;0.0324744945;0.0311251457;0.0392898776;0.0484475014;0.0466351394;0.0532807757;0.0721632651;0.1840477434;0.31240292;0.4278264264;0.4973654396;0.5044473683;0.5077938107;0.5306214838;0.5555312269;0.5292571376;0.5094513588;0.4875032457;0.492042296;0.4681645967;0.4125078558;0.3540737119;0.2923557679;0.2534661493;0.2178803739;0.1809307798;0.1500514329;0.1297598028;0.1280305473;0.1300674119;0.1281391454;0.1198818023;0.1085753972;0.0984003842;0.0906996443;0.087042274;0.0852455745;0.0850820607;0.0854008617;0.0896581366;0.1158660463
31 MENA;551117644;12101010;32634;5.9214217428;;;;;;;;;;;;;;;0.0573712634;0.0573712634;0.0364228438;0.0173978273;0.0317854888;0.0608783473;0.1004817771;0.1127795715;0.0900353442;0.0601429026;0.0324744945;0.0311251457;0.0392898776;0.0484475014;0.0466351394;0.0532807757;0.0721632651;0.1840477434;0.31240292;0.4278264264;0.4973654396;0.5044473683;0.5077938107;0.5306214838;0.555174003;0.5287781219;0.5089770614;0.4870868696;0.4919700637;0.4681295502;0.4124313111;0.3539170589;0.2922426819;0.2534265059;0.2178774535;0.1808922227;0.1498598924;0.1294656966;0.1275230305;0.1293407138;0.1270955313;0.1184855863;0.1070533592;0.096617588;0.0887178555;0.0844766974;0.0819627931;0.0811989444;0.0807706571;0.0844314042;0.1084165478
32 SSa Africa;1050591510;19038788;1420;0.1351619527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4697778402;0.4762958619;0.3837825752;0.2818610192;0.2198555727;0.2045548971;0.2631104744;0.2909944487;0.3755941532;0.4207965807;0.4506609263;0.4708265585;0.4165964075;0.382236447;0.3342669122;0.3311243241;0.3459553333;0.3381825155;0.3345195278;0.3138790521;0.3197026022
Afghanistan;38928346;652860;74;0.1900928439;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0.189207115;0.316074013;0.442797976;0.5196713713;0.3339838987;0.235930917;0.1776037069;0.2073682014;0.2607294827;0.2946673008;0.2698234325;0.1803648131;0.0909803259;0.0436659318;0.0786792608;0.1203980672;0.2267412022;0.85
Albania;2877797;27400;123;4.2741027251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4730476665;0.3062150865;0.2146137708;0.1510363068;0.1203027182;0.1017206847;0.0914136846;0.0924359399;0.1087485616;0.1311818896;0.1826923077
