Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11
US Delaware;973764;5047;8733;896.8292111846;0.8641401148;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;1;2;6;14;18;24;31;42;54;75;99;107;140;181;199;229;278;322;341;389;532;606;728.5;846;978.5;1115;1226;1367;1432;1500;1624;1870;1923;2164;2262.5;2361;2563;2744;3007;3106;3229;3355;3810;3937;4338;4408;4474;4647;4752;4918;4991;5067;5468;5622;5789;5953;6121;6233;6406;6608;6878;7017;7186;7304;7501;7664;7819;8000;8141;8300;8411;8567;8656;8683;8733
US District of Columbia;705749;158;7990;1132.1305449955;0.8332464282;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5.5;7;9;10;11;8;13;20;27;56;56;76;92;115;156;199;229;257;292;348;428;514;572;671;811;902;992;1099;1313;1384;1507;1613;1697;1770;1868;1992;2126;2245;2426;2542;2669;2834;2929;3076;3224;3388;3518;3564;3658;3756;3965;4290;4422;4633;4778;4922;5054;5242;5481;5675;5845;5949;6045;6139;6283;6411;6580;6657;6802;6964;7078;7313;7418;7483;7606.5;7734;7839;7907;7990
US Florida;21477737;138887;50347;234.4148268507;0.7289377289;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;88.5;176;4;4;1;6;4;16;23;60;78;109;227;262;357;467;612;935;1116;1373;2001;2375;3325;3781;4990;5801;6346;7364;8886;10357;11370;12518;13891;14545;15385;16500;17419;18261;19500;20213;21271;21607;22805;23881;24593;25237;25959;26704;27165;28436;29054;29737;30333;30997;31295;31742;32737;33423;34029;34824;35310;35829;36606;36931;37689;38280;38651;39585;40002;40764;41515.5;42281;43054;43899;44331;44821;45984;46706;47354;48081;48948;49404;49745;50347
US Georgia;10617423;148959;42695;402.1220591852;0.7766539938;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;19;34;35;58;124;236;306;389;543;697;885;1146;1585;1938;2218;2345;3428;4086;4761;5181;5487;5960;6581;8019;9065;9694;10591;11255;11540;12344;13197;13894;14549;16040;16495;17124;17725;18593;19429;20176;20770;21295;21996;22472;23154;24067;24628;25713;26714;26996;27726;28047;29009;29685;30321;30721;31617;32097;32764;33425;33896;34707;35144;35659;36007;36619;37524;38258;39044;39958;40658;41136;41445;42092;42695
US Guam;162742;543;167;102.6164112522;0.912568306;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;5;9;10;11;23;25;28;33;41;47;50;51;53;64;72;77;79;88;107;108;116;120;123;125;128;128.0909090909;128.1818181818;128.2727272727;128.3636363636;128.4545454545;128.5454545455;128.6363636364;128.7272727273;128.8181818182;128.9090909091;129;130;136;137;138;139;140;140.5;141;142;143;145;144;145;146;146.1666666667;146.3333333333;146.5;146.6666666667;146.8333333333;147;147.5;148;149;151.2;153.4;155.6;157.8;160;160.25;160.5;160.75;161;162.5;164;165;167
US Hawaii;1415872;16635;630;44.4955476201;0.9197080292;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;7;10;13;15;24;34;44;52;72;85;90;100;112;143;166;195;199;249;276;310;342;361;377;398;423;430;452;472;485;488;501;514;525;537;558;563;567;565;575;579;584;586;589;590;592;596;601;602;603;603.5;604;608;609;612;613;614;615;617;618;621;620;621;622;623;623.5;624;626;630;625;626;626.25;626.5;626.75;627
US Idaho;1787065;214045;2646;148.0640043871;0.8116564417;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;21;32;37;37;58;105;165;205;234;283;382;486;628;850;970;1033;1056;1122;1159;1178;1299;1342;1351;1370;1395;1404;1527;1546;1592;1605;1608;1672;1701;1736;1769;1803;1820;1830;1847;1883;1915;1943;1962;1988;2010.5;2032;2050;2081;2101;2126;2151;2166;2181;2212;2242;2269;2307;2337;2355;2372;2393;2423;2451;2512;2543;2567.3333333333;2591.6666666667;2614;2646
US Illinois;12671821;143793;109470;863.885308986;0.8335681162;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0.5;0;0;0;3;3;0;0;0;0;20;60;147;265;375;510;775;966;1155;1403;2010;2430;2814;3876;4263;5126;6032;6623;7770;9098;9966;10913;12081;13513;14734;16092;17306;18919;20042;21122;22378;23378;25118;26601;27739;28846;30221;32134;33823;36417;38428;40497;42424;44501;46563;48990;51997;54376;57322;59606;61583;63707;66266;69045;71295;72885;74123;78098;79615;82751;85099;87127;88801;91073;92505;94797;96950;99649;101932;104400;105915;106999;108033;109470
US Indiana;6732219;92789;30688;455.8378151394;0.791989264;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;245;365;516;713;0;0;0;0;0;0;0;0;0;10;74;120;192;274;400;681;902;1171;1436;1771;2129;2562;2918;3408;3849;4375;4877;5282;5645;6166;6650;7115;7392;7626;7890;8428;8979;9412;9964;10422;10771;11061;11625;12233;12905;13504;14421;15010;15563;16189;16939;17554;18182;18742;19209;20006;20590;21205;21789;22150;22651;23123;23443;23985;24545;25155;25644;26113;26508;27067;27705;28151;28609;29073;29399;29739;30082;30688
US Iowa;3155070;144669;17934;568.4184503038;0.7818467172;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;3;8;12;13;13;14;14;16;16;20;27;34;54;68;80;98;118;150;204;264;295;381;448;496;554;635;712;793;867;965;1055;1174;1281;1398;1469;1583;1763;1847;1979;2162;2338;2718;2971;3434;3529;3693;4202;4840;5211;5597;6087;6537;6827;7548;8295;8818;9348;9739;10016;10653;11032;11227;11505;11914;12434;12798;13171;13527;13797;14117;14404;14788;15040;15590;15912;16295;16648;16965;17079;17730;17934
