Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11
US Delaware;973764;5047;935;96.0191586462;0.0925192955;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;6;7;8;16;25;30;38;45;56;68;91;114;126;158;208;225;256;303;343;363;412;548;617;732.5;837;952.5;1077;1163;1265;1320;1361;1442;1646;1682;1873;1837.5;1865;1944.5;2003;2132.5;2101;2116;2097;2482;2537;2814;2641;2659;2595;2607.5;2670;2543;2440;2578;2631;2669;2701;2413;2403;2166;2297;2489;2455;2509;2462;2581;2666;2416;2447;2418;2413;2362;2400;2325;2144;1948;1863;1875;1828;1736;1648;1518;1360;1244;1155;1133;1007;954;960;935
US District of Columbia;705749;158;1097;155.4376981051;0.1144019189;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7.5;10;12;14;16;17;22;31;39;70;76;97;114;132;175.5;221;255;290;326;384;473;555;614;686;825;900;981;1074;1257;1292;1393;1474;1533;1554;1563;1611;1697;1719;1764;1795;1830;1887;1766;1838;1868;1921;1966;1937;1936;1909;1973;2182;2131;2223;2243;2224;2255;2293;2371;2403;2431;2497;2491;2478;2413;2213;2245;2107;2100;2112;2090;2134;1994;1864;1823.5;1836;1849;1822;1756;1667;1675;1678;1587;1452;1465;1332;1306;1303;1236.5;1164;1140;1131;1097
US Florida;21477737;138887;15784;73.4900515823;0.2285250981;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;98.5;188;17;18;19;26;30;48;74;112;137;180;307;381;421.5;470;813;1153;1393;1654;2323;2715;3686;4130;5332;6152;6641;7620;9065;10453;11321;12153;13335;13773;14009;14766;14731;15109;15128;15029;15556;14887;14534;14158;13845;13336;12748;12854;12468;12643;12345;12173;11537;11479;10682;10793;10609;10194;10082;10237;9944;9693;9996;9025;9162;9068;8844;9077;9209;9520;9282.5;9348;9510;9545;9505;9469;9847;10252;10126;10271;10764;10332;10232;10075;10486.5;10613;10575;10388;10503;11293;11508;12037;12631;13071;13158;13745;14737;15784
US Georgia;10617423;148959;9903;93.2712203328;0.1801429793;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;7;12;17;22;31;41;65;98;120;145;195;277;407;493;577;747;994;1207;1477;1937;2297;2552;2688;3783;4441;5061;5411;5653;6047;6542;7792;8654;9041;9482;9793;9801;10506;10294;10349;10321;11363;11509;11654;11633;11063;10839;10946;10664;10536;10949;10598;10392;10585;10486;10076;10637;10301;10421;9830;9956;9927;9959;9837;10040;10014;10020;9760;9703;9411;8841;9099;8713;9010;8951;8966;9112;9600;9397;9417;9095;9089;9212;8989;9139;9285;9537;9486;9247;9442;9403;9177;9060;9153;9519;9559;9903
US Guam;162742;543;11;6.759164813;0.0601092896;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;8;12;14;15;26;28;31;36;44;50;54;55;55;64;69;70;70;78;85;84;89;88;83;79;78;77.0909090909;75.1818181818;64.2727272727;56.3636363636;51.4545454545;49.5454545455;40.6363636364;21.7272727273;20.8181818182;12.9090909091;9;7;11;9;9.9090909091;10.8181818182;11.7272727273;12.1363636364;12.5454545455;13.4545454545;14.3636363636;16.2727272727;15.1818181818;16.0909090909;17;16.1666666667;10.3333333333;9.5;8.6666666667;7.8333333333;7;7;7;7;8.2;8.4;11.6;12.8;14;14.0833333333;14.1666666667;14.25;14.3333333333;15.6666666667;17;17.5;19;18.5;16.8;15.6;14.4;14.2;13;13.75;13.7;13.65;13.6;12.3;11;12;11
US Hawaii;1415872;16635;41;2.895741988;0.0598540146;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;7;10;14;16;26;36;47;54;75;88;93;104;118;149;168;194;194;242;259;282;303;315;310;320;340;336;345;335;324;300;309;272;256;234;223;209;197;172;157;154;136;117;107;103;92;83;77;66;46;40.5;37;43;34;33;29;28;26;27;26;25;19;19;19;19.5;19.5;16;17;18;12;12;11.25;9.5;8.75;6;10;11;12;12;12;12;11;8;22;30;31.75;32.5;38.25;41
US Idaho;1787065;214045;529;29.6016093427;0.1622699387;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;6;7;9;11;23;31;42;47;50;73;123;186;226;256;304;408;516;658;868;982;1035;1054;1120;1137;1109;1164;1166;1146;1116;1038;939;918;718;642;591;571;566;556;570;483;474;480;471;464;488;397;406;380;393;411.5;370;361;356;342;335;343;348;343;341;340;336;354;358;353.5;349;349;348;356;390;396;405.3333333333;414.6666666667;406;407;418;414;420;435.5;451;457;484;520;516;513;513.6666666667;514.3333333333;521;529
US Illinois;12671821;143793;15494;122.2712978663;0.1179803087;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;5.5;6;6.5;7;19;22;25;32;46;64;93;158;284;417;579.5;747;1040;1261;1516;1843;2512;2992;3444;4531;4964;5835;6692;7273;8319;9604;10207;10989;12014;13213;13884;14861;15689;16256;16968;17253;17613;18038;18671;18803;19101;19246;19510;20030;20512;21771;22597;23051;23858;24855;25762;27185;28480;29345;31142;32332;32903;33124;33939;34102;34308;33838;33124;34919;34343;35019;34314;33952;32692;32645;32068;32186;31813;31684;31711;32563;33010;30174;29608;27896;27086;26460;26069;24749;24818;23412;22073;20471;19094;17453;17122;16741;16255;15494
US Indiana;6732219;92789;5680;84.3703985268;0.146588211;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;251;372;528;727;12;13.5;15;19;23;28;37;54;77;122;-50;-113;-163;-250;628;957;1201;1482;1751;2110;2500;2961;3335;3827;4210;4685;5142;5466;5706;5926;6203;6414;6450;6368;6390;6503;6717;6688;6799;6742;6590;6495;6688;6773;6960;7084;7725;8061;8227;8293;8476;8654;8723;8821;8936;9432;9464;9466;9337;9114;8666;8539;8291;8218;8025;7985;7845;7748;7672;7404;7433;7263;7169;7250;7088;6951;6964;7015;6903;6931;6796;6575;6532;6438;6160;6169;6096;6021;5908;5955;5900;5680
US Iowa;3155070;144669;4365;138.3487529595;0.1902955794;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;3;8;13;14;16;17;18;22;23;29;38;-55;68;90;102;116;132;165;219;281;318;402;474;520;576;654;718;778;841;924;1000;1091;1153;1212;1251;1286;1402;1446;1527;1633;1727;2034;2213;2593;2603;2654;3057;3582;3889;4158;4477;4848;5004;5552;6128;6267;6544;6470;6656;7135;7012;6579;6483;6505;6536;6446;6530;6165;5687;5482;5252;5238;5210;5111;5047;5222;5293;5204;4791;5071;4898;4877;4916;4901;4742;4667;4441;4635;4648;4585;4415;4410;4533;4191;4365
US Kansas;2913314;211754;1284;44.0735190234;0.1187569367;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;997;6;6;7;10;14;15;33;43;53;62;80;96;123;-829;196;254;311;357;413;466;518;576;643;683;763;802;920;938;964;1007;1018;1008;998;1012;1036;1085;1092;1102;1141;1125;1165;1376;1611;1788;1837;1952;2065;2244;2650;2744;2956;3181;3259;3433;3523;3662;3724;3695;3774;3788;3801;3730;3439;3437;3291.3333333333;3158.6666666667;3095;2981.5;2805;2604.5;2457;2293.6666666667;2183.3333333333;2102;1985.5;1869;1851;1833;1779;1725;1671;1651;1631;1533;1435;1434;1433;1432;1453.5;1475;1284
US Kentucky;4467673;102269;2814.5;62.9970008996;0.235621599;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;8;684.5;1361;1727;2187;20;21;25;34;46;52;96;100;118;149;-486.5;-1113;-1426;-1794;418;458;565;645;723;777;818;851;884;992;1148;1445;1464.5;1446;1524;1568;1619;1611;1659;1691;1790;2005;2042;2043;2027;1788;2012.5;2065;2111;2098;2165;2248;2279;2357;2297.5;2170;2195;2630;2561;2648;2509;2535;2484.5;2531;2478;2541;2517;2565;2683.5;2748.5;2824;2296;2233;2157;2138;2131;2181.1666666667;2231.3333333333;2224;2050.5;1959;2020;2016;2167.5;2116;2292;2538;2691;2861;2810.5;2736.3333333333;2799.6666666667;2806;2814.5
US Louisiana;4648794;111898;5670;121.9671166328;0.1274959525;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;14;36;51;88;113;133;234;339;461;564;817;1138;1342;1730;2222;2627;3178;3389;3840;4998;6151;8803;9824;11916;12173;13695;14896;15235;15978;16507;16699;17055;16991;16281;15527;13382;12821;11084;10918;9656;8570;8228;7456;6887;6498;6178;6052;5768;5709;5469;5593;5560;5412;5150;5142;5141;4913;4715;4905;4827;4747;4764;5002;5488;5126;4977;5092;5036;5042;4917;5852;6070;5623;5569;5994;6004;5835;5313;5352.5;5460;5484;5632;5708;5817;5058;5064;5446;5647;5241;5558;5533;5670
US Maine;1344212;79883;478;35.5598670448;0.1792275966;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;17;32;43;53;57;73;89;107;125;149;154;165;208;250;258;271;301;323;375;383;381;392;394;388;405;418;405;380;423;431;426;420;395;391;397;376;369;370;377;379;374;382;325;306;286;299;296;305;318;330;338;347;393;409;418;421;439;437;459;470;480;496;502;508;515;565;547;574;605;619;612;632;622;624;623;634;638;636;636;599;569;534;511;515;514;497;500;478
US Maryland;6045680;25142;10488;173.4792446838;0.1742279516;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;5;6;9;12;17;26;31;2893;57;83;105;146;187;240;283;343;414;568;757;966;1208;-1482;1603;1900;2224;2609;2935;3365;3757;4022;5106;5605;6194;6702;6986;7523;7812;8047;8453;8814;9183;9221;9639;9822;9246;9552;9648;10072;10356;10551;10641;10817;10958;11900;12165;12632;12724;12924;13388;13637;13869;13768;14006;13886;13948;13963;14161;13514;13495;13342;13354;14429;14160;14157;13939;13961;13726;13779;13626;13611;13806;14002;14047;13974;13565;12629;12659;12327;12346;11987;11660;11252;11217;11042;10488
US Massachusetts;6892503;20202;9772;141.777232451;0.09336276;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;23;38;64;97;118;154;226;309;419;536;661;1034;1706;2276;3094;4086;4757;5529;6368;7452;8638;9989;11211;11855;13061;14044;14953;16525;17727;18608;20525;21141;21588;22331;23625;24822;25890;27418;27677;28064;28221;29149;30091;30582;29557;29668;30193;30295;29713;29186;28736;28267;27671;27103;27112;25729;24364;23395;22855;22000;21030;20232;19977;19110;18670;17923;17880.5;17654;16945;16363;15556;14919;14882;14809;14361;13723;12713;12091;11368;10955;12096.5;13238;12622;11979;11668;11470;10761;10355;10196;9936;9772
US Michigan;9986857;146435;2652;26.5549011065;0.0405200996;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;18;34;52;72;98;128;168;254;358;497;702;945;1196;1471;1915;3625;4479;5204;6121;6895;7654;8808;9797;10838;11773;12854;13669;14304;15430;14995;15715;16100;16360;16558;16636;16723;16809;16729;16621;16373;16115;15882;15339;14959;14287;14079;13741;13448;13099;12709;12625;12641;12598;12558;12283;12123;12007;11925;11955;12050;11920;11643;11472;11315;10908;10426;10037;9619;9469;9244;9295;10103;9970;9531;9447;9351;9249;9003;9079;9020;8879;8726;8561;8424;7628;6434;6003;5761;5429;5298;5290;5001;4527;4231;4006;3746;3621;3512;3472;3092;2721;2652
US Minnesota;5639632;206232;6369;112.9329005864;0.217253377;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;5;9;14;21;35;54;60;77;89;115;137;168;233;259;282;337;384;420;468;522;569;612;653;674;727;766;751;807;867;896;938;986;1118;1074;1066;1120;1170;1282;1348;1421;1484;1498;1567;1700;1849;2019;1981;2166;2486;2835;3224;3659;4015;4307;4764;5284;5858;6423;6903;7344;7669;7983;8313;8273;8299;8510;8741;9005;9138;9178;9091;8835;8917;9055;9302;9516;9466;9547;9512;9291;9221;9182;8836;8479;8200;8073;7975;7656;7313;6909;6563;6405;6369
US Mississippi;2976149;121531;4111;138.1315250009;0.2224206027;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;10;12;21;34;50;79;139;206;248;319;375;479;571;650;744;831;916;1039;1127;1278;1315;1431;1489;1595;1626;1775;1890;1979;2023;2095;2150;2287;2447;2435;2519;2636;2774;2801;2891;2893;2965;3076;3130;3152;3255;3209;3191;3419;3467;3276;3365;3491;3530;3533;3656;3660;3590;3580;3566;3521;3668;3589;3682;3746;3555;3497;3543;3536;3534;3627;3751;3784;3823;3954;3889;3989;4106;4205;4320;4316;4355;4338;4135;3764;4018;4310;4394.5;4439;4111
