Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;Last Trend
Switzerland Nidwalden;43223;276;63;145.755731902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1473198753;0.1374613643;0.1311516801;0.1262501561;0.1161938727;0.0980013914;0.0841347521;0.0782818003;0.0762878748;0.0767126542;0.0720551242;0.0677966102
Switzerland Obwalden;37841;491;46;121.5612695225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1137088246;0.1165493022;
Switzerland Schaffhausen;81991;298;41;50.0054884073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1487442355;0.0914136846;0.0565569607;0.041601994;0.0396571828;
Switzerland Schwyz;159165;908;135;84.8176420696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3216863962;0.2689180319;0.2093622102;0.1719790242;0.1461560218;0.1271847407;0.1139386211;0.1046605744;0.0928193381;0.0800258996;0.0657748747;0.0546875
Switzerland Solothurn;273194;791;190;69.5476474593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.148358541;0.1371353427;0.1329518065;0.1364412193;0.1344837581;0.1221020996;0.102715254;0
Switzerland St. Gallen;507697;2026;389;76.620503962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2334482846;0.2333825923;0.2418256226;0.2774269501;0.2996809753;0.3016316911;0.2856706469;0.2380575885;0.1863924039;0.1316282788;0.0975784165;0.0773355615;0.0680343459;0.0657534247
Switzerland Thurgovia;276472;991;148;53.5316415406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2574334297;0.235445572;0.2004804806;0.1697584836;0.1295326234;0.1110066677;0.1040156558;0.1017585225;0.0941967425;0.0724637681
Switzerland Ticino;353343;2812;1962;555.2678275783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.292976027;0.2232367478;0.210649946;0.196398172;0.1879322147;0.1690362607;0.1501030184;0.1577425803;0.1786583712;0.2231289572;0.2303492196;0.2081687181;0.177686153;0.137077863;0.1177063871;0.101817721;0.1011474143;0.0978695412;0.0893162226;0.086462004;0.0680457267
Switzerland Uri;36433;1077;53;145.4725111849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2104893861;0.1845343051;0.1514692839;0.1243105469;0.06
Switzerland Valais;343955;5224;1000;290.7357067058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4524925726;0.4318160514;0.3855762051;0.3408848955;0.3293982248;0.3205889129;0.2954745431;0.2535008298;0.1958602815;0.1646957311;0.1310767832;0.1165066706;0.1065546929;0.105600702;0.1064750826;0.0979746642;0.0373443983
Switzerland Vaud;799145;3212;3272;409.4375864205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3837825752;0.4023780988;0.4337956774;0.4201682775;0.3875485047;0.3428954422;0.2810243495;0.2848180423;0.2844075275;0.297977827;0.2646060139;0.1919253204;0.1378343719;0.0944841393;0.0902512252;0.0914176218;0.0924631488;0.0930578302;0.0793209364;0.0328282828
Switzerland Zug;126837;239;112;88.3023092631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2123093028;0.1988371085;0.1770223959;0.1510750602;0.1233786683;0.1100819042;0.1066819197;0.1090093393;0.1172531474;0.112104648;0.100598632;0.0798697236;0.0338461538
Switzerland Zurich;1520968;1729;1874;123.2110077267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2088700928;0.1852231156;0.2109794177;0.2841841425;0.34743108;0.3884340108;0.3579060687;0.2838820004;0.2419097574;0.2263499641;0.2616651039;0.2871621267;0.2753728269;0.2366045361;0.1718039799;0.1381601486;0.1156741226;0.110058635;0.1010177376;0.0854673905;0.0721739973;0.0659840728
