Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30
Switzerland Obwalden;37841;491;46;121.5612695225;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;25;26;27;30;37;40;43;46
Switzerland Schaffhausen;81991;298;41;50.0054884073;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;19.3333333333;24.6666666667;30;32;34;35;36;37;40;41
Switzerland Schwyz;159165;908;135;84.8176420696;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;6;6.4285714286;6.8571428571;7.2857142857;7.7142857143;8.1428571429;8.5714285714;9;12;13;21.6;30.2;38.8;47.4;56;64.6;73.2;81.8;90.4;99;109;119;122;128;135
Switzerland Solothurn;273194;791;190;69.5476474593;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;43;54.5;66;75.6666666667;85.3333333333;95;104;129;141;157;173;190;190
Switzerland St. Gallen;507697;2026;389;76.620503962;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;15;21.4;27.8;34.2;40.6;47;61;85;98;141.3333333333;184.6666666667;228;254;280;306;322.5;339;365;389
Switzerland Thurgovia;276472;991;148;53.5316415406;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;23;32;36;49;56;75;81;87;96;110;117;134;138;148
Switzerland Ticino;353343;2812;1962;555.2678275783;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;4;5;26.875;48.75;70.625;92.5;114.375;136.25;158.125;180;258;265;291;330;422;511;638;834;918;939;1165;1211;1354;1401;1688;1727;1837;1962
Switzerland Uri;36433;1077;53;145.4725111849;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;5;7;9.5;12;17;22;25;31.5;38;40;48;50;53
Switzerland Valais;343955;5224;1000;290.7357067058;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;4;5;6;6.5;7;12;17;22;30;53;76;98;116;173;225;311;346;433;490;527;606;651;715;808;902;964;1000
Switzerland Vaud;799145;3212;3272;409.4375864205;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;30;40;51;77;108;156;204;350;406;508;608;796;1212;1432;1676;1782;1822;2162;2215;2532;2745;2936;3168;3272
Switzerland Zug;126837;239;112;88.3023092631;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;3;3;3;3;3;3;13;16.6666666667;20.3333333333;24;30;36;42;48;52.6666666667;57.3333333333;62;72;80;87;101;104.6666666667;108.3333333333;112
Switzerland Zurich;1520968;1729;1874;123.2110077267;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;9;14;19;26;30;37;40;49;59;92;140;183.3333333333;226.6666666667;270;294;424;526;773;871.3333333333;969.6666666667;1068;1211;1363;1476;1578;1720;1758;1874
