Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12
US Florida;21477737;138887;19355;90.1165704748;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;11.5;14;17;18;19;28;32;50;77;116;141;186;314;390;520;658;830;1171;1412;1682;2355;2765;3763;4246;5473;6338;6955;8010;9585;11111;12151;13324;14747;15455;16364;17531;18494;19355
US Georgia;10617423;148959;12452;117.2789291714;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;7;12;17;22;31;42;66;99;121;146;197;287;420;507;600;772;1026;1247;1525;2001;2366;2651;2809;3929;4638;5348;5831;6160;6647;7314;8818;9901;10566;11483;12159;12452
US Guam;162742;543;133;81.7244472847;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;8;12;14;15;27;29;32;37;45;51;55;56;58;69;77;82;84;93;112;113;121;125;128;130;133;133
US Hawaii;1415872;16635;486;34.3251367355;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;7;10;14;16;26;37;48;56;77;90;95;106;120;151;175;204;208;258;285;319;351;371;387;410;435;442;465;486
US Idaho;1787065;214045;1407;78.7324467773;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;6;7;9;11;23;31;42;47;50;73;123;189;230;261;310;415;525;669;891;1013;1077;1101;1170;1210;1232;1353;1396;1407
US Illinois;12671821;143793;20852;164.5540921072;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;5.5;6;6.5;7;19;22;25;32;46;64;93;159;288;422;585;753;1049;1273;1535;1865;2538;3026;3491;4596;5057;5994;6980;7695;8904;10357;11256;12262;13549;15078;16422;17887;19180;20852
US Indiana;6732219;92789;7928;117.7620632959;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;6;10;12;13.5;15;19;24;30;39;56;79;126;201;259;365;477;645;981;1232;1514;1786;2159;2565;3039;3437;3953;4411;4944;5507;5943;6351;6907;7435;7928
US Iowa;3155070;144669;1587;50.299993344;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;13;14;16;17;18;22;23;29;38;45;68;90;105;124;145;179;235;298;336;424;497;549;614;699;786;868;946;1048;1145;1270;1388;1510;1587
US Kansas;2913314;211754;1337;45.892753064;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;4;6;7;8;11;15;16;34;44;55;64;82;98;126;168;202;261;319;368;428;482;552;620;698;747;845;900;1003;1106;1166;1268;1337
US Kentucky;4467673;102269;1840;41.1847509878;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;8;9.5;11;14;16;21;22;26;35;47;54;99;104;124;157;198;248;302;394;439;480;591;680;770;831;917;955;1008;1149;1346;1693;1766.5;1840
