Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;Last Trend
US Delaware;973764;5047;1479;151.8848509495;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2421015078;0.2330732542;0.2500404891;0.2547365973;0.2543038361;0.2461028479;0.2278785081;0.2121009467;0.1988144938;0.1827007822;0.1667152101;0.1559743712;0.1646158891;0.1734333181;0.1924734897;0.2069791491;0.2031449695;0.189183443;0.1697679053;0.1600511555;0.1335154696;0
US District of Columbia;705749;158;1875;265.6751904714;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1808612863;0.216563085;0.320589356;0.3626153591;0.3729819028;0.33945483;0.2657941095;0.245767232;0.2334663357;0.2479854375;0.2405445291;0.2129063646;0.1817897174;0.1686594976;0.1751867721;0.1849845062;0.1931588121;0.1847800583;0.1742505966;0.1639275098;0.1516011561;0.1470628992;0.1409147098;0.1363829565;0.1288187368;0.1114866819;0
US Florida;21477737;138887;19355;90.1165704748;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1788176521;0.2333853963;0.322503369;0.4044538435;0.4466059215;0.4305052818;0.4264927125;0.3924506996;0.3922694046;0.3797044202;0.3372905427;0.3196295857;0.2962125855;0.2890429355;0.2873825305;0.2695512046;0.2757958748;0.2680304751;0.2609001051;0.2467716804;0.2153205271;0.1953223733;0.1709199699;0.1661573569;0.1612336321;0.1587201555;0.145275685;0.1230637285;0.1064988518;0.0922354565;0.0857498057;0.0795066367;0
US Georgia;10617423;148959;12452;117.2789291714;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4236638809;0.4252439898;0.4037695279;0.3552929712;0.3323985292;0.3440179278;0.3594617355;0.3607114919;0.3246687822;0.2850961389;0.267033561;0.2641384508;0.2711274905;0.2595670854;0.2411349982;0.2070265367;0.1913993589;0.1867076007;0.1972196165;0.207257396;0.1806031793;0.1443985145;0.1079806659;0.1080469969;0.1223523468;0.1397694066;0.1484107469;0.1328533363;0.1081432596;0
US Guam;162742;543;133;81.7244472847;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.250160204;0.1989009103;0.1732968517;0.1471967864;0.1363278448;0.1090734474;0.0895419257;0.0871668709;0.104483571;0.1140477238;0.1081628358;0.1198799588;0.116677253;0.1255737921;0.1208058257;0.1026776059;0.0783188877;0.0529257637;0.0428814738;0
US Hawaii;1415872;16635;486;34.3251367355;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3839301441;0.3499153723;0.3029239607;0.2446448439;0.2024029037;0.1566123463;0.1421566063;0.1481694809;0.1700399199;0.1746295355;0.1648266176;0.1531053193;0.1462605429;0.1498795317;0.1371664638;0.12778318;0.1010992227;0.084110312;0.0716467247;0.0658148078;0.0653212062;0
US Idaho;1787065;214045;1407;78.7324467773;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2716977157;0.2652197672;0.3438077829;0.4123979601;0.422303671;0.3500798765;0.269586628;0.2363841743;0.2442737331;0.2773485013;0.2795404;0.2525388473;0.1950303204;0.1313039752;0.0835292083;0.0546250306;0.0514817661;0.0529704933;0.0556227145;0
US Illinois;12671821;143793;20852;164.5540921072;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3243050208;0.4168351672;0.5204027332;0.5797024006;0.5948470159;0.5405376188;0.4538829915;0.3750688408;0.317627822;0.2798004754;0.2585249313;0.249530555;0.2410718914;0.2452897342;0.2238698893;0.2102673169;0.1959949883;0.1775463775;0.1683714823;0.157081418;0.1550415419;0.1466909294;0.1350340118;0.1252778496;0.1209585122;0.1189623967;0.1173880683;0.1166600805;0
US Indiana;6732219;92789;7928;117.7620632959;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2116015436;0.2434832849;0.2837973533;0.3242837276;0.3873824345;0.4591825628;0.4845506787;0.4917941548;0.4462305963;0.3937736319;0.3858094485;0.3736780793;0.3641122573;0.327701533;0.2755663728;0.234454148;0.2066483621;0.1942157385;0.1814452435;0.1679929248;0.1522242139;0.1417014927;0.1301707427;0.1204684471;0.1118690872;0.1034006893;0.098376816;0
US Iowa;3155070;144669;1587;50.299993344;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1001908367;0.1201687828;0.1525720491;0.1839566242;0.2442541544;0.2869630544;0.3165026272;0.3197294482;0.2795739071;0.2374045753;0.2225908269;0.235732386;0.2479115982;0.2527736902;0.2354587313;0.2097779365;0.1872207929;0.1622348291;0.1497136529;0.1392394465;0.1335276137;0.1286800346;0.121193868;0.1180737697;0.1200632033;0.1227642122;0.1183699621;0
