Country/Region;Population;Area;Maximum;Per 100,000 inh.;Rate A;aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12
US Illinois;12671821;143793;720;5.6818984422;0.034529062;0.0587179905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;5;6;9;12;16;19;26;34;47;65;73;99;141;157;210;243;274;307;380;462;528;596;677;720
US Indiana;6732219;92789;343;5.0949025871;0.0432643794;0.0693770227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;2;2;2;2;4;6;7;12;14;17;24;31;32;35;49;65;78;102;116;127;139;173;203;245;300;330;343
US Iowa;3155070;144669;41;1.2994957323;0.0258349086;0.0433403805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;3;4;6;7;9;11;11;14;22;25;26;27;29;31;34;41
US Kansas;2913314;211754;56;1.9222095524;0.0418848168;0.0662721893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;2;2;2;2;3;3;4;5;6;8;9;10;13;17;21;22;25;27;27;42;50;55;56
US Kentucky;4467673;102269;94;2.1040035831;0.0510869565;0.0984293194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;3;3;4;4;4;6;8;9;9;11;17;20;31;37;40;45;59;65;73;90;90;94
US Louisiana;4648794;111898;840;18.0692024641;0.0407865987;0.0565009753;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;4;6;8;12;16;20;34;46;65;83;119;137;151;185;239;273;310;370;409;477;512;582;652;702;755;806;840
US Maine;1344212;79883;19;1.4134675185;0.0300157978;0.0380761523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;3;5;7;7;9;10;10;10;12;14;16;17;19;19
US Maryland;6045680;25142;235;3.8870730836;0.0285714286;0.0580964153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;3;3;3;4;4;5;5;10;15;18;31;36;42;53;67;91;103;124;138;171;206;235
US Massachusetts;6892503;20202;756;10.9684391868;0.0296761531;0.0546361205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;5;9;11;15;25;35;44;48;56;89;122;154;192;216;231;260;356;433;503;599;686;756
US Michigan;9986857;146435;1487;14.889569361;0.0603539248;0.0788859416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;5;8;15;24;43;60;92;92;132;184;259;337;417;479;540;617;727;845;959;1076;1281;1392;1487
