Country/Region;Population;Maximum;Per 100,000 inh.;CDGR per day;Comments;Day 1;Day 2;Day 3;Day 4;Day 5;Day 6;Day 7;Day 8;Day 9;Day 10;Day 11;Day 12;Day 13;Day 14;Day 15;Day 16;Day 17;Day 18;Day 19;Day 20;Day 21;Day 22;Day 23;Day 24;Day 25;Day 26;Day 27;Day 28;Day 29;Day 30;Day 31;Day 32;Day 33;Day 34;Day 35;Day 36;Day 37;Day 38;Day 39;Day 40;Day 41;Day 42;Day 43;Day 44;Day 45;Day 46;Day 47;Day 48;Day 49;Day 50;Day 51;Day 52;Day 53;Day 54;Day 55;Day 56;Day 57;Day 58;Day 59;Day 60;Day 61;Day 62;Day 63;Day 64;Day 65;Day 66;Day 67;Day 68;Day 69;Day 70;Day 71;Day 72;Day 73;Day 74;Day 75;Day 76;Day 77;Day 78;Day 79;Day 80;Day 81;Day 82
American Samoa;55191;0;0;0;
Northern Mariana Islands;57559;0;0;0;
US;331002651;555313;167.7669342896;0.2197293704;;27;39;51;54;57;58;60;68;74;98;118;149;217;262;402;518;583;959;1281;1663;2179;2727;3499;4632;6421;7783;13747;19273;25600;33276;43847;53740;65778;83836;101657;121465;140909;161831;188172;213372;243762;275586;308853;337072;366667;396223;429052;461437;496535;526396;555313
US Alabama;4903185;3525;71.8920456805;0.1961284443;;28;36;46;68;81;124;138;167;215;283;506;587;696;806;859;981;1077;1233;1432;1580;1796;1968;2119;2369;2769;2968;3191;3525
US Alaska;731545;272;37.1815814475;0.1272155286;;22;29;36;42;59;69;85;102;114;119;133;143;157;171;185;191;213;226;235;246;257;272
US Arizona;7278717;3539;48.6212061824;0.2202695972;;20;28;44;65;104;152;265;357;450;577;736;873;919;1157;1289;1413;1598;1769;2019;2269;2456;2575;2726;3018;3112;3393;3539
US Arkansas;3017804;1280;42.4149480881;0.1624184438;;22;27.5;33;46;96;118;165;174;218;280;335;381;404;426;473;523;584;643;704;743;830;875;946;1000;1119;1171;1226;1280
US California;39512223;21794;55.1576154042;0.1668827161;;53;56.5;60;69;88;114;133;157;202;227;252;293;335;483;611;924;1063;1279;1536;1733;2102;2355;3006;3879;4643;5708;6447;7482;8155;9191;10701;12026;13438;14336;15865;16957;18309;19472;20633;21794
US Colorado;5758736;6893;119.6964056001;0.1877541875;;28;45;72;101;131;145.5;160;183;216;277;363;475;591;720;912;1086;1430;1734;2061;2627;2796.5;2966;3342;3728;4173;4565;4950;5172;5429;5655;6510;6701.5;6893
US Connecticut;3565287;12035;337.5604825081;0.2567962051;;20;26;41;68;96;194;208.5;223;415;618;875;1012;1291;1642;1993;2571;3128;3557;3824;4914;5276;5675;6906;7781;8782.5;9784;10538;11510;12035
US Delaware;973764;1479;151.8848509495;0.1772836879;;25;30;38;45;56;68;91;115;130;163;214;232;264;319;368;393;450;593;673;800.5;928;1067.5;1207;1326;1479;1479
US District of Columbia;705749;1875;265.6751904714;0.1864597859;;22;31;39;71;77;98;116;137;183;231;267;304;342;401;495;586;653;757;902;998;1097;1211;1440;1523;1660;1778;1875
US Florida;21477737;19355;90.1165704748;0.2267006581;;28;32;50;77;116;141;186;314;390;520;658;830;1171;1412;1682;2355;2765;3763;4246;5473;6338;6955;8010;9585;11111;12151;13324;14747;15455;16364;17531;18494;19355
US Georgia;10617423;12452;117.2789291714;0.2190612129;;22;31;42;66;99;121;146;197;287;420;507;600;772;1026;1247;1525;2001;2366;2651;2809;3929;4638;5348;5831;6160;6647;7314;8818;9901;10566;11483;12159;12452
US Guam;162742;133;81.7244472847;0.0788861381;;27;29;32;37;45;51;55;56;58;69;77;82;84;93;112;113;121;125;128;130;133;133
US Hawaii;1415872;486;34.3251367355;0.135768167;;26;37;48;56;77;90;95;106;120;151;175;204;208;258;285;319;351;371;387;410;435;442;465;486
US Idaho;1787065;1407;78.7324467773;0.1958502371;;23;31;42;47;50;73;123;189;230;261;310;415;525;669;891;1013;1077;1101;1170;1210;1232;1353;1396;1407
US Illinois;12671821;20852;164.5540921072;0.2388612168;;22;25;32;46;64;93;159;288;422;585;753;1049;1273;1535;1865;2538;3026;3491;4596;5057;5994;6980;7695;8904;10357;11256;12262;13549;15078;16422;17887;19180;20852
US Indiana;6732219;7928;117.7620632959;0.2396370085;;24;30;39;56;79;126;201;259;365;477;645;981;1232;1514;1786;2159;2565;3039;3437;3953;4411;4944;5507;5943;6351;6907;7435;7928
US Iowa;3155070;1587;50.299993344;0.1717110554;;22;23;29;38;45;68;90;105;124;145;179;235;298;336;424;497;549;614;699;786;868;946;1048;1145;1270;1388;1510;1587
