Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;Last Trend
US Pennsylvania;12801989;115883;22833;178.3550977899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4118817926;0.3887872955;0.3132886555;0.2904072326;0.2867845815;0.3322820234;0.3684055828;0.3836794502;0.3782803487;0.3547600552;0.3355998725;0.345575416;0.3547136562;0.3550850103;0.3363873387;0.2926222825;0.2509869069;0.2197875792;0.205540319;0.2003381431;0.1988002421;0.1939902918;0.1822369722;0.1644175418;0.1451944506;0.1311450116;0.120765345;0.1127185457;0.1015910174;0.0543985223
US Puerto Rico;3193694;8868;897;28.0865981525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2683845368;0.2765069445;0.2681923136;0.2713959722;0.2610549582;0.2702988735;0.2916593959;0.3023200461;0.2875634572;0.2503178339;0.206973443;0.1689160827;0.1439093876;0.1234253173;0.1045836291;0.0949784716;0.0893723918;0.0890739201;0.0902083498;0.1383248731
US Rhode Island;1059361;2678;2665;251.5667463688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1638603537;0.2080893199;0.2627606307;0.2742402763;0.2636739858;0.2432780334;0.2188946775;0.200042189;0.1833343078;0.1800790174;0.1941044339;0.2207658698;0.240758007;0.2447086716;0.2349702238;0.1989439425;0.1635508497;0.1372317978;0.1318806614;0.137452379;0.1472015961;0.1596365103;0.1658886944;0.1714861163;0.1691458382;0.1345253299
US South Carolina;5148714;77857;3319;64.4626988409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.363575946;0.3884053233;0.3702183532;0.3956199762;0.3714014353;0.409322837;0.4175450662;0.3744135886;0.3049143382;0.2088793894;0.1497783249;0.1370839203;0.1588362583;0.192110133;0.2195027841;0.213803835;0.1962187291;0.1696264658;0.1463992706;0.1206816774;0.0995801116;0.0844931447;0.0801451966;0.0792092996;0.0785182038;0.0742433984;0.0349236046
US South Dakota;884659;196350;730;82.5176706505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1230816746;0.1658153953;0.1930004873;0.2212899854;0.2218183394;0.2151687411;0.2147176417;0.2153591616;0.2197714824;0.1983282467;0.1839873528;0.1680006258;0.1673775258;0.1719308287;0.172589604;0.1648001467;0.1522923907;0.1542203933;0.1607515781;0.1677414027;0.1736539046;0.1725240614;0.1661341853
US Tennessee;6829174;106798;5308;77.7253588794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3052654727;0.3087985877;0.3529380364;0.4055102964;0.4638203555;0.491646978;0.4635196929;0.3890594353;0.2870156717;0.2152674122;0.1854003211;0.1857817753;0.1878376812;0.184737266;0.1749145008;0.1759436218;0.1722591976;0.1601798014;0.1326480812;0.1035838982;0.0847992396;0.0772091111;0.0743807585;0.0699697202;0.0653993828;0.0599882856;0.0557602988;0.0379350802
US Texas;28995881;676587;13484;46.503156776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3404561136;0.3347463934;0.302393584;0.2084363863;0.1591454398;0.1871655502;0.2650315605;0.3794983672;0.4210955834;0.3592811652;0.2709846805;0.2828412693;0.3520114432;0.4266375268;0.4743779908;0.382131053;0.2807923198;0.2066878899;0.1828999434;0.1714982829;0.1695292009;0.166674616;0.1582921853;0.1406404818;0.1241348152;0.1149193189;0.1113713336;0.1153195375;0.1143349133;0.1094834302;0.0734814107
US Utah;3205958;212818;2303;71.8350022053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3173777035;0.2892403761;0.2940214202;0.314930097;0.3064317958;0.2897253448;0.2498915943;0.2094046069;0.1912189766;0.1887124021;0.1938649497;0.1838447;0.1619390355;0.1334968018;0.1187534194;0.116491882;0.1214857361;0.1217869572;0.107787387;0.0883683331;0.0676603789;0.0591187313;0.0578555766;0.0588659834;0.0439709882
US Vermont;623989;23871;727;116.5084640915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3462048747;0.3344851139;0.3377089464;0.3263339665;0.2908017198;0.2562990727;0.2109277515;0.1689268026;0.1395037991;0.1199497324;0.1087256623;0.105365849;0.1094943488;0.1185733389;0.123351225;0.1167515925;0.0974056939;0.0733845247;0.0597347403;0.054832226;0.0528315603;0.0225035162
US Virgin Islands;104425;350;3;2.8728752693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Virgin Islands;104425;350;51;48.8388795786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0664482441;0.0507639578;0.0855926041;0.1091660698;0.1181279293;0.1066819197;0.0825400941;0.0721632651;0.0657971986;0.068217516;0.0578841771;0.0442698471;0.029883572;0.0305694755;0.0331940729;0.0358990009;0
US Virginia;8535519;102279;5274;61.7888613452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2325214199;0.2060244395;0.2087622783;0.2190702252;0.2558182261;0.2729922658;0.279145418;0.2694841343;0.2384713845;0.2352240646;0.2398461483;0.2431378167;0.2343805741;0.2139645992;0.2012257556;0.1874725025;0.1837829959;0.1799259499;0.1708899435;0.1557475114;0.1420068043;0.1262859084;0.117907206;0.1138985649;0.1140296576;0.108101464;0.0388024424
US Washington;7614893;172119;10224;134.2632128908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4066070669;0.3669808863;0.3607498666;0.3526664621;0.3215068385;0.2974015658;0.2501666333;0.2207489132;0.1998441512;0.1887141793;0.1844240427;0.169054345;0.158751778;0.144911841;0.1411724623;0.1357210089;0.1326773903;0.1277425796;0.1247350369;0.1261875991;0.1307451001;0.1386205697;0.139943061;0.1322172497;0.117948789;0.1035723307;0.0941750316;0.0866382753;0.082386255;0.0767352988;0.0696849403;0.0623435443;0.054101794;0.049491367;0.0442573892;0.042811823;0.0377535649;0.0302238232;0
US West Virginia;1792147;62259;611;34.0931854362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4363519564;0.4681347098;0.3961944238;0.321031065;0.2466917087;0.2106194933;0.189207115;0.1779550731;0.1639474158;0.1517892354;0.1365182536;0.1378014813;0.1344398475;0.1345985073;0.1278842334;0.1121860739;0.0933547883;0.0589254766
US Wisconsin;5822434;140268;3341;57.3815005889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4374323272;0.4487810401;0.4335830585;0.4030834169;0.3425972609;0.2811233303;0.2275964503;0.1900585562;0.1850639544;0.1917982521;0.1919504022;0.1739577161;0.1462551545;0.1288964112;0.1200080128;0.1181080234;0.1179247186;0.1114832555;0.101568421;0.0883628722;0.0781238902;0.069115987;0.0630700919;0.0591014782;0.0547637706;0.0398381575
US Wyoming;578759;251470;261;45.0964909401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1414676325;0.1102120504;0.1333681034;0.175456745;0.2298394013;0.2692047607;0.2451894735;0.2008332;0.1469522637;0.1289445026;0.1306889842;0.1396729606;0.1463062906;0.1315847925;0.111627318;0.0895983686;0.0670897143;0.0513160576;0.0673748936;0.0681523539;0.0680754989;0
