#;Company;Symbol;Weight sp500;      Price;Chg;% Chg
82;Micron Technology Inc.;MU;0.266517;  95.94;1.54;(1.63%)
83;Deere & Company;DE;0.26488;  376.36;4.31;(1.16%)
84;3M Company;MMM;0.26049;  178.00;-1.49;(-0.83%)
85;Automatic Data Processing Inc.;ADP;0.257902;  241.39;-1.67;(-0.69%)
86;Zoetis Inc. Class A;ZTS;0.257418;  217.42;0.86;(0.40%)
87;ConocoPhillips;COP;0.250673;  78.49;2.84;(3.75%)
88;Booking Holdings Inc.;BKNG;0.248495;  2,429.97;16.67;(0.69%)
89;Lam Research Corporation;LRCX;0.244723;  696.55;4.74;(0.69%)
90;Mondelez International Inc. Class A;MDLZ;0.236331;  67.38;-0.03;(-0.04%)
91;Analog Devices Inc.;ADI;0.233189;  175.67;2.83;(1.64%)
92;Ford Motor Company;F;0.232864;  24.47;0.81;(3.42%)
93;Stryker Corporation;SYK;0.22917;  271.50;-0.75;(-0.28%)
94;General Motors Company;GM;0.228452;  63.06;0.32;(0.50%)
95;TJX Companies Inc;TJX;0.227362;  75.47;0.33;(0.44%)
96;Gilead Sciences Inc.;GILD;0.226999;  71.59;-0.59;(-0.82%)
97;PNC Financial Services Group Inc.;PNC;0.226356;  220.57;8.18;(3.85%)
98;Altria Group Inc;MO;0.224957;  49.48;0.84;(1.73%)
99;Lockheed Martin Corporation;LMT;0.221301;  358.00;-0.14;(-0.04%)
100;Chubb Limited;CB;0.209947;  197.99;3.97;(2.05%)
101;Marsh & McLennan Companies Inc.;MMC;0.209431;  166.69;1.86;(1.13%)
102;CSX Corporation;CSX;0.208624;  37.71;0.27;(0.72%)
103;Estee Lauder Companies Inc. Class A;EL;0.20711;  355.39;-0.72;(-0.20%)
104;Truist Financial Corporation;TFC;0.206472;  63.98;2.31;(3.75%)
105;Crown Castle International Corp;CCI;0.204305;  192.50;4.04;(2.14%)
106;CME Group Inc. Class A;CME;0.203968;  225.71;-0.72;(-0.32%)
107;Sherwin-Williams Company;SHW;0.203622;  333.56;-2.79;(-0.83%)
108;Duke Energy Corporation;DUK;0.199979;  103.47;-0.17;(-0.16%)
109;U.S. Bancorp;USB;0.197838;  60.10;1.64;(2.81%)
110;Cigna Corporation;CI;0.196927;  230.51;-6.01;(-2.54%)
111;Charter Communications Inc. Class A;CHTR;0.194211;  631.95;7.09;(1.13%)
112;Edwards Lifesciences Corporation;EW;0.193749;  123.23;-0.69;(-0.56%)
113;Moderna Inc.;MRNA;0.19074;  216.06;0.83;(0.39%)
114;Intercontinental Exchange Inc.;ICE;0.186991;  133.16;0.77;(0.58%)
115;Becton Dickinson and Company;BDX;0.182233;  249.73;-3.22;(-1.27%)
116;Southern Company;SO;0.181256;  68.17;-0.08;(-0.12%)
117;Colgate-Palmolive Company;CL;0.1803;  84.66;-0.56;(-0.66%)
118;Norfolk Southern Corporation;NSC;0.180167;  296.64;1.93;(0.65%)
119;Fidelity National Information Services Inc.;FIS;0.178271;  116.65;0.12;(0.10%)
120;Equinix Inc.;EQIX;0.177692;  775.08;-14.02;(-1.78%)
121;Illinois Tool Works Inc.;ITW;0.177282;  246.60;-0.03;(-0.01%)
122;T-Mobile US Inc.;TMUS;0.169713;  113.60;-1.76;(-1.53%)
123;Eaton Corp. Plc;ETN;0.168967;  169.41;0.40;(0.24%)
124;Air Products and Chemicals Inc.;APD;0.168921;  298.02;-6.22;(-2.04%)
125;Aon Plc Class A;AON;0.162192;  290.50;-2.50;(-0.85%)
126;Fiserv Inc.;FISV;0.161981;  109.10;0.74;(0.68%)
127;FedEx Corporation;FDX;0.161809;  263.45;1.32;(0.50%)
128;KLA Corporation;KLAC;0.161163;  432.22;11.48;(2.73%)
129;Dominion Energy Inc;D;0.160626;  79.06;-0.15;(-0.19%)
130;Capital One Financial Corporation;COF;0.158504;  150.73;2.47;(1.67%)
131;Waste Management Inc.;WM;0.157224;  164.75;2.91;(1.80%)
132;Regeneron Pharmaceuticals Inc.;REGN;0.15693;  598.44;3.32;(0.56%)
133;HCA Healthcare Inc;HCA;0.155806;  254.51;-4.46;(-1.72%)
134;Boston Scientific Corporation;BSX;0.153752;  42.84;-0.22;(-0.50%)
135;Freeport-McMoRan Inc.;FCX;0.153522;  40.50;-1.19;(-2.84%)
136;Moody's Corporation;MCO;0.153136;  374.62;-2.43;(-0.64%)
137;Progressive Corporation;PGR;0.151007;  105.25;2.36;(2.29%)
138;NXP Semiconductors NV;NXPI;0.149357;  226.96;2.39;(1.06%)
139;Northrop Grumman Corporation;NOC;0.14906;  393.00;-1.99;(-0.50%)
140;Humana Inc.;HUM;0.14691;  366.65;-89.18;(-19.56%)
141;Autodesk Inc.;ADSK;0.145845;  263.77;-0.55;(-0.21%)
142;Ecolab Inc.;ECL;0.145616;  230.46;-2.77;(-1.19%)
143;Illumina Inc.;ILMN;0.144502;  380.00;12.12;(3.29%)
144;Emerson Electric Co.;EMR;0.143486;  96.23;0.54;(0.56%)
145;Vertex Pharmaceuticals Incorporated;VRTX;0.141443;  221.90;0.48;(0.22%)
146;Johnson Controls International plc;JCI;0.141165;  80.38;1.35;(1.71%)
147;Exelon Corporation;EXC;0.139726;  56.74;-0.23;(-0.40%)
148;Dollar General Corporation;DG;0.13848;  235.80;2.00;(0.86%)
149;Public Storage;PSA;0.138296;  365.34;3.57;(0.99%)
150;EOG Resources Inc.;EOG;0.137082;  95.52;1.92;(2.05%)
151;Simon Property Group Inc.;SPG;0.132724;  163.16;2.13;(1.32%)
152;TE Connectivity Ltd.;TEL;0.132182;  161.56;0.86;(0.54%)
153;Synopsys Inc.;SNPS;0.13006;  344.97;5.20;(1.53%)
154;Activision Blizzard Inc.;ATVI;0.129311;  64.05;-2.24;(-3.38%)
155;IHS Markit Ltd.;INFO;0.128295;  127.35;-0.96;(-0.75%)
156;Amphenol Corporation Class A;APH;0.127713;  85.19;0.07;(0.08%)
157;IQVIA Holdings Inc;IQV;0.125676;  262.51;0.90;(0.34%)
158;Xilinx Inc.;XLNX;0.125245;  204.00;2.34;(1.16%)
159;IDEXX Laboratories Inc.;IDXX;0.124506;  576.36;-7.10;(-1.22%)
160;Roper Technologies Inc.;ROP;0.123368;  471.50;4.97;(1.07%)
161;General Dynamics Corporation;GD;0.121778;  211.74;1.43;(0.68%)
162;Kimberly-Clark Corporation;KMB;0.12169;  143.12;-0.94;(-0.65%)
163;American International Group Inc.;AIG;0.121371;  59.19;1.00;(1.72%)
164;Newmont Corporation;NEM;0.120918;  58.60;-1.73;(-2.87%)
165;Cadence Design Systems Inc.;CDNS;0.119821;  176.21;3.59;(2.08%)
166;Cognizant Technology Solutions Corporation Class A;CTSH;0.11867;  88.23;-1.79;(-1.99%)
167;DexCom Inc.;DXCM;0.118362;  483.00;-4.81;(-0.99%)
168;MetLife Inc.;MET;0.118017;  66.45;1.82;(2.82%)
169;Microchip Technology Incorporated;MCHP;0.117829;  85.30;0.78;(0.92%)
170;MSCI Inc. Class A;MSCI;0.117006;  562.98;-3.14;(-0.55%)
171;Centene Corporation;CNC;0.116683;  75.78;-4.01;(-5.03%)
172;Schlumberger NV;SLB;0.116673;  34.05;0.79;(2.38%)
173;O'Reilly Automotive Inc.;ORLY;0.116043;  700.00;14.67;(2.14%)
174;Digital Realty Trust Inc.;DLR;0.11543;  160.80;-2.08;(-1.28%)
175;Bank of New York Mellon Corporation;BK;0.114853;  61.76;1.58;(2.63%)
176;Trane Technologies plc;TT;0.114808;  195.03;2.36;(1.22%)
177;Aptiv PLC;APTV;0.11418;  174.12;5.84;(3.47%)
178;Carrier Global Corp.;CARR;0.113972;  53.50;1.13;(2.16%)
179;Agilent Technologies Inc.;A;0.113091;  149.75;1.15;(0.77%)
180;Marriott International Inc. Class A;MAR;0.112794;  165.22;0.85;(0.52%)
181;HP Inc.;HPQ;0.112533;  38.68;-0.19;(-0.49%)
182;Chipotle Mexican Grill Inc.;CMG;0.112338;  1,625.01;30.46;(1.91%)
183;American Electric Power Company Inc.;AEP;0.112327;  89.18;-0.29;(-0.32%)
184;Baxter International Inc.;BAX;0.110165;  86.78;-1.08;(-1.23%)
185;Motorola Solutions Inc.;MSI;0.110018;  257.69;-1.42;(-0.55%)
186;Pioneer Natural Resources Company;PXD;0.109794;  198.71;5.79;(3.00%)
187;Dow Inc.;DOW;0.109129;  58.25;-0.10;(-0.17%)
188;Global Payments Inc.;GPN;0.107843;  152.00;5.58;(3.81%)
189;Sempra Energy;SRE;0.10773;  136.16;0.97;(0.72%)
190;DuPont de Nemours Inc.;DD;0.107281;  81.99;0.20;(0.24%)
191;AutoZone Inc.;AZO;0.107038;  2,062.49;28.46;(1.40%)
192;T. Rowe Price Group;TROW;0.106682;  190.02;2.54;(1.35%)
193;Align Technology Inc.;ALGN;0.106639;  567.70;-11.14;(-1.92%)
194;Hilton Worldwide Holdings Inc;HLT;0.106113;  152.18;0.38;(0.25%)
195;Paychex Inc.;PAYX;0.10579;  130.80;-0.89;(-0.68%)
196;Prudential Financial Inc.;PRU;0.105782;  113.22;1.82;(1.63%)
197;Marathon Petroleum Corporation;MPC;0.105526;  70.15;1.91;(2.80%)
198;General Mills Inc.;GIS;0.104607;  68.49;-0.31;(-0.45%)
199;Constellation Brands Inc. Class A;STZ;0.10456;  244.79;-8.57;(-3.38%)
200;Fortinet Inc.;FTNT;0.103215;  314.00;10.51;(3.46%)
201;L3Harris Technologies Inc;LHX;0.103204;  215.75;6.37;(3.04%)
202;eBay Inc.;EBAY;0.103135;  66.81;2.32;(3.60%)
203;Parker-Hannifin Corporation;PH;0.103068;  324.13;5.76;(1.81%)
204;PPG Industries Inc.;PPG;0.103056;  170.62;-2.48;(-1.43%)
205;Sysco Corporation;SYY;0.102916;  79.60;-0.60;(-0.75%)
206;Realty Income Corporation;O;0.101051;  71.40;0.32;(0.45%)
