#;Company;Symbol;Weight sp500;      Price;Chg;% Chg
353;Genuine Parts Company;GPC;0.049905;  140.30;1.36;(0.98%)
354;ViacomCBS Inc. Class B;VIAC;0.049722;  32.72;0.00;(0.00%)
355;Catalent Inc;CTLT;0.049597;  116.92;0.86;(0.74%)
356;Generac Holdings Inc.;GNRC;0.049391;  317.39;5.30;(1.70%)
357;Monolithic Power Systems Inc.;MPWR;0.049384;  465.61;5.08;(1.10%)
358;AmerisourceBergen Corporation;ABC;0.049376;  130.11;-2.39;(-1.80%)
359;FLEETCOR Technologies Inc.;FLT;0.049117;  239.26;1.96;(0.83%)
360;Darden Restaurants Inc.;DRI;0.048993;  148.00;-1.93;(-1.29%)
361;Raymond James Financial Inc.;RJF;0.048847;  106.52;1.49;(1.42%)
362;CarMax Inc.;KMX;0.048756;  120.00;0.65;(0.54%)
363;Healthpeak Properties Inc.;PEAK;0.048658;  35.96;-0.04;(-0.11%)
364;NVR Inc.;NVR;0.048525;  5,690.84;-38.27;(-0.67%)
365;Celanese Corporation;CE;0.048414;  171.71;-2.11;(-1.21%)
366;Quest Diagnostics Incorporated;DGX;0.048204;  158.35;1.03;(0.65%)
367;Domino's Pizza Inc.;DPZ;0.048088;  524.41;3.88;(0.75%)
368;International Paper Company;IP;0.047718;  48.34;-0.35;(-0.72%)
369;CMS Energy Corporation;CMS;0.047654;  64.50;-0.90;(-1.38%)
370;Akamai Technologies Inc.;AKAM;0.047173;  111.88;-3.60;(-3.12%)
371;Amcor PLC;AMCR;0.046743;  11.99;-0.10;(-0.83%)
372;Principal Financial Group Inc.;PFG;0.046448;  75.02;0.80;(1.08%)
373;Westinghouse Air Brake Technologies Corporation;WAB;0.045767;  96.44;-0.11;(-0.11%)
374;Jacobs Engineering Group Inc.;J;0.045438;  138.88;-0.19;(-0.14%)
375;Hologic Inc.;HOLX;0.045137;  71.00;0.24;(0.34%)
376;Royal Caribbean Group;RCL;0.044641;  78.00;-2.61;(-3.24%)
377;Avery Dennison Corporation;AVY;0.044499;  214.01;0.03;(0.01%)
378;Caesars Entertainment Inc;CZR;0.044334;  86.60;2.45;(2.91%)
379;Bath & Body Works Inc.;BBWI;0.044223;  62.34;-4.26;(-6.40%)
380;IDEX Corporation;IEX;0.044107;  230.67;-0.68;(-0.29%)
381;Qorvo Inc.;QRVO;0.043963;  159.00;1.76;(1.12%)
382;Viatris Inc.;VTRS;0.043786;  14.50;0.06;(0.42%)
383;Boston Properties Inc.;BXP;0.043566;  124.80;2.54;(2.08%)
384;Paycom Software Inc.;PAYC;0.043488;  359.00;-1.94;(-0.54%)
385;MGM Resorts International;MGM;0.043293;  44.47;1.43;(3.32%)
386;CenterPoint Energy Inc.;CNP;0.043287;  27.53;0.14;(0.51%)
387;UDR Inc.;UDR;0.043243;  59.23;0.02;(0.03%)
388;Cincinnati Financial Corporation;CINF;0.042897;  116.22;2.11;(1.85%)
389;Textron Inc.;TXT;0.042897;  76.78;0.46;(0.60%)
390;J.B. Hunt Transport Services Inc.;JBHT;0.042884;  201.95;-1.41;(-0.69%)
391;FactSet Research Systems Inc.;FDS;0.042855;  449.43;-1.86;(-0.41%)
392;Masco Corporation;MAS;0.042489;  68.65;0.33;(0.48%)
393;Bio-Techne Corporation;TECH;0.042428;  426.54;-8.19;(-1.88%)
394;Carnival Corporation;CCL;0.042406;  21.13;-0.04;(-0.19%)
395;Charles River Laboratories International Inc.;CRL;0.042281;  333.94;-1.38;(-0.41%)
396;Coterra Energy Inc.;CTRA;0.042134;  20.46;-0.22;(-1.06%)
397;Kellogg Company;K;0.041847;  65.96;0.29;(0.44%)
398;Eastman Chemical Company;EMN;0.041579;  122.15;0.01;(0.01%)
399;Conagra Brands Inc.;CAG;0.041137;  33.53;-0.62;(-1.82%)
400;Omnicom Group Inc;OMC;0.040741;  78.00;2.23;(2.94%)
401;LKQ Corporation;LKQ;0.039954;  59.36;0.64;(1.09%)
402;Brown & Brown Inc.;BRO;0.039546;  68.54;1.09;(1.62%)
403;AES Corporation;AES;0.038993;  23.24;-0.09;(-0.39%)
404;Live Nation Entertainment Inc.;LYV;0.038833;  119.34;1.87;(1.59%)
405;Cardinal Health Inc.;CAH;0.03877;  52.04;-1.28;(-2.40%)
406;Advance Auto Parts Inc.;AAP;0.03875;  241.65;5.20;(2.20%)
407;Evergy Inc.;EVRG;0.038749;  65.79;-1.73;(-2.56%)
408;Teleflex Incorporated;TFX;0.03856;  326.86;-1.78;(-0.54%)
409;ABIOMED Inc.;ABMD;0.038513;  336.44;-1.76;(-0.52%)
410;Alliant Energy Corp;LNT;0.038441;  61.01;-0.25;(-0.41%)
411;J.M. Smucker Company;SJM;0.038331;  141.28;0.27;(0.19%)
412;Quanta Services Inc.;PWR;0.038263;  109.99;0.67;(0.61%)
413;NortonLifeLock Inc.;NLOK;0.038194;  27.06;0.86;(3.28%)
414;Kimco Realty Corporation;KIM;0.037666;  25.09;0.33;(1.33%)
415;Bio-Rad Laboratories Inc. Class A;BIO;0.037488;  683.52;-10.91;(-1.57%)
416;CF Industries Holdings Inc.;CF;0.037278;  69.24;0.27;(0.39%)
417;Whirlpool Corporation;WHR;0.037033;  233.75;-1.89;(-0.80%)
418;United Airlines Holdings Inc.;UAL;0.036888;  45.93;0.15;(0.33%)
419;Interpublic Group of Companies Inc.;IPG;0.03677;  37.80;0.56;(1.50%)
420;PulteGroup Inc.;PHM;0.036501;  55.03;-1.08;(-1.92%)
421;Mosaic Company;MOS;0.036295;  39.41;0.41;(1.05%)
422;C.H. Robinson Worldwide Inc.;CHRW;0.036206;  110.95;1.29;(1.18%)
423;MarketAxess Holdings Inc.;MKTX;0.036088;  373.35;-5.68;(-1.50%)
424;Fortune Brands Home & Security Inc.;FBHS;0.035996;  104.84;0.72;(0.69%)
425;Iron Mountain Inc.;IRM;0.035334;  47.63;-0.87;(-1.79%)
426;Hormel Foods Corporation;HRL;0.035226;  49.33;-0.31;(-0.62%)
427;FMC Corporation;FMC;0.035191;  107.90;-1.10;(-1.01%)
428;F5 Inc.;FFIV;0.034999;  235.70;3.39;(1.46%)
429;Atmos Energy Corporation;ATO;0.034975;  105.77;-0.83;(-0.78%)
430;Marathon Oil Corporation;MRO;0.034012;  18.03;0.82;(4.76%)
431;Hasbro Inc.;HAS;0.033349;  103.15;-0.17;(-0.16%)
432;Cboe Global Markets Inc;CBOE;0.033303;  125.48;0.99;(0.80%)
433;Incyte Corporation;INCY;0.033247;  72.60;2.15;(3.05%)
434;Packaging Corporation of America;PKG;0.03311;  137.65;-1.33;(-0.96%)
435;SolarEdge Technologies Inc.;SEDG;0.033105;  248.24;-1.57;(-0.63%)
436;Brown-Forman Corporation Class B;BF.B;0.032913;  69.23;-2.62;(-3.65%)
437;Leidos Holdings Inc.;LDOS;0.032286;  90.97;-0.59;(-0.64%)
438;Howmet Aerospace Inc.;HWM;0.03226;  33.65;0.33;(0.99%)
439;Jack Henry & Associates Inc.;JKHY;0.032224;  169.81;-3.11;(-1.80%)
440;Ceridian HCM Holding Inc.;CDAY;0.03145;  90.23;-2.72;(-2.93%)
441;Robert Half International Inc.;RHI;0.031449;  112.80;0.80;(0.71%)
442;PTC Inc.;PTC;0.031423;  117.14;-1.19;(-1.01%)
443;Lincoln National Corporation;LNC;0.031391;  72.59;1.68;(2.37%)
444;Comerica Incorporated;CMA;0.031004;  96.60;4.26;(4.61%)
445;Host Hotels & Resorts Inc.;HST;0.030984;  17.35;-0.03;(-0.17%)
446;DENTSPLY SIRONA Inc.;XRAY;0.030836;  56.22;-0.04;(-0.07%)
447;WestRock Company;WRK;0.030767;  46.13;-0.05;(-0.11%)
448;Las Vegas Sands Corp.;LVS;0.030747;  37.74;0.77;(2.08%)
449;Fox Corporation Class A;FOXA;0.0305;  38.43;0.82;(2.18%)
450;American Airlines Group Inc.;AAL;0.0303;  18.60;-0.08;(-0.43%)
451;Citrix Systems Inc.;CTXS;0.030228;  94.30;-2.92;(-3.00%)
452;Loews Corporation;L;0.030096;  59.36;0.58;(0.99%)
453;Snap-on Incorporated;SNA;0.029678;  219.74;0.61;(0.28%)
454;Lumen Technologies Inc.;LUMN;0.029625;  13.04;0.24;(1.87%)
455;Pentair plc;PNR;0.029267;  69.42;-0.97;(-1.38%)
456;Regency Centers Corporation;REG;0.029244;  76.44;0.21;(0.28%)
457;Allegion PLC;ALLE;0.0291;  128.07;-1.24;(-0.96%)
458;Tapestry Inc.;TPR;0.028968;  41.45;0.17;(0.41%)
459;BorgWarner Inc.;BWA;0.028961;  48.68;0.71;(1.48%)
460;W. R. Berkley Corporation;WRB;0.02867;  82.94;1.39;(1.70%)
461;Juniper Networks Inc.;JNPR;0.027941;  34.44;0.18;(0.53%)
462;A. O. Smith Corporation;AOS;0.027905;  84.08;0.54;(0.65%)
463;Henry Schein Inc.;HSIC;0.027676;  77.86;-1.13;(-1.43%)
464;NiSource Inc;NI;0.027135;  27.65;-0.12;(-0.43%)
465;APA Corp.;APA;0.027076;  29.68;1.28;(4.51%)
466;Zions Bancorporation N.A.;ZION;0.026895;  68.94;2.72;(4.11%)
467;Everest Re Group Ltd.;RE;0.026892;  274.31;5.06;(1.88%)
468;NRG Energy Inc.;NRG;0.025595;  40.64;-0.78;(-1.88%)
469;Mohawk Industries Inc.;MHK;0.025569;  180.47;-1.95;(-1.07%)
470;Universal Health Services Inc. Class B;UHS;0.025449;  130.62;-3.18;(-2.38%)
471;Sealed Air Corporation;SEE;0.025106;  66.64;-0.16;(-0.24%)
472;Federal Realty Investment Trust;FRT;0.023889;  135.99;0.05;(0.04%)
473;Molson Coors Beverage Company Class B;TAP;0.023496;  49.51;0.10;(0.20%)
474;Franklin Resources Inc.;BEN;0.023365;  34.10;0.24;(0.71%)
475;Assurant Inc.;AIZ;0.023058;  155.83;-0.48;(-0.31%)
476;Lamb Weston Holdings Inc.;LW;0.022974;  68.11;4.99;(7.91%)
477;Globe Life Inc.;GL;0.022873;  98.99;1.55;(1.59%)
478;Campbell Soup Company;CPB;0.02269;  45.03;0.75;(1.69%)
479;Wynn Resorts Limited;WYNN;0.022393;  84.59;0.34;(0.40%)
480;Newell Brands Inc;NWL;0.021994;  23.08;0.04;(0.17%)
481;News Corporation Class A;NWSA;0.021566;  22.50;0.67;(3.07%)
482;DXC Technology Co.;DXC;0.021147;  33.72;0.25;(0.75%)
483;DISH Network Corporation Class A;DISH;0.020643;  32.86;-0.16;(-0.48%)
484;People's United Financial Inc.;PBCT;0.020545;  19.87;0.76;(3.98%)
485;Invesco Ltd.;IVZ;0.020287;  24.14;0.45;(1.90%)
486;Norwegian Cruise Line Holdings Ltd.;NCLH;0.019913;  21.34;-0.32;(-1.48%)
487;Pinnacle West Capital Corporation;PNW;0.019872;  70.12;0.27;(0.39%)
488;Organon & Co.;OGN;0.019868;  31.51;0.41;(1.32%)
489;PVH Corp.;PVH;0.019661;  110.37;0.91;(0.83%)
490;Penn National Gaming Inc.;PENN;0.019455;  46.86;0.25;(0.54%)
491;DaVita Inc.;DVA;0.019227;  111.28;-2.72;(-2.39%)
492;Discovery Inc. Class C;DISCK;0.01888;  25.12;-0.56;(-2.18%)
493;Huntington Ingalls Industries Inc.;HII;0.018837;  190.60;3.61;(1.93%)
494;Nielsen Holdings Plc;NLSN;0.01851;  20.36;-0.12;(-0.59%)
495;Rollins Inc.;ROL;0.018418;  33.55;0.65;(1.98%)
496;Vornado Realty Trust;VNO;0.017635;  45.08;0.61;(1.37%)
497;Alaska Air Group Inc.;ALK;0.017187;  54.46;-0.31;(-0.57%)
498;IPG Photonics Corporation;IPGP;0.015373;  168.00;-1.48;(-0.87%)
499;Ralph Lauren Corporation Class A;RL;0.014885;  120.05;-2.08;(-1.70%)
500;Fox Corporation Class B;FOX;0.012926;  35.48;0.72;(2.07%)
501;Discovery Inc. Class A;DISCA;0.010847;  25.82;-0.63;(-2.38%)
502;Under Armour Inc. Class A;UAA;0.009886;  20.83;0.12;(0.58%)
503;Gap Inc.;GPS;0.009595;  18.56;0.14;(0.76%)
504;Under Armour Inc. Class C;UA;0.008699;  17.66;0.18;(1.03%)
505;News Corporation Class B;NWS;0.006826;  22.73;0.69;(3.13%)
