#;Company;Symbol;Weight nasdaq100;      Price;Chg;% Chg
84;Ross Stores Inc;ROST;0.247;  93.33;0.00;(0.00%)
85;eBay Inc;EBAY;0.247;  56.24;0.22;(0.39%)
86;Zscaler Inc;ZS;0.234;  223.29;0.58;(0.26%)
87;PACCAR Inc;PCAR;0.231;  88.67;0.00;(0.00%)
88;Copart Inc;CPRT;0.23;  129.24;0.00;(0.00%)
89;Biogen Inc;BIIB;0.23;  203.66;-4.91;(-2.35%)
90;Match Group Inc;MTCH;0.219;  102.69;0.00;(0.00%)
91;Zoom Video Communications Inc;ZM;0.211;  116.75;0.47;(0.40%)
92;ANSYS Inc;ANSS;0.208;  318.56;-0.04;(-0.01%)
93;Seagen Inc;SGEN;0.197;  142.81;0.00;(0.00%)
94;Okta Inc;OKTA;0.194;  174.02;-0.48;(-0.28%)
95;Sirius XM Holdings Inc;SIRI;0.187;  6.27;-0.06;(-0.95%)
96;VeriSign Inc;VRSN;0.182;  220.75;0.00;(0.00%)
97;Skyworks Solutions Inc;SWKS;0.166;  135.18;0.00;(0.00%)
98;Splunk Inc;SPLK;0.152;  127.52;-0.49;(-0.38%)
99;DocuSign Inc;DOCU;0.142;  95.36;-0.15;(-0.16%)
100;NetEase Inc ADR;NTES;0.142;  90.48;0.30;(0.33%)
101;Pinduoduo Inc ADR;PDD;0.141;  43.00;0.40;(0.94%)
102;Constellation Energy Corp;CEG;0.12;  49.90;0.89;(1.82%)
