#;Company;Symbol;Price;Chg;% Chg;Weight sp500;Weight nasdaq100
76;BlackRock Inc.;BLK;738.59;0.00;0.00%;0.282829
77;Boeing Company;BA;192.83;0.00;0.00%;0.279966
78;Booking Holdings Inc.;BKNG;2186.36;0.05;0.00%;0.237151;0.67
79;BorgWarner Inc.;BWA;38.62;0.00;0.00%;0.024672
80;Boston Properties Inc.;BXP;124.55;0.00;0.00%;0.04734
81;Boston Scientific Corporation;BSX;44.22;0.00;0.00%;0.168206
82;Bristol-Myers Squibb Company;BMY;71.02;0.00;0.00%;0.418298
83;Broadcom Inc.;AVGO;610.8;0.39;0.06%;0.664063;1.874
84;Broadridge Financial Solutions Inc.;BR;153.59;0.00;0.00%;0.047239
85;Brown & Brown Inc.;BRO;69.59;0.00;0.00%;0.042483
86;Brown-Forman Corporation Class B;BF.B;64.76;0.00;0.00%;0.031488
87;C.H. Robinson Worldwide Inc.;CHRW;105.09;0.18;0.17%;0.036625
88;CBRE Group Inc. Class A;CBRE;91.09;0.00;0.00%;0.081689
89;CDW Corp.;CDW;178.91;-0.48;-0.27%;0.064061
90;CF Industries Holdings Inc.;CF;95.25;0.00;0.00%;0.053114
91;CME Group Inc. Class A;CME;249.13;-0.47;-0.19%;0.236359
92;CMS Energy Corporation;CMS;66.2;0.00;0.00%;0.051885
93;CSX Corporation;CSX;36.02;-0.29;-0.80%;0.215501;0.597
94;CVS Health Corporation;CVS;107.3;0.00;0.00%;0.382386
95;Cadence Design Systems Inc.;CDNS;159.08;0.21;0.13%;0.113369;0.33
96;Caesars Entertainment Inc;CZR;80.95;0.12;0.15%;0.044622
97;Campbell Soup Company;CPB;42.43;0.00;0.00%;0.023345
98;Capital One Financial Corp;COF;138.21;0.00;0.00%;0.156686
99;CarMax Inc.;KMX;104.47;0.00;0.00%;0.045247
100;Cardinal Health Inc.;CAH;57.29;0.00;0.00%;0.04313
101;Carnival Corporation;CCL;19.46;0.00;0.00%;0.04085
102;Carrier Global Corp.;CARR;47.68;-0.10;-0.21%;0.109249
103;Catalent Inc;CTLT;109.14;0.00;0.00%;0.048437
104;Caterpillar Inc.;CAT;220.91;0.00;0.00%;0.321013
105;Cboe Global Markets Inc;CBOE;116.8;0.00;0.00%;0.033518
106;Celanese Corporation;CE;142.85;0.00;0.00%;0.04154
107;Centene Corporation;CNC;87.74;0.00;0.00%;0.137065
108;CenterPoint Energy Inc.;CNP;29.05;0.00;0.00%;0.048965
109;Ceridian HCM Holding Inc.;CDAY;70.5;0.00;0.00%;0.023765
110;Cerner Corporation;CERN;93.64;0.00;0.00%;0.074053
111;Charles River Laboratories International Inc.;CRL;286.77;0.00;0.00%;0.037809
112;Charles Schwab Corp;SCHW;90;0.00;0.00%;0.36131
113;Charter Communications Inc. Class A;CHTR;577.31;-0.01;-0.00%;0.191252;0.747
114;Chevron Corporation;CVX;161.73;0.00;0.00%;0.82772
115;Chipotle Mexican Grill Inc.;CMG;1587.73;0.00;0.00%;0.11716
116;Chubb Limited;CB;211.51;0.00;0.00%;0.243395
117;Church & Dwight Co. Inc.;CHD;96.94;0.00;0.00%;0.063809
118;Cigna Corporation;CI;241.16;0.00;0.00%;0.215016
119;Cincinnati Financial Corporation;CINF;127.6;-0.35;-0.27%;0.052978
120;Cintas Corporation;CTAS;401.5;1.13;0.28%;0.0923;0.311
121;Cisco Systems Inc.;CSCO;55.97;0.00;0.00%;0.634155;1.743
122;Citigroup Inc.;C;57.35;0.00;0.00%;0.304272
123;Citizens Financial Group Inc.;CFG;49.25;0.00;0.00%;0.056609
124;Citrix Systems Inc.;CTXS;100.74;0.00;0.00%;0.03349
125;Clorox Company;CLX;133.83;0.00;0.00%;0.043592
126;Coca-Cola Company;KO;60.1;0.00;0.00%;0.625303
127;Cognizant Technology Solutions Corporation Class A;CTSH;91.95;0.23;0.25%;0.127214;0.361
128;Colgate-Palmolive Company;CL;72.2;0.00;0.00%;0.169339
