Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11
0 America;1024681894;38409125;943180;92.0461272442;0.2588408285;;;1;1;2;2;6;6.5;7;8.3333333333;9.6666666667;11;12;13.5;15;15.5;15;16;16;16.25;12.5;12.25;12;11.1666666667;10.3333333333;9.25;8.5;7.25;6;6.25;6.5;6.25;6;18.0833333333;30.1666666667;42.25;43;49.5;52;55.75;73.5;91.25;118;143.25;184.5;263.75;338;479.6666666667;623.3333333333;704;1102;1496;1923;2704;3347;4284;5858;8020;9821;16464;22830;30341;39539;51548;63058;76225;96143;115769;137704;158139;180302;208169;235712;263978;293094;322195;346074;366924;390912;416115;437085;458091;470434;482586;490428;492544;499646;503876;509067;512744;512909;513165;512227;510791;509219;525362;536327;540446;541184;546863;551878;558437;567430;570512;579230;583884;589223;597439;603465;592541;591133;589037;589280;592225;595807;603092;608800;616453;612441;621608;633710;646325;660433;673640;683380;700438;714922;727124;740513;754542;769076;795634;815421;820198;831241;845170;856674;877964;892981;897505;901271;915936;933756;943180
00 N. America;372107035;18250571;312655;84.0228672376;0.1469223399;;;1;1;2;2;6;6.5;7;8.3333333333;9.6666666667;11;12;13.5;15;15.5;15;16;16;16.25;12.5;12.25;12;11.1666666667;10.3333333333;9.25;8.5;7.25;6;6.25;6.5;6.25;6;18.0833333333;30.1666666667;42.25;43;48.5;51;53.75;67.5;77.25;104;126.25;159.5;232.75;292;420.6666666667;534.3333333333;604;979;1325;1713;2298;2837;3688;4957;6769;8260;14288;19873;26442;34177;45184;55732;67777;86190;104389;124579;143574;164682;190077;215070;241121;268449;295634;318347;337497;358902;379358;396806;412987;423497;433270;437564;438755;442466;444277;445381;445648;442643;440245;437011;434523;428727;431934;434960;434688;432006;429516;428362;425600;427447;424172;424713;420572;416940;413080;411886;402215;394818;386369;382205;378968;372102;369568;359954;355399;347387;346259;342381;340315;337561;334169;330236;331007;331295;328250;325277;320252;319268;317968;318711;317773;317874;313904;309650;315300;316307;313518;311586;310600;312964;312655
01 M. America;179670200;2452270;68583;38.1716055306;0.3914889973;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;5.4;5.8;6.2;6.6;7;9.5;12;16;17;30;46;77;102;122;174.6;211.2;262.8;358.4;460;604.5;801;910;969;1161;1421;1689;1977;2255;2445;2745;2916;3173;3439;3774;3987;4418;4855;5246;5597;6029;6355;6804;7118;7277;7647;7965;8494;8883;9352;9569;10028;10699;11602;12425;13039;13421;14049;14847;15761;16769;17688;18816;19429;20427;21088;21915;22828;23591;24660;25602;26158;27145;28029;29262;30411;30995;31897;33051;34996;35479;36744;38135;39861;41853;43518;45906;47784;49068;50095;51500;53288;54022;55475;57764;59630;61212;61906;62318;63023;64248;66467;68583
03 Caribbean;40771890;217122;8344;20.4650802305;0.2809616809;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;4.5;5;7;10;10.6666666667;11.3333333333;12;16;28;45;49;63;95;114;153;222;320;461;551.3333333333;646;778;929;1060;1300;1498;1600;1859;2096;2230;2345;2310;2486;2551;2670;2768;2943;3147;3107;3184;3347;3223;3427;3477;3733;3978;4077;4329;4251;4364;4370;4327;4384;4394;4318;4323;4171;4344;4275;4365;4372;4282;4420;4430;4453;4470;4723;4951;5090;5211;5235;5029;5132;5184;5075;5256;5504;5488;5473;5598;5585;5465;5507;5653;5944;6114;6402;6639;6984;6925;6597;6846;6935;7005;7353;7640;8005;7994;7913;8344
04 S. America;432132769;17489162;553598;128.1083129338;0.4222879761;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;8;9.5;11;16;22;34;45;66;73;95;128;146;299;360;425;660.5;942;1183;1653;2262;2968;4082;4892;5709;6504;7601;8630;9848;10809;11575;13488;15630;17454;18861;20477;21254;22458;24485;28743;31739;35928;37475;39328;42399;43289;46106;48157;51459;54235;56837;59022;60937;61205;64520;76676;83944;87943;90811;98177;103584;111724;118020;123159;130716;138603;146775;158014;164298;162265;166932;172115;175827;180901;190441;199233;213303;224875;228082;237042;250829;265043;280655;295738;307698;322113;334602;347315;361508;379108;393311;419527;436438;441478;451295;466656;480459;494447;507415;514029;518657;533094;546412;553598
1 Europe;611702015;21312232.3170000017;194583;31.8100962934;0.1177679273;;;0;0;0;0;0;1;4;5;8;11;15;17;19;20;20.6666666667;21.3333333333;22;23;24;24;22;22.7;21.4;20.1;17.8;17.5;17.2;17.9;18.9333333333;19.9666666667;21;62;154;227;328;482.3;721.6;984.9;1307.2;1998.5;2443;3017;3848;5084;6470;8227;10372;12860;15280;19365;22386;31594;38364;46199;53957;63018;73733;88847;104745;121634;135970;153967;170980;191837;217418;236605;258802;274737;290290;304952;320611;333175;342930;349466;354619;353135;354758;354451;350177;346858;339677;335866;329755;321160;317345;314424;312360;305437;308331;306364;304743;301894;299329;282150;279338;276896;274629;274759;268744;259624;251937;251993;245074;244809;242675;239606;238047;249436;248270;247489;251867;253747;252918;252880;252678;249524;246390;243145;240746;236510;230799;227283;223710;219766;212276;208695;205166;203488;200745;199438;198217;197000;194970;195087;194551;193042;193222;193979;195316;194595;194816;194583
11 N. Europe;21451759;1181143;13081;60.9786824474;0.1983352033;;;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;8;14;29;40;50;68;122;226;266;372;452;541;864;1239;1455;2086;2410;2627;2859;3171;3349;3759;4224;4595;5174;5530;5845;6115;6644;6797;7306;7734;8168;8557;9176;9742;10167;10504;10483;10919;11146;11433;11680;11728;11591;11464;11431;11335;11166;10999;10921;11010;11091;10767;10633;10649;10627;10774;10790;10855;10689;10870;11087;11081;10759;10569;10202;10179;10079;10032;9902;9660;9760;9655;9575;9417;9225;9103;9304;9137;9324;9065;8885;8764;8646;8607;8205;8004;8023;8022;8046;7961;8023;8180;8106;8135;8470;9947;10327;10727;11282;11871;11892;12077;12269;13081
12 W. Europe;136029709;606885;9758;7.1734329741;0.0261605774;;;0;0;0;0;0;1;4;4.3333333333;4.6666666667;5;8;10;12;13;13.3333333333;13.6666666667;14;14.5;15;15;13;12.9523809524;12.9047619047;12.8571428571;10.1428571429;8.4285714286;6.7142857143;6;5.9523809524;5.9047619047;5.8571428571;5.6428571429;5.4285714286;4.7142857143;4;13.7142857143;41.4285714286;43.1428571429;96.8571428571;166.5714285714;228.2857142857;294;430.7142857143;757.4285714286;1177.1428571429;1503.8571428571;1948.5714285714;2245.2857142857;2799;3645;3855;6747;8318;10886;12970;16300;20617;25817;32794;38049;43343;50651;57693;64498;75829;84434;94936;101114;108007;113032;118936;124900;128097;131661;133815;132774;133058;134991;132796;130789;125793;123937;120413;115973;113850;108970;105869;102110;99365;97580;93288;88618;84795;80335;77094;73813;70783;69204;64110;60748;55750;52684;49428;46071;44179;41276;38368;35675;33723;31667;30600;29549;28004;26261;25318;24305;23581;22894;22900;22117;20699;19674;18640;17900;17320;16887;16066;15773;15433;14752;14311;14083;12900;12141;11646;11221;11291;11136;11025;10799;10424;9758
13 S. Europe;129670199;1023531.4399999999;13894;10.7148752043;0.0266530083;;;0;0;0;0;0;0;0;0;0;2;3;3;3;3;3;3;4;4.5;5;6.4166666667;7.8333333333;9.25;10.6666666667;10.0833333333;10.5;11.9166666667;13.3333333333;14.75;16.1666666667;17.5833333333;18;59.5;152;224;318;455;657;904;1150;1753;2123;2607;3234;4028;4916;6235;7810;9901;11369;14091;16559;21900;26430;31167;36256;41283;47131;56256;64199;74694;82448;92007;100756;113460;125961;135038;144828;152683;159658;167310;174884;178754;182655;183359;184588;181997;180819;176109;171196;167105;162636;158171;152547;145353;139839;138150;135083;127619;127459;122766;120958;118242;115722;98554;94364;90347;87266;85008;80974;71998;66450;64478;56331;53878;49066;43818;39185;49007;45087;42273;42459;40961;38311;37405;35065;33587;32122;31642;30531;29007;27312;26757;26200;25619;21772;20992;20083;20580;20360;20071;20029;19055;18483;18138;17601;16081;15658;15283;15886;15366;15309;13894
14 E. Europe;324550348;18500672.8770000003;157850;48.6365215668;0.2281042994;;;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;5;6;12;13;17;19;25;38;50;89;94;142;155;231;366;461;809;1100;1346;1637;1987;2361;2940;3528;4296;5005;5779;6686;7764;8984;10336;11732;13206;14457;16053;17615;19779;22011;23942;25733;27445;29735;31918;34505;37236;39657;42294;45364;48499;52490;56305;60487;64698;70416;75251;79864;84385;88185;92487;97090;101881;105891;109677;112573;115797;118978;124262;129113;134681;139351;144480;150592;155094;159700;163894;169233;173820;177378;180111;182991;182495;181363;179544;178430;176622;174142;172245;170665;168243;165161;162794;160971;159174;156929;156435;155771;155727;155117;154861;154977;155013;154991;155689;156513;156353;156814;157850
2 Asia Pacific;4256476723;31975201;282118;6.627969994;0.355190218;;;537;635;911;1387;2053;2835;5432;6012;8042;9681;11740;16383;19408;23352;27022;30092;33339;35569;37914;39641;39032;38828;51906;56698;56670;54047;52892;50672;47352;44735;41791;40766;37962;35891;34529;34873;20692;15138;14342;13413;12312;11536;11764;11892;12083;10988;11205;11024;10567;10305;9503;9033;8226;7684;7415;7076;7214;7403;7651;8275;9528;10334;11500;12585;14220;15476;17217;18552;19837;21218;23005;24854;25757;27106;27929;30383;31207;32205;33439;35019;35975;37469;39769;41550;42579;43835;47030;49319;51199;52552;55310;57766;60676;62829;64326;65614;66571;67284;69211;71087;72348;73361;75439;78343;81216;83395;85641;88674;91643;96123;99617;102861;105214;109856;110897;114425;118665;121553;125100;129837;135095;139801;145648;149745;153656;156749;162974;167748;177544;184625;192069;198415;206050;215258;221833;228694;237145;245722;252179;263392;256994;282118
21 C. Asia;85399337;3637478;18105;21.2003987806;0.3621362136;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;7;8;9;10;11;12.5;14;23;25;27;35;38;51;68;85;121;174;193;258;298.5;358;407;467;543;582;682;821;1000;1144;1274;1379;1516;1684;1844;2022;2223;2505;2641;2838;2987;3023;3169;3325;3564;3829;3997;4054;4196;4226;4225;4227;4341;4414;4466;4687;4640;4584;4450;4378;4368;4604;4671;4949;5021;5158;5279;5554;5761;5935;6212;6444;6572;6668;6913;7000;7277;7562;8114;9016;9220;9509;10002;10836;11059;11951;12817;13093;13697;14279;14860;15256;15705;15390;15965;16623;16801;16753;17294;17513;17147;17493;17564;18105
22 India Region;1817448317;4118717;236198;12.9961329734;0.4630888405;;;0;0;0;1;1;2;2;2;3;3;3;4;5;5.0909090909;5.1818181818;5.2727272727;5.3636363636;4.4545454545;4.5454545455;3.6363636364;3.7272727273;3.8181818182;2.9090909091;3;3.0909090909;2.1818181818;1.2727272727;1.2727272727;1.2727272727;1.2727272728;1.2727272728;1.2727272728;1.2727272727;1.2727272727;1.2727272727;1.8484848485;2.4242424242;3;3.9090909091;4.8181818182;5.7272727273;17.1363636364;28.5454545455;31.4545454545;33.3636363636;36.2727272727;48.1818181818;62.0909090909;80;89.3333333333;107.6666666667;124;170;276;394;486.5;655;749;1043;1181;1341;1549;1670;1920;2152;2426;2589;2645;2980;3226;3957;4679;4552;5284;6255;7529;8199;8828;9705;10697;11620;12637;13963;15420;16106;16845;18500;20031;21197;22314;24024;25919;27761;29291;30913;32448;33500;35085;37220;39528;41710;43324;45380;48542;51855;54106;57057;60706;63364;67697;71855;74030;75827;79996;81057;84281;88254;90655;94252;98649;103389;107062;112446;115920;118822;121980;127645;132016;140282;146513;152761;158970;165682;173655;179695;186887;194477;202537;208817;219218;211959;236198
23 China;1439323776;9388211;101.5;0.0070519227;0.0012052342;;;531;625;894;1364;2019;2795;5378;5954;7970;9589;11632;16269;19291;23216;26877;29944;33190;35408;37754;39477;38877;38672;51754;56556;56522;53883;52718;50504;47179;44490;41440;40187;37193;34887;33368;33407;18705;12570;10943;9419;7702;6050;5767;5460;5140;3769;3801;3619;3133;2755;2332;2017;1621;1071;897;797;716;619;560;535;612;638;704;740;850;952;1022;1119;1165;1221;1259;1276;1261;1238;1167;1167;1127;1148;1101;1044;1015;1012;1015;1027;995;971;1249;1244;1203;1152;1135;1059;1001;958;895;778;705;634;588;553;199;174.5;159;149;115;102;91;77;81;98;93;78;80;73;79;82.5;90;97;99.5;102;101.5;105;94;85;91;85;82;85.5;85;84;92;91;93.5;88;94.5;96;102;96;93;95;103;101.5
24 N.E. Asia;177745646;461785;1190;0.6694960055;0.0407673861;;;3;3;4;5.5;7;8;11;13;15;26;32;35;36.5;38;38;42;45;44.5;44;45;43;43;41.5;31;39;53;59.5;67;74;153;260;505;698;939;1093;1394;1923.5;2508;3320;3904;4513;5374;5837;6250;6704;6947;7067;6997;6947;6944;6528;6115;5468;5009;4466;3719;3350;3041;2602;2304;2246;2100;2136;2050;2120;2120;2312;2448;2452;2541;2763;2982;3064;3489;3314;3849;4007;4197;4462;5180;5314;5811;6380;6470;6626;6768;7743;7654;8082;7533;7581;7565;7986;7567;7474;6919;6998;6288;5969;5623;4663;4415;4220;4411;4241;3857;3223;2868;2578;2507;1878;2433;2380;2276;2155;1923;1672;1501;1418;1426;1267;1263;1189;1070;1023;958;955;862;874;897;904;945;950;1007;1013;999;1050;1097;1106;1125;1098;1190
25 S.E. Asia;704661929;6382530;26381;3.7437810834;0.2357530317;;;3;7;13;18;22;25;36;39;45;54;61;63;65;80;84;87;84;97;101;106;99;99;103;103;104;107;110;99;97;91;91;76;71;65;66;69;60;54;63;66;67;73;83;95;144;164;198;238;283;363;378;534;665;961;1179;1459;1761;2076;2366;2822;3328;3863;4321;4813;5407;5804;6410;6954;7346;8053;8467;8968;9610;9639;9840;10161;10328;10492;10884;11042;11289;11491;12055;12186;12561;13214;13578;14647;15152;16142;17176;17914;18679;19675;19844;20338;20418;20456;20658;20392;20768;20201;20387;19811;19449;19492;19220;18812;19134;19110;18937;19386;19749;20232;20052;20308;20282;20041;19896;19953;20146;20335;20669;20540;20737;20464;20424;20358;21284;21720;22452;22858;23193;23712;24058;23800;24071;24321;24867;25315;26124;26381
26 AU / NZ;30322117;7945610;124;0.4089424231;0.0141021267;;;0;0;0;0;4;5;5.5;6;9;10.5;12;12.3333333333;12.6666666667;13;13.5;14;15;15.0476190476;11.0952380952;10.1428571429;9.6904761905;9.2380952381;6.2857142857;4.8333333333;3.380952381;3.0952380953;2.8095238095;2.5238095238;2.0714285714;1.619047619;0.6666666667;0.6666666667;0.6666666667;0.6666666666;0.6666666666;0.6666666667;0.6666666667;0.6666666667;10.619047619;12.5714285714;15.5238095238;24.4761904762;39.4285714286;42.380952381;48.3333333333;52.2857142857;65.2380952381;80.1904761905;96.1428571429;117.0952380952;153.0476190476;189;230;277;354;424;533;651;766;1055;1570;1688;2087;2436;2924;3306;3835;4193;4565;4742;4982;5204;5368;5377;5075;5119;4856;4651;4254;3987;3524;3147;2750;2575;2256;1950;1733;1490;1315;1160;1035;883;771;640;549;538;493;437;402;382;332;296;268;270;273;280;285;272;269;262;274;259;258;272;270;257;244;234;212;201;196;193;185;179;163;166;168;152;155;153;153;158;158;160;152;153;145;145;141;135;135;124
27 Pacific Ocean;1575601;40870;10;0.6346784497;0.0775193798;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;9;14;20;24;29;39;44;49;47;49;52;55;56;61;61;58;57;55;53;49;51;46.5;46;45;43;42;43;38.5;33;31.5;27;26;24;18.5;12;11.6666666667;11.3333333333;10.5;9.6666666667;7.8333333333;6;5.7857142857;5.5714285714;5.3571428571;5.1428571429;4.4285714286;3.7142857143;3.5;4;4.1666666666;4.3333333334;4.5;5.8333333333;7.1666666667;7.4;7.5142857143;7.6285714286;7.7428571429;7.8571428571;7.7714285714;7.6857142857;7.6;6.8;6.6666666667;6.4761904762;6.2857142857;4.9285714286;3.5714285714;3.3142857143;3.0571428571;2.8;2.65;2.5;2.55;2.6;3.4;4.7;6;6.1904761904;6.380952381;6.5714285714;7.4285714286;10.2857142857;10.1428571429;10
3 ME/Africa;1715226785;34591101;256891;14.9770865431;0.2741123847;;;0;0;0;0;0;0;0;4;4.25;4.5;4.75;5;5.3333333333;5.6666666667;6;6.3333333333;6.6666666667;7;7.5;8;8.25;4.5;4.5;4.5;4.75;5;5.3333333334;5.6666666666;6;8.6666666667;23.3333333333;37;51;71;134;208;327;475;692;1090;1629;2481;3073;3676;4947;6074;6858;7438;8379;9645;10723;12147;13522;14571;15265;15860;16793;17865;18428;19104;20625;22524;24742;28201;31861;36637;41132;45984;50904;56983;62475;68340;74224;79951;85615;90724;95535;98715;102083;104778;108151;110957;113371;114336;116109;118116;120020;121015;122233;124475;126182;127152;127772;128105;127317;126566;125836;125660;126251;126036;124920;124738;123474;122795;122610;124212;125650;128513;130482;133649;136845;140993;143872;147639;152116;157718;162896;167409;171505;175299;180539;183536;187717;190838;193142;193558;196381;198502;202812;206237;209337;212521;215363;218443;222436;227259;231726;235836;241543;247001;251371;256891
31 MENA;586642361;12901000;190965;32.5522009141;0.2450408626;;;0;0;0;0;0;0;0;4;4.25;4.5;4.75;5;5.3333333333;5.6666666667;6;6.3333333333;6.6666666667;7;7.5;8;8.25;4.5;4.5;4.5;4.75;5;5.3333333334;5.6666666666;6;8.6666666667;23.3333333333;37;51;71;134;208;327;474;691;1089;1627;2478;3068;3670;4939;6066;6847;7426;8362;9618;10692;12095;13444;14456;15111;15688;16534;17524;17945;18483;19848;21460;23339;26474;29742;34140;38465;42999;47686;53495;58712;64271;69822;75347;80736;85801;90555;93578;96862;99558;102722;105375;107581;108284;109904;111691;113317;113758;114577;116452;117880;118463;118572;118215;117126;115847;114719;113997;113589;112434;110979;110104;108656;106658;105810;106606;107147;108144;108836;111026;112807;115505;117613;120643;123930;128462;132476;136238;139605;142409;145897;148842;152130;154111;155684;156087;157022;158012;160425;161865;163668;165241;166538;168402;170181;172407;174800;177585;181065;184227;187847;190965
32 SSa Africa;1128584424;21690101;65926;5.8414770396;0.4176364385;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;5;6;8;9.5;11;12;17;27;31;52;78;115;154;172;259;341;483;619.5;777;1062;1403;1727;2119;2497;2667;2985;3218;3488;3763;4069;4402;4604;4879;4923;4980;5137;5221;5220;5429;5582;5790;6052;6205;6425;6703;7257;7656;8023;8302;8689;9200;9890;10191;10719;11117;11663;12662;13602;13941;14634;14818;16137;16800;17606;18503;20369;21646;22623;24038;25488;26259;26996;28186;29256;30420;31171;31900;32890;34642;34694;35587;36727;37458;37471;39359;40490;42387;44372;45669;47280;48825;50041;52255;54852;56926;58251;60478;62774;63524;65926
Afghanistan;38928346;652860;9854;25.3131741071;0.4304936654;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;4;3.5;4;6;7.3333333333;8.6666666667;10;15;20;21;21.6666666667;22.3333333333;23;31;36;52.5;69;77;85.6666666667;100.3333333333;104;104;149;152;214.3333333333;249.6666666667;257;267;309;310;349;360;390;411;440;487;495;540;547;567;625;634;647;659;669;732;795;830;908;924;1038;1114;1155;1331;1429;1536;1708;1868;2132;2216;2284;2427;2570;2871;2984;3135;3287;3468;3718;3933;3960;4178;4429;4753;5113;5438;5965;6180;6486;6868;7230;7397;7606;8123;8541;8678;8856;9122;9378;9753;9553;9760;9744;9628;9686;9854
Albania;2877797;27400;309;10.7373800167;0.2231046931;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;11;22;32;37;41;50;54;57;62;68;74;87;100;113;134;151;153;159;170;172;188;200;213;234;257;272;273;260;254;235;230;236;234;244;232;235;241;235;215;201;207;226;234;254;262;279;280;269;275;272;255;243;241;233;219;211;198;179;172;144;142;136;126;114;125;134;144;151;145;129;132;127;131;133;130;132;153;170;178;183;189;191;195;215;220;228;231;243;248;259;270;291;309
Algeria;43851044;2381740;1592;3.630472287;0.1503446973;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;5;12;14.5;17;18;19;20;20.3333333333;21.6666666667;23;24;34;44;50;55;62;72.5;73;121;182;210;242.6666666667;279.3333333333;342;383;417;463;530;656;773;899;1066;1112;1119;1193;1204;1270;1299;1352;1371;1403;1399;1354;1313;1282;1247;1283;1309;1295;1343;1338;1341;1366;1431;1468;1534;1579;1688;1738;1736;1761;1845;1930;2027;2087;2175;2242;2302;2341;2374;2418;2405;2436;2475;2526;2545;2553;2539;2545;2546;2549;2555;2583;2612;2630;2604;2555;2505;2446;2375;2312;2249;2191;2103;2017;1937;1848;1762;1685;1627;1592
American Samoa;55191;200;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andorra;77265;470;88.25;114.2173040833;0.1035798122;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;38;45;52;74;87;112;132;163;187;221;264;305;328;362;337;344;375;364;378;388;392;381;376;359;334;311.5;304;276;283;283;256.5;257;238;212;192;175;159;144;130;118.5;102.5;97;84.6666666667;71.3333333333;60.5;50;43;35;33;31;28.5;25;22;16;14.5;13.5;14.3333333333;15.6666666667;16;15.1666666667;14.3333333333;13.5;11.6666666667;10.8333333333;10.5;10.2;9.4;8.6;7.8;6.5;5.25;3.5;2.75;2.8333333333;3;3.1666666667;3.3333333333;82.1666666667;89;89.8;89.6;89.4;89.2;89;88.75;88.5;88.25
Angola;32866272;1246700;44;0.1338758469;0.3728813559;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;3;3;4;4.5;5;5;5.3333333333;5.6666666667;6;6.6666666667;7.3333333333;8;12;13;14;16;15.5;15.5;15.5;14;14.1666666667;14.3333333333;14.5;14.3333333333;14.1666666667;14;10.25;8.5;7.75;6;5.75;5.5;5.25;5;5.5;5.75;6;6.25;6.5;11;11.0833333333;11.1666666667;11.25;13.3333333333;15.4166666667;17.5;18.25;19;18.75;18.75;18.75;18.75;18.5;14;14.1666666667;14.3333333333;16;16.6666666667;17.3333333333;17;17;24;24.25;24;23.75;26;32.5;35;36.5;36.3333333333;34.6666666667;32;29.3333333333;27.6666666667;27;22;22;25.5;42;44
Anguilla;15003;90;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;3;3;3;3;3;3;3;3;3;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua and Barbuda;97929;440;0.1;0.1021147975;0.0038461538;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;3;3;3;7;6.2857142857;6.5714285714;6.8571428571;7.1428571429;7.4285714286;7.7142857143;8;14;15;16;15;16;16.5;13;13.2142857143;13.4285714286;14.1428571429;14.8571428571;14.6825396825;14.5079365079;14.3333333333;8.4444444444;7.5555555556;6.6666666667;5.7777777778;4.8888888889;4.5;4.1111111111;3.7222222222;3.3333333333;2.4444444444;1.5555555556;1.5555555556;1.5555555556;1.5555555556;1.5555555556;1.4777777777;1.4;1.3222222222;1.2444444444;1.1666666667;1.0888888889;1.0111111111;0.9333333334;0.8555555556;0.7777777777;0.7;0.6222222222;0.5444444444;0.4666666667;0.4666666667;0.4666666666;0.4666666667;0.4666666667;0.4666666666;0.4666666667;0.4666666667;0.4666666666;0.4666666667;0.4666666667;0.4666666666;0.4666666667;0.4666666667;0.4666666666;0.4666666667;0.4666666667;0.4333333333;0.4;0.3666666667;0.3333333333;0.3;0.2666666667;0.2333333333;0.2;0.1666666667;0.1333333333;0.1
