Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11
22 India Region;1817448317;4118717;12044;0.6626873451;0.0236134175;0.0303221031;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;3;6;8;9;11;15;20;22;26;36;37;44;54;65;69;101;122;123;146;166;210;234;270;320;366;416;465;500;557;590;650;711;780;833;901;974;1045;1108;1187;1253;1325;1410;1513;1635;1747;1841;1963;2052;2271;2451;2567;2699;2839;2986;3158;3282;3438;3603;3779;3898;4072;4271;4459;4672;4852;5075;5275;5469;5687;5888;6110;6357;6607;6978;7299;7624;7926;8252;8631;9010;9424;9826;10194;10608;11014;11046;12044
23 China;1439323776;9388211;4638;0.3222346547;0.0550726703;0.055098186;;17;18;26;42;56;82;131;133;171;213;259;361;425;491;563;633;718;805;905;1012;1112;1117;1369;1521;1663;1766;1864;2003;2116;2238;2238;2443;2445;2595;2665;2717;2746;2790;2837;2872;2914;2947;2983;3015;3044;3072;3100;3123;3139;3161;3172;3180;3193;3203;3217;3230;3241;3249;3253;3259;3274;3274;3281;3285;3291;3296;3299;3304;3308;3309;3316;3322;3326;3330;3333;3335;3335;3337;3339;3340;3343;3343;3345;3345;3346;3346;4636;4636;4636;4636;4636;4636;4636;4636;4636;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638
24 N.E. Asia;177745646;461785;1199;0.6745594207;0.0410757109;0.0418105102;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;2;3;3;7;9;11;14;17;17;21;23;34;34;41;41;48;50;56;63;64;75;82;85;94;97;102;110;113;120;127;137;152;153;163;171;178;188;196;206;212;218;222;231;237;254;260;271;284;293;298;307;310;322;340;365;371;407;420;454;470;472;500;519;568;585;602;615;629;640;660;678;705;724;739;790;811;812;833;846;863;880;891;916;938;957;975;987;1007;1012;1031;1032;1041;1062;1074;1087;1099;1115;1127;1150;1156;1164;1169;1171;1175;1178;1184;1189;1188;1190;1194;1196;1198;1199
25 S.E. Asia;704661929;6382530;3252;0.4614978994;0.0290614025;0.0324508796;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;4;5;11;15;18;19;21;42;46;56;66;88;101;114;124;154;176;208;233;255;287;320;353;401;425;447;473;501;532;597;647;700;803;851;938;965;1009;1062;1090;1150;1177;1216;1247;1278;1337;1387;1417;1453;1483;1523;1544;1565;1621;1642;1677;1700;1748;1810;1834;1860;1889;1917;1958;2002;2036;2085;2111;2177;2227;2264;2290;2331;2391;2422;2448;2473;2513;2587;2627;2672;2733;2780;2812;2841;2884;2917;2970;3010;3069;3109;3155;3202;3252
26 AU / NZ;30322117;7945610;125;0.4122403459;0.0142158535;0.0141617177;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;3;3;3;3;3;3;3;3;3;5;6;6;7;7;7;7;8;8;13;13;14;17;18;19;21;25;29;31;36;41;46;51;52;56;61;64;66;71;72;72;77;78;79;79;80;81;92;97;98;102;102;108;110;112;113;114;115;116;118;118;118;118;118;118;118;119;119;119;119;119;120;120;121;121;122;122;123;123;123;124;125;125;125;125;125;124;124;124;124;124;124;124;124;124;124;124
27 Pacific Ocean;1575601;40870;2;0.1269356899;0.015503876;0.0160857909;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
3 ME/Africa;1715226785;34591101;22198;1.2941728869;0.0236861031;0.0270210722;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;5;8;12;16;19;26;34;43;54;66;77;94;109;127;149;201;244;301;366;443;532;631;745;875;1015;1169;1325;1487;1626;1793;1939;2083;2259;2464;2660;2838;3015;3201;3430;3683;3961;4219;4519;4821;5097;5371;5632;5919;6223;6513;6790;7073;7340;7607;7903;8190;8447;8747;9018;9275;9560;9841;10092;10356;10578;10832;11082;11340;11579;11811;12051;12236;12447;12671;12943;13161;13381;13583;13793;13976;14161;14401;14621;14825;15038;15215;15421;15622;15832;16065;16282;16502;16727;16946;17182;17421;17659;17924;18218;18526;18811;19127;19428;19736;20057;20398;20744;21098;21473;21824;22198
31 MENA;586642361;12901000;18713;3.1898480649;0.02401199;0.0269666192;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;5;8;12;16;19;26;34;43;54;66;77;94;109;127;149;201;244;301;366;443;531;630;744;874;1014;1167;1323;1484;1619;1783;1925;2067;2239;2439;2630;2802;2968;3145;3365;3609;3876;4124;4413;4698;4969;5237;5482;5766;6052;6329;6601;6874;7129;7376;7647;7912;8151;8416;8671;8922;9183;9430;9672;9903;10095;10339;10559;10783;10998;11190;11381;11546;11728;11906;12106;12277;12446;12597;12759;12901;13053;13214;13388;13558;13713;13863;14019;14167;14321;14477;14625;14812;14977;15101;15249;15406;15588;15764;15955;16164;16379;16598;16835;17035;17246;17487;17748;17969;18212;18458;18713
32 SSa Africa;1128584424;21690101;3485;0.3087939126;0.0220772228;0.0273172644;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;3;7;10;14;16;20;25;30;36;47;56;65;74;85;95;106;123;128;134;150;153;171;184;189;199;211;231;256;278;296;331;347;353;377;411;420;453;483;493;523;557;581;621;670;690;719;765;837;884;935;986;1034;1075;1108;1187;1233;1267;1325;1352;1402;1455;1511;1588;1657;1690;1750;1845;1933;2015;2071;2160;2263;2362;2432;2529;2593;2701;2811;2911;2996;3129;3261;3366;3485
Afghanistan;38928346;652860;426;1.0943182636;0.0186107471;0.0224576941;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;4;4;4;4;4;4;4;6;6;7;7;11;14;14;15;15;18;18;21;23;25;30;30;30;33;36;36;40;42;43;47;50;57;58;60;64;68;72;85;90;95;104;106;109;115;120;122;127;132;136;153;168;169;173;178;187;193;205;216;218;219;220;227;235;246;249;257;265;270;294;300;309;327;357;369;384;405;426
