Country/Region;Population;Area;Comments;Map Chart Country/Region;First Case;Lockdown Start;Testing Start;US Electors;US Electors per 1M inh;US Voting Power NY=100
0 America;1024681894;38409125;;Americas;;;;;;
00 N. America;372107035;18250571;;North America;;;;;;
01 M. America;179670200;2452270;;Middle America;;;;;;
03 Caribbean;40771890;217122;;Caribbean;;;;;;
04 S. America;432132769;17489162;;South America;;;;;;
1 Europe;611702015;21312232.3170000017;;Europe;;;;;;
11 N. Europe;21451759;1181143;;North Europe;;;;;;
12 W. Europe;136029709;606885;;West Europe;;;;;;
13 S. Europe;129670199;1023531.4399999999;;South Europe;;;;;;
14 E. Europe;324550348;18500672.8770000003;;East Europe;;;;;;
2 Asia Pacific;4256476723;31975201;;Asia Pacific Rim;;;;;;
21 C. Asia;85399337;3637478;;Central Asia;;;;;;
22 India Region;1817448317;4118717;;India Region;;;;;;
23 China;1439323776;9388211;;China (incl HK, MO);;;;;;
24 N.E. Asia;177745646;461785;;North-East Asia;;;;;;
25 S.E. Asia;704661929;6382530;;South-East Asia;;;;;;
26 AU / NZ;30322117;7945610;;Australia and New Zealand;;;;;;
27 Pacific Ocean;1575601;40870;;Pacific Ocean;;;;;;
3 ME/Africa;1715226785;34591101;;Middle East and Africa;;;;;;
31 MENA;586642361;12901000;;Middle EAst and North Africa;;;;;;
32 SSa Africa;1128584424;21690101;;Sub-Saharan Africa;;;;;;
Afghanistan;38928346;652860;;Afghanistan;;;;;;
Albania;2877797;27400;;Albania;;;;;;
Algeria;43851044;2381740;;Algeria;;;;;;
American Samoa;55191;200;;American Samoa;;;;;;
Andorra;77265;470;;Andorra;;;;;;
Angola;32866272;1246700;;Angola;;;;;;
Anguilla;15003;90;;Anguilla;;;;;;
Antigua and Barbuda;97929;440;;Antigua and Barbuda;;;;;;
Argentina;45195774;2736690;;Argentina;;;;;;
Armenia;2963243;28470;;Armenia;;;;;;
Australia;25499884;7682300;;Australia;;;;;;
Australia Australian Capital Territory;426709;2358;;Australian Capital Territory;;;;;;
Australia New South Wales;8089526;809952;;New South Wales;;;;;;
Australia Northern Territory;245869;1419630;;Northern Territory;;;;;;
Australia Queensland;5095100;1851736;;Queensland;;;;;;
Australia South Australia;1751693;1044353;;South Australia;;;;;;
Australia Tasmania;534281;90758;;Tasmania;;;;;;
Australia Victoria;6594804;237657;;Victoria;;;;;;
Australia Western Australia;2621680;2642753;;Western Australia;;;;;;
Austria;9006398;82409;;Austria;;;;;;
Azerbaijan;10139177;82658;;Azerbaijan;;;;;;
Bahamas;393244;10010;;Bahamas;;;;;;
Bahrain;1701575;760;;Bahrain;;;;;;
Bangladesh;164689383;130170;;Bangladesh;;;;;;
Barbados;287375;430;;Barbados;;;;;;
Belarus;9449323;202910;;Belarus;;;;;;
Belgium;11589623;30280;;Belgium;;;;;;
Belize;397628;22810;;Belize;;;;;;
Benin;12123200;112760;;Benin;;;;;;
Bermuda;62278;50;;Bermuda;;;;;;
Bhutan;771608;38117;;Bhutan;;;;;;
Bolivia;11673021;1083300;;Bolivia;;;;;;
Bosnia and Herzegovina;3280819;51000;;Bosnia and Herzegovina;;;;;;
Botswana;2351627;566730;;Botswana;;;;;;
Brazil;212559417;8358140;;Brazil;;;;;;
Brunei;437479;5270;;Brunei;;;;;;
Bulgaria;6948445;108560;;Bulgaria;;;;;;
Burkina Faso;20903273;273600;;Burkina Faso;;;;;;
Burundi;11890784;25680;;Burundi;;;;;;
Cambodia;16718965;176520;;Cambodia;;;;;;
Cameroon;26545863;472710;;Cameroon;;;;;;
Canada;37742154;9093510;;Canada;;;;;;
Canada Alberta;4067175;640330.46;;Alberta;;;;;;
Canada British Columbia;4648055;922503.01;;British Columbia;;;;;;
Canada Manitoba;1278365;552370.99;;Manitoba;;;;;;
Canada New Brunswick;747101;71388.81;;New Brunswick;;;;;;
Canada Newfoundland and Labrador;519716;370514.08;;Newfoundland and Labrador;;;;;;
Canada Northwest Territories;41786;1143793.8600000001;;Northwest Territories;;;;;;
Canada Nova Scotia;923598;52942.27;;Nova Scotia;;;;;;
Canada Ontario;13448494;908699.33;;Ontario;;;;;;
Canada Prince Edward Island;142907;5686.03;;Prince Edward Island;;;;;;
Canada Quebec;8164361;1356625.27;;Quebec;;;;;;
Canada Saskatchewan;1098352;588243.54;;Saskatchewan;;;;;;
Canada Yukon;35874;474712.68;;Yukon;;;;;;
Cape Verde;555987;4030;;Cape Verde;;;;;Double entry in imported data for 2 language variants;
Central African Republic;4829767;622980;;Central African Republic;;;;;;
Chad;16425864;1259200;;Chad;;;;;;
Channel Islands;173863;190;;Channel Islands;;;;;;
Chile;19116201;743532;;Chile;;;;;;
China;1439323776;9388211;;China;;2020-01-23;;;;
China Anhui;59500510;139700;;Anhui;;2020-01-23;;;;
China Beijing;19612368;16800;;Beijing;;2020-01-23;;;;
China Chongqing;28846170;82300;;Chongqing;;2020-01-23;;;;
China Fujian;36894216;121580;;Fujian;;2020-01-23;;;;
China Gansu;25575254;454300;;Gansu;;2020-01-23;;;;
China Guangdong;104303132;180000;;Guangdong;;2020-01-23;;;;
China Guangxi;46026629;236000;;Guangxi;;2020-01-23;;;;
China Guizhou;34746468;176000;;Guizhou;;2020-01-23;;;;
China Hainan;9171300;34000;;Hainan;;2020-01-23;;;;
China Hebei;71854202;187700;;Hebei;;2020-01-23;;;;
China Heilongjiang;38312224;454000;;Heilongjiang;;2020-01-23;;;;
China Henan;94023567;167000;;Henan;;2020-01-23;;;;
China Hong Kong;7061200;1108;;Hong Kong;;2020-01-23;;;;
China Hubei;57237740;185900;;Hubei;;2020-01-23;;;;
China Hunan;65683722;210000;;Hunan;;2020-01-23;;;;
