Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29
US Delaware;973764;5047;1036;106.3912816658;0.091068917;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;6;7;8;16;25;30;38;45;56;68;90;113;126;158;205;222;253;303;343;363;412;548;617;732.5;837;952.5;1077;1163;1265;1320;1361;1442;1646;1682;1873;1837.5;1865;1944.5;2003;2132.5;2101;2116;2097;2482;2537;2814;2641;2659;2595;2607.5;2670;2543;2440;2578;2631;2669;2701;2413;2403;2166;2297;2489;2455;2509;2462;2581;2666;2416;2447;2418;2413;2362;2400;2325;2144;1948;1863;1875;1828;1736;1648;1518;1360;1244;1155;1133;1007;954;960;935;937;807;766;735;718;732;753;838;836;833;848;827;833;874;844;862;962;1036
US District of Columbia;705749;158;493;69.8548634146;0.0479012825;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7.5;10;12;14;16;17;22;31;39;70;76;97;114;132;175.5;221;255;290;326;384;473;555;614;686;825;900;981;1074;1257;1292;1393;1474;1533;1554;1563;1611;1697;1719;1764;1795;1830;1887;1766;1838;1868;1921;1966;1937;1936;1909;1973;2182;2131;2223;2243;2224;2255;2293;2371;2403;2431;2497;2491;2478;2413;2213;2245;2107;2100;2112;2090;2134;1994;1864;1823.5;1836;1849;1822;1756;1667;1675;1678;1587;1452;1465;1332;1306;1303;1236.5;1164;1140;1131;1097;1116;992;966;942;932;831;783;753;715;688;669;620;591;570;531;507;481;493
US Florida;21477737;138887;69015;321.332736312;0.4716039934;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;11.5;14;17;18;19;26;30;48;74;112;137;180;307;381;508.5;644;813;1153;1393;1654;2323;2715;3686;4130;5332;6152;6641;7620;9065;10453;11321;12153;13335;13773;14009;14766;14731;15109;15128;15029;15556;14887;14534;14158;13845;13336;12748;12854;12468;12643;12345;12173;11537;11479;10682;10793;10609;10194;10082;10237;9944;9693;9996;9025;9162;9068;8844;9077;9209;9520;9282.5;9348;9510;9545;9505;9469;9847;10252;10126;10271;10764;10332;10232;10075;10486.5;10613;10575;10388;10503;11293;11508;12037;12631;13071;13158;13745;14737;15784;16474;18128;19405;20496;22662;23955;25743;28260;31039;33353;35313;37503;41643;44949;51989;58993;65507;69015
US Georgia;10617423;148959;21003;197.8163627841;0.2644647871;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;7;12;17;22;31;41;65;98;120;145;195;277;407;493;577;747;994;1207;1477;1937;2297;2552;2688;3783;4441;5061;5411;5653;6047;6542;7792;8654;9041;9482;9793;9801;10506;10294;10349;10321;11363;11509;11654;11633;11063;10839;10946;10664;10536;10949;10598;10392;10585;10486;10076;10637;10301;10421;9830;9956;9927;9959;9837;10040;10014;10020;9760;9703;9411;8841;9099;8713;9010;8951;8966;9112;9600;9397;9417;9095;9089;9212;8989;9139;9285;9537;9486;9247;9442;9403;9177;9060;9153;9519;9559;9903;10113;10515;10695;10796;10871;11136;11065;11388;12500;12803;13431;14429;15401;16122;17212;18184;19529;21003
US Guam;162742;543;69.3333333333;42.6032206396;0.2718954248;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;8;12;14;15;26;28;31;36;44;50;54;55;55;64;69;70;70;78;85;84;89;88;83;79;78;77.0909090909;75.1818181818;64.2727272727;56.3636363636;51.4545454545;49.5454545455;40.6363636364;21.7272727273;20.8181818182;12.9090909091;9;7;11;9;9.9090909091;10.8181818182;11.7272727273;12.1363636364;12.5454545455;13.4545454545;14.3636363636;16.2727272727;15.1818181818;16.0909090909;17;16.1666666667;10.3333333333;9.5;8.6666666667;7.8333333333;7;7;7;7;8.2;8.4;11.6;12.8;14;14.0833333333;14.1666666667;14.25;14.3333333333;15.6666666667;17;17.5;19;18.5;16.8;15.6;14.4;14.2;13;13.75;13.7;13.65;13.6;12.3;11;12;11;11.5;12;11.3333333333;10.6666666667;9;10;14;20.8;42.6;43.4;44.2;45;49;62;64;65.3333333333;67.3333333334;69.3333333333
US Hawaii;1415872;16635;171;12.0773629255;0.1902113459;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;7;10;14;16;26;36;47;54;75;88;93;104;118;149;168;194;194;242;259;282;303;315;310;320;340;336;345;335;324;300;309;272;256;234;223;209;197;172;157;154;136;117;107;103;92;83;77;66;46;40.5;37;43;34;33;29;28;26;27;26;25;19;19;19;19.5;19.5;16;17;18;12;12;11.25;9.5;8.75;6;10;11;12;12;12;12;11;8;22;30;31.75;32.5;38.25;41;45;57;72;76;83.5;87;90;107;125;130;139;140;137;150;158;160;149;171
US Idaho;1787065;214045;1888.5;105.6760666232;0.3550479413;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;6;7;9;11;23;31;42;47;50;73;123;186;226;256;304;408;516;658;868;982;1035;1054;1120;1137;1109;1164;1166;1146;1116;1038;939;918;718;642;591;571;566;556;570;483;474;480;471;464;488;397;406;380;393;411.5;370;361;356;342;335;343;348;343;341;340;336;354;358;353.5;349;349;348;356;390;396;405.3333333333;414.6666666667;406;407;418;414;420;435.5;451;457;484;520;516;513;513.6666666667;514.3333333333;521;529;533;550;560;558;556;607;642;689;760;867;966;1065;1182;1385;1563;1795;1920;1888.5
US Illinois;12671821;143793;9637;76.050632344;0.0671502432;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;5.5;6;6.5;7;19;22;25;32;46;64;93;158;284;417;579.5;747;1040;1261;1516;1843;2512;2992;3444;4531;4964;5835;6692;7273;8319;9604;10207;10989;12014;13213;13884;14861;15689;16256;16968;17253;17613;18038;18671;18803;19101;19246;19510;20030;20512;21771;22597;23051;23858;24855;25762;27185;28480;29345;31142;32332;32903;33124;33939;34102;34308;33838;33124;34919;34343;35019;34314;33952;32692;32645;32068;32186;31813;31684;31711;32563;33010;30174;29608;27896;27086;26460;26069;24749;24818;23412;22073;20471;19094;17453;17122;16741;16255;15494;14604;13815;13144;12643;11652;11216;10880;10555;10214;10005;9085;8889;8979;9107;9285;9398;9372;9637
US Indiana;6732219;92789;4798;71.2692204457;0.1060847263;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;6;10;12;13.5;15;19;23;28;37;54;77;122;195;252;353;463;628;957;1201;1482;1751;2110;2500;2961;3335;3827;4210;4685;5142;5466;5706;5926;6203;6414;6450;6368;6390;6503;6717;6688;6799;6742;6590;6495;6688;6773;6960;7084;7725;8061;8227;8293;8476;8654;8723;8821;8936;9432;9464;9466;9337;9114;8666;8539;8291;8218;8025;7985;7845;7748;7672;7404;7433;7263;7169;7250;7088;6951;6964;7015;6903;6931;6796;6575;6532;6438;6160;6169;6096;6021;5908;5955;5900;5680;5588;5332;5335;5600;5549;5301;5342;5168;5064;5026;5010;4838;4803;4907;4994;5032;5021;4798
US Iowa;3155070;144669;4729;149.8857394606;0.1643040789;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;13;14;16;17;18;22;23;29;38;45;68;90;102;116;132;165;219;281;318;402;474;520;576;654;718;778;841;924;1000;1091;1153;1212;1251;1286;1402;1446;1527;1633;1727;2034;2213;2593;2603;2654;3057;3582;3889;4158;4477;4848;5004;5552;6128;6267;6544;6470;6656;7135;7012;6579;6483;6505;6536;6446;6530;6165;5687;5482;5252;5238;5210;5111;5047;5222;5293;5204;4791;5071;4898;4877;4916;4901;4742;4667;4441;4635;4648;4585;4415;4410;4533;4191;4365;4411;4473;4374;4356;4163;4406;4049;4123;4018;4296;4064;4137;4154;4259;4349;4295;4563;4729
US Kansas;2913314;211754;3024;103.7993158307;0.2093747836;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;4;6;6;7;10;14;15;33;43;53;62;80;96;123;164;196;254;311;357;413;466;518;576;643;683;763;802;920;938;964;1007;1018;1008;998;1012;1036;1085;1092;1102;1141;1125;1165;1376;1611;1788;1837;1952;2065;2244;2650;2744;2956;3181;3259;3433;3523;3662;3724;3695;3774;3788;3801;3730;3439;3437;3291.3333333333;3158.6666666667;3095;2981.5;2805;2604.5;2457;2293.6666666667;2183.3333333333;2102;1985.5;1869;1851;1833;1779;1725;1671;1651;1631;1533;1435;1434;1433;1432;1453.5;1475;1401.5;1328;1354.6666666667;1381.3333333333;1408;1459.5;1511;1588.5;1666;1715.6666666666;1765.3333333334;1815;1986.5;2158;2324.5;2491;2668.6666666667;2846.3333333333;3024
