Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29
US Kentucky;4467673;102269;2700;60.4341454713;0.1759301492;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;8;9.5;11;13;15;20;21;25;34;46;52;96;100;118;149;188.5;237;288;378;418;458;565;645;723;777;818;851;884;992;1148;1445;1464.5;1446;1524;1568;1619;1611;1659;1691;1790;2005;2042;2043;2027;1788;2012.5;2065;2111;2098;2165;2248;2279;2357;2297.5;2170;2195;2630;2561;2648;2509;2535;2484.5;2531;2478;2541;2517;2565;2683.5;2748.5;2824;2296;2233;2157;2138;2131;2181.1666666667;2231.3333333333;2224;2050.5;1959;2020;2016;2167.5;2116;2292;2538;2691;2861;2810.5;2736.3333333333;2799.6666666667;2806;2814.5;3011;2981;2842;2601;2644;2585;2492;2477;2343;2368.5;2363;2433;2480;2672;2664;2600.5;2686;2700
US Louisiana;4648794;111898;9909;213.1520562107;0.173595417;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;14;36;51;88;113;133;234;339;461;564;817;1138;1342;1730;2222;2627;3178;3389;3840;4998;6151;8803;9824;11916;12173;13695;14896;15235;15978;16507;16699;17055;16991;16281;15527;13382;12821;11084;10918;9656;8570;8228;7456;6887;6498;6178;6052;5768;5709;5469;5593;5560;5412;5150;5142;5141;4913;4715;4905;4827;4747;4764;5002;5488;5126;4977;5092;5036;5042;4917;5852;6070;5623;5569;5994;6004;5835;5313;5352.5;5460;5484;5632;5708;5817;5058;5064;5446;5647;5241;5558;5533;5670;5805.5;6706;6703;6831;6960;7501;7012.5;6526;6899;6962;7189;7983;8447;8943;9774;9219.5;9617;9909
US Maine;1344212;79883;409;30.4267481617;0.1270580926;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;17;32;43;53;57;73;89;107;125;149;154;165;208;250;258;271;301;323;375;383;381;392;394;388;405;418;405;380;423;431;426;420;395;391;397;376;369;370;377;379;374;382;325;306;286;299;296;305;318;330;338;347;393;409;418;421;439;437;459;470;480;496;502;508;515;565;547;574;605;619;612;632;622;624;623;634;638;636;636;599;569;534;511;515;514;497;500;478;495;475;468;461;442;418;432;431;414;387;383;388;380;403;381;397;398;409
US Maryland;6045680;25142;5222;86.3757261383;0.0776459393;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;5;6;9;12;17;26;31;35;57;83;105;146;187;240;283;343;414;568;757;966;1208;1376;1603;1900;2224;2609;2935;3365;3757;4022;5106;5605;6194;6702;6986;7523;7812;8047;8453;8814;9183;9221;9639;9822;9246;9552;9648;10072;10356;10551;10641;10817;10958;11900;12165;12632;12724;12924;13388;13637;13869;13768;14006;13886;13948;13963;14161;13514;13495;13342;13354;14429;14160;14157;13939;13961;13726;13779;13626;13611;13806;14002;14047;13974;13565;12629;12659;12327;12346;11987;11660;11252;11217;11042;10488;9625;9290;8923;8705;8234;7987;7371;6778;6474;6333;6199;6103;5872;5580;5502;5145;5076;5222
US Massachusetts;6892503;20202;3078;44.6572166889;0.0282987643;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;23;38;64;97;118;154;226;309;419;536;661;1034;1706;2276;3094;4086;4757;5529;6368;7452;8638;9989;11211;11855;13061;14044;14953;16525;17727;18608;20525;21141;21588;22331;23625;24822;25890;27418;27677;28064;28221;29149;30091;30582;29557;29668;30193;30295;29713;29186;28736;28267;27671;27103;27112;25729;24364;23395;22855;22000;21030;20232;19977;19110;18670;17923;17965;17654;16945;16363;15556;14919;14882;14809;14361;13723;12713;12091;11368;10955;13753;13238;12622;11979;11668;11470;10761;10355;10196;9936;9772;9547;9094;8638;4885;4722;4559;4359;4093;3804;3625;3584;3550;3455;3170;3011;3048;3064;3078
US Michigan;9986857;146435;4138;41.4344573072;0.0589265625;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;18;34;52;72;98;128;168;254;358;497;702;945;1196;1471;1915;3625;4479;5204;6121;6895;7654;8808;9797;10838;11773;12854;13669;14304;15430;14995;15715;16100;16360;16558;16636;16723;16809;16729;16621;16373;16115;15882;15339;14959;14287;14079;13741;13448;13099;12709;12625;12641;12598;12558;12283;12123;12007;11925;11955;12050;11920;11643;11472;11315;10908;10426;10037;9619;9469;9244;9295;10103;9970;9531;9447;9351;9249;9003;9079;9020;8879;8726;8561;8424;7628;6434;6003;5761;5429;5298;5290;5001;4527;4231;4006;3746;3621;3512;3472;3092;2721;2652;2556;2515;2486;2272;2166;2115;2182;2276;2631;2742;2853;3030;3373;3540;3657;3843;3892;4138
US Minnesota;5639632;206232;5168;91.6371848376;0.144111988;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;5;11;21;43;62;90;128;179;246;269;287;302;325;347;388;433;481;522;578;597;597;644;670;704;769;816;831;868;937;988;1032;1072;1092;1119;1139;1189;1249;1348;1430;1549;1630;1697;1860;2020;2224;2633;3056;3321;3648;4175;4623;5147;5630;6068;6283;6497;7045;7424;7752;8058;8252;8194;8040;8192;8255;8304;8449;8627;8634;8605;8752;8966;9099;9254;9334;9444;9569;9145;9265;9216;8994;8650;8476;8306;7910;7534;7280;6708;6314;6088;5867;5912;5558;5211;4859;4450;4284;4149;3796;3506;3407;3385;3343;3614;3932;3791;3603;3564;3705;4153;4568;5078;5168
US Mississippi;2976149;121531;6768;227.4079691575;0.2547521361;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;10;12;21;34;50;79;139;206;248;319;375;479;571;650;744;831;916;1039;1127;1278;1315;1431;1489;1595;1626;1775;1890;1979;2023;2095;2150;2287;2447;2435;2519;2636;2774;2801;2891;2893;2965;3076;3130;3152;3255;3209;3191;3419;3467;3276;3365;3491;3530;3533;3656;3660;3590;3580;3566;3521;3668;3589;3682;3746;3555;3497;3543;3536;3534;3627;3751;3784;3823;3954;3889;3989;4106;4205;4320;4316;4355;4338;4135;3764;4018;4310;4394.5;4439;4415;4301;4119;4015;4047;4132;4319;4410.2;4540.4;4859.6;4687.8;4519;4772.5;4941;5729;5975;6183;6376;6768
US Missouri;6137428;178040;4854;79.0885041747;0.2306705318;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;4;5;6;8;13;23;46;70;87;180;266.5;348;494;661;828;924.5;1018;1313;1563;1810;2066;2218;2277;2539;2767.5;2971;3037;3130;3186;3225.5;3357;3359;3314;3277;3170;3226;3300;3085;2904;2810;2782;2826;2802;2837;2783;2617;2530;2451;2552;2637;2719;2947;2975;2965;3020;2864;2840;2847;2747;2703;2717;2755;2621;2521;2403;2191;2164;2130;1999;2069;2086;2144;2249;2285;2350;2356;2339;2287;2358;2382;2495;2535;2717;2695;2690;2565;2567;2622;2695;2717;2790;2848;2852.5;2862;2839;2858;2851;2948;3148;3450;3409;3592.5;3681;4031;4329;4451;4575.5;4854
US Montana;1068778;376962;310;29.0050880538;0.3373231774;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7;7.5;8;10;12;16;20;31;34;46;53;70;107;124;147;163.5;176;198;215;227;245;255;265;273;279;283;257;248;233;223;215;196;188;179;161;147;136;118;107;88;79;68;61;55;52;48;38;32;29;23;22;19;17.6666666667;15.3333333333;14;13.3333333333;10.6666666667;10;10;10;11;12;13;13;13;15;21.3333333333;21.6666666667;21.3333333333;21.3333333334;21.3333333333;21.3333333333;19.6666666667;19;21;27;37;46;49;52;47;60;61.6666666667;60.3333333333;65;67.6666666667;73.3333333333;80;78;80;83;86;90;91;105;116;125;158;172;192;189;205;240;256;264;262;310
US Nebraska;1934408;198974;2174;112.3858048561;0.1150325414;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;5;10;13;14;17;18;21;24;27;32;37;47;47;49;56;63;72;82;91;127;151;186;219;247;283;315;359;395;458;494;550;604;683;669;699;691;706;787;817;924;1065;1201;1203;1246;1489;1721;1941;2214;2487;2473;2832;3215;3700;4039;4436;4435;4716;4958;5066;5410;5502;5287;5214;5318;5291;5135;4934;4894;4438;4542;4408;4351;4235;3831;3755;3819;3783;3927;3901;3845;3882;3685;3753;3720;3765;3744;3692;3717;3554;3500;3397;3264;3049;3054;2859;2728;2624;2506;2420;2360;2298;2212;2164;2176;2205;2209;2196;2031;2011;2142;2174
US Nevada;3080156;284332;6615;214.7618497245;0.3696769867;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;5;7;11;20;20;44;54;73;92;106;119;183;237;265;308;403;514;596;710;963;1058;1204;1363;1405;1618;1646;1708;1809;1997;2036;2049;2079;2098;1963;1975;1932;1863;2010;1884;1892;1877;1850;1763;1752;1814;1839;1766;1719;1717;1687;1677;1703;1685;1698;1661;1657;1582;1558;1486;1489;1496;1462;1506;1496;1501;1387;1351;1431;1415;1452;1503;1489;1517;1668;1672;1727;1686;1719;1709;1736;1833;1736;1782;1784;1769;1835;1865;1764;1879;1907;2033;2051;2191;2328;2451;2580;2591;2828;2907;2986;3220;3471;3556;3749;3967;4198;4460;4562;5393;5987;6615
US New Hampshire;1359711;23187;415;30.5211916356;0.0720486111;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;4.5;5;5.5;6;6.5;7;13;15;17;24;37;42;53;61;73.5;96;102.5;131;151.5;180;201;299;347.5;389;408;435;485;556;591;614;680;666.5;661;698;715;671;655.5;724;766;808;774.5;721;723;776;751.5;784.5;851;835;858;879;918;871;841;859;995.5;1087;1196;1121;1096.5;1152;1173;1227;1224;1296;1261.5;1229;1245;1318;1200;1127;1008;1040;1085;1128;1092;1142;1108;989;997.5;992;987;922;982;989;1055;1033;1028;927;941;930;912;894;882;901;892;823;759;754;694;669.5;615;641;574;467;487;501;479;439;420;462;443;418;415
US New Jersey;8882190;19047;4169;46.9366226122;0.0243413985;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;11;15;23;29;49;73;96;176;264;422;733;879;1311;1894;2817;3631;4340;6795;8717;10984;13225;16438;18429;21828;24848;29005;32797;35591;38246;40741;43035;44151;45763;47027;48464;47948;50128;48775;49727;48572;47296;47796;47716;47971;48428;48962;47608;47372;47188;46604;45032;45234;43335;42723;42297;41443;39463;38206;36025;33646;33258;31562;29494;28757;26887;25296;24052;22715;21372;19590;19770;18420;18509;17837;17265;16019;15622;15147;15021;15068;15111;14939;14519;14111;12879;12532;11669;11058;10617;10789;10010;9405;9032;8718;8001;7320;6997;6436;6185;5881;5635;5577;5160;4941;4978;4918;4938;4546;4380;4420;4268;4301;4169
US New Mexico;2096829;314161;2086;99.4835534991;0.1766449318;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;10;11.5;13;17;23;28;35;43;57;61;65;83;97;107;126;179.5;224;242;258;287;328;360;438;482;559;603;694;753;955;941.5;937;986;1064;1092;1121;1194;1216;1255;1221;1285;1278;1345;1288;1388.5;1486;1481;1478;1567;1729;1814;1802;1934;2005;2060;2066;2081;2114;2152;2118;2137;2246;2238;2151;2092;2149;2125;2088;2065;2054;2026;1979;1952;2017;2080;1957;1918;1888;1861;1831;1767;1751;1704;1832;1823;1881;2047;2005;1997;2036;1975;1998;2162;2080.5;1997;2034;2045;1909;1925;1800;1588;1765;1689.5;1632;1733;1740;1666;1834.5;1998;2086
US New York;19453561;122057;8986;46.1920570738;0.0228692133;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22;33;76;105;142;173;216;318.5;421;524;726;943;1693;2370;4130;7067;10280;15054;20733;25455;30526;36873;44116;51590;58548;65279;74095;81330;88229;95761;103348;106863;109814;113198;118505;122679;125877;128140;129181;128534;126413;130067;129903;126779;123028;120755;116823;112827;107900;103523;101078;101685;99351;96965;92898;85912;82088;78672;76245;73629;71441;69502;66762;64189;58817;50979;47350;45059;43379;40970;38679;37499;35255;33706;32418;31653;30392;28809;27747;26804;26120;25709;25351;24304;23682;22471;21428;20649;20340;20195;19715;18675;18054;17390;16582;16035;15646;15191;14159;13430;12970;12554;12233;11535;11057;10627;10348;9956;9839;9689;9603;9510;9523;9506;9293;9215;8986
US North Carolina;10488084;125920;18382;175.2655680485;0.2895532733;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;7;9.5;12;15;23;32;33;40;62;96;135;182;253;295;391;494.5;624;748;912;1008;1274;1458;1521;1760;1956;2218;2330;2573;2823;2922;3015;3145;3377;3480;3509;3526;3539;3608;3766;3738;3908;3894;3730;3794;3957;4144;4311;4310;4326;4544;4825;5044;5064;5369;5171;5084;5305;5538;5789;5816;5737;5934;5903;5778;5868;5998;6206;6473;6848;7175;7444;7364;7463;7750;8365;8458;8919;8794;8812;8905;9359;9691;10077;10240;10189;10655;11106;11637;11900;12324;12520;13020;13543;14069;14761;15003;15530;15839;15964;16078;16222;16585;16764;17255;17121;17293;18003;17702;17569;17861;18023;18382
US North Dakota;762062;178711;438;57.4756384651;0.1237637751;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;6;15;20;28;29;30;34;39;51;64;82;97;107;123;136;144;153;158;178;195;203;212;217;213;210;210;222;215;223;234;266;342;378;402;407;428;440;470;510;559;611;650;668;674;668;625;606;598;622;644;662;677;661;624;576;580;614;637;654;695;709;706;728;772;858;892;901;927;939;851;792;777;759;706;677;694;652;584;477;428;451;443;423;479;502;499;496;504;503;476;478;487;487;481;435;427;433;419;421;413;405;400;415;438
US Ohio;11689100;105829;9470;81.0156470558;0.1855189437;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;5;13;24.5;36;50;67;88;119;168;244;348;436;556;694;852;1118;1381;1617;1883;2132;2459;2783;3143;3492;3692;4008;4218;4444;4645;4741;4844;4951;5042;5081;5244;5512;5795;6483;7559;8469;8943;8969;9182;9291;9337;9359;8724;8848;9512;9613;9636;9113;8312;7555;7244;7459;7437;7847;8110;8118;9078;9122;8418;8330;8211;8139;8009;7980;7983;7860;8036;7778;7711;7830;7700;7756;7718;7558;7612;7560;7590;7530;7398;7356;7115;6964;6703;6565;6360;6156;6136;6089;5858;5814;5635;5592;5660;5630;5840;5973;6151;6332;6700;6965;7184;7647;8214;8607;9161;9470
US Oklahoma;3956971;177660;4755;120.167673708;0.3609930155;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;3;4;9;10;17;29;43;48;52;65;79;103;159;241;314;362;413;464;542;689;835;939;1106;1185;1246;1366;1360;1436;1472;1491;1541;1588;1619;1544;1478;1477;1411;1347;1353;1335;1370;1333;1327;1325;1283;1211;1226;1210;1261;1283;1281;1373;1364;1320;1307;1313;1303;1297;1336;1333;1322;1379;1344;1338;1386;1338;1354;1362;1331;1350;1425;1470;1448;1477;1405;1377;1308;1252;1181;1196;1175;1203;1273;1227;1106;1043;1113;1115;1226;1251;1356;1510;1655;1725;1844;1953;2099;2447;2751;3034;3365;3528;3665;4030;4322;4495;4569;4763;4755
US Oregon;4217737;248608;2849;67.5480713947;0.3357690041;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;7;14;14.5;15;19;24.5;30;33;36;39;47;72;85;111;130.5;147;176.5;194;249;302.5;384;446;512;567;643;661;738;785;861.5;907;941;972;971;994;932;892;979;978;943;927;910;886;845;842;824;821;820;806;831;882;784;770;767;783;774;794;791;770;803;837;857;862;891;907;917;932;951;970;969;962;977;943;928;887;885;828;796;728;699;663;616;622;607;590;573;620;615;609;598;657;706;774;881;973;1021;1022;1151;1246;1278.3333333333;1306.6666666667;1334;1763;1819;1892;2002;2088;2129;2161;2286;2384;2331;2441;2616.1666666667;2791.3333333333;2849
US Pennsylvania;12801989;115883;6867;53.640102331;0.0798599805;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;10;12;16;22;41;47;63;76;96;132;184;266;367;473;634;839;1111;1665;2177;2704;3331;4011;4747;5672;6831;8152;9646;11031;12336;13708;15112;16541;17761;18904;19439;20112;20502;20685;20719;21021;21052;20774;20252;19969;19445;18825;18673;18394;18332;17851;17919;17876;18028;17530;17236;16983;16860;16429;16161;15862;15586;15267;15446;15104;14727;14332;13873;13651;13306;12967;12964;12709;12684;12477;12020;11667;11102;11032;10646;10719;10406;10717;10420;10312;9842;9844;9493;9168;8747;8723;8499;8377;8419;8049;7891;6660;6431;6252;6223;5973;5796;5676;5757;5560;5518;5623;5640;5725;5837;6371;6471;6698;6867
US Puerto Rico;3193694;8868;1360;42.5839169313;0.1875862069;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7.25;9.5;11.75;14;21;22;29;37;49;62;76;97;122;168;231;275;304;363;431;452;482;534;569;619;646;688;770;729;684;688;727;690;666;738;739;725;295;412.5;551;519;474;486;477;459;496;507;639;595;591;626;1053;935.5;880;866;827;867;899;896;888;967;832;838;867;881;898;882;874;927;991;1004;1025;1068;1059;1105;1129;1130;1163;1130;1157;1595;1590;1815;1796;1786;1861;1932;1866;1889;1972;2035;2017;2016;1980;1603;1575;1548;1540;1518;1500;1491;1525;1386;1376;1378;1360
US Rhode Island;1059361;2678;671;63.3400700989;0.0400262467;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;3;3;3;3;3;5;9.5;14;20;19.5;20;21;31;42;51;63;80;103;121;127;155.5;189;219;273.5;381;466;533;613;655;740;839;976;1106;1318;1562;1812;2110;2371;2574;2762;2963;3181;3468;3673;3833;4016;4237;4395;4535;4684;4780;4774;4732;4675;4718;4783;4785;4810;4722;4554;4466;4360;4268;4080;3860;3835;3742;3688;3588;3395;3257;3145;3197;3143;3018;3151;3041;2957;2963;2791;2687.5;2596;2518;2478;2416;2385;2254;2196;2161;1863;1754;1705;1556;1510;1504.5;1481;1403;1368;1312;1176.6666666667;1116.3333333333;1102;1052;994;944;896;869.6666666667;843.3333333333;817;842;850;778;714;699.6666666666;685.3333333334;671
US South Carolina;5148714;77857;15266;296.5012234123;0.4406535042;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;7;8;9;10;12;13;19;27;32;59;69.5;80;150;192;291;353;415;446;485.5;526;755;897;1050;1233;1483.5;1654.5;1765;1854;1935;2056;2128;2336;2567.5;2668;2545;2511;2470;2363;2239.5;2195.5;2329;2328;2175;2022;2209;2125;2020;2046;2171;2115.5;2060;2225;2301.5;2327;2243;2249;2283.5;2318;2175;2122;2057;2278;2163;2238.5;2314;2177;2094;2149;2122.5;2190;2250.5;2299;2179.5;2136;2496;2364;2443;2388;2489;2565;2599;2724;2782.5;3045;3206;3359;3535.5;3830;3815;4021;4190;4622;4812;5136;5653;6039;6561;6934;7230;7575;7905;8543;9178;9870;10407;10901;11385;12138;12581;13165;13984;14525;15266
US South Dakota;884659;196350;788;89.0738691405;0.1173317451;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;9;9.3333333333;9.6666666667;10;11;11;12;13;16.5;20;27;29;36;38;49;58.6666666667;80.3333333333;91;97;117;152;173;194.5;219;260;290;352;401;478;558;640;767;880;1039;1146;1224;1330;1395;1397;1435;1465;1509;1504;1521;1482;1377;1325;1205;1138;1114;1046;996;983;966;921;949;1104;1246;1305;1369;1350;1359;1343;1362;1371;1356;1359;1364;1398;1345;1212;1075;1046;972;990;978;1001;979;1001;1006;1007;982;985;997;921;899;875;885;870;894;872;876;873;905;894;899;888;862;881;858;859;855;830;815;814;793;793;783;788
US Tennessee;6829174;106798;11137;163.0797516654;0.2633047261;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;7;12.5;18;26;32;39;52;73;98;153;227;370;502;612;660;771.5;939;1177;1341;1498;1782;2166;2585;2691;2839;2950;3128;3187;3471;3578;3677;3659;3741;3771;3776;3584;3396;3417;3522;3441;3437;3436;3256;3480;3632;3864;4075;4359;4308;4229;4287;4473;5302;5899;6107;6333;6296;6096;5830;5715;5579;5318;5626;6059;6004;5964;5079;4627;4211;4440;4688;4594;4865;4953;5021;5160;5063;4854;4936;4980;5115;5278;5618;5543;5997;6290;6159;6126;6282;6236;6337;6610;6755;6859;7041;6975;7426;7606;7455;7321;7709;8497;8375;8721;8609;8728;9174;9496;10318;10631;10802.5;11137
US Texas;28995881;676587;63903;220.3864748928;0.4176366405;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;8;10;12;13;21;23;39;51;56;57;63;81;140;189;296;324;340;397;953;1373;1692;2001;2496;2820;3202;3914;4526;5136;5806;6478;6924;7852;8379;8834;9940;10509;10932;11029;11358;11495;11786;12041;12150;12111;12182;11934;11716;11714;11135;11212;11147;11391;11547;11562;11632;11858;12262;12625;12874;13173;13353;13446;13803;14087;14238;14572;14877;15349;15764;15969;16477;16236;16361;16543;16901;16878;16840;16649;16479;16102;15512;15518;15925;15808;15339;16503;16187;16656;16948;17652;18164;19044;19630;19645;20693;21836;21807;22674;23673;23567;24228;26638;28064;29931;31692;34182;36623;39265;43117;46164;50334;53944;57360;60874;63903
US Utah;3205958;212818;7056;220.0902195225;0.3257016248;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;4;6;17;28;39;51;63;78;112;135;180;256;297;344;398;474;585;691;767;836;949;996;1134;1292;1424;1418;1439;1500;1574;1622;1604;1584;1557;1525;1530;1609;1559;1503;1464;1538;1558;1599;1636;1680;1742;1820;1870;1931;1953;1989;2023;2050;2106;2104;2153;2150;2112;2137;2155;2128;2129;2089;2125;2077;2085;2087;2063;2067;2069;2115;2150;2138;2157;2141;2159;2188;2086;2172;2351;2465;2559;2615;2684;2787;2939;3195;3538;3674;3801;3939;4158;4331;4313;4448;4516;4609;4735;4847;5026;5173;5270;5396;5584;5741;5920;6122;6473;6647;6787;7056
