Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;Last Trend
Switzerland Schaffhausen;81991;298;34;41.4679659963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Switzerland Schwyz;159165;908;99;62.1996041843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2663204379;0.1066819197;0.0466351394;0;0.0392898776;0.1066819197;0.1723346544;0.2053905237;0.1673775258;0.0962893893;0.0348953188;0.0065150025;0;0;0;0;0.3380161378;6.6153846154
Switzerland Solothurn;273194;791;129;47.2191922224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0.9679896713;1.3205957871;1.6679677974;1.763625546;0.4483154685;0.2709446905;0.149080809;0.1700621986;0.2403846154
Switzerland St. Gallen;507697;2026;228;44.9086758441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1066819197;0.0466351394;0.3339838987;0.5196713713;0.6548754598;0.6548754598;0.2405513001;0.2454754938;0.2857991947;0.4390841795;0.525964141;0.3821459283;0.2433991174;0.2174528114;0.2275239791;0.2490719207;0
Switzerland Thurgovia;276472;991;96;34.7232269452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2574334297;0.235445572;0.2004804806;0.1697584836;0.1034482759
Switzerland Ticino;353343;2812;1354;383.1970634766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0745699318;0.235930917;0.3837825752;0.4697778402;0.3915788419;0.209896735;0.0806240865;0.0173978273;0;0;0.8865381215;1.3311923905;1.6164715479;1.7141465052;0.4695014882;0.2387114316;0.1577425803;0.1786583712;0.2231289572;0.2303492196;0.2081687181;0.177686153;0.137077863;0.1177063871;0.1180842279
Switzerland Uri;36433;1077;25;68.6191090495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1066819197;0.235930917;0.3339838987;0.442797976;0.3623220817;0.3463483704;0.3274696564;0.2900002282;
Switzerland Valais;343955;5224;651;189.2689450655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.316074013;0.2574334297;0.2073682014;0.1740548859;0.2014057071;0.2446659546;0.316074013;0.3804601441;0.4315691227;0.4496850355;0.4524925726;0.4318160514;0.3855762051;0.3408848955;0.3293982248;0.3205889129;0.2954745431;0.2535008298;0.1958602815;0.1646957311;0.1310767832;0.0742574257
Switzerland Vaud;799145;3212;2215;277.1712267486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3837825752;0.4023780988;0.4337956774;0.4201682775;0.3875485047;0.3428954422;0.2810243495;0.2848180423;0.2844075275;0.297977827;0.2646060139;0.1919253204;0.1378343719;0.0944841393;0.0245143386
Switzerland Zug;126837;239;80;63.073078045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1582921853;0.0648443168;0;0;0.2053905237;0.3397966024;0.442797976;0.5352597839;0.3385791576;0.2552598115;0.1656467908;0.1771323826;0.1843030637;0.189207115;0.2171136908;0.1734106855;0.1556015929;0.1111111111
Switzerland Zurich;1520968;1729;1363;89.6139826742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4142135624;0.5758418081;0.7320508076;0.5498136362;0.4684637773;0.3040538132;0.235930917;0.1852231156;0.2109794177;0.2841841425;0.3108201196;0.2979169191;0.2877547885;0.2471535221;0.2765960643;0.3118759562;0.3303951316;0.3097978493;0.2377585957;0.2039856223;0.1536519725;0.1514300185;0.1255161024
