Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02
US District of Columbia;705749;158;470;66.5959144115;0.05289219;0.0559124435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;2;2;2;3;3;4;5;9;9;11;12;15;21;22;24;22;27;32;38;47;50;53;67;72;81;86;91;96;105;112;127;139;153;165;178;185;190;205;224;231;240;251;258;264;277;285;304;311;323;328;336;350;358;368;375;383;392;400;407;412;418;427;427;440;440;445;453;460;462;466;468;470
US Florida;21477737;138887;2613;12.1660862129;0.0454854039;0.0496447163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;3;4;4;6;7;8;10;12;13;14;18;22;28;34;54;56;63;77;87;128;163;191;218;236;296;309;354;390;438;465;483;537;609;646;699;754;781;806;856;910;979;1031;1075;1094;1101;1154;1240;1290;1314;1388;1403;1423;1536;1605;1667;1738;1785;1791;1805;1849;1898;1948;1991;2040;2049;2073;2129;2173;2222;2268;2312;2316;2331;2338;2400;2446;2495;2530;2534;2543;2613
US Georgia;10617423;148959;2102;19.7976476966;0.043603626;0.0473199613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;10;13;14;23;25;32;40;48;64;69;80;87;111;139;163;184;201;211;229;329;362;379;416;428;433;464;501;552;587;650;673;687;733;799;836;872;892;904;912;971;1026;1093;1120;1154;1174;1177;1222;1288;1311;1336;1377;1400;1405;1441;1461;1505;1527;1557;1592;1606;1642;1664;1687;1754;1785;1811;1824;1830;1871;1907;1962;1974;2003;2042;2074;2102
US Guam;162742;543;5;3.0723476423;0.0282485876;0.0294117647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;2;3;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
US Hawaii;1415872;16635;17;1.2006735072;0.0260736196;0.026407767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;3;4;4;5;5;5;6;8;8;9;9;9;9;9;9;9;10;10;12;12;12;13;14;14;16;16;16;16;16;16;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17
US Idaho;1787065;214045;83;4.6444869101;0.0285615967;0.0307521304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;3;4;5;6;7;9;9;9;10;10;10;13;15;18;24;25;27;27;33;39;41;41;43;44;45;48;51;54;54;54;56;56;58;60;60;63;63;63;64;64;65;66;67;67;67;67;70;69;69;72;73;73;73;74;77;77;77;79;79;79;79;81;82;82;82;82;82;83
US Illinois;12671821;143793;5525;43.6006790184;0.0449742772;0.0483351705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;5;6;9;12;16;19;26;34;47;65;73;99;141;157;210;243;274;307;380;462;528;596;677;720;794;868;948;1072;1134;1259;1290;1349;1468;1565;1688;1795;1874;1933;1983;2125;2215;2355;2457;2559;2618;2662;2838;2974;3111;3241;3349;3406;3459;3601;3792;3928;4058;4129;4177;4234;4379;4525;4607;4715;4790;4856;4884;4923;5083;5186;5270;5330;5390;5412;5525
US Indiana;6732219;92789;2197;32.6341136555;0.0623492352;0.0677312945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;2;2;2;2;4;6;7;12;14;17;24;31;32;35;49;65;78;102;116;127;139;173;203;245;300;330;343;350;388;436;477;519;545;562;569;630;661;706;741;785;813;844;901;1065;1114;1175;1229;1246;1264;1326;1377;1414;1447;1490;1508;1540;1578;1619;1646;1691;1741;1751;1765;1824;1864;1913;1941;1943;1976;1976;2004;2030;2068;2110;2125;2134;2142;2197
US Iowa;3155070;144669;561;17.7809050195;0.0280275779;0.0305555556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;3;4;6;7;9;11;11;14;22;25;26;27;29;31;34;41;43;49;53;60;64;74;75;79;83;90;96;107;112;118;127;136;148;162;170;175;184;188;207;219;231;243;252;265;271;289;306;318;336;346;351;355;372;388;406;425;444;454;459;478;491;504;522;531;534;551;561
US Kansas;2913314;211754;217;7.4485620156;0.0216761562;0.0232408697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;2;2;2;2;3;3;4;5;6;8;9;10;13;17;21;22;25;27;38;42;50;55;56;62;69;76;80;84;86;92;100;107;110;112;111;117;118;120;124;125;129;130;131;134;136;137;144;147;152;157;157;158;158;164;164;172;172;172;173;173;178;178;185;185;185;188;188;205;205;208;208;208;217;217
US Kentucky;4467673;102269;442;9.8932934438;0.0433971527;0.0486945026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;3;3;4;4;4;6;8;9;9;11;17;20;31;37;40;45;59;65;73;90;90;94;97;104;115;122;129;137;144;148;154;171;185;191;200;205;208;213;225;235;240;248;248;253;261;275;283;294;298;304;304;311;321;326;328;332;334;334;366;366;376;386;391;391;391;391;400;400;409;418;431;439;442
US Louisiana;4648794;111898;2835;60.9835583164;0.0695773818;0.073642102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;4;6;8;12;16;20;34;46;65;83;119;137;151;185;239;273;310;370;409;477;512;582;652;702;755;806;840;884;1013;1103;1156;1213;1267;1296;1328;1405;1473;1540;1601;1644;1670;1697;1758;1802;1862;1927;1950;1969;2064;2115;2115;2208;2227;2267;2286;2308;2347;2381;2417;2448;2479;2491;2563;2581;2608;2629;2668;2668;2690;2690;2701;2722;2740;2766;2785;2791;2801;2835
US Maine;1344212;79883;94;6.9929445653;0.0395456458;0.0439868975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;3;5;7;7;9;10;10;10;12;14;16;17;19;19;19;20;24;27;29;32;34;35;36;39;44;47;50;50;51;51;52;53;55;56;57;57;61;62;62;63;64;64;65;65;66;69;69;70;70;71;73;73;73;75;77;78;78;79;81;84;85;89;89;89;94
US Maryland;6045680;25142;2597;42.9562927578;0.0479372404;0.0536315387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;3;3;3;4;4;5;5;10;15;18;31;36;42;53;67;91;103;124;138;171;206;235;262;302;413;459;494;534;548;582;652;698;748;798;875;910;945;1016;1078;1140;1192;1251;1281;1317;1390;1437;1503;1560;1614;1644;1683;1756;1809;1866;1911;1957;1992;2023;2081;2123;2159;2207;2243;2277;2302;2333;2392;2428;2466;2509;2532;2552;2597
US Massachusetts;6892503;20202;7085;102.7928460822;0.0700354873;0.0751373364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;5;7;11;17;26;33;42;57;72;99;124;153;187;229;265;304;370;448;515;615;725;832;946;1056;1211;1329;1502;1667;1822;1983;2146;2303;2449;2597;2769;2877;2877;2899;3003;3153;3405;3562;3716;3846;4004;4090;4212;4420;4552;4702;4840;4979;5108;5141;5315;5482;5592;5705;5797;5797;5938;6066;6148;6228;6304;6372;6416;6473;6473;6640;6718;6768;6846;6846;7085
US Michigan;9986857;146435;5553;55.6030791269;0.0961874903;0.0998597324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;5;8;15;24;43;60;92;92;132;184;259;337;417;479;540;617;727;845;959;1076;1281;1392;1487;1602;1768;1921;2093;2227;2308;2391;2468;2700;2813;2977;3085;3274;3315;3407;3567;3670;3789;3866;4020;4049;4049;4179;4250;4343;4393;4526;4551;4584;4674;4714;4787;4825;4880;4891;4915;5017;5060;5129;5158;5223;5228;5240;5266;5334;5372;5406;5463;5491;5516;5553
US Minnesota;5639632;206232;1082;19.1856489927;0.0424180649;0.0481659544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;4;5;9;10;12;17;18;22;24;29;30;34;39;50;57;64;70;70;79;87;94;111;121;134;143;160;179;200;221;244;272;286;301;319;343;371;395;419;428;455;485;508;534;558;578;591;614;638;663;692;709;731;740;757;786;818;851;861;878;890;908;942;977;1006;1036;1050;1060;1082
US Mississippi;2976149;121531;767;25.7715591524;0.0478776529;0.0546140701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;6;8;13;14;16;20;22;26;29;35;43;51;59;67;76;82;93;96;98;111;122;129;140;152;159;169;183;193;201;209;221;227;229;239;250;261;281;291;303;310;342;374;396;409;421;430;435;457;465;480;493;510;521;528;554;570;580;596;616;625;635;652;670;693;710;723;734;739;767
US Missouri;6137428;178040;783;12.7577871382;0.057679558;0.0626801153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;1;3;3;3;3;8;8;8;10;10;13;14;18;19;19;24;34;39;53;58;77;96;109;110;114;133;147;152;165;175;176;177;189;208;218;262;273;274;288;314;318;329;337;351;352;358;377;396;418;449;472;482;488;524;542;562;576;589;594;605;616;631;661;671;676;681;685;686;696;707;738;771;772;773;783
US Montana;1068778;376962;17;1.590601603;0.0325047801;0.0353430353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;4;5;5;5;5;6;6;6;6;6;6;6;6;7;7;7;7;8;10;10;10;12;14;14;14;14;14;14;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;17;17;17;17;17;17;17
US Nebraska;1934408;198974;178;9.2017816303;0.0124085047;0.0141057136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;2;2;2;3;4;5;6;6;8;8;10;12;14;15;17;17;17;18;20;21;24;24;28;28;33;38;45;47;50;53;56;55;55;68;70;73;76;78;78;82;86;90;92;96;98;100;103;107;113;119;123;123;125;132;138;143;147;147;150;150;153;163;164;170;170;170;178
US Nevada;3080156;284332;421;13.6681388865;0.0476783692;0.0517687662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;2;4;4;6;10;10;10;14;15;17;26;38;43;46;46;46;58;71;80;86;102;112;114;120;131;137;142;151;155;158;163;172;189;197;204;206;206;219;230;237;243;254;257;262;268;276;286;293;301;306;306;312;321;331;339;345;349;350;365;373;378;381;388;392;394;396;396;406;410;417;417;421;420
US New Hampshire;1359711;23187;245;18.018534821;0.0522945571;0.0579059324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;3;4;4;5;7;9;9;9;18;18;21;22;23;23;23;32;32;37;37;38;41;42;42;48;51;53;60;60;60;60;66;72;81;84;86;86;92;111;114;121;131;133;133;142;150;159;159;171;172;172;182;190;199;208;208;209;210;214;223;232;238;242;245;245
US New Jersey;8882190;19047;11770;132.5123646308;0.0728589557;0.0751462063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;5;9;11;16;20;27;44;62;81;108;140;161;198;267;355;537;646;846;917;1003;1232;1504;1700;1932;2183;2350;2443;2805;3156;3518;3840;4070;4202;4377;4753;5063;5368;5617;5863;5938;6044;6442;6770;7228;7538;7742;7871;7910;8244;8549;8801;8952;9116;9255;9310;9508;9702;9946;10138;10249;10356;10435;10586;10747;10843;10985;11081;11133;11144;11191;11339;11401;11531;11634;11698;11721;11770
US New Mexico;2096829;314161;362;17.2641641259;0.0464102564;0.0507713885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;4;5;6;7;10;11;12;12;13;16;19;19;20;26;31;36;36;44;51;53;55;58;65;71;78;84;93;99;104;110;112;123;131;139;151;156;162;169;172;181;191;200;208;219;231;242;253;259;265;270;276;283;294;302;308;317;320;325;329;335;344;351;356;362
US New York;19453561;122057;24023;123.4889591679;0.0643979198;0.0658227501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;7;7;12;12;35;44;114;114;210;285;385;519;728;965;1218;1550;1941;2373;2935;3565;4159;4758;5489;6268;7067;7844;8627;9385;10056;10834;11586;12192;12822;13362;13869;14347;14828;15302;15740;16162;16599;16966;17303;17638;18015;18321;18610;18909;19189;19415;19645;19877;20828;21045;21271;21478;21640;21845;22013;22170;22304;22478;22619;22729;22843;22976;23083;23195;23282;23391;23488;23564;23643;23722;23780;23848;23905;23959;24023
US North Carolina;10488084;125920;921;8.7813941994;0.0308140118;0.0373964593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;2;3;4;4;6;8;10;16;19;24;31;33;46;53;65;74;80;81;86;108;117;131;152;164;172;179;213;242;253;269;289;299;306;342;354;378;399;420;422;430;452;477;507;527;544;547;550;577;597;615;641;652;659;661;691;702;716;728;737;744;754;766;794;827;859;877;886;898;921
US North Dakota;762062;178711;68;8.9231584832;0.0256991686;0.0278802788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;3;3;3;3;3;4;4;5;6;7;8;8;9;9;9;9;9;10;13;13;14;15;15;16;17;19;19;19;19;23;24;25;25;25;31;31;33;35;35;36;38;40;40;42;42;43;44;45;49;51;52;52;53;54;54;56;57;59;60;61;61;68
US Ohio;11689100;105829;2258;19.3171416106;0.0621182944;0.0675259428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;3;6;8;10;15;19;25;29;39;55;65;81;91;102;119;142;167;193;213;231;247;253;274;324;361;389;418;451;471;509;557;610;656;690;711;728;753;799;937;975;1002;1021;1038;1056;1135;1225;1271;1306;1331;1341;1357;1436;1483;1534;1581;1610;1625;1657;1720;1781;1836;1872;1956;1969;1987;2002;2044;2098;2131;2149;2155;2206;2258
US Oklahoma;3956971;177660;339;8.5671590719;0.0506575015;0.0544228608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;3;5;7;8;15;16;17;23;30;34;38;42;46;51;67;79;80;88;94;96;99;108;123;131;136;139;140;143;164;170;179;188;194;195;197;207;214;222;230;238;238;238;247;253;260;266;270;272;274;278;278;284;285;288;288;288;294;299;304;307;311;311;313;318;322;326;329;334;334;334;339
US Oregon;4217737;248608;157;3.7223752927;0.0362168397;0.038880634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;4;5;8;8;11;12;13;13;16;18;18;21;22;26;27;27;33;33;44;44;48;52;53;55;58;64;70;72;74;75;78;78;83;86;87;91;92;92;101;103;104;109;109;109;113;115;121;124;127;127;130;130;134;137;137;137;137;138;140;144;145;147;147;148;148;148;148;151;151;153;153;154;157
US Pennsylvania;12801989;115883;5667;44.2665588917;0.0770915522;0.081637063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;6;7;11;16;22;34;38;49;63;74;90;102;136;150;162;240;309;338;416;494;507;524;584;647;707;756;836;1112;1204;1564;1622;1421;1492;1537;1550;1597;1716;2195;2292;2354;2418;2444;2458;3012;3106;3416;3616;3688;3707;3731;3806;3943;4218;4342;4403;4418;4505;4624;4624;4869;4984;5096;5124;5139;5152;5265;5373;5464;5537;5555;5567;5667
US Puerto Rico;3193694;8868;138;4.3210151004;0.0350698856;0.0406240801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;3;3;5;6;8;11;12;15;18;20;21;23;24;33;39;42;44;45;45;51;56;58;60;62;63;64;67;69;77;83;84;84;86;86;92;92;95;97;97;99;99;102;107;108;111;113;114;115;117;122;122;123;124;124;125;126;126;127;127;129;129;129;131;132;133;136;136;138
US Rhode Island;1059361;2678;732;69.0982582897;0.0484383272;0.050999791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;8;10;12;14;17;25;27;30;35;43;49;56;63;73;80;87;105;118;150;164;175;186;201;213;202;215;226;233;239;251;266;279;296;320;341;355;370;388;399;418;422;430;444;462;468;479;489;499;506;532;538;556;579;597;608;608;634;655;677;693;711;718;720;732
