Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11
US Maryland;6045680;25142;63140;1044.3821042463;0.8712931403;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;5;7;9;7;2;14;33;43;65;89;122;150;189;232;359;519;694;904;1029;1239;1516;1832;2217;2543;2983;3362;3639;4750;5354;6069;6746;7224;7891;8373;8864;9558;10296;10985;11458;12260;12717;13255;14157;14973;16074;16842;17699;18279;18968;19807;21481;22433;23372;24286;24953;25965;27153;28211;29228;30246;30994;31644;32354;33402;34448;35406;36208;37137;38900;39657;40863;41722;42755;43564;44376;44876;45579;46834;48088;49089;49839;50380;51193;51986;52842;53740;54430;54907;55330;55812;56357;57068;57471;58148;58533;58857;59219;59764;60017;60325;60720;61063;61357;61741;62062;62489;62812;63140
US Massachusetts;6892503;20202;100133;1452.7813770991;0.8988761019;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;122;177;230;545;1124;1593;2319;3212;3800;4442;5192;6137;7200;8481;9654;10256;11436;12655;14095;16074;18001;19889;22482;23791;24956;26565;28930;31409;33681;35816;37326;38956;40493;43440;46267;48508;49959;51354;53161;54950;56723;58719;60558;62290;63225;64333;65959;67573;69105;70439;71421;72046;72859;73950;75542;76703;78165;79164;80017;80840;81818;82883;83654;84373;85359;85918;86285;86766;87403;87974;88725;89341;93158;93498;93858;94293;94757;95304;95578;95752;95999;96218;96704;97046;97354;97543;97595;97831;98070;98290;98501;98764;98878;99012;99226;99368;99569;99774;100133
US Michigan;9986857;146435;63366;634.4939153529;0.8297237135;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;18;32;47;62;85;105;132;197;272;386;543;733;913;1129;1496;3108;3855;4475;5301;5993;6672;7771;8706;9735;10719;11882;12784;13535;14972;16122;17574;18535;19595;20474;21222;22438;23493;24462;25385;26354;27051;27630;28554;29366;30198;31021;31800;32450;32916;33772;34808;35866;36769;37743;38227;38708;39570;40350;41256;42227;42915;43315;43633;44382;45027;45617;46176;46763;47120;47393;48326;49938;50731;51285;51909;52221;52460;52969;53707;54267;54709;55166;55377;55530;55690;56124;56509;56812;57126;57308;57552;57796;58069;58346;58555;58754;58827;58879;59007;59058;59068;59316;59538;59683;59896;59924;60076;60299;60586;60882;61327;61493;61736;61946;62293;62718;63044;63366
US Minnesota;5639632;206232;33496;593.9394627167;0.8057540112;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;10;20;41;58;85;119;169;234;252;269;281;303;320;363;410;463;515;583;623;655;753;837;886;962;1008;1037;1083;1187;1272;1355;1437;1511;1562;1592;1726;1864;2002;2143;2297;2393;2495;2762;2997;3273;3762;4254;4569;4934;5596;6174;6830;7453;8044;8362;8680;9495;10119;10724;11510;12189;12460;12674;13489;14135;14830;15588;16357;16669;16966;17927;18760;19512;20456;21215;21584;21924;22316;23080;23721;24279;24708;24867;24993;25562;26032;26532;26914;27295;27449;27576;28020;28441;28767;28977;29017;29013;29011;29223;29406;29814;30180;30528;30964;31412;31716;31955;32240;32595;33083;33496
US Mississippi;2976149;121531;24301;816.5249790921;0.6861006804;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;24;51;105;164;198;261;310;409;497;570;662;749;826;951;1048;1218;1303;1479;1569;1732;1810;2059;2260;2421;2554;2713;2848;3110;3363;3512;3683;3971;4202;4374;4520;4757;5025;5297;5481;5659;5885;6104;6335;6719;6931;7029;7349;7653;7854;8106;8494;8762;8876;9039;9256;9420;9790;10091;10400;10562;10693;10937;11185;11428;11821;12202;12435;12621;12894;13176;13504;13909;14340;14610;14857;15105;15384;15622;15821;15831;16332;16790;17136.5;17472;17771;18069;18313;18477;18740;19079;19559;19878.2;20207.4;20521.6;20846.8;21173;21740;22236;23312;23851;24301
US Missouri;6137428;178040;19192;312.7042793822;0.7073305569;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;28;49;56;144;216.5;298;425;573;729;824.5;917;1194;1434;1682;1948;2116;2191;2545;2848;3119;3321;3537;3751;3886;4100;4372;4577;4782;4946;5166;5315;5449;5564;5741;5903;6176;6354;6515;6683;6779;6883;7000;7259;7565;7792;8149;8300;8471;8680;8818;8990;9163;9233;9320;9446;9610;9718;9904;10017;10172;10297;10446;10554;10759;10943;11179;11348;11451;11644;11813;11923;12083;12268;12447;12693;12858;13111;13305;13487;13597;13773;13952;14212;14408;14595;14814;15002.5;15191;15399;15608;15886;16175;16563;16975;17115;17463.5;17822;18370;18863;19192
US Montana;1068778;376962;823;77.0038305429;0.4907573047;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;3.5;4;5;7;11;15;25;28;40;47;65;102;123;148;164;177;201;220;235;255;276;289;307;318;340;351;363;373;380;384;388;399;406;410;417;419;421;423;426;428;429;432;433;435;436;437;438;439;440;441;440;440.6666666667;441.3333333333;442;442.3333333333;442.6666666667;443;444;445;447;449;451;452;453;454;461;462;461.3333333333;461.6666666667;462;462.3333333333;462.6666666667;463;467;475;487;496;500;504;505;519;521;520;525;527;533;540;542;551;566;579;587;592;608;633;643;675;694;717;720;743;778;801;823
US Nebraska;1934408;198974;18238;942.8207492938;0.8777975646;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;5;10;13;12;15;16;18;20;22;26;32;40;42;42;49;59;70;79;91;128;154;190;225;255;297;335;381;414;481;522;588;650;738;758;816;846;884;996;1065;1211;1396;1570;1640;1727;2034;2329;2636;2930;3258;3271;3677;4168;4719;5203;5787;5958;6306;6633;7047;7684;8087;8165;8422;8539;8912;9252;9602;10050;10178;10447;10665;10935;11239;11476;11801;11946;12167;12428;12781;13049;13438;13689;13885;14125;14380;14632;14877;15135;15299;15390;15503;15627;15768;16055;16247;16366;16458;16582;16757;16950;17133;17307;17423;17526;17674;17810;17939;18062;18238
US Nevada;3080156;284332;15747;511.240339775;0.5867426783;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;18;30;44;50;54;114;166;187;220;310;415;496;610;875;972;1129;1300;1352;1574;1664;1773;1894;2117;2246;2368;2471;2601;2726;2837;2954;3052;3247;3345;3441;3538;3640;3770;3888;4070;4205;4263;4346;4455;4543;4640;4859;4942;5051;5108;5204;5270;5369;5484;5624;5690;5742;5899;5978;6074;6179;6223;6413;6461;6594;6711;6795;6941;7233;7305;7410;7525;7639;7733;7875;8017;8114;8205;8345;8449;8601;8775;8969;9157;9294;9538;9670;9904;10180;10446;10673;10775;11151;11331;11551;11958;12401;12671;12998;13449;13809;14288;14661;15747
US New Hampshire;1359711;23187;5304;390.0828926147;0.885327992;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;4.5;4;4.5;5;5.5;5;11;12;14;22;35;39;48;56;69;92;90;119;137;165;191;291;341.5;383;415;442;503;583;628;673;746;755.5;768;832;869;925;960;1079;1147;1215;1233.5;1258;1306;1405;1447.5;1477;1556;1599;1656;1731;1805;1868;1904;1987;2151;2258;2416;2440;2454;2550;2644;2739;2803;2951;2989.5;3025;3076;3232;3272;3314;3351;3407;3465;3603;3662;3806;3836;3863;3911;3937;3985;4078;4177;4227;4331;4365;4423;4465;4545;4682;4692;4704;4740;4789;4831;4844;4886;4932;4978;4987.5;4993;5063;5075;5110;5142;5163;5176;5187;5212;5284;5304
US New Jersey;8882190;19047;155348;1748.9830773717;0.887910882;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;205;244;481;997;1841;2443;2898;5176;6893;8941;11036;14193;15891;19099;22072;26055;30054;33303;36713;39663;42374;45659;48971;52288;55912;58540;62382;64260;68089;70929;73678;77430;80896;84143;87316;91188;93244;96407;99783;101878;104348;106562;108706;111052;113468;116388;117834;120007;121143;122792;124469;126004;127399;128801;129552;130221;131303;132374;133455;134636;136318;137243;138519;139502;140670;140998;141978;142878;143461;144251;145372;146355;147019;147820;148242;148818;149299;149730;150501;151036;151294;151602;151847;152351;150944;151250;151657;151906;152111;152391;152625;153000;153332;153645;153931;154186;154453;154469;154748;155105;155348
US New Mexico;2096829;314161;10869;518.3541433279;0.7470616537;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;9;10.5;11;15;19;23;29;36;47;50;53;71;87;96;117;172;217;233;250;279;327;359;444;490;569;628;729;794;1013;1048.5;1081;1146;1241;1297;1372;1474;1580;1659;1694;1815;1910;2041;2207;2340;2469;2526;2615;2755;2982;3169;3260;3473;3585;3761;3862;4008;4199;4371;4470;4546;4749;4887;5035;5168;5318;5506;5582;5734;5825;5942;6089;6238;6403;6547;6626;6726;6842;6938;7067;7193;7254;7360;7577;7688;7897;8208;8331;8471;8593;8629;8770;9041;9084.5;9130;9231;9352;9436;9565;9650;9749;10052;10116.5;10179;10319;10463;10659;10869
US New York;19453561;122057;366949;1886.2818997509;0.9150186146;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;32;0;28;0;0;0;0;0;0;0;150;441;1779;4167;6791;11009;16117;20176;24543;30191;36791;43691;50128;56441;64961;72126;80189;90041;100342;108162;116342;124035;134014;144197;154350;163859;171728;177728;184570;195764;203963;211032;217823;223597;228097;232045;237339;242632;250545;260872;266567;270356;273261;277678;282202;286010;290499;293796;296224;298349;301002;304566;307212;309840;312004;313567;314921;317018;319329;322033;324384;326216;327412;328822;330291;332325;333979;335714;337256;338465;339488;340561;342291;343789;345133;346219;347132;348432;349456;350472;351522;352606;353372;354060;354716;355374;356092;356900;357800;358489;359102;359720;360276;360883;361671;362376;363032;363575;364161;364722;365456;366252;366949
US North Carolina;10488084;125920;59038;562.9054839759;0.7045695941;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;7;8.5;10;12;19;28;27;32;53;81;118;160;224;264;352;451;571;689;855;959;1221;1390;1467;1726;1941;2238;2413;2691;3008;3184;3398;3639;4023;4221;4510;4682;4769;5087;5460;5720;6071;6334;6499;6743;7101;7525;8079;8283;8592;8991;9351;9894;10282;10857;11005;11187;11565;12056;12681;13140;13623;14020;14291;14580;15022;15680;16270;17105;17626;18125;18779;19183;19900;20652;21733;22226;22958;23111;23575;24348;25396;26569;27480;28145;28735;29609;30791;32058;33413;34326;35261;35909;36905;38197;39946;41364;42797;43777;44510;45482;46797;48448;49994;51405;52207;53033;54733;55722;57339;59038
US North Dakota;762062;178711;3380;443.533465781;0.7966061749;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;12;17;25;26;27;30;35;47;59;76;90;101;117;133;150;164;177;197;212;224;237;254;263;277;291;312;322;346;374;416;504;569;612;627;657;686;724;779;843;918;966;1004;1036;1072;1118;1156;1188;1229;1286;1333;1386;1425;1452;1479;1531;1603;1656;1713;1800;1852;1881;1940;2041;2171;2258;2306;2359;2395;2357;2372;2414;2453;2487;2510;2557;2577;2609;2636;2674;2745;2790;2808;2828;2867;2904;2939;2981;3003;3024;3046;3088;3115;3148;3173;3210;3235;3239;3284;3315;3343;3380
US Ohio;11689100;105829;46419;397.1135502306;0.7228797458;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;11;12;23;38;78;145;232;300;397;511;654;906;1159;1400;1659;1875;2186;2513;2894;3288;3572;3941;4225;4538;4856;5188;5539;5876;6222;6481;6854;7439;8105;9201;10564;11863;12590;12892;13423;13863;14256;14622;14342;14692;15820;16493;17162;17725;18289;18817;19249;19795;20295;21144;21741;22112;22790;23248;23677;24259;24823;25325;25768;26248;26694;27137;27828;28439;29038;29534;30073;30585;30982;31425;32058;32480;32956;33411;33753;34181;34649;35091;35414;35776;36133;36427;36820;37232;37636;38044;38341;38758;39147;39546;40219;40828;41355;41897;42610;43157;43768;44645;45606;46419
US Oklahoma;3956971;177660;12221;308.8473481357;0.6178775469;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;11;11;21;30;39;85;168;234;283;333;382;457;596;748;852;1020;1112;1184;1308;1354;1505;1606;1674;1775;1872;1977;2049;2135;2235;2332;2361;2442;2560;2641;2757;2855;2923;2981;3006;3132;3195;3334;3463;3563;3684;3756;3833;3902;4026;4117;4179;4278;4300;4414;4530;4636;4757;4903;4976;5064;5150;5191;5336;5505;5615;5689;5742;5784;5874;5913;5979;6059;6147;6214;6329;6441;6541;6588;6635;6781;6836;6992;7108;7251;7471;7689;7846;8032;8258;8515;8959;9308;9639;10117;10334;10624;11103;11538;11927;12221
US Oregon;4217737;248608;7862;186.4032773973;0.6634039322;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;9.5;7;11;13.5;18;20;23;23;29;57;67;92;111.5;134;164;176;235;283;370;431;496;553;635;678;762;829;927;994;1057;1103;1161;1238;1260;1284;1436;1492;1541;1562;1633;1681;1735;1801;1847;1889;1944;2006;2053;2126;2184;2224;2270;2312;2373;2442;2498;2543;2621;2699;2772;2844;2921;3013;3080;3138;3203;3268;3328;3390;3459;3470;3533;3569;3642;3658;3703;3725;3763;3785;3798;3869;3915;3958;4011;4067;4122;4153;4216;4287;4382;4473;4618;4730;4796;4865;5040;5175;5333;5434;5616;5891;6010;6157;6363;6537;6722;6868;7054;7220;7338;7586;7862
US Pennsylvania;12801989;115883;78036;609.5615298529;0.8241295187;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;4;5;5;6;19;13;25;27;33;59;95;166;235;329;482;611;818;1349;1802;2257;2887;3563;4259;5158;6309;7664;9181;10398;11776;12995;14617;16807;18487;20118;21283;22602;23629;24295;25443;27087;28651;29840;30774;31516;32578;33637;35036;36361;37458;38319;39458;40423;41545;42629;43902;44849;45587;46333;47221;48046;49254;50220;51487;52015;52839;53433;54263;55158;56074;56679;57489;57999;58788;59575;60372;61052;61770;62233;62623;63355;63929;65177;65820;66331;66655;67234;67703;68199;68606;69287;69789;70137;70592;70948;71376;71420;71883;72219;72507;72834;73169;73524;74016;74517;74977;75432;75909;76379;76922;77490;78036
US Puerto Rico;3193694;8868;6899;216.0194433155;0.7366004698;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;10;16;27;31;40;58;83;129;194;235;260;320;392;413;450;509;553;614;648;705;813;819;837;888;951;976;1023;1116;1155;1199;816;993.5;1169;1199;1260;1276;1286;1318;1422;1453;1635;1685;1719;1800;1843;1905;2030;2046;2071;2127;2170;2200;2296;2410;2456;2510;2574;2667;2726;2773;2889;2958;3047;3118;3182;3254;3342;3501;3572;3629;3726;3788;3876;4361;4473;4768;4836;4897;5036;5180;5201;5385;5538;5658;5737;5798;5850;5958;6041;6308;6370;6409;6528;6661;6718;6763;6899
US Rhode Island;1059361;2678;15837;1494.9578094719;0.9147989834;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;3;3;3;3;4;5;9;13;19;19.5;17;18;25;34;49;60;71;88;102;118;141;174;199;256;354;422;488;581;625;713;818;986;1181;1431;1689;1956;2371;2638;2916;3096;3357;3652;4029;4306;4572;4887;5244;5617;5984;6385;6789;7075;7347;7542;7852;8206;8548;8854;9033;9204;9488;9765;10101;10354;10562;10830;11005;11180;11373;11548;11754;11970;12204;12322;12457;12660;12837;12992;13177;13285;13369;13412;13557;13686;13807;13975;14079;14155;14236;14329;14423;14531;14627;14695;14744;14780;14845;14943;15022;15096;15145;15177;15234;15282;15327;15395;15453;15489;15516;15575;15643;15692;15734;15801;15837
US South Carolina;5148714;77857;30988;601.8590273222;0.5665185835;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3;2;1;3;0;3;10;11;34;39.5;50;112;151;254;310;361;389;425.5;459;692;843;986;1186;1447;1626.5;1798;1929;2113;2293;2412;2642;2915;3041;3145;3262;3376;3453;3549.5;3675;3979;4102;4133;4156;4456;4612;4769;4923;5159;5220.5;5258;5526;5724;5878;6109;6246;6300.5;6358;6537;6632;6723;7106;7218;7350;7481;7592;7719;7924;8124.5;8322;8442;8555;8597.5;8650;9100;9350;9550;9621;9848;10048;10200;10538;10795;11261;11546;11808;12034;12384;12814;13272;13633;14141;14555;15076;15748;16476;17244;18079;18658;19251;19790;20764;21838;22973;23873;24874;25767;27013;28117;29406;30988
US South Dakota;884659;196350;6517;736.6680268895;0.8742956802;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;8;8.3333333333;8.6666666667;9;10;10;11;12;15.5;19;24;24;35;40;52;62;84;95;102;123;158;180;205;233;281;312;385;438;526;616;719;857;977;1155;1294;1390;1521;1614;1664;1731;1829;1925;2009;2113;2178;2211;2274;2334;2406;2481;2544;2587;2624;2675;2733;2857;3094;3343;3467;3564;3613;3678;3738;3828;3897;3925;3965;4023;4115;4186;4291;4403;4498;4521;4585;4641;4720;4792;4885;4918;4959;4990;5084;5169;5196;5286;5357;5390;5440;5520;5578;5654;5742;5807;5837;5875;5957;6012;6061;6128;6200;6229;6255;6321;6378;6428;6517
US Tennessee;6829174;106798;39434;577.4344012907;0.6463954365;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;1;5;9.5;15;20;26;32;39;50;74;122;191;328;461;550;595;705;863;1105;1272;1436;1725;2115;2548;2704;2925;3176;3485;3650;3981;4196;4464;4694;4936;5127;5426;5635;5884;6063;6385;6553;6860;7019;7168;7603;8029;8485;8947;9424;9667;9787;10093;10448;11601;12366;12879;13270;13385;13629;13783;14126;14439;14649;15206;15768;16017;16343;16610;16924;17024;17644;17997;18144;18560;18986;19372;19727;20186;20530;20870;21238;21617;22094;22531;23071;23882;24325;24611;25005;25547;25855;26413;27033;27505;27971;28549;28957;29848;30568;31226;31534;32209;33384;33809;34456;34900;35638;36550;37324;38721;39434
US Texas;28995881;676587;140259;483.7204291189;0.5600011179;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;4;4;9;5;16;24;22;23;23;25;73;104;199;207;212;256;797;1197;1505;1798;2281;2590;2948;3633;4276;4902;5657;6335;6781;7745;8810;9669;11078;11938;12836;13243;13934;14760;15673;16555;17413;18056;18574;19290;20121;20971;21802;22724;23543;24197;25038;25896;26871;27957;29217;30212;30985;32000;33003;33950;35129;36354;37363;38342;39512;40841;42250;43572;45373;46112;47015;48214;49589;50501;51661;52690;53518;54141;54707;56036;57856;59067;60381;62311;62897;64539;66209;67815;69473;71388;72796;73424;75033;77508;79287;81356;83645;85461;86705;90782;93854;97326;100730;105127;108964;112226;117655;123108;128999;134611;140259
US Utah;3205958;212818;20416;636.8143313169;0.7075376884;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;3;4;15;26;35;46;56;71;105;128;173;244;286;333;389;463;584;701;788;868;992;1053;1223;1403;1578;1647;1706;1812;1941;2063;2165;2262;2322;2367;2497;2637;2759;2882;3019;3163;3240;3387;3551;3721;3882;4056;4165;4270;4420;4597;4751;4903;5095;5237;5361;5505;5632;5826;6006;6154;6264;6331;6515;6643;6806;6956;7125;7271;7405;7593;7757;7937;8139;8271;8397;8493;8578;8790;9125;9394;9658;9856;10057;10348;10661;11097;11643;11908;12164;12396;12701;13088;13411;13814;14146;14440;14765;15171;15663;16244;16887;17278;17716;18106;18583;19169;19843;20416
US Vermont;623989;23871;1144;183.3365652279;0.8916601715;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;5;11;27;32;54;74;102;137;162;189;209;229;265;291;329;355;425;474;505;537;568;591;637;669;687;708;714;723;732;743;752;762;765;768;776;779;781;790;799;802;809;811;813;826;832;843;847;852;855;860;862;864;872;872.5;873;875;876;876;877;885;887;889;891;893;895;897;899;901;907;912;916;919;920;922;926;928;933;935;970;971;990;1007;1019;1028;1039;1054;1063;1069;1071;1072;1075;1074;1079;1088;1091;1103;1107;1108;1128;1135;1142;1144
