Country/Region;Population;Area;Maximum;Per 100,000 inh.;Blank 1;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11
US Delaware;973764;5047;12743;1308.6333033466;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;6;7;8;16;25;30;38;45;56;68;91;115;130;163;214;232;264;319;368;393;450;593;673;800.5;928;1067.5;1207;1326;1479;1552;1625;1761;2014;2075;2323;2430.5;2538;2745;2931;3200;3308;3442;3576;4034;4162;4575;4655;4734;4918;5038;5208;5288;5371;5778;5939;6111;6277;6447;6565;6741;6952;7223;7373;7547;7670;7869;8037;8194;8386;8529;8690;8809;8965;9066;9096;9171;9236;9422;9498;9605;9685;9712;9746;9773;9845;9942;9972;10020;10056;10106;10173;10229;10264;10340;10403;10444;10499;10611;10681;10775;10820;10847;10889;10980;11017;11091;11226;11376;11474;11510;11731;11923;11996;12128;12293;12414;12462;12531;12652;12743
US District of Columbia;705749;158;10801;1530.4307905502;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7.5;10;12;14;16;17;22;31;39;71;77;98;116;137;183;231;267;304;342;401;495;586;653;757;902;998;1097;1211;1440;1523;1660;1778;1875;1955;2058;2197;2350;2476;2666;2793;2927;3098;3206;3361;3528;3699;3841;3892;3994;4106;4323;4658;4797;5016;5170;5322;5461;5654;5899;6102;6272;6389;6485;6584;6736;6871;7042;7123;7270;7434;7551;7788;7893;7966;8095.5;8225;8334;8406;8492;8538;8717;8801;8857;8886;9016;9120;9199;9269;9332;9389;9474;9537;9589;9654;9709;9767;9799;9818;9847;9903;9952;9984;10020;10058;10094;10128;10159;10185;10216;10248;10292;10327;10365;10390;10435;10447;10482;10515;10569;10642;10679;10743;10801
US Florida;21477737;138887;254511;1184.9991458597;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;11.5;14;17;18;19;28;32;50;77;116;141;186;314;390;520;658;830;1171;1412;1682;2355;2765;3763;4246;5473;6338;6955;8010;9585;11111;12151;13324;14747;15455;16364;17531;18494;19355;20601;21367;22511;22897;24119;25269;25996;26660;27495;28309;28832;30174;30839;31528;32138;32846;33193;33690;34728;35463;36078;36897;37439;38002;38828;39199;40001;40596;40982;41923;42402;43210;44010.5;44811;45588;46442;46944;47471;48675;49451;50127;50867;51746;52255;52634;53285;54497;55424;56163;56830;57447;58764;60183;61488;62758;63938;64904;66000;67371;69069;70971;73552;75568;77326;80109;82719;85926;89748;93797;97291;100217;103503;109014;114018;122960;132545;141075;146341;152434;158997;169106;178594;190052;200111;206447;213794;223783;232718;244151;254511
US Georgia;10617423;148959;114401;1077.4836794201;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;7;12;17;22;31;42;66;99;121;146;197;287;420;507;600;772;1026;1247;1525;2001;2366;2651;2809;3929;4638;5348;5831;6160;6647;7314;8818;9901;10566;11483;12159;12452;13315;14223;14987;15669;17194;17669;18301;18947;19881;20740;21512;22147;22695;23401;23913;24615;25572;26155;27270;28306;28602;29368;29711;30696;31439;32106;32532;33441;33927;34635;35332;35858;36681;37147;37701;38081;38721;39647;40405;41218;42132;42838;43344;43730;44421;45070;45670;46286;46986;47618;48207;48894;49847;50621;51309;51898;52497;53249;53980;54973;55783;56801;57681;58414;59078;60030;60912;62009;63809;64701;65928;67678;69381;71095;72995;74985;77210;79417;81291;84237;87709;90493;93319;95516;97064;100470;103890;106727;111211;114401
US Guam;162742;543;312;191.7144928783;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;8;12;14;15;27;29;32;37;45;51;55;56;58;69;77;82;84;93;112;113;121;125;128;130;133;133.0909090909;133.1818181818;133.2727272727;133.3636363636;133.4545454545;133.5454545455;133.6363636364;133.7272727273;133.8181818182;133.9090909091;134;135;141;142;143;144;145;145.5;146;147;148;150;149;150;151;151.1666666667;151.3333333333;151.5;151.6666666667;151.8333333333;152;152.5;153;154;156.2;158.4;160.6;162.8;165;165.25;165.5;165.75;166;167.5;169;170;172;172.5;173;174;175;177;178;179;179.2;179.4;179.6;179.8;180;182;183;184;185;185.3333333333;185.6666666667;186;188;193;200;222;223;224;225;231;245;248;250.3333333333;252.6666666667;255;259;267;280;286;288;294.5;301;303;307;309;310;312
US Hawaii;1415872;16635;1158;81.787054197;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;7;10;14;16;26;37;48;56;77;90;95;106;120;151;175;204;208;258;285;319;351;371;387;410;435;442;465;486;499;504;517;530;541;553;574;580;584;582;592;596;601;603;606;607;609;613;618;619;620;620.5;621;625;626;629;630;631;632;634;635;638;637;638;639;640;640.5;641;643;647;642;643;643.25;643.5;643.75;644;647;649;651;652;652.5;653;654;655;664;673;675;676;682;685;692;706;723;728;736;740;744;762;789;803;814;816;819;835;850;866;872;899;900;917;926;946;975;999;1023;1030;1071;1094;1130;1158
US Idaho;1787065;214045;9928;555.5477836564;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;6;7;9;11;23;31;42;47;50;73;123;189;230;261;310;415;525;669;891;1013;1077;1101;1170;1210;1232;1353;1396;1407;1426;1453;1464;1587;1609;1655;1668;1672;1736;1766;1802;1836;1870;1887;1897;1917;1952;1984;2015;2035;2061;2083.5;2106;2127;2158;2178;2205;2230;2245;2260;2293;2324;2351;2389;2419;2437;2455;2476;2506;2534;2595;2626;2650.3333333333;2674.6666666667;2699;2731;2769;2803;2839;2872.5;2906;2933;2990;3054;3111;3139;3164;3189;3220;3260;3302;3353;3399;3430.5;3462;3540;3632;3743;3871;4006;4130;4254;4402;4645;4865;5148;5319;5535.5;5752;6117;6370;6593;6994;7370;7733;8052;8539;8969;9428;9928
US Illinois;12671821;143793;154094;1216.0367479938;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;5.5;6;6.5;7;19;22;25;32;46;64;93;159;288;422;585;753;1049;1273;1535;1865;2538;3026;3491;4596;5057;5994;6980;7695;8904;10357;11256;12262;13549;15078;16422;17887;19180;20852;22025;23247;24593;25733;27575;29160;30357;31508;33059;35108;36934;39658;41777;43903;45883;48102;50355;52918;56055;58505;61499;63840;65962;68232;70873;73760;76085;77741;79007;83021;84698;87937;90369;92457;94191;96485;98030;100418;102686;105444;107796;110304;112017;113195;114306;115833;117455;118917;120260;121234;122848;123830;124759;125915;126890;127757;129139;129936;130561;131327;132059;132732;133404;133877;134500;135046;135639;136470;137104;137762;138224;138825;139540;140434;141344;142130;142776;143514;144238;145066;145935;146872;147734;148373;148987;149574;150554;151572;152899;154094
US Indiana;6732219;92789;51079;758.7245750621;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;6;10;12;13.5;15;19;24;30;39;56;79;126;201;259;365;477;645;981;1232;1514;1786;2159;2565;3039;3437;3953;4411;4944;5507;5943;6351;6907;7435;7928;8236;8527;8955;9542;10154;10641;11210;11686;12097;12438;13039;13680;14395;15012;15961;16588;17182;17835;18630;19295;19933;20507;21033;21870;22503;23146;23732;24126;24627;25127;25473;26053;26655;27280;27778;28255;28705;29274;29936;30409;30901;31376;31715;32078;32437;33068;33558;34211;34574;34830;35237;35712;36096;36578;36997;37397;37623;38033;38337;38748;39146;39543;39909;40430;40786;41013;41438;41746;42061;42423;42633;42871;43140;43655;44140;44575;44930;45228;45594;45952;46387;46915;47432;48008;48331;48626;49063;49575;50300;51079
US Iowa;3155070;144669;34647;1098.1372838004;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;13;14;16;17;18;22;23;29;38;45;68;90;105;124;145;179;235;298;336;424;497;549;614;699;786;868;946;1048;1145;1270;1388;1510;1587;1710;1899;1995;2141;2332;2513;2902;3159;3641;3748;3924;4445;5092;5476;5868;6376;6843;7145;7884;8641;9169;9703;10111;10404;11059;11457;11671;11959;12373;12912;13289;13675;14049;14328;14651;14955;15349;15614;16170;16504;16893;17252;17577;17703;18360;18573;18926;19244;19552;19697;20016;20055;20805;21152;21478;21667;21987;22236;22551;22938;23337;23717;23926;24053;24179;24461;24854;25275;25496;25963;26051;26373;26705;27197;27686;28012;28489;28782;29007;29451;30209;30429;31041;31353;31657;32029;32509;33240;33984;34647
