Country/Region;Population;Area;Maximum;Per 100,000 inh.;Blank 1;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11
US Kansas;2913314;211754;18611;638.8257496446;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;4;6;7;8;11;15;16;34;44;55;64;82;98;126;168;202;261;319;368;428;482;552;620;698;747;845;900;1046;1106;1166;1268;1337;1376;1426;1494;1588;1705;1790;1849;1986;2025;2211;2482;2777;3056;3174;3328;3491;3738;4238;4449;4746;5030;5245;5458;5734;6144;6501;6751;6948;7116;7292;7468;7677;7886;8037.3333333333;8188.6666666667;8340;8439.5;8539;8748.5;8958;9044.6666666667;9131.3333333333;9218;9277.5;9337;9528;9719;9816.3333333333;9913.6666666667;10011;10090.5;10170;10281.5;10393;10478.6666666667;10564.3333333333;10650;10731;10812;10929.5;11047;11171;11295;11419;11550;11681;11870;12059;12194.3333333333;12329.6666666667;12465;12717.5;12970;13254;13538;13839.6666666667;14141.3333333333;14443;14716.5;14990;15454.5;15919;16246.3333333333;16573.6666666667;16901;17259.5;17618;18114.5;18611;18611
US Kentucky;4467673;102269;19121;427.9856650207;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;8;9.5;11;14;16;21;22;26;35;47;54;99;104;124;157;198;248;302;394;439;480;591;680;770;831;917;955;1008;1149;1346;1693;1766.5;1840;1963;2048;2210;2291;2429;2522;2707;2960;3050;3192;3373;3481;3779;3905;4074;4146;4375;4539;4708;4879;5004.5;5130;5245;5822;5934;6129;6288;6440;6558.5;6677;6853;7080;7225;7444;7688;7878.5;8069;8118;8167;8286;8426;8571;8739.6666666667;8908.3333333333;9077;9130.5;9184;9464;9704;10046;10185;10410;10705;10977;11287;11381.5;11476;11708;11883;11945;12195;12445;12546;12647;12829;12995;13197;13454;13630;13750;13839;14141;14363;14617;14859;15045.5;15232;15347;15624;15842;16079;16376;16634.6666666667;16893.3333333333;17152;17519;17919;18245;18670;19121
US Louisiana;4648794;111898;76803;1652.1059010143;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;14;36;51;90;115;137;240;347;473;580;837;1172;1388;1795;2305;2746;3315;3540;4025;5237;6424;9150;10297;12496;13010;14867;16284;17030;18283;19253;20014;20595;21016;21518;21951;22532;23118;23580;23928;24523;24854;25258;25739;26140;26512;26773;27068;27286;27660;28001;28711;29140;29340;29673;29996;30399;30652;30855;31417;31600;31815;32050;32662;33489;33837;34117;34432;34709;35038;35316;36504;36925;37040;37169;37809;38054;38497;38802;39189.5;39577;39916;40341;40746;41133;41562;41989;42486;42816;43050;43612;44030;44472;44995;46283;46619;47172;47706;48634;48574.5;48515;49385;49778;50239;51595;52477;53415;54769;55502.5;56236;57081;58095;60178;61561;63289;64257.5;65226;66327;68263;70151;71994;74636;76803
US Maine;1344212;79883;3520;261.863456062;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;17;32;43;53;57;73;89;107;125;149;155;168;211;253;275;303;344;376;432;456;470;499;519;537;560;586;616;633;698;734;770;796;827;847;867;875;888;907;937;965;990;1015;1023;1040;1056;1095;1123;1152;1185;1205;1226;1254;1330;1374;1408;1436;1462;1477;1515;1565;1603;1648;1687;1713;1741;1819;1877;1948;2013;2055;2074;2109;2137;2189;2226;2282;2325;2349;2377;2418;2446;2482;2524;2570;2588;2606;2637;2667;2721;2757;2793;2810;2819;2836;2878;2913;2938;2957;2971;2994;3017;3070;3102;3154;3191;3219;3253;3294;3328;3373;3397;3415;3423;3440;3460;3486;3499;3520
US Maryland;6045680;25142;72467;1198.6575538236;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;5;6;9;12;17;26;31;37;57;85;107;149;190;244;288;349;423;580;774;992;1239;1413;1660;1985;2331;2758;3125;3609;4045;4371;5529;6185;6968;7694;8225;8936;9472;10032;10784;11572;12308;12830;13684;14193;14775;15737;16616;17766;18581;19487;20113;20849;21742;23472;24473;25462;26408;27117;28163;29374;30485;31534;32587;33373;34061;34812;35903;36986;37968;38804;39762;41546;42323;43531;44424;45495;46313;47152;47687;48423;49709;50988;52015;52778;53327;54175;54982;55858;56770;57482;57973;58404;58904;59465;60197;60613;61305;61701;62032;62409;62969;63229;63548;63956;64306;64603;65007;65337;65777;66115;66450;66777;67254;67559;67918;68423;68961;69341;69632;69904;70396;70861;71447;71910;72467
US Massachusetts;6892503;20202;111398;1616.2198260922;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;23;38;64;97;118;156;229;314;426;547;678;1060;1739;2318;3151;4158;4856;5653;6521;7639;8867;10303;11637;12402;13739;15104;16692;18843;20878;22766;25381;26794;28109;29970;32492;35125;37527;39820;41416;43168;44913;47992;50969;53348;54938;56462;58302;60265;62205;64311;66263;68087;69087;70271;72025;73721;75333;76743;77793;78462;79332;80497;82182;83421;84933;86010;87052;87925;88970;90084;90889;91662;92675;93271;93693;94220;94895;95512;96301;96965;100805;101163;101592;102063;102557;103132;103436;103626;103889;104156;104667;105059;105395;105603;105690;105885;106151;106422;106650;106936;107061;107210;107439;107611;107837;108070;108443;108667;108768;108882;109143;109338;109628;109838;109974;110137;110338;110602;110897;111110;111398
US Michigan;9986857;146435;76370;764.7050518496;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;18;34;52;72;98;128;168;254;358;497;702;945;1196;1480;1933;3659;4531;5276;6219;7023;7822;9062;10155;11335;12475;13799;14865;15784;17363;18654;20246;21376;22579;23581;24458;25785;26964;28064;29096;30172;30980;31666;32702;33613;34533;35455;36320;37029;37557;38494;39589;40705;41694;42730;43263;43789;44709;45538;46488;47505;48240;48672;49029;49809;50497;51131;51731;52349;52732;53033;54004;55641;56458;57036;57687;58023;58278;58812;59576;60151;60610;61075;61293;61457;61632;62075;62461;62797;63116;63321;63568;63813;64103;64382;64616;64821;64914;64969;65104;65167;65182;65449;65672;65836;66054;66085;66269;66497;66798;67097;67545;67711;67957;68197;68555;68989;69329;69679;69946;70223;70728;71089;71678;72175;72581;72941;73269;73900;74551;75063;75685;76370
US Minnesota;5639632;206232;41571;737.1225640255;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;5;11;21;43;62;90;128;179;246;269;287;303;327;349;393;444;502;565;640;687;725;823;916;973;1056;1119;1158;1217;1330;1432;1534;1637;1732;1806;1864;2012;2165;2321;2486;2668;2788;2914;3190;3452;3758;4270;4788;5127;5512;6187;6788;7468;8116;8736;9071;9411;10235;10876;11510;12328;13040;13321;13552;14379;15043;15772;16565;17363;17705;18016;18987;19842;20609;21582;22374;22765;23121;23524;24308;24988;25559;26013;26181;26322;26897;27376;27889;28290;28688;28853;28988;29436;29866;30199;30418;30463;30465;30471;30693;30882;31296;31675;32031;32467;32920;33227;33469;33763;34123;34616;35033;35549;35861;36303;36716;37210;37624;37880;38136;38569;39133;39589;40163;40767;41571
US Mississippi;2976149;121531;35419;1190.0949851637;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;10;12;21;34;50;80;140;207;249;320;377;485;579;663;758;847;937;1073;1177;1358;1455;1638;1738;1915;2003;2260;2469;2642;2781;2942;3087;3360;3624;3793;3974;4274;4512;4716;4894;5153;5434;5718;5911;6094;6342;6569;6815;7212;7441;7550;7877;8207;8424;8686;9090;9378;9501;9674;9908;10090;10483;10801;11123;11296;11432;11704;11967;12222;12624;13005;13252;13458;13731;14044;14372;14790;15229;15501;15752;16020;16322;16560;16759;16769;17270;17768;18125.5;18483;18787;19091;19348;19516;19799;20152;20641;20970.2;21299.4;21628.6;21957.8;22287;22898;23424;24516;25066;25531;25892;26567;27247;27900;28770;29722;30674;30900;31257;32214;32888;33591;34622;35419
US Missouri;6137428;178040;27133;442.0907259523;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;4;5;6;8;13;24;47;73;90;183;269.5;356;502;669;838;934.5;1031;1327;1581;1834;2113;2291;2367;2722;3037;3327;3539;3799;4024;4160;4388;4686;4895;5111;5283;5517;5667;5807;5941;6137;6321;6625;6826;6997;7171;7303;7425;7562;7835;8154;8386;8754;8916;9102;9341;9489;9666;9844;9918;10006;10142;10317;10456;10675;10789;10945;11080;11232;11340;11558;11752;11988;12167;12291;12492;12673;12795;12962;13147;13327;13575;13767;14057;14253;14442;14553;14734;14913;15187;15390;15585;15810;15999.5;16189;16414;16625;16908;17201;17590;18003;18143;18505.5;18868;19421;19914;20261;20575;21043;21551;21927;22283;22830;23215;23436;23856;24629;25204;25999;26566;27133
US Montana;1068778;376962;1677;156.9081698912;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7;7.5;8;10;12;16;20;31;34;46;53;71;108;129;154;171;184;208;227;243;265;286;299;319;332;354;365;377;387;394;399;404;415;422;426;433;435;437;439;442;444;445;448;449;451;452;453;454;455;456;457;456;456.6666666667;457.3333333333;458;458.3333333333;458.6666666667;459;461;462;464;466;468;469;470;471;478;479;479.3333333333;479.6666666667;480;480.3333333333;480.6666666667;481;485;493;505;515;519;523;525;539;541;540;545;548;554;561;563;573;588;601;609;614;630;655;666;698;717;740;743;766;803;829;852;863;919;967;1016;1083;1128;1167;1212;1249;1327;1371;1466;1593;1677
US Nebraska;1934408;198974;20777;1074.0753760324;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;5;10;13;14;17;18;21;24;27;32;38;48;50;52;61;73;85;96;108;145;172;210;246;279;321;363;409;447;519;567;635;700;791;814;871;901;952;1066;1138;1287;1474;1648;1722;1813;2124;2421;2732;3028;3358;3374;3784;4281;4838;5326;5910;6083;6438;6771;7190;7831;8234;8315;8572;8692;9075;9416;9772;10220;10348;10625;10846;11122;11425;11662;11989;12134;12355;12619;12976;13261;13654;13905;14101;14345;14611;14866;15117;15379;15543;15634;15752;15883;16025;16315;16513;16633;16725;16851;17031;17226;17415;17591;17707;17810;17957;18092;18221;18346;18524;18775;18899;19042;19177;19310;19452;19660;19827;19929;20046;20201;20425;20623;20777
US Nevada;3080156;284332;26838;871.3195045965;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;5;7;11;20;21;45;55;75;95;109;124;190;245;278;321;420;535;621;738;1008;1113;1279;1458;1514;1742;1836;1953;2087;2318;2456;2584;2700;2836;2971;3088;3211;3321;3524;3626;3728;3830;3937;4081;4208;4398;4539;4602;4690;4805;4898;4998;5227;5311;5426;5491;5594;5663;5766;5884;6028;6098;6152;6311;6394;6499;6614;6662;6857;6906;7046;7166;7255;7401;7696;7770;7879;7997;8113;8208;8350;8495;8593;8688;8830;8935;9090;9266;9460;9649;9786;10030;10164;10399;10678;10946;11173;11279;11658;11842;12076;12486;12931;13205;13535;13997;14362;14859;15240;16339;17160;17894;18456;19101;19733;20718;21575;22418;22909;23785;24301;24904;25908;26838
US New Hampshire;1359711;23187;5991;440.6083351536;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;4.5;5;5.5;6;6.5;7;13;15;17;26;39;44;55;65;78;101;108;137;158;187;214;314;364.5;415;447;479;540;621;669;715;788;803.5;819;885;929;985;1020;1139;1213;1287;1314.5;1342;1392;1491;1539.5;1588;1670;1720;1787;1864;1938;2010;2054;2146;2310;2429;2588;2612;2636;2740;2843;2947;3011;3160;3199.5;3239;3299;3464;3510;3556;3596;3652;3721;3868;3935;4089;4119;4149;4197;4231;4286;4386;4492;4545;4651;4685;4749;4795;4876;5019;5031;5043;5079;5132;5178;5209;5251;5299;5345;5354.5;5364;5436;5450;5486;5518;5544;5558;5571;5598;5671;5694;5717;5760;5771;5782;5802;5822;5857;5877;5897;5914;5932;5952;5973;5991
US New Jersey;8882190;19047;174959;1969.7732203432;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;11;15;24;30;50;74;98;178;267;427;742;890;1327;1914;2844;3675;4402;6876;8825;11124;13386;16636;18696;22255;25590;29895;34124;37505;41090;44416;47437;51027;54588;58151;61850;64584;68824;71030;75317;78467;81420;85301;88806;92387;95865;99989;102196;105523;109038;111188;113856;116264;118652;121190;123717;126744;128269;130593;131890;133635;135454;137085;138532;139945;140743;141560;142704;143905;145089;146334;148039;149013;150399;151472;152719;153104;154154;155092;155764;156628;157815;158844;159608;160445;160918;161545;162068;162530;163336;163893;164164;164497;164796;165346;165816;166164;166605;166881;167103;167426;167703;168107;168496;168834;169142;169415;169734;169892;170196;170584;170873;171182;171272;171667;171928;172356;172742;173033;173402;173611;173878;174039;174240;174628;174959
US New Mexico;2096829;314161;14549;693.8572482544;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;10;11.5;13;17;23;28;35;43;57;61;65;83;100;112;136;191;237;259;281;315;363;403;495;543;624;686;794;865;1091;1132.5;1174;1245;1345;1407;1484;1597;1711;1798;1845;1971;2072;2210;2379;2521;2660;2726;2823;2974;3213;3411;3513;3732;3850;4031;4138;4291;4493;4673;4778;4863;5069;5212;5364;5503;5662;5857;5938;6096;6192;6317;6472;6625;6795;6943;7026;7130;7252;7364;7493;7624;7689;7800;8024;8140;8353;8672;8800;8940;9062;9105;9250;9526;9573.5;9621;9723;9845;9933;10065;10153;10260;10565;10629.5;10694;10838;10990;11192;11408;11619;11809;11982;12147;12276;12520;12776;13063;13256;13507;13727;14017;14251;14549
US New York;19453561;122057;401029;2061.4683347691;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22;33;76;105;142;173;216;318.5;421;524;729;950;1700;2382;4152;7102;10356;15168;20875;25665;30811;37258;44635;52318;59513;66497;75795;83712;92381;102863;113704;122031;130689;138863;149316;159937;170512;180458;188694;195031;202208;213779;222284;229642;236732;242786;247512;251690;257216;263460;271590;282143;288045;291996;295106;299691;304372;308314;312977;316415;318953;321192;323978;327649;330407;333122;335395;337055;338485;340661;343051;345813;348232;350121;351371;352845;354370;356458;358154;359926;361515;362764;363836;364965;366733;368284;369660;370770;371711;373040;374085;375133;376208;377316;378097;378799;379482;380156;380892;381714;382630;383324;383944;384575;385142;385760;386556;387272;387936;388488;389085;389666;390415;391220;391923;392539;392930;393454;394079;394954;395872;396598;397131;397649;398237;398929;399513;400299;401029
US North Carolina;10488084;125920;83793;798.9352488024;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;7;9.5;12;15;23;32;33;40;63;97;137;184;255;297;398;504;636;763;935;1040;1307;1498;1584;1857;2093;2402;2585;2870;3221;3426;3651;3908;4312;4520;4816;5024;5123;5465;5859;6140;6493;6764;6951;7220;7608;8052;8623;8830;9142;9568;9948;10509;10923;11509;11664;11848;12256;12758;13397;13868;14360;14764;15045;15346;15816;16507;17129;17982;18512;19023;19700;20122;20860;21618;22725;23222;23964;24140;24628;25412;26488;27673;28589;29263;29889;30777;31966;33255;34625;35546;36484;37160;38171;39481;41249;42676;44119;45102;45853;46855;48188;49840;51389;52801;53605;54453;56174;57183;58818;60537;62142;63484;64670;66513;68142;70241;71654;72983;74529;75875;77310;79349;81331;83793
US North Dakota;762062;178711;4243;556.7788447659;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;6;15;20;28;29;30;34;39;52;65;83;98;109;126;142;159;173;186;207;225;237;251;269;278;293;308;331;341;365;393;439;528;585;627;644;679;709;748;803;867;942;991;1033;1067;1107;1153;1191;1225;1266;1323;1371;1425;1464;1491;1518;1571;1647;1704;1761;1848;1900;1931;1994;2095;2229;2317;2365;2418;2457;2422;2439;2481;2520;2554;2577;2625;2646;2679;2706;2745;2816;2861;2880;2901;2941;2980;3016;3058;3080;3101;3124;3166;3193;3226;3251;3288;3313;3320;3362;3393;3421;3458;3495;3539;3576;3615;3657;3722;3779;3816;3849;3898;3971;4070;4154;4243
US Ohio;11689100;105829;64214;549.3493938798;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;5;13;24.5;36;50;67;88;119;169;247;351;442;564;704;867;1137;1406;1653;1933;2199;2547;2902;3312;3739;4043;4450;4782;5148;5512;5878;6250;6604;6975;7280;7791;8414;9107;10222;11602;12919;13725;14117;14694;15169;15587;15963;15699;16128;17303;18027;18743;19335;19914;20474;20969;21576;22131;23016;23697;24081;24777;25250;25721;26357;26954;27474;27923;28454;28952;29436;30167;30794;31408;31911;32477;33006;33439;33915;34566;35034;35513;35984;36350;36792;37282;37758;38111;38476;38837;39162;39575;40004;40424;40848;41148;41576;42010;42422;43122;43731;44262;44808;45537;46127;46759;47651;48638;49455;50309;51046;51789;52865;54166;55257;56183;57151;57956;58904;60181;61331;62856;64214
US Oklahoma;3956971;177660;19779;499.8520332851;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;3;4;9;10;17;29;44;49;53;67;81;106;164;248;322;377;429;481;565;719;879;988;1159;1252;1327;1472;1524;1684;1794;1868;1970;2069;2184;2263;2357;2465;2570;2599;2680;2807;2894;3017;3121;3193;3253;3280;3410;3473;3618;3748;3851;3972;4044;4127;4201;4330;4424;4490;4589;4613;4732;4852;4962;5086;5237;5310;5398;5489;5532;5680;5849;5960;6037;6090;6137;6229;6270;6338;6418;6506;6573;6692;6805;6907;6955;7003;7150;7205;7363;7480;7626;7848;8073;8231;8417;8645;8904;9354;9706;10037;10515;10733;11028;11510;11948;12343;12642;12994;13172;13757;14112;14539;15065;15645;15928;16362;17220;17893;18496;19092;19779
US Oregon;4217737;248608;11851;280.9800611086;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;7;14;14.5;15;19;24.5;30;33;36;39;47;75;88;114;137.5;161;191;209;268;327;414;479;548;606;690;736;826;899;999;1068;1132;1181;1239;1321;1346;1371;1527;1584;1633;1663;1736;1785;1844;1910;1956;2002;2059;2127;2177;2253;2311;2354;2400;2446;2510;2579;2635;2680;2759;2839;2916;2989;3068;3160;3228;3286;3351;3416;3479;3541;3612;3623;3687;3726;3801;3817;3864;3888;3927;3949;3967;4038;4086;4131;4185;4243;4302;4335;4399;4474;4570;4662;4808;4922;4988;5060;5237;5377;5535;5636;5820;6098;6218;6366;6572;6750;6937;7083;7274;7444;7568;7818;8094;8341;8485;8656;8931;9294;9636;9930;10230;10395;10605;10817;11188;11454;11851
US Pennsylvania;12801989;115883;94689;739.6428789308;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;10;12;16;22;41;47;63;76;96;133;185;268;371;479;644;851;1127;1687;2218;2751;3394;4087;4843;5805;7016;8420;10017;11510;12980;14559;16239;18228;19979;21655;22833;24199;25345;26490;27735;29441;31069;32284;33232;34528;35684;37053;38652;40049;41165;42050;43264;44366;45763;46971;48305;49267;50092;50957;51845;52915;54238;55316;56611;57154;57991;58698;59636;60622;61611;62234;63056;63666;64529;65392;66258;66983;67713;68186;68637;69417;70042;71339;72031;72546;72898;73510;74022;74560;75005;75706;76212;76563;77056;77466;77933;77999;78462;78798;79121;79483;79818;80236;80762;81266;81730;82186;82696;83191;83770;84370;84933;85496;85988;86606;87242;88074;88741;89375;89854;90304;91299;92148;92867;93876;94689
US Puerto Rico;3193694;8868;9366;293.2654161607;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7.25;9.5;11.75;14;21;23;31;39;51;64;79;100;127;174;239;286;316;378;452;475;513;573;620;683;725;788;897;903;923;974;1043;1068;1118;1213;1252;1298;915;1095.5;1276;1307;1371;1389;1400;1433;1539;1575;1757;1808;1843;1924;1968;2031;2156;2173;2198;2256;2299;2329;2427;2542;2589;2646;2710;2805;2866;2913;3030;3100;3189;3260;3324;3397;3486;3647;3718;3776;3873;3935;4023;4508;4620;4915;4985;5046;5185;5329;5352;5536;5690;5811;5890;5951;6003;6111;6195;6463;6525;6564;6685;6820;6877;6922;7066;7189;7250;7465;7537;7608;7683;7787;7916;8585;8714;8745;8862;9137;9366
US Rhode Island;1059361;2678;17312;1634.1926878562;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;3;3;3;3;4;5;9;13;19;19.5;20;22;33;44;61;74;88;113;129;148;176;217;248;312;417;495;568;668;730;831;968;1150;1356;1617;1890;2169;2573;2853;3142;3329;3596;3903;4295;4585;4868;5207;5585;5972;6354;6773;7188;7493;7769;7972;8296;8668;9016;9333;9522;9703;9994;10297;10639;10910;11141;11427;11613;11788;12007;12203;12431;12663;12915;13040;13177;13392;13579;13748;13949;14057;14141;14211;14365;14498;14630;14808;14912;14988;15087;15194;15299;15416;15521;15589;15638;15683;15751;15855;15942;16023;16072;16104;16180;16232;16283;16354;16413;16449;16476;16535;16612;16663;16708;16777;16813;16835;16871;16911;16976;17035;17057;17084;17108;17163;17204;17223.5;17243;17312;17312
US South Carolina;5148714;77857;54699;1062.3817908705;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;7;8;9;10;12;13;19;28;33;60;70.5;81;152;195;298;361;424;456;497.5;539;774;925;1083;1293;1554;1735.5;1917;2049;2233;2417;2552;2792;3065;3207;3319;3436;3553;3656;3793.5;3931;4246;4377;4408;4439;4761;4917;5085;5253;5490;5551.5;5613;5881;6095;6258;6489;6626;6691.5;6757;6936;7039;7142;7531;7653;7790;7927;8058;8189;8407;8611.5;8816;8942;9056;9115.5;9175;9638;9895;10096;10178;10416;10623;10788;11131;11394;11861;12148;12415;12651;13005;13453;13916;14286;14800;15228;15759;16441;17170;17955;18795;19378;19990;20556;21548;22631;23786;24693;25701;26613;27897;29022;30335;31939;33320;34644;36399;37919;39701;41532;43386;44847;46380;47352;48909;50691;52419;54699
