Country/Region;Population;Area;Maximum;Per 100,000 inh.;Blank 1;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21
US Delaware;973764;5047;2931;300.9969561413;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;6;7;8;16;25;30;38;45;56;68;91;115;130;163;214;232;264;319;368;393;450;593;673;800.5;928;1067.5;1207;1326;1479;1552;1625;1761;2014;2075;2323;2430.5;2538;2745;2931
US District of Columbia;705749;158;3098;438.9662613762;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7.5;10;12;14;16;17;22;31;39;71;77;98;116;137;183;231;267;304;342;401;495;586;653;757;902;998;1097;1211;1440;1523;1660;1778;1875;1955;2058;2197;2350;2476;2666;2793;2927;3098
US Florida;21477737;138887;27495;128.0162802999;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;11.5;14;17;18;19;28;32;50;77;116;141;186;314;390;520;658;830;1171;1412;1682;2355;2765;3763;4246;5473;6338;6955;8010;9585;11111;12151;13324;14747;15455;16364;17531;18494;19355;20601;21367;22511;22897;24119;25269;25996;26660;27495
US Georgia;10617423;148959;19881;187.2488267633;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;7;12;17;22;31;42;66;99;121;146;197;287;420;507;600;772;1026;1247;1525;2001;2366;2651;2809;3929;4638;5348;5831;6160;6647;7314;8818;9901;10566;11483;12159;12452;13315;14223;14987;15669;17194;17669;18301;18947;19881
US Guam;162742;543;136;83.56785587;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;8;12;14;15;27;29;32;37;45;51;55;56;58;69;77;82;84;93;112;113;121;125;128;130;133;134;135;135.25;135.5;135.75;136;135;134;133;133
US Hawaii;1415872;16635;584;41.2466663653;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;7;10;14;16;26;37;48;56;77;90;95;106;120;151;175;204;208;258;285;319;351;371;387;410;435;442;465;486;499;504;517;530;541;553;574;580;584
US Idaho;1787065;214045;1736;97.1425213968;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;6;7;9;11;23;31;42;47;50;73;123;189;230;261;310;415;525;669;891;1013;1077;1101;1170;1210;1232;1353;1396;1407;1426;1453;1464;1587;1609;1655;1668;1672;1736
US Illinois;12671821;143793;33059;260.8859452797;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;5.5;6;6.5;7;19;22;25;32;46;64;93;159;288;422;585;753;1049;1273;1535;1865;2538;3026;3491;4596;5057;5994;6980;7695;8904;10357;11256;12262;13549;15078;16422;17887;19180;20852;22025;23247;24593;25733;27575;29160;30357;31508;33059
US Indiana;6732219;92789;12097;179.6881533414;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;6;10;12;13.5;15;19;24;30;39;56;79;126;201;259;365;477;645;981;1232;1514;1786;2159;2565;3039;3437;3953;4411;4944;5507;5943;6351;6907;7435;7928;8236;8527;8955;9542;10154;10641;11210;11686;12097
US Iowa;3155070;144669;3641;115.4015600288;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;13;14;16;17;18;22;23;29;38;45;68;90;105;124;145;179;235;298;336;424;497;549;614;699;786;868;946;1048;1145;1270;1388;1510;1587;1710;1899;1995;2141;2332;2513;2902;3159;3641
US Kansas;2913314;211754;2025;69.5084704223;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;4;6;7;8;11;15;16;34;44;55;64;82;98;126;168;202;261;319;368;428;482;552;620;698;747;845;900;1003;1106;1166;1268;1337;1376;1426;1494;1588;1705;1790;1849;1986;2025
US Kentucky;4467673;102269;3050;68.2682013657;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;8;9.5;11;14;16;21;22;26;35;47;54;99;104;124;157;198;248;302;394;439;480;591;680;770;831;917;955;1008;1149;1346;1693;1766.5;1840;1963;2048;2210;2291;2429;2522;2707;2960;3050
US Louisiana;4648794;111898;24854;534.6332833849;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;14;36;69;91;114;171;240;347;479;585;837;1172;1388;1795;2305;2746;3315;3540;4025;5237;6424;9150;10297;12496;13010;14867;16284;17030;18283;19253;20014;20595;21016;21518;21951;22532;23118;23580;23928;24523;24854
US Maine;1344212;79883;888;66.0610082338;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;17;32;43;53;57;73;89;107;125;149;155;168;211;253;275;303;344;376;432;456;470;499;519;537;560;586;616;633;698;734;770;796;827;847;867;875;888
US Maryland;6045680;25142;14193;234.7626735123;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;5;6;9;12;17;26;31;37;57;85;107;149;190;244;288;349;423;580;774;992;1239;1413;1660;1985;2331;2758;3125;3609;4045;4371;5529;6185;6968;7694;8225;8936;9472;10032;10784;11572;12308;12830;13684;14193
US Massachusetts;6892503;20202;41199;597.7364101256;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;13;27;41;92;93.5;95;123;138;151;164;218;256;328;413;525;646;777;1159;1838;2417;3240;4257;4955;5752;6620;7738;8966;10402;11736;12500;13837;15202;16790;18941;20974;22860;25475;26867;28163;29918;32181;34402;36372;38077;39638;41199
US Michigan;9986857;146435;32967;330.1038554973;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;18;34;52;72;98;128;168;254;358;497;702;945;1196;1480;1933;2393;2913;3392;4027;4543;5098;5789;6441;7060;7767;8659;9287;10010;10901;11875;12888;14117;15252;16395;17567;18850;19823;20589;21504;22783;23993;24638;25635;27001;28059;29263;30023;30791;31424;32000;32967
US Minnesota;5639632;206232;2567;45.5171543108;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;5;9;14;21;35;54;60;77;89;115;138;169;235;262;287;346;398;441;503;576;629;689;742;789;865;935;986;1069;1154;1242;1336;1427;1621;1650;1695;1809;1912;2071;2213;2356;2470;2567
US Mississippi;2976149;121531;4716;158.4598082959;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;10;12;21;34;50;80;140;207;249;320;377;485;579;663;758;847;937;1073;1177;1358;1455;1638;1738;1915;2003;2260;2469;2642;2781;2942;3087;3360;3624;3793;3974;4274;4512;4716
US Missouri;6137428;178040;5941;96.7995062427;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;4;5;6;8;13;24;47;73;90;183;269.5;356;502;669;838;934.5;1031;1327;1581;1834;2113;2291;2367;2722;3037;3327;3539;3799;4024;4160;4388;4686;4895;5111;5283;5517;5667;5807;5941
US Montana;1068778;376962;437;40.8878176759;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7;7.5;8;10;12;16;20;31;34;46;53;71;108;129;154;171;184;208;227;243;265;286;299;319;332;354;365;377;387;394;399;404;415;422;426;433;435;437
US Nebraska;1934408;198974;1648;85.1940231844;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;5;10;13;14;17;18;21;24;27;32;38;48;50;52;61;73;85;96;108;145;172;210;246;279;321;363;409;447;519;567;635;700;791;814;871;901;952;1066;1138;1287;1474;1648
US Nevada;3080156;284332;3937;127.8182014158;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;5;7;11;20;21;45;55;75;95;109;124;190;245;278;321;420;535;621;738;1008;1113;1279;1458;1514;1742;1836;1953;2087;2318;2456;2584;2700;2836;2971;3088;3211;3321;3524;3626;3728;3830;3937
US New Hampshire;1359711;23187;1491;109.6556547678;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;4.5;5;5.5;6;6.5;7;13;15;17;26;39;44;55;65;78;101;108;137;158;187;214;314;364.5;415;447;479;540;621;669;715;788;803.5;819;885;929;985;1020;1139;1213;1287;1314.5;1342;1392;1491
US New Jersey;8882190;19047;92387;1040.1376237167;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;11;15;24;30;50;74;98;178;267;427;742;890;1327;1914;2844;3675;4402;6876;8825;11124;13386;16636;18696;22255;25590;29895;34124;37505;41090;44416;47437;51027;54588;58151;61850;64584;68824;71030;75317;78467;81420;85301;88806;92387
US New Mexico;2096829;314161;1971;93.9990814702;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;10;11.5;13;17;23;28;35;43;57;61;65;83;100;112;136;191;237;259;281;315;363;403;495;543;624;686;794;865;1091;1132.5;1174;1245;1345;1407;1484;1597;1711;1798;1845;1971
US New York;19453561;122057;251690;1293.7991147225;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22;33;76;105;142;173;216;318.5;421;524;729;950;1700;2382;4152;7102;10356;15168;20875;25665;30811;37258;44635;52318;59513;66497;75795;83712;92381;102863;113704;122031;130689;138863;149316;159937;170512;180458;188694;195031;202208;213779;222284;229642;236732;242786;247512;251690
US North Carolina;10488084;125920;6951;66.2752128988;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;7;9.5;12;15;23;32;33;40;63;97;137;184;255;297;398;504;636;763;935;1040;1307;1498;1584;1857;2093;2402;2585;2870;3221;3426;3651;3908;4312;4520;4816;5024;5123;5465;5859;6140;6493;6764;6951
US North Dakota;762062;178711;644;84.5075597524;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;6;15;20;28;29;30;34;39;52;65;83;98;109;126;142;159;173;186;207;225;237;251;269;278;293;308;331;341;365;393;439;528;585;627;644
US Ohio;11689100;105829;13250;113.3534660496;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;5;13;24.5;36;50;67;88;119;169;247;351;442;564;704;867;1137;1406;1653;1933;2199;2547;2902;3312;3739;4043;4450;4782;5148;5512;5836;6187;6604;6975;7153;7791;8414;8858;9939;11292;12516;13250
US Oklahoma;3956971;177660;2807;70.938098864;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;3;4;9;10;17;29;44;49;53;67;81;106;164;248;322;377;429;481;565;719;879;988;1159;1252;1327;1472;1524;1684;1794;1868;1970;2069;2184;2263;2357;2465;2570;2599;2680;2807
US Oregon;4217737;248608;2002;47.4662123314;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;7;14;14.5;15;19;24.5;30;33;36;39;47;75;88;114;137.5;161;191;209;268;327;414;479;548;606;690;736;826;899;999;1068;1132;1181;1239;1321;1346;1371;1527;1584;1633;1663;1736;1785;1844;1910;1956;2002
US Pennsylvania;12801989;115883;34528;269.7080898913;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;10;12;16;22;41;47;63;76;96;133;185;268;371;479;644;851;1127;1687;2218;2751;3394;4087;4843;5805;7016;8420;10017;11510;12980;14559;16239;18228;19979;21655;22833;24199;25345;26490;27735;29441;31069;32284;33232;34528
US Puerto Rico;3193694;8868;1298;40.6425913065;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7.25;9.5;11.75;14;21;23;31;39;51;64;79;100;127;174;239;286;316;378;452;475;513;573;620;683;725;788;897;903;923;974;1043;1068;1118;1213;1252;1298
US Rhode Island;1059361;2678;5500;519.1809024497;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;3;2;3;3;3;5;9.5;14;20;20.5;21;23;33;44;54;66;83;106;124;132;165;203;239;294;402;489;566;657;709;806;922;1082;1230;1450;1727;2015;2349;2665;2976;3251;3529;3838;4177;4491;4706;5090;5500
US South Carolina;5148714;77857;4439;86.2157035718;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;7;8;9;10;12;13;19;28;33;60;70.5;81;152;195;298;361;424;456;497.5;539;774;925;1083;1293;1554;1735.5;1917;2049;2233;2417;2552;2792;3065;3207;3319;3436;3553;3656;3793.5;3931;4246;4377;4408;4439
US South Dakota;884659;196350;1755;198.3815232762;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;9;9.3333333333;9.6666666667;10;11;12;13;14;17.5;21;28;30;41;46;58;68;90;101;108;129;165;187;212;240;288;320;393;447;536;626;730;868;988;1168;1311;1411;1542;1635;1685;1755
US Tennessee;6829174;106798;7394;108.2707806244;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;7;12.5;18;26;32;39;52;73;98;154;228;371;505;615;667;784;957;1203;1373;1537;1834;2239;2683;2845;3067;3321;3633;3802;4138;4362;4634;4862;5114;5308;5610;5823;6079;6262;6589;6762;7070;7238;7394
US Texas;28995881;676587;20196;69.6512721928;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;8;10;12;13;21;23;39;51;56;57;64;83;143;194;304;334;352;410;974;1396;1731;2052;2552;2877;3266;3997;4669;5330;6110;6812;7276;8262;9353;10230;11671;12561;13484;13906;14624;15492;16455;17371;18260;18923;19458;20196
US Utah;3205958;212818;3296;102.808583269;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;4;6;17;28;39;51;63;78;112;136;181;257;299;346;402;480;602;719;806;887;1012;1074;1246;1428;1605;1675;1738;1846;1976;2102;2206;2303;2363;2412;2542;2683;2805;2931;3069;3213;3296
US Vermont;623989;23871;818;131.0920545074;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;4;6;8;10;19;22;29;40.5;52;75;95;123;158;184;211;235;256;293;321;338;389;461;512;543;575;605;628;679;711;727;748;752;759;768;779;803;812;816;818
US Virgin Islands;104425;350;5;4.7881254489;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4.3333333333;4.6666666667;5;5
US Virgin Islands;104425;350;54;51.711754848;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;3;6;11.5;17;17.5;18;18.5;19;22;23;30;31;32;33;38;40;42;43;44;45;46;50;51;51.2857142857;51.5714285714;51.8571428571;52.1428571429;52.4285714286;52.7142857143;53;53.3333333333;53.6666666667;54
US Virginia;8535519;102279;9451;110.7255458045;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;8;9;17;30;37.5;45;51;67;77;94;114;152;219;254;290;391;460;604;739;890;1020;1250;1484;1706;2012;2407;2637;2878;3333;3645;4042;4509;5077;5274;5747;6171;6500;6889;7491;8053;8537;8990;9451
