Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21
US Pennsylvania;12801989;115883;166851;1303.3209136487;4.8323389713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;6;10;12;104;138;181;252;268;746;975;1320;1793;2842;4137;5443;7239;9494;12320;18128;23234;28005;33455;37864;42488;48232;54714;62115;70030;77771;83854;91278;98538;105602;113019;120153;124890;129792;133631;137584;141470;147373;153965;158854;162952;166851
US Puerto Rico;3193694;8868;10087;315.841154475;7.7711864407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;18;36;61;128;164;206;220;307;368;441;598;839;968;1105;1434;1695;1920;2427;3057;3548;3945;4539;4886;5386;5846;6371;6716;6863;7207;7799;8358;8932;9173;9493;9738;10087
US Rhode Island;1059361;2678;39333;3712.898624737;7.1514545455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;8;13;19;20;32;33;33;61;99;99;156;218;291;329;426;573;698;854;928;1015;1249;1324;1394;1427;2509;2780;3134;3589;3965;4397;5069;5566;6390;7181;8481;10307;12132;12409;14296;18207;20350;20661;22900;25897;28064;30761;32826;34699;37080;39333
US South Carolina;5148714;77857;41277;801.6953359616;9.298715927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;5;10;10;31;31;41;58;87;123;173;263;344;643;643;914;1407;1661;1764;2310;2727;2763;2763;2947;3789;5085;5699;6326;6995;6995;18314;18976;18976;23680;24634;27367;28183;30093;31425;31425;33872;34733;34733;36284;38833;40480;40480;41277
US South Dakota;884659;196350;12815;1448.5807525838;7.301994302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;5;11;18;35;82;191;336;504;562;562;562;677;705;761;790;820;860;2019;2445;2660;3217;3579;3717;4032;4382;4780;5224;5593;6020;6268;6748;7147;7647;8004;8553;9002;9296;9859;10550;11062;11660;12062;12326;12815
US Tennessee;6829174;106798;108182;1584.1154435368;14.6310522045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;7;57;97;142;162;196;322;403;447;503;791;3643;3777;3887;11184;11796;14909;16091;18338;20574;23304;27360;32452;34611;37839;41391;45300;47350;52874;56618;59849;62799;66828;70677;76195;78831;80896;85049;87273;90586;97098;100689;108182
US Texas;28995881;676587;205399;708.3730271896;10.1702812438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;5;8;8;12;13;21;23;39;51;56;57;1268;1907;2355;5277;6522;8756;10055;11167;13494;21424;23666;25260;25760;35880;42992;47857;50679;55764;63751;70938;85357;88649;96258;106134;115718;120533;124533;133226;146467;151810;158547;169536;176239;182710;190394;205399
US Utah;3205958;212818;72358;2256.9852755401;21.953276699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;135;137;137;159;170;182;194;1526;2147;2560;3689;5047;5823;6837;7710;9244;11312;13993;16003;18513;21167;21229;24248;28043;30892;33394;34647;36116;38373;40762;42546;44234;45787;46476;47614;49678;55771;59944;63555;68311;72358
US Vermont;623989;23871;13111;2101.1588345307;16.0281173594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;16;29;35;41;63;99;144;231;352;429;505;611;667;808;808;1158;1181;1535;1712;2008;2261;2374;3701;3930;4250;4495;5049;5228;5844;6582;6633;7129;7749;8181;8232;9258;9841;10366;10585;11081;11507;12116;12566;12726;12981;13111
US Virgin Islands;104425;350;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
US Virgin Islands;104425;350;628;601.3885563802;11.6296296296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;3;3;6;6;17;17;72;72;74;128;146;156;156;156;182;192;224;248;265;265;287;297;323;350;350;373;377;382;408;424;443;601;607;628
US Virginia;8535519;102279;58354;683.6608295289;6.1743730822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;21;31;38;41;61;69;134;147;147;408;489;1028;1278;1923;2325;2790;3337;3697;4470;5370;6189;7337;9166;10609;12038;13401;15344;17589;19005;21552;23671;24521;28645;30645;33026;35459;37999;39985;41401;42763;44169;46444;48997;51931;54733;56735;58354
US Washington;7614893;172119;141011;1851.7791385907;11.668266446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;18;30;34;58;76;96;519;551;886;1453;1500;2649;3580;5043;6794;8046;10503;12800;14505;17453;21109;23725;27570;31329;34535;34987;35457;47411;53722;59998;66132;66596;67159;75776;80381;83567;88659;92070;92434;92897;93160;93615;93615;93615;93802;93929;122854;124283;128900;131627;135706;138642;141011
US West Virginia;1792147;62259;22763;1270.152504231;24.9048140044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;3;7;17;26;38;80;80;123;145;226;341;397;460;630;798;1082;1855;2427;2818;3110;4143;4575;5493;6367;7686;8838;9940;12059;12545;13863;14555;15452;16257;16655;17038;17656;18306;18681;19440;20031;22155;22763
US Wisconsin;5822434;140268;52461;901.0149363651;11.3551948052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;20;32;32;32;37;38;46;92;188;188;346;551;1110;1683;2347;3661;4909;6615;7466;8694;10674;12290;13982;16221;17662;17077;18726;20369;22047;24289;25971;27436;29014;31090;32871;34309;36293;37893;39257;40197;41552;43047;44849;46410;48161;49669;51102;52461
US Wyoming;578759;251470;7621;1316.7829787528;23.815625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;1;2;3;3;105;193;289;350;461;462;618;739;998;1105;1281;1557;1640;1934;2108;2348;2589;2866;3132;3237;3929;4005;4064;4150;4989;5459;5459;5964;5964;6329;6427;6427;6522;7281;7386;7621
