Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21
US Hawaii;1415872;16635;10;0.7062785337;0.0171232877;0.0193423598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;3;4;4;5;5;5;6;8;8;9;9;9;9;9;9;9;10;10
US Idaho;1787065;214045;48;2.6859683336;0.0276497696;0.0327868852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;3;4;5;6;7;9;9;9;10;10;10;13;15;18;24;25;27;27;33;39;41;41;43;44;45;48
US Illinois;12671821;143793;1468;11.5847596016;0.0444054569;0.0596917822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;5;6;9;12;16;19;26;34;47;65;73;99;141;157;210;243;274;307;380;462;528;596;677;720;794;868;948;1072;1134;1259;1290;1349;1468
US Indiana;6732219;92789;630;9.3579843436;0.0520790279;0.0703517588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;2;2;2;2;4;6;7;12;14;17;24;31;32;35;49;65;78;102;116;127;139;173;203;245;300;330;343;350;388;436;477;519;545;562;569;630
US Iowa;3155070;144669;83;2.6306864824;0.0227959352;0.04160401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;3;4;6;7;9;11;11;14;22;25;26;27;29;31;34;41;43;49;53;60;64;74;75;79;83
US Kansas;2913314;211754;107;3.6727932519;0.0528395062;0.0716198126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;2;2;2;2;3;3;4;5;6;8;9;10;13;17;21;22;25;27;27;42;50;55;56;62;69;76;80;84;86;92;100;107
US Kentucky;4467673;102269;154;3.4469845935;0.0504918033;0.0696832579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;3;3;4;4;4;6;8;9;9;11;17;20;31;37;40;45;59;65;73;90;90;94;97;104;115;122;129;137;144;148;154
US Louisiana;4648794;111898;1405;30.2228922168;0.056530136;0.0640061956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;4;6;8;12;16;20;34;46;65;83;119;137;151;185;239;273;310;370;409;477;512;582;652;702;755;806;840;884;1013;1103;1156;1213;1267;1296;1328;1405
US Maine;1344212;79883;36;2.6781489825;0.0405405405;0.0467532468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;3;5;7;7;9;10;10;10;12;14;16;17;19;19;19;20;24;27;29;32;34;35;36
US Maryland;6045680;25142;584;9.6597901311;0.0411470443;0.0582137161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;3;3;3;4;4;5;5;10;15;18;31;36;42;53;67;91;103;124;138;171;206;235;262;302;349;392;425;463;486;516;584
