Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21
US New Hampshire;1359711;23187;0.3355263418;0.0640495181;0.0730763114;0.0711206897;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3355263418;0.3162017207;0.2616544364;0.2348053235;0.2116621045;0.214595396;0.2027697619;0.1927500316;0.1930903765;0.2089493639;0.230662304;0.2424687816;0.2378143603;0.1874767255;0.1470706778;0.1191066253;0.1190986907;0.123188207;0.1196706861;0.1072926314;0.0883518489;0.0729086337;0.0640495181;0.0727700659;0.0783636461;0.0915322913;0.1010274092;0.1080124;0.1150904036;0.1084733275;0.0900485543;0.0730763114
US New Jersey;8882190;19047;0.6020813525;0.081241704;0.0836540215;0.040323852;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4610041809;0.5064277118;0.5174303195;0.5490131465;0.6020813525;0.5643641897;0.5343119233;0.4803338893;0.438917941;0.427716485;0.3915664997;0.3838521441;0.3525006952;0.3397622531;0.3256983594;0.29142089;0.2512798539;0.2145649146;0.1942642759;0.1776994971;0.171228521;0.1604777657;0.1513192034;0.1325317864;0.1142440958;0.1030717012;0.094794788;0.0917051479;0.0899761627;0.0890614403;0.0861916778;0.0830415056;0.081241704;0.0816233756;0.0819993005;0.0829672467;0.0817234379;0.0836540215
US New Mexico;2096829;314161;0.2641960881;0.0750521524;0.088288058;0.0682926829;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2565212539;0.2641960881;0.2633232088;0.2404499354;0.2077809063;0.1849775028;0.1692835547;0.1710915268;0.1881420237;0.2169312101;0.2412575394;0.2518635525;0.2422174739;0.1990331681;0.157061564;0.1343310716;0.1454339207;0.1570367405;0.1645049046;0.16407986;0.1562081752;0.1487122698;0.1532687665;0.1638723237;0.159462596;0.1380694458;0.1031898916;0.0857958949;0.0750521524;0.0805920894;0.0875560421;0.0904454387;0.0911235047;0.088288058
US New York;19453561;122057;0.6002279423;0.0613297344;0.0613297344;0.0168799897;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4189131263;0.3484292596;0.3114660192;0.3169870028;0.3338678528;0.3308166326;0.3728570782;0.4147615088;0.4918432242;0.5801730784;0.5946182883;0.6002279423;0.5444259525;0.4623068901;0.3789808368;0.3050694853;0.2513336798;0.2174251761;0.1957569061;0.1776941132;0.1603699373;0.1432283769;0.1323597974;0.1271308819;0.1235993317;0.1214438052;0.1169053728;0.1085456199;0.0996227722;0.0946125396;0.0944122953;0.0968314946;0.0955253967;0.0899359457;0.0819741036;0.0751956605;0.0733170633;0.0765017941;0.0792994637;0.0762823849;0.0701007123;0.0613297344
US North Carolina;10488084;125920;0.4380025035;0.0742754416;0.0984548639;0.0276463631;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2888125972;0.3032448881;0.3606682351;0.4170602233;0.4380025035;0.3876492805;0.3433791921;0.3071900579;0.2836539453;0.2734368458;0.2583256571;0.2365667593;0.2140403276;0.1975160499;0.1781089191;0.1676728529;0.1493010698;0.1448066704;0.1408789978;0.1372689967;0.1357478204;0.1247082379;0.1189101349;0.1085929846;0.1041141682;0.0982463302;0.1001202097;0.0987031984;0.0862438464;0.078971316;0.0742754416;0.0823599184;0.0903267681;0.0968729222;0.0984548639
US North Dakota;762062;178711;0.2456594088;0.0787879566;0.1833721079;0.0271132376;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.130769716;0.1312932154;0.1596370673;0.2135523374;0.2456594088;0.2385383559;0.213822708;0.1793071384;0.163216178;0.1477781781;0.1374865534;0.1243470669;0.1117293402;0.1050312467;0.0984504146;0.0934676808;0.0861293102;0.081697705;0.0787879566;0.0795707997;0.0835891612;0.0885217342;0.0964553077;0.1065459067;0.1318008216;0.1641387164;0.1898606659;0.1833721079
US Ohio;11689100;105829;0.401238644;0.0849063667;0.1607154433;0.0586449345;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3895232116;0.3603090691;0.3719809989;0.3941550561;0.401238644;0.38375683;0.3419470214;0.2968021781;0.2748863081;0.2637414713;0.2571846558;0.2428531001;0.2155317614;0.1895617608;0.1688488609;0.1591038193;0.1555588824;0.1481159146;0.1383101106;0.1241209893;0.1116192138;0.1022717652;0.0964157626;0.0932473623;0.0891452417;0.0880692775;0.0849063667;0.0852408474;0.0888617701;0.0976749702;0.1127756366;0.1283919535;0.1495087283;0.1607154433
US Oklahoma;3956971;177660;0.4057078589;0.070627923;0.070627923;0.0473880597;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.32781358;0.2281026623;0.2070691547;0.2529090746;0.332541375;0.3921141969;0.4057078589;0.352036837;0.2648474451;0.1987113742;0.1757523956;0.1860713254;0.2005363494;0.2062239417;0.1880822564;0.1560845056;0.1279659222;0.1045219108;0.0976127374;0.0920629591;0.0899637055;0.0873962359;0.0780924422;0.0757073031;0.0743426209;0.0771784235;0.0776209815;0.0800981372;0.0779156987;0.0720300954;0.070627923
US Oregon;4217737;248608;0.3072161565;0.068155366;0.0767373979;0.0235173824;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1909120758;0.1952902143;0.1656467908;0.1350581801;0.171535627;0.2141296737;0.2726812238;0.3072161565;0.2904263084;0.2549720226;0.2078644688;0.198428921;0.1962714586;0.2137001467;0.2302260896;0.2268144335;0.2071329774;0.1745918603;0.1514679707;0.1321692852;0.1236595246;0.1188093525;0.1167645373;0.1103375138;0.1004072422;0.0875379441;0.0794085063;0.0739228895;0.0697714208;0.070974731;0.0748516536;0.086224549;0.0869851057;0.082979394;0.0746368366;0.068155366;0.0729836182;0.076210339;0.0767373979
US Pennsylvania;12801989;115883;0.4118817926;0.0708042892;0.0790331244;0.0389985556;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4118817926;0.3887872955;0.3132886555;0.2926072874;0.2883431934;0.3347803845;0.3724209025;0.38854642;0.3842469157;0.3598340965;0.340432994;0.3501415777;0.3613940696;0.3612569761;0.3427495129;0.2981668583;0.2560626901;0.2249412724;0.2111068479;0.2069243333;0.2064464053;0.2024139478;0.1917506403;0.1746246711;0.1560225439;0.1445203598;0.1358465643;0.1291218846;0.1193285509;0.1058317963;0.0911880158;0.0788974651;0.072325991;0.0708042892;0.0749800245;0.0793521018;0.0814543307;0.0790331244
