Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26
US Michigan;9986857;146435;7083;70.9232143807;0.1285387631;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;18;34;52;72;98;128;168;254;358;497;702;945;1196;1471;1915;2359;2861;3320;3929;4415;4930;5535;6083;6563;7065;7714;8091;8530;8968;9482;9975;10725;11225;11852;12469;13061;13382;13529;13737;14124;14706;14628;14734;15126;15171;15146;14771;14396;13857;13150;13144;13377;13787;13858;13210;13140;12575;12261;12340;12116;12333;12416;12330;11950;11430;11088;10355;9685;9553;9360;9342;8759;7992;8203;7723;7297;7388;7965;7953;7955;7864;7587;7609;7541;7329;7083
US Minnesota;5639632;206232;9466;167.847831206;0.4310564663;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;5;9;14;21;35;54;60;77;89;115;137;168;233;259;282;337;384;420;468;522;569;612;653;674;727;766;751;807;867;896;938;986;1118;1074;1066;1120;1170;1282;1348;1421;1484;1498;1567;1700;1849;2019;1981;2166;2486;2835;3224;3659;4015;4307;4764;5284;5858;6423;6903;7344;7669;7983;8313;8273;8299;8510;8741;9005;9138;9178;9091;8835;8917;9055;9302;9516;9466
US Mississippi;2976149;121531;3823;128.4545901432;0.278421091;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;10;12;21;34;50;79;139;206;248;319;375;479;571;650;744;831;916;1039;1127;1278;1315;1431;1489;1595;1626;1775;1890;1979;2023;2095;2150;2287;2447;2435;2519;2636;2774;2801;2891;2893;2965;3076;3130;3152;3255;3209;3191;3419;3467;3276;3365;3491;3530;3533;3656;3660;3590;3580;3566;3521;3668;3589;3682;3746;3555;3497;3543;3536;3534;3627;3751;3784;3823
US Missouri;6137428;178040;2285;37.2305793241;0.1859083883;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;4;5;6;8;13;23;46;70;87;180;266.5;348;494;661;828;924.5;1018;1313;1563;1810;2066;2218;2277;2539;2767.5;2971;3037;3130;3186;3225.5;3357;3359;3314;3277;3170;3226;3300;3085;2904;2810;2782;2826;2802;2837;2783;2617;2530;2451;2552;2637;2719;2947;2975;2965;3020;2864;2840;2847;2747;2703;2717;2755;2621;2521;2403;2191;2164;2130;1999;2069;2086;2144;2249;2285
US Montana;1068778;376962;18;1.6841664031;0.0375782881;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7;7.5;8;10;12;16;20;31;34;46;53;70;107;124;147;163.5;176;198;215;227;245;255;265;273;279;283;257;248;233;223;215;196;188;179;161;147;136;118;107;88;79;68;61;55;52;48;38;32;29;23;22;19;17.6666666667;15.3333333333;14;13.3333333333;10.6666666667;10;10;10;11;12;13;13;13;15;21.3333333333;21.6666666667;21;20.6666666667;20.3333333333;20;18
US Nebraska;1934408;198974;3783;195.5637073461;0.3061918252;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;5;10;13;14;17;18;21;24;27;32;37;47;47;49;56;63;72;82;91;127;151;186;219;247;283;315;359;395;458;494;550;604;683;669;699;691;706;787;817;924;1065;1201;1203;1246;1489;1721;1941;2214;2487;2473;2832;3215;3700;4039;4436;4435;4716;4958;5066;5410;5502;5287;5214;5318;5291;5135;4934;4894;4438;4542;4408;4351;4235;3831;3755;3819;3783
US Nevada;3080156;284332;1686;54.7374873221;0.2108290609;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;5;7;11;20;21;44;54;74;94;108;122;188;241;274;315;410;524;601;717;963;1058;1204;1363;1405;1618;1646;1708;1809;1997;2036;2049;2079;2098;1963;1975;1932;1863;2010;1884;1892;1877;1850;1763;1752;1814;1839;1766;1719;1717;1687;1677;1703;1685;1698;1661;1657;1582;1558;1486;1489;1496;1462;1506;1496;1501;1387;1351;1431;1415;1452;1503;1489;1517;1668;1672;1727;1686
US New Hampshire;1359711;23187;997.5;73.3611774855;0.2376697641;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;4.5;5;5.5;6;6.5;7;13;15;17;24;37;42;53;61;73.5;96;102.5;131;151.5;180;201;299;347.5;389;408;435;485;556;591;614;680;666.5;661;698;715;671;655.5;724;766;808;774.5;721;723;776;751.5;784.5;851;835;858;879;918;871;841;859;995.5;1087;1196;1121;1096.5;1152;1173;1227;1224;1296;1261.5;1229;1245;1318;1200;1127;1008;1040;1085;1128;1092;1142;1108;989;997.5
US New Jersey;8882190;19047;15021;169.1136983109;0.0964343494;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;11;15;23;29;49;73;96;176;264;422;733;879;1311;1894;2817;3631;4340;6795;8717;10984;13225;16438;18429;21828;24848;29005;32797;35591;38246;40741;43035;44151;45763;47027;48464;47948;50128;48775;49727;48572;47296;47796;47716;47971;48428;48962;47608;47372;47188;46604;45032;45234;43335;42723;42297;41443;39463;38206;36025;33646;33258;31562;29494;28757;26887;25296;24052;22715;21372;19590;19770;18420;18509;17837;17265;16019;15622;15147;15021
US New Mexico;2096829;314161;1957;93.3314066145;0.2785368631;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;10;11.5;13;17;23;28;35;43;57;61;65;83;97;107;126;179.5;224;242;258;287;328;360;438;482;559;603;694;753;955;941.5;937;986;1064;1092;1121;1194;1216;1255;1221;1285;1278;1345;1288;1388.5;1486;1481;1478;1567;1729;1814;1802;1934;2005;2060;2066;2081;2114;2152;2118;2137;2246;2238;2151;2092;2149;2125;2088;2065;2054;2026;1979;1952;2017;2080;1957
