Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26
US South Dakota;884659;196350;990;111.9075259507;0.2127659574;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;9;9.3333333333;9.6666666667;10;11;11;12;13;16.5;20;27;29;36;38;49;58.6666666667;80.3333333333;91;97;117;152;173;194.5;219;260;290;352;401;478;558;640;767;880;1039;1146;1224;1330;1395;1397;1435;1465;1509;1504;1521;1482;1377;1325;1205;1138;1114;1046;996;983;966;921;949;1104;1246;1305;1369;1350;1359;1343;1362;1371;1356;1359;1364;1398;1345;1212;1075;1046;972;990
US Tennessee;6829174;106798;4854;71.0774099474;0.2315287384;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;7;12.5;18;26;32;39;52;73;98;153;227;370;502;612;660;771.5;939;1177;1341;1498;1782;2166;2585;2691;2839;2950;3128;3187;3471;3578;3677;3659;3741;3771;3776;3584;3396;3417;3522;3441;3437;3436;3256;3480;3632;3864;4075;4359;4308;4229;4287;4473;5302;5899;6107;6333;6296;6096;5830;5715;5579;5318;5626;6059;6004;5964;5079;4627;4211;4440;4688;4594;4865;4953;5021;5160;5063;4854
US Texas;28995881;676587;15512;53.4972536272;0.2742574257;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;8;10;12;13;21;23;39;51;56;57;63;81;140;189;296;324;340;397;953;1373;1692;2001;2496;2820;3202;3914;4526;5136;5806;6478;6924;7852;8379;8834;9940;10509;10932;11029;11358;11495;11786;12041;12150;12111;12182;11934;11716;11714;11135;11212;11147;11391;11547;11562;11632;11858;12262;12625;12874;13173;13353;13446;13803;14087;14238;14572;14877;15349;15764;15969;16477;16236;16361;16543;16901;16878;16840;16649;16479;16102;15512
US Utah;3205958;212818;2188;68.2479308837;0.2538283063;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;4;6;17;28;39;51;63;78;112;135;180;256;297;344;398;474;585;691;767;836;949;996;1134;1292;1424;1418;1439;1500;1574;1622;1604;1584;1557;1525;1530;1609;1559;1503;1464;1538;1558;1599;1636;1680;1742;1820;1870;1931;1953;1989;2023;2050;2106;2104;2153;2150;2112;2137;2155;2128;2129;2089;2125;2077;2085;2087;2063;2067;2098;2115;2150;2138;2157;2141;2159;2188
US Vermont;623989;23871;38;6.0898509429;0.0392967942;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;5;8;12;17;19;21;28;42;50;74;92;118;152;176;203;222;244;276;301;338;362;416;460;467;478;483;471;495;500;499;498;468;450;420;402;342;301;274;245;220;200;154;130;119;101;101;94;87;87;83;83;84;86;81;83;82;75;74;71.5;65;65;64;52;47;44;41;38;37;34;34;34;28;29.5;35;38
US Virgin Islands;104425;350;0.3333333333;0.3192083632;0.0416666667;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;3;3;3;3;3;3;3;3;3;3;3;1;1;1;0;0;0;1;1.3333333333;1.6666666667;2;2.2;2.4;2.6;2.8;3;3.0909090909;3.1818181818;3.2727272727;3.3636363636;3.4545454545;2.5454545455;2.3030303031;2.0606060606;1.8181818182;1.7090909091;1.6;1.5111111111;1.4222222222;1.3333333333;1.3535353535;1.3737373738;1.393939394;1.4141414142;1.4343434344;1.4545454545;1.3636363636;1.2727272727;1.1818181818;1.0909090909;1;0.8888888889;0.7777777778;0.6666666667;0.5555555556;0.4444444444;0.3333333333
US Virgin Islands;104425;350;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;3;6;11.5;17;17.5;18;18.5;19;22;23;29;29;30;30;35;34;30.5;26;26.5;27;27.5;31;29;28.2857142857;21.5714285714;20.8571428571;20.1428571429;19.4285714286;14.7142857143;13;11.3333333333;10.6666666667;10;9.25;8.5;4.75;4;5.7142857143;7.4285714286;8.6428571429;9.8571428571;13.5714285714;13.5357142857;13.5;13.4166666667;13.3333333333;13.25;13.25;13.25;13.25;13.5;12;10;8.5;7;3;2.75;2.5;2.25;2;1.75;1.5;1.25;1;0.5;0;0;0
US Virginia;8535519;102279;13542;158.6546758317;0.3442122922;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;8;9;17;30;37.5;44;50;66;76;92;112;150;216;248;282;382;443;574;701.5;845;969;1183;1407;1612;1898;2255;2418;2624;3043;3254;3582;3905;4338;4384;4727;4921;5016;5183;5479;5646;5900;6112;6297;6621;6956;7085;7289;7696;7788;8168;8461;8957;9410;9678;10134;10502;10626;10647;10572;10748;10830;11111;11535;11461;11785;11967;11771;11952;11717;11648;11889;11995;12567;12608;12553;12163;12657;13542
US Washington;7614893;172119;2096;27.5250092155;0.1044605034;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;5;13;26;54;76;112;159;192;229;286;343;451;581;755;968;1120;1220;1508;1750;2001;2282;2546;2702;2824;3226;3550;3856;4110;4344;4471;4603;4864;5068;5225;5297;5403;5417;5403;5333;5308;5210;5140;4991;4862;4708;4502;4326;4204;4104;4036;3997;3917;3850;3705;3641;3540;3583;3594;3616;3614;3603;3597;3534;3501;3438;3427;3475;3459;3457;3439;3340;3296;3241;3171;3132;3094;3100;3037;3043;3017;2757;2575;2311;2078.5;1844;1871;2140;2100;2096
US West Virginia;1792147;62259;483;26.9509141828;0.2605177994;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;7;11;12;16;20;39;51;76;96;113;125;161;190;215;230;271;312;329;392;423;472;478;481;498;500;478;511;522;517;503;539;557;502;477;444;434;443;433;437;439;393;379;382;384;328;304;324;309;320;322;315;316;303;292;303;309;305;288;299;285;271;297;306;306;382;399;408;483
US Wisconsin;5822434;140268;5252;90.2028258285;0.3310849146;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;3;8;19;26;33;47;72;105;154;203;277;381;411;452;578;699;823;963;1079;1174;1279;1444;1575;1706;1831;1882;2024;2121;2171;2178;2226;2224;2229;2207;2204;2171;2145;2133;2087;2079;2059;2042;2089;2167;2288;2474;2570;2653;2734;2799;2979;3269;3461;3618;3737;3946;4056;4163;4234;4252;4308;4337;4322;4382;4421;4371;4527;4579;4451;4319;4512;4670;4806;4938;5058;5166;5252
US Wyoming;578759;251470;175;30.2371107836;0.2058823529;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;10;15;18;19;23;24;26;29;44;52;69;80;83;91;99;115;132;143;164;173;184;187;177;177;183;179;182;181;172;157;146;138.5;118;112;103;104;101;96;96;94.5;94;95;108;249;248;258.5;261;270;273;276;282;305;286;288.5;299;292;286;152;157;156;150;175;174;170;183;164;168;169;164.5;176;175
