Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26
US Delaware;973764;5047;335;34.4025862529;0.0369512464;0.0408835733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;2;3;6;6;10;11;12;14;14;14;14;16;16;23;23;33;33;35;41;46;52;61;61;67;72;82;89;92;100;112;120;125;137;144;152;159;168;177;182;187;193;202;213;221;224;225;237;247;260;271;286;290;297;304;310;317;322;324;326;332;335
US District of Columbia;705749;158;440;62.345111364;0.0527957763;0.0582704278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;2;2;2;3;3;4;5;9;9;11;12;15;21;22;24;22;27;32;38;47;50;53;67;72;81;86;91;96;105;112;127;139;153;165;178;185;190;205;224;231;240;251;258;264;277;285;304;311;323;328;336;350;358;368;375;383;392;400;407;412;418;427;427;440;440
US Florida;21477737;138887;2338;10.8856906107;0.0447421299;0.0492511217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;3;4;4;6;7;8;10;12;13;14;18;22;28;34;54;56;63;77;87;128;163;191;218;236;296;309;354;390;438;465;483;537;609;646;699;754;781;806;856;910;979;1031;1075;1094;1101;1154;1240;1290;1314;1388;1403;1423;1536;1605;1667;1738;1785;1791;1805;1849;1898;1948;1991;2040;2049;2073;2129;2173;2222;2268;2312;2316;2331;2338
US Georgia;10617423;148959;1871;17.6219785159;0.0427852733;0.0471914647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;10;13;14;23;25;32;40;48;64;69;80;87;111;139;163;184;201;211;229;329;362;379;416;428;433;464;501;552;587;650;673;687;733;799;836;872;892;904;912;971;1026;1093;1120;1154;1174;1177;1222;1288;1311;1336;1377;1400;1405;1441;1461;1505;1527;1557;1592;1606;1642;1664;1687;1754;1785;1811;1824;1830;1871
US Guam;162742;543;5;3.0723476423;0.0295857988;0.0303030303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;2;3;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
US Hawaii;1415872;16635;17;1.2006735072;0.0262751159;0.0265210608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;3;4;4;5;5;5;6;8;8;9;9;9;9;9;9;9;10;10;12;12;12;13;14;14;16;16;16;16;16;16;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17
US Idaho;1787065;214045;79;4.4206562156;0.0300837776;0.0319063005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;3;4;5;6;7;9;9;9;10;10;10;13;15;18;24;25;27;27;33;39;41;41;43;44;45;48;51;54;54;54;56;56;58;60;60;63;63;63;64;64;65;66;67;67;67;67;70;69;69;72;73;73;73;74;77;77;77;79;79;79;79
US Illinois;12671821;143793;4923;38.8499805987;0.0434913203;0.0490250752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;5;6;9;12;16;19;26;34;47;65;73;99;141;157;210;243;274;307;380;462;528;596;677;720;794;868;948;1072;1134;1259;1290;1349;1468;1565;1688;1795;1874;1933;1983;2125;2215;2355;2457;2559;2618;2662;2838;2974;3111;3241;3349;3406;3459;3601;3792;3928;4058;4129;4177;4234;4379;4525;4607;4715;4790;4856;4884;4923
US Indiana;6732219;92789;2004;29.7673025788;0.0624727227;0.068456651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;2;2;2;2;4;6;7;12;14;17;24;31;32;35;49;65;78;102;116;127;139;173;203;245;300;330;343;350;388;436;477;519;545;562;569;630;661;706;741;785;813;844;901;1065;1114;1175;1229;1246;1264;1326;1377;1414;1447;1490;1508;1540;1578;1619;1646;1691;1741;1751;1765;1824;1864;1913;1941;1943;1976;1976;2004
US Iowa;3155070;144669;478;15.1502185371;0.0270010733;0.0306135519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;3;4;6;7;9;11;11;14;22;25;26;27;29;31;34;41;43;49;53;60;64;74;75;79;83;90;96;107;112;118;127;136;148;162;170;175;184;188;207;219;231;243;252;265;271;289;306;318;336;346;351;355;372;388;406;425;444;454;459;478
US Kansas;2913314;211754;188;6.4531320688;0.0203948796;0.0220166296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;2;2;2;2;3;3;4;5;6;8;9;10;13;17;21;22;25;27;38;42;50;55;56;62;69;76;80;84;86;92;100;107;110;112;111;117;118;120;124;125;129;130;131;134;136;137;144;147;152;157;157;158;158;164;164;172;172;172;173;173;178;178;185;185;185;188;188
US Kentucky;4467673;102269;391;8.7517595849;0.0456189476;0.0481645726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;3;3;4;4;4;6;8;9;9;11;17;20;31;37;40;45;59;65;73;90;90;94;97;104;115;122;129;137;144;148;154;171;185;191;200;205;208;213;225;235;240;248;248;253;261;275;283;294;298;304;304;311;321;326;328;332;334;334;366;366;376;386;391;391;391;391
US Louisiana;4648794;111898;2701;58.1010903043;0.0709780838;0.0764809152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;4;6;8;12;16;20;34;46;65;83;119;137;151;185;239;273;310;370;409;477;512;582;652;702;755;806;840;884;1013;1103;1156;1213;1267;1296;1328;1405;1473;1540;1601;1644;1670;1697;1758;1802;1862;1927;1950;1969;2064;2115;2115;2208;2227;2267;2286;2308;2347;2381;2417;2448;2479;2491;2563;2581;2608;2629;2668;2668;2690;2690;2701
US Maine;1344212;79883;79;5.8770491559;0.0374585111;0.0434304563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;3;5;7;7;9;10;10;10;12;14;16;17;19;19;19;20;24;27;29;32;34;35;36;39;44;47;50;50;51;51;52;53;55;56;57;57;61;62;62;63;64;64;65;65;66;69;69;70;70;71;73;73;73;75;77;78;78;79
US Maryland;6045680;25142;2333;38.589538315;0.0489231866;0.0551236916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;3;3;3;4;4;5;5;10;15;18;31;36;42;53;67;91;103;124;138;171;206;235;262;302;413;459;494;534;548;582;652;698;748;798;875;910;945;1016;1078;1140;1192;1251;1281;1317;1390;1437;1503;1560;1614;1644;1683;1756;1809;1866;1911;1957;1992;2023;2081;2123;2159;2207;2243;2277;2302;2333
US Massachusetts;6892503;20202;6473;93.9136334072;0.0690873384;0.0727548612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;5;7;11;17;26;33;42;57;72;99;124;153;187;229;265;304;370;448;515;615;725;832;946;1056;1211;1329;1502;1667;1822;1983;2146;2303;2449;2597;2769;2877;2877;2899;3003;3153;3405;3562;3716;3846;4004;4090;4212;4420;4552;4702;4840;4979;5108;5141;5315;5482;5592;5705;5797;5797;5938;6066;6148;6228;6304;6372;6416;6473
US Michigan;9986857;146435;5266;52.7293021218;0.0955647503;0.0993416212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;5;8;15;24;43;60;92;92;132;184;259;337;417;479;540;617;727;845;959;1076;1281;1392;1487;1602;1768;1921;2093;2227;2308;2391;2468;2700;2813;2977;3085;3274;3315;3407;3567;3670;3789;3866;4020;4049;4049;4179;4250;4343;4393;4526;4551;4584;4674;4714;4787;4825;4880;4891;4915;5017;5060;5129;5158;5223;5228;5240;5266
US Minnesota;5639632;206232;908;16.1003412989;0.0413479053;0.0513865308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;4;5;9;10;12;17;18;22;24;29;30;34;39;50;57;64;70;70;79;87;94;111;121;134;143;160;179;200;221;244;272;286;301;319;343;371;395;419;428;455;485;508;534;558;578;591;614;638;663;692;709;731;740;757;786;818;851;861;878;890;908
US Mississippi;2976149;121531;652;21.907505303;0.0474837958;0.054483162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;6;8;13;14;16;20;22;26;29;35;43;51;59;67;76;82;93;96;98;111;122;129;140;152;159;169;183;193;201;209;221;227;229;239;250;261;281;291;303;310;342;374;396;409;421;430;435;457;465;480;493;510;521;528;554;570;580;596;616;625;635;652
US Missouri;6137428;178040;686;11.1773205323;0.0558131966;0.0610754986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;1;3;3;3;3;8;8;8;10;10;13;14;18;19;19;24;34;39;53;58;77;96;109;110;114;133;147;152;165;175;176;177;189;208;218;262;273;274;288;314;318;329;337;351;352;358;377;396;418;449;472;482;488;524;542;562;576;589;594;605;616;631;661;671;676;681;685;686
US Montana;1068778;376962;17;1.590601603;0.0354906054;0.0355648536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;4;5;5;5;5;6;6;6;6;6;6;6;6;7;7;7;7;8;10;10;10;12;14;14;14;14;14;14;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17
US Nebraska;1934408;198974;150;7.7543103627;0.0121408337;0.0138299834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;2;2;2;3;4;5;6;6;8;8;10;12;14;15;17;17;17;18;20;21;24;24;28;28;33;38;45;47;50;53;56;55;55;68;70;73;76;78;78;82;86;90;92;96;98;100;103;107;113;119;123;123;125;132;138;143;147;147;150;150
US Nevada;3080156;284332;396;12.8564916842;0.0495185695;0.0552609545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;2;4;4;6;10;10;10;14;15;17;26;38;43;46;46;46;58;71;80;86;102;112;114;120;131;137;142;151;155;158;163;172;189;197;204;206;206;219;230;237;243;254;257;262;268;276;286;293;301;306;306;312;321;331;339;345;349;350;365;373;378;381;388;392;394;396
US New Hampshire;1359711;23187;210;15.444458418;0.0500357398;0.0564364418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;3;4;4;5;7;9;9;9;18;18;21;22;23;23;23;32;32;37;37;38;41;42;42;48;51;53;60;60;60;60;66;72;81;84;86;86;92;111;114;121;131;133;133;142;150;159;159;171;172;172;182;190;199;208;208;209;210
US New Jersey;8882190;19047;11191;125.9937020037;0.0718458694;0.0744087394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;5;9;11;16;20;27;44;62;81;108;140;161;198;267;355;537;646;846;917;1003;1232;1504;1700;1932;2183;2350;2443;2805;3156;3518;3840;4070;4202;4377;4753;5063;5368;5617;5863;5938;6044;6442;6770;7228;7538;7742;7871;7910;8244;8549;8801;8952;9116;9255;9310;9508;9702;9946;10138;10249;10356;10435;10586;10747;10843;10985;11081;11133;11144;11191
