Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27;2020-11-28;2020-11-29;2020-11-30;2020-12-01;2020-12-02;2020-12-03;2020-12-04;2020-12-05;2020-12-06;2020-12-07;2020-12-08;2020-12-09;2020-12-10;2020-12-11;2020-12-12;2020-12-13;2020-12-14;2020-12-15;2020-12-16;2020-12-17;2020-12-18;2020-12-19;2020-12-20;2020-12-21;2020-12-22;2020-12-23;2020-12-24;2020-12-25;2020-12-26;2020-12-27;2020-12-28;2020-12-29;2020-12-30;2020-12-31;2021-01-01
Switzerland Grisons;198379;7105;137;69.0597291044;0.0167727718;0.0176637442;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;4;4;5;6;8;8;9;12;15;19;23;26;28;30;30;33;34;35;35;36;36;36;36;37;37;38;39;40;40;41;42;43;43;43;44;44;44;45;45;45;45;45;45;45;45;45;45;46;46;46;47;47;47;47;48;48;48;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;51;52;53;54;54;57;58;59;61;62;62;65;66;66;68;72;73;74;75;76;77;80;85;86;88;89;92;93;93;95;97;99;100;104;104;105;105;106;106;107;107;110;112;114;115;116;117;122;124;125;126;128;129;132;133;133;134;134;135;135;136;137;137;137;137
Switzerland Jura;73419;88;108;147.1008866915;0.024171889;0.024902006;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;3;3;3;3;3;3;3;5;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;8;9;9;12;13;14;15;17;18;19;19;21;24;28;31;32;36;36;37;37;40;42;43;44;47;49;52;54;57;58;62;64;68;69;70;74;77;79;80;81;81;82;83;83;84;85;87;88;90;91;91;92;92;93;96;98;99;100;103;104;104;105;105;105;106;106;106;106;106;107;107;107;107;108;108;108;108;108;108
Switzerland Lucerne;409557;1493;225;54.9374079798;0.0136628613;0.0141296157;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;3;3;5;6;7;7;7;7;7;9;9;9;9;9;9;11;12;12;13;14;14;15;16;16;16;16;16;16;17;17;17;18;18;18;18;18;19;19;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;22;23;23;23;23;23;23;23;23;23;23;23;23;23;23;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;25;26;26;27;28;29;29;29;31;33;34;35;37;39;40;43;45;47;47;49;52;52;53;53;58;59;61;63;65;68;69;72;75;77;79;81;84;86;92;94;97;101;109;110;114;115;119;127;129;137;140;141;144;148;151;157;162;165;170;173;181;188;194;198;206;211;216;218;220;222;223;225;225;225;225
Switzerland Neuchâtel;176850;220;311;175.8552445575;0.0269801336;0.0275587062;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;3;4;4;5;6;9;12;13;15;18;20;22;24;27;28;30;31;36;40;42;44;44;47;52;55;58;60;62;64;65;66;69;70;72;73;74;75;77;78;78;79;80;80;81;81;81;82;82;82;82;82;82;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;86;86;86;86;86;86;86;86;86;87;87;87;87;87;87;88;88;89;89;89;89;90;90;90;91;91;92;92;92;93;93;94;94;95;95;95;96;96;97;97;98;98;98;99;99;102;103;104;108;110;111;112;115;116;120;122;132;135;138;141;143;146;150;152;158;161;165;168;171;180;183;186;188;195;198;205;210;215;220;227;228;228;232;234;242;249;256;260;264;266;270;277;280;282;283;284;286;287;290;296;298;299;303;304;306;307;307;308;309;309;310;311;311;311;311
Switzerland Nidwalden;43223;276;12;27.7629965528;0.0082644628;0.0089219331;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;6;6;6;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
Switzerland Obwalden;37841;491;30;79.279088819;0.021629416;0.0224719101;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;3;3;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;9;10;10;10;10;10;10;11;13;13;13;15;15;16;17;17;18;19;19;20;23;24;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;27;29;30;30;30;30;30;30;30;30;30
Switzerland Schaffhausen;81991;298;52;63.4215950531;0.0173854898;0.0181564246;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;3;3;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;10;11;11;11;13;13;16;17;17;17;17;18;18;20;21;22;22;22;27;29;29;30;31;31;31;32;33;35;36;37;37;37;37;39;40;40;41;41;41;42;42;43;44;44;44;44;45;45;45;45;45;45;45;49;52;52;52;52
Switzerland Schwyz;159165;908;145;91.100430371;0.0188728361;0.0196025416;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;4;4;4;4;5;5;6;7;7;9;10;10;11;12;13;13;14;14;14;15;15;16;16;16;16;17;18;18;20;20;20;21;21;21;21;22;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;24;24;24;24;24;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;26;27;28;28;30;32;32;32;35;36;38;41;45;45;45;45;46;46;50;53;54;54;55;55;58;62;66;67;67;68;69;73;76;80;81;82;84;87;89;90;91;92;92;93;93;94;95;95;96;96;97;99;101;104;105;108;110;111;113;114;115;116;116;117;117;119;120;124;124;125;125;128;130;131;131;133;134;134;135;142;145;145
Switzerland Solothurn;273194;791;208;76.1363719555;0.0195195195;0.0205107978;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;3;3;3;3;3;3;3;3;5;5;6;7;7;8;8;8;9;10;11;11;11;11;12;14;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;16;16;16;16;16;16;16;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19;19;19;19;19;22;23;25;25;25;25;30;35;36;39;39;39;39;46;48;52;53;55;56;57;58;60;62;65;67;70;74;77;84;86;88;92;94;96;98;104;107;114;117;121;125;129;136;148;152;154;157;159;162;168;171;179;184;186;189;191;198;202;208;208
Switzerland St. Gallen;507697;2026;508;100.0596812666;0.018496268;0.0193568054;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;5;5;7;7;7;8;8;9;9;11;13;15;16;17;18;21;21;21;23;25;27;27;27;27;29;29;31;31;31;31;31;33;33;33;33;33;33;33;33;33;33;35;35;35;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;42;42;42;42;43;43;43;43;43;43;44;44;44;45;45;45;45;48;50;55;59;63;66;70;73;76;85;91;98;104;111;117;133;145;157;158;162;167;171;185;189;190;197;203;209;215;220;222;225;228;235;243;250;261;270;278;287;293;300;306;317;326;336;344;354;363;373;384;389;403;406;416;426;436;446;458;467;473;479;485;491;494;502;508;508;508
Switzerland Thurgovia;276472;991;206;74.51025782;0.017135252;0.0182107496;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;3;3;3;3;3;3;3;4;4;6;6;7;7;7;7;7;7;7;8;8;8;8;8;8;8;10;11;11;12;13;13;13;13;14;14;14;14;16;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;21;21;22;22;25;26;28;29;30;31;34;36;40;41;45;48;51;53;59;61;65;69;71;72;74;77;80;81;81;83;84;85;85;86;87;89;91;94;98;100;102;104;108;110;112;117;120;124;127;128;131;134;135;141;144;146;150;152;156;160;163;167;173;174;177;184;187;190;196;202;203;204;205;206;206
Switzerland Ticino;353343;2812;785;222.1637332564;0.0331153765;0.0353858637;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;6;8;10;12;13;22;28;37;48;53;60;67;76;87;93;105;120;132;141;155;165;177;189;198;211;219;227;229;244;251;258;263;269;270;277;281;288;291;295;298;299;304;306;311;316;318;321;322;323;324;326;329;331;332;334;338;340;340;341;341;341;342;342;342;343;344;344;345;345;346;347;348;348;348;348;348;348;348;349;349;349;349;349;349;349;349;349;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;352;352;352;352;352;353;353;353;354;356;357;359;360;361;363;364;367;369;372;377;381;388;391;397;401;407;413;416;421;428;431;439;448;452;467;478;483;491;496;503;513;518;523;530;538;542;552;560;568;577;580;589;598;602;608;615;625;640;644;652;659;673;682;688;691;694;703;710;714;720;728;735;742;750;759;768;774;785
Switzerland Uri;36433;1077;32;87.8324595833;0.0231716148;0.0244835501;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;13;13;14;15;16;16;16;16;21;21;24;24;24;24;29;29;29;30;30;30;30;30;30;30;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
Switzerland Valais;343955;5224;596;173.2784811967;0.0233734656;0.0236921609;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;4;6;7;10;11;13;14;15;17;21;25;31;35;37;40;47;51;53;57;60;68;71;77;83;85;91;93;94;95;95;99;104;107;110;115;118;123;127;129;131;132;135;136;138;139;140;142;144;146;147;147;148;149;149;151;151;152;152;152;152;153;153;153;153;153;153;153;153;153;153;153;153;153;153;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;155;156;156;156;156;156;156;156;156;156;156;156;156;156;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;158;158;158;158;158;158;158;158;158;158;158;158;158;158;158;159;159;159;160;160;160;161;162;164;165;166;168;173;177;185;189;194;200;206;210;214;221;231;234;242;253;261;273;281;295;308;317;328;339;353;373;381;389;396;405;411;425;437;444;454;463;470;474;489;495;503;509;514;521;525;529;534;537;541;543;549;554;556;557;563;564;565;568;570;572;573;574;577;578;580;582;583;584;585;590;592;593;594;596;596;596;596
Switzerland Vaud;799145;3212;800;100.1069893449;0.0141417713;0.0144279325;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;3;4;4;5;6;8;10;13;14;19;22;24;28;30;38;52;54;61;69;78;85;93;109;123;128;138;150;162;168;174;179;184;192;196;204;215;225;229;232;236;246;251;255;264;266;276;279;283;285;286;288;292;295;297;297;298;298;298;298;299;299;299;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;301;301;301;301;301;301;301;301;301;301;301;301;301;301;301;301;301;301;301;302;302;302;302;302;302;302;302;302;302;302;302;302;302;302;302;302;302;302;302;302;302;302;303;303;303;303;303;303;303;303;303;303;303;303;303;303;303;303;303;303;303;303;303;303;303;303;303;303;304;304;304;304;304;304;304;305;305;305;305;305;305;305;306;306;306;306;306;306;306;306;307;307;307;308;308;308;308;308;309;309;309;309;309;310;310;310;310;311;311;311;312;312;313;313;314;315;316;317;317;317;318;318;318;318;318;318;318;319;319;319;319;319;320;320;320;321;321;322;323;324;325;326;327;329;330;332;336;339;341;342;343;346;350;355;361;362;369;378;383;392;398;412;421;435;446;457;468;480;494;506;514;526;537;543;550;557;570;583;595;603;607;622;634;645;655;661;670;675;683;687;693;702;710;720;729;736;740;744;748;755;756;758;762;765;771;777;782;785;788;791;794;795;799;800;800;800
